,open,high,low,close,volume
2020-01-02,296.24,300.6,295.19,300.35,33911864
2020-01-03,297.15,300.58,296.5,297.43,36633878
2020-01-06,293.79,299.96,292.75,299.8,29644644
2020-01-07,299.84,300.9,297.48,298.39,27877655
2020-01-08,297.16,304.44,297.16,303.19,33090946
2020-01-09,307.24,310.43,306.2,309.63,42621542
2020-01-10,310.6,312.67,308.25,310.33,35217272
2020-01-13,311.64,317.07,311.15,316.96,30028742
2020-01-14,316.7,317.57,312.17,312.68,40653457
2020-01-15,311.85,315.5,309.55,311.34,30480882
2020-01-16,313.59,315.7,312.09,315.24,27207254
2020-01-17,316.27,318.74,315.0,318.73,34454117
2020-01-21,317.19,319.02,316.0,316.57,27235039
2020-01-22,318.58,319.99,317.31,317.7,25458115
2020-01-23,317.92,319.56,315.65,319.23,26117993
2020-01-24,320.25,323.33,317.52,318.31,36634380
2020-01-27,310.06,311.77,304.88,308.95,40485005
2020-01-28,312.6,318.4,312.19,317.69,40558486
2020-01-29,324.45,327.85,321.38,324.34,54149928
2020-01-30,320.54,324.09,318.75,323.87,31685808
2020-01-31,320.93,322.68,308.29,309.51,49897096
2020-02-03,304.3,313.49,302.22,308.66,43496401
2020-02-04,315.31,319.64,313.63,318.85,34154134
2020-02-05,323.52,324.76,318.95,321.45,29706718
2020-02-06,322.57,325.22,320.26,325.21,26356385
2020-02-07,322.37,323.4,318.0,320.03,29421012
2020-02-10,314.18,321.55,313.85,321.55,27337215
2020-02-11,323.6,323.9,318.71,319.61,23580780
2020-02-12,321.47,327.22,321.47,327.2,28432573
2020-02-13,324.19,326.22,323.35,324.87,23686892
2020-02-14,324.74,325.98,322.85,324.95,20028447
2020-02-18,315.36,319.75,314.61,319.0,38190545
2020-02-19,320.0,324.57,320.0,323.62,23495991
2020-02-20,322.63,324.65,318.21,320.3,25141489
2020-02-21,318.62,320.45,310.5,313.05,32426415
2020-02-24,297.26,304.18,289.23,298.18,55548828
2020-02-25,300.95,302.53,286.13,288.08,57668364
2020-02-26,286.53,297.88,286.5,292.65,49678431
2020-02-27,281.1,286.0,272.96,273.52,80151381
2020-02-28,257.26,278.41,256.37,273.36,106721230
2020-03-02,282.28,301.44,277.72,298.81,85349339
2020-03-03,303.67,304.0,285.8,289.32,79868852
2020-03-04,296.44,303.4,293.13,302.74,54794568
2020-03-05,295.52,299.55,291.41,292.92,46893219
2020-03-06,282.0,290.82,281.23,289.03,56544246
2020-03-09,263.75,278.09,263.0,266.17,71686208
2020-03-10,277.14,286.44,269.37,285.34,71322520
2020-03-11,277.39,281.22,271.86,275.43,64094970
2020-03-12,255.94,270.0,248.0,248.23,104618517
2020-03-13,264.89,279.92,252.95,277.97,92683032
2020-03-16,241.95,259.08,240.0,242.21,80605865
2020-03-17,247.51,257.61,238.4,252.86,81013965
2020-03-18,239.77,250.0,237.12,246.67,75058406
2020-03-19,247.39,252.84,242.61,244.78,67964255
2020-03-20,247.18,251.83,228.0,229.24,100423346
2020-03-23,228.08,228.5,212.61,224.37,84188208
2020-03-24,236.36,247.69,234.3,246.88,71882773
2020-03-25,250.75,258.25,244.3,245.52,75900510
2020-03-26,246.52,258.68,246.36,258.44,63140169
2020-03-27,252.75,255.87,247.05,247.74,51054153
2020-03-30,250.74,255.52,249.4,254.81,41994110
2020-03-31,255.6,262.49,252.0,254.29,49250501
2020-04-01,246.5,248.72,239.13,240.91,44054638
2020-04-02,240.34,245.15,236.9,244.93,41483493
2020-04-03,242.8,245.7,238.97,241.41,32470017
2020-04-06,250.9,263.11,249.38,262.47,50455071
2020-04-07,270.8,271.7,259.0,259.43,50721831
2020-04-08,262.74,267.37,261.23,266.07,42223821
2020-04-09,268.7,270.07,264.7,267.99,40529123
2020-04-13,268.31,273.7,265.83,273.25,32755731
2020-04-14,280.0,288.25,278.05,287.05,48748672
2020-04-15,282.4,286.33,280.63,284.43,32788641
2020-04-16,287.38,288.2,282.35,286.69,39281290
2020-04-17,284.69,286.95,276.86,282.8,53812478
2020-04-20,277.95,281.68,276.85,276.93,32503750
2020-04-21,276.28,277.25,265.43,268.37,45247893
2020-04-22,273.61,277.9,272.2,276.1,29264342
2020-04-23,275.87,281.75,274.87,275.03,31203582
2020-04-24,277.2,283.01,277.0,282.97,31627183
2020-04-27,281.8,284.54,279.95,283.17,29271893
2020-04-28,285.08,285.83,278.2,278.58,28001187
2020-04-29,284.73,289.67,283.89,287.73,34320204
2020-04-30,289.96,294.53,288.35,293.8,45765968
2020-05-01,286.25,299.0,285.85,289.07,60154175
2020-05-04,289.17,293.69,286.32,293.16,33391986
2020-05-05,295.06,301.0,294.46,297.56,36937795
2020-05-06,300.46,303.24,298.87,300.63,35583438
2020-05-07,303.22,305.17,301.97,303.74,28803764
2020-05-08,305.64,310.35,304.29,310.13,33511985
2020-05-11,308.1,317.05,307.24,315.01,36486561
2020-05-12,317.83,319.69,310.91,311.41,40575263
2020-05-13,312.15,315.95,303.21,307.65,50155639
2020-05-14,304.51,309.79,301.53,309.54,39732269
2020-05-15,300.35,307.9,300.21,307.71,41587094
2020-05-18,313.17,316.5,310.32,314.96,33843125
2020-05-19,315.03,318.52,313.01,313.14,25432385
2020-05-20,316.68,319.52,316.52,319.23,27876215
2020-05-21,318.66,320.89,315.87,316.85,25672211
2020-05-22,315.77,319.23,315.35,318.89,20450754
2020-05-26,323.5,324.24,316.5,316.73,31380454
2020-05-27,316.14,318.71,313.09,318.11,28236274
2020-05-28,316.77,323.44,315.63,318.25,33449103
2020-05-29,319.25,321.15,316.47,317.94,38399532
2020-06-01,317.75,322.35,317.21,321.85,20254653
2020-06-02,320.75,323.44,318.93,323.34,21910704
2020-06-03,324.66,326.2,322.3,325.12,26122804
2020-06-04,324.39,325.62,320.78,322.32,21890091
2020-06-05,323.35,331.75,323.23,331.5,34312550
2020-06-08,330.25,333.6,327.32,333.46,23913634
2020-06-09,332.14,345.61,332.01,343.99,36928091
2020-06-10,347.9,354.77,346.09,352.84,41662938
2020-06-11,349.31,351.06,335.48,335.9,50415613
2020-06-12,344.72,347.8,334.22,338.8,50036513
2020-06-15,333.25,345.68,332.58,342.99,34702230
2020-06-16,351.46,353.2,344.72,352.08,41357182
2020-06-17,355.15,355.4,351.09,351.59,28601626
2020-06-18,351.41,353.45,349.22,351.73,24205096
2020-06-19,354.64,356.56,345.15,349.72,66118952
2020-06-22,351.34,359.46,351.15,358.87,33861316
2020-06-23,364.0,372.38,362.27,366.53,53038869
2020-06-24,365.0,368.79,358.52,360.06,48155849
2020-06-25,360.7,365.0,357.57,364.84,34380628
2020-06-26,364.41,365.32,353.02,353.63,51314211
2020-06-29,353.25,362.1736,351.28,361.78,32661519
2020-06-30,360.08,365.98,360.0,364.8,35055821
2020-07-01,365.12,367.36,363.91,364.11,27690454
2020-07-02,367.85,370.47,363.64,364.11,28814516
2020-07-06,370.0,375.78,369.87,373.85,29745936
2020-07-07,375.41,378.62,372.23,372.69,28206999
2020-07-08,376.72,381.5,376.36,381.37,29274479
2020-07-09,385.05,385.27,378.69,383.01,31420357
2020-07-10,381.34,383.92,378.82,383.68,22564330
2020-07-13,389.06,399.82,381.03,381.91,47913079
2020-07-14,379.36,389.02,375.51,388.23,42748119
2020-07-15,395.96,396.99,385.96,390.9,38306874
2020-07-16,386.25,389.62,383.62,386.09,27645927
2020-07-17,387.95,388.59,383.36,385.31,23046755
2020-07-20,385.67,394.0,384.25,393.43,22397208
2020-07-21,396.69,397.0,386.97,388.0,25627347
2020-07-22,386.77,391.9,386.41,389.09,22250413
2020-07-23,387.9935,388.31,368.039,371.38,49251108
2020-07-24,363.95,371.88,356.58,370.46,46359716
2020-07-27,374.84,379.62,373.92,379.24,30303548
2020-07-28,377.47,378.1986,372.99,373.01,25906375
2020-07-29,375.0,380.92,374.85,380.16,22582314
2020-07-30,376.75,385.19,375.07,384.76,39532505
2020-07-31,411.535,425.66,403.3,425.04,93573867
2020-08-03,432.8,446.5457,431.57,435.75,77037847
2020-08-04,436.53,443.16,433.55,438.66,43198092
