,open,high,low,close,volume
2018-01-02,164.05,171.12,163.46,170.32,3145398
2018-01-03,172.0,172.47,168.82,170.14,2603124
2018-01-04,171.2,171.98,168.85,171.58,1736654
2018-01-05,172.43,172.82,171.0,172.29,1731843
2018-01-08,172.96,173.26,168.33,170.56,2774848
2018-01-09,171.49,177.3,171.03,175.65,3704132
2018-01-10,174.6,175.19,171.86,173.99,2118834
2018-01-11,174.49,177.35,173.81,177.12,2007228
2018-01-12,177.62,180.56,175.79,176.05,2801883
2018-01-16,176.96,179.8,176.6,178.66,2602033
2018-01-17,179.45,179.45,176.33,176.72,2198260
2018-01-18,177.27,179.95,176.1,179.64,2775290
2018-01-19,180.87,181.97,179.12,181.33,4041057
2018-01-22,181.0,188.43,180.73,188.15,5064936
2018-01-23,190.5,193.33,186.3,188.06,3830632
2018-01-24,188.39,189.88,185.73,186.72,1987365
2018-01-25,186.98,187.7,184.14,187.12,2000612
2018-01-26,187.24,187.42,184.33,186.93,1942588
2018-01-29,189.94,189.94,187.01,187.3,2613834
2018-01-30,184.15,186.13,182.36,184.38,2331725
2018-01-31,184.34,184.87,179.63,180.26,2915461
2018-02-01,179.98,180.95,178.11,178.54,2103112
2018-02-02,177.74,178.12,172.3,172.51,3385681
2018-02-05,171.9,172.43,165.0,165.0,4588076
2018-02-06,166.3,175.0,160.3,168.33,8233573
2018-02-07,168.93,172.98,167.07,170.39,3480616
2018-02-08,170.64,172.58,164.11,164.2,3452019
2018-02-09,165.04,166.58,157.7,162.77,4233822
2018-02-12,164.04,164.74,160.27,162.46,3064147
2018-02-13,161.25,162.46,156.11,158.72,3239435
2018-02-14,157.19,167.0,156.0,166.63,4799344
2018-02-15,168.14,169.5,162.71,164.47,3402381
2018-02-16,164.35,165.75,162.9,164.04,2647430
2018-02-20,163.07,164.0,160.25,160.59,2462273
2018-02-21,160.25,162.02,159.23,159.31,2682218
2018-02-22,159.7,161.66,158.99,159.4,2761197
2018-02-23,161.53,162.56,160.05,162.09,2566425
2018-02-26,162.11,166.17,161.51,165.76,2694742
2018-02-27,164.7,165.89,159.86,159.91,3250935
2018-02-28,160.9,161.09,153.26,154.22,5928651
2018-03-01,150.76,151.8,144.75,148.19,9340223
2018-03-02,147.18,147.27,143.1,144.02,8464754
2018-03-05,143.42,149.65,142.81,148.73,4028970
2018-03-06,149.25,151.7,148.21,150.71,3305224
2018-03-07,149.28,153.28,148.89,153.22,2927674
2018-03-08,153.96,154.47,151.51,153.5,3242909
2018-03-09,154.96,157.43,153.79,157.28,3291115
2018-03-12,157.59,160.04,157.52,158.41,2733848
2018-03-13,159.19,164.6,158.74,163.19,4250323
2018-03-14,163.24,168.85,163.24,167.06,5032757
2018-03-15,167.22,168.58,164.98,166.12,3641273
2018-03-16,166.8,170.81,166.74,168.96,3681367
2018-03-19,167.99,169.69,164.65,166.27,2834296
2018-03-20,166.37,167.23,162.5,163.62,3914393
2018-03-21,163.8,165.87,163.14,163.7,2075524
2018-03-22,162.52,164.93,162.0,162.58,2455333
2018-03-23,163.44,164.68,159.26,159.48,2354600
2018-03-26,161.5,162.05,155.7,160.2,3200680
2018-03-27,160.87,163.52,158.81,160.32,2249138
2018-03-28,161.0,168.36,161.0,165.65,3829159
2018-03-29,167.08,169.7,165.35,168.29,2860124
2018-04-02,167.35,168.29,160.49,162.27,3305935
2018-04-03,163.21,164.9,158.43,164.74,1803481
