,open,high,low,close,volume
2020-01-02,51.69,51.78,50.35,50.58,880534
2020-01-03,50.41,51.61,50.29,51.38,1101557
2020-01-06,51.3,51.85,50.96,51.7,2153234
2020-01-07,51.46,51.71,50.89,51.03,1583455
2020-01-08,51.07,51.55,51.0,51.26,1267119
2020-01-09,51.21,51.51,50.93,51.03,931317
2020-01-10,51.21,51.58,50.95,51.52,754478
2020-01-13,51.64,52.04,51.45,51.9,1173676
2020-01-14,51.72,51.72,50.96,51.35,1004480
2020-01-15,51.55,52.31,51.54,52.14,1003361
2020-01-16,52.24,52.64,51.95,52.63,548684
2020-01-17,52.6,52.9,52.43,52.75,726040
2020-01-21,52.86,53.32,52.73,53.3,982764
2020-01-22,53.5,53.62,52.89,53.0,1034555
2020-01-23,53.13,53.84,52.8,53.81,792082
2020-01-24,53.9,54.13,53.68,54.02,877269
2020-01-27,53.81,54.14,53.5,53.58,1390660
2020-01-28,53.25,53.71,53.16,53.26,1017523
2020-01-29,53.49,53.63,53.01,53.05,678425
2020-01-30,52.96,53.43,52.755,53.17,1844460
2020-01-31,53.04,53.61,52.43,52.71,1464626
2020-02-03,52.86,53.07,52.46,52.77,1216714
2020-02-04,52.91,53.55,52.76,53.22,861491
2020-02-05,53.19,53.695,52.97,53.35,639801
2020-02-06,53.53,53.68,53.33,53.49,896369
2020-02-07,53.59,53.72,53.18,53.37,423251
2020-02-10,53.72,53.94,53.42,53.94,378121
2020-02-11,53.93,54.23,53.87,54.13,531293
2020-02-12,54.02,54.46,53.71,54.09,558048
2020-02-13,53.67,54.3,53.46,54.13,857819
2020-02-14,54.36,54.81,54.19,54.8,922478
2020-02-18,54.97,54.99,54.37,54.87,898154
2020-02-19,54.9,54.95,54.27,54.27,1128606
2020-02-20,54.32,55.18,54.05,55.16,606165
2020-02-21,55.09,55.68,55.09,55.49,966819
2020-02-24,54.98,55.58,54.68,54.81,1236087
2020-02-25,54.94,54.94,53.49,53.59,2564311
2020-02-26,53.7,54.01,52.85,52.86,1207981
2020-02-27,52.38,52.47,49.43,49.53,2360656
2020-02-28,48.36,48.38,46.31,47.84,2704362
2020-03-02,47.95,49.52,47.61,49.49,2417927
2020-03-03,49.48,51.01,49.12,49.53,2484428
2020-03-04,50.27,51.39,50.01,51.29,1071207
2020-03-05,50.39,50.76,49.68,50.41,1042252
2020-03-06,49.08,50.1,48.19,49.81,2637022
2020-03-09,47.29,48.15,46.35,47.19,1897445
2020-03-10,48.21,49.21,46.6,49.16,2309387
2020-03-11,47.77,47.83,45.7,46.01,2005488
2020-03-12,42.97,45.3,40.9,43.25,2913336
2020-03-13,45.47,46.16,41.92,46.05,2070721
2020-03-16,41.63,41.86,35.44,35.51,2384102
2020-03-17,36.53,37.97,34.75,37.35,2024315
2020-03-18,31.38,37.23,30.0,31.2,2299371
2020-03-19,30.81,34.28,29.05,31.19,1553874
2020-03-20,31.57,31.84,27.83,28.31,1908517
2020-03-23,28.24,28.24,24.78,25.29,1832000
2020-03-24,26.57,27.07,24.53,26.33,2213229
2020-03-25,26.32,31.6,26.14,30.51,1820599
2020-03-26,30.65,33.37,30.42,33.01,1914857
2020-03-27,31.9,35.64,31.56,34.98,1962781
2020-03-30,35.0,35.33,32.82,34.78,1658381
2020-03-31,34.45,35.33,33.67,35.15,3086589
2020-04-01,33.29,33.32,30.43,32.32,2222237
2020-04-02,32.37,33.66,30.4,31.22,2135208
2020-04-03,31.16,31.86,29.96,30.64,1678732
2020-04-06,32.24,35.93,31.97,35.52,3599307
2020-04-07,37.2,37.52,34.32,34.46,2879420
2020-04-08,34.85,36.87,33.99,36.54,2205841
2020-04-09,37.41,41.16,37.12,39.97,1917876
2020-04-13,39.96,40.28,38.25,38.35,1237793
2020-04-14,39.38,39.91,38.22,39.49,1379534
2020-04-15,38.02,38.71,36.46,37.48,1278748
2020-04-16,37.48,37.9,35.98,36.15,1778239
2020-04-17,37.36,39.46,37.24,39.15,1729690
2020-04-20,38.25,38.55,36.72,36.72,1811763
