date,open,high,low,close,volume
2020-01-02,10.88,10.91,10.62,10.63,10029735
2020-01-03,10.46,10.63,10.31,10.49,9447340
2020-01-06,10.48,10.52,10.41,10.42,8621655
2020-01-07,10.36,10.49,10.33,10.33,9093785
2020-01-08,10.38,10.54,10.34,10.37,4951461
2020-01-09,10.43,10.44,10.37,10.4,3992967
2020-01-10,10.38,10.56,10.34,10.45,3526855
2020-01-13,10.47,10.71,10.47,10.69,4205647
2020-01-14,10.64,10.67,10.56,10.62,5521632
2020-01-15,10.82,10.84,10.64,10.67,3977224
2020-01-16,10.71,10.83,10.67,10.82,3512185
2020-01-17,10.82,10.91,10.79,10.9,6028978
2020-01-21,10.75,10.77,10.57,10.7,6903332
2020-01-22,10.7,10.76,10.7,10.73,4057789
2020-01-23,10.62,10.76,10.59,10.73,4760486
2020-01-24,10.69,10.69,10.45,10.49,3739535
2020-01-27,10.35,10.93,10.35,10.77,15205024
2020-01-28,10.82,11.03,10.79,10.89,8221963
2020-01-29,10.89,10.97,10.8,10.85,6260470
2020-01-30,10.74,10.835,10.65,10.83,5651861
2020-01-31,10.65,10.68,10.43,10.59,49978608
2020-02-03,10.59,10.77,10.41,10.68,12881308
2020-02-04,10.8,10.94,10.76,10.87,8144317
2020-02-05,10.94,11.099,10.89,11.02,11780409
2020-02-06,11.05,11.05,10.95,11.01,8581398
2020-02-07,10.91,10.95,10.8,10.82,5040966
2020-02-10,10.78,10.94,10.66,10.81,5903309
2020-02-11,10.85,11.04,10.83,10.97,5557185
2020-02-12,10.76,10.83,10.34,10.47,8363202
2020-02-13,10.33,10.35,10.14,10.16,5677824
2020-02-14,10.09,10.35,10.07,10.21,5678747
2020-02-18,10.24,10.26,10.13,10.21,4424330
2020-02-19,10.23,10.38,10.17,10.18,6412403
2020-02-20,10.21,10.36,10.2,10.27,5240256
2020-02-21,10.21,10.26,10.06,10.24,4534352
2020-02-24,10.11,10.13,9.9,9.93,7056298
2020-02-25,9.96,9.97,9.64,9.67,11195732
2020-02-26,9.74,9.89,9.7,9.76,13578996
2020-02-27,9.72,9.73,9.36,9.46,15332900
2020-02-28,9.27,9.43,9.13,9.32,16467194
2020-03-02,9.68,9.8,9.38,9.79,10196472
2020-03-03,9.59,9.83,9.44,9.59,11562118
2020-03-04,9.71,9.79,9.42,9.77,8590519
2020-03-05,9.51,9.68,9.34,9.39,8225089
2020-03-06,9.31,9.39,9.1,9.32,10808659
2020-03-09,8.9,9.19,8.61,8.88,19570415
2020-03-10,8.99,9.04,8.49,8.97,18746359
2020-03-11,8.23,8.39,7.94,7.99,17659813
2020-03-12,6.92,7.1,6.55,6.7,30060299
2020-03-13,7.04,7.3,6.32,6.82,31337650
2020-03-16,6.11,6.43,5.8,5.95,22065657
2020-03-17,6.15,6.23,5.85,6.23,16162688
2020-03-18,5.9,6.5,5.82,6.39,12179079
2020-03-19,6.43,7.53,6.38,7.43,19159438
2020-03-20,7.37,7.95,7.1,7.3,24911464
2020-03-23,7.12,7.2,6.58,6.62,13430848
2020-03-24,7.1,7.57,6.98,7.52,13247405
2020-03-25,7.41,7.91,7.33,7.71,13716893
2020-03-26,7.71,8.21,7.64,8.13,12820451
2020-03-27,7.68,8.04,7.38,7.8,13334614
2020-03-30,7.89,8.34,7.88,8.28,6232079
2020-03-31,8.15,8.32,8.04,8.12,8216973
2020-04-01,7.96,8.18,7.8,7.86,11719685
2020-04-02,8.07,8.4,8.03,8.18,10752365
2020-04-03,8.02,8.23,7.76,7.84,8311159
2020-04-06,8.17,8.33,8.06,8.22,7592070
2020-04-07,8.47,8.59,8.12,8.13,6739705
2020-04-08,8.22,8.67,8.08,8.51,8152665
2020-04-09,8.65,9.26,8.61,9.16,9347298
2020-04-13,9.09,9.18,8.84,8.9,5300808
2020-04-14,8.96,9.11,8.84,9.04,4835872
2020-04-15,8.66,8.77,8.6,8.65,6360110
2020-04-16,8.55,8.6,8.31,8.46,5291101
2020-04-17,8.6,8.9,8.6,8.78,5256434
2020-04-20,8.74,8.79,8.56,8.64,4062489
2020-04-21,8.32,8.46,8.18,8.26,4576486
2020-04-22,8.37,8.42,8.23,8.36,3539392
2020-04-23,8.4,8.51,8.2,8.21,4100880
2020-04-24,8.38,8.47,8.29,8.42,3881120
2020-04-27,8.48,8.78,8.45,8.68,4336278
2020-04-28,8.88,9.11,8.87,9.02,8397705
2020-04-29,9.19,9.34,9.15,9.24,4705574
2020-04-30,9.08,9.15,8.9,8.97,9602123
2020-05-01,8.88,8.88,8.58,8.68,4097500
2020-05-04,8.63,8.73,8.57,8.69,6556816
2020-05-05,8.65,8.8,8.57,8.58,4130325
2020-05-06,8.44,8.68,8.43,8.48,3881976
2020-05-07,8.53,8.73,8.51,8.61,5306533
