,open,high,low,close,volume
2020-01-02,59.91,60.05,58.56,58.65,5189778
2020-01-03,58.03,58.93,57.65,58.67,4466831
2020-01-06,58.47,59.87,58.44,59.74,4911322
2020-01-07,59.69,60.41,59.21,60.34,4930894
2020-01-08,60.0,60.89,59.85,59.88,5022348
2020-01-09,60.24,60.43,58.86,59.34,7767809
2020-01-10,59.76,59.76,58.73,58.95,4425050
2020-01-13,59.12,59.58,58.82,59.24,4526931
2020-01-14,59.58,60.58,58.91,60.05,7311520
2020-01-15,60.05,60.45,59.28,59.64,5703328
2020-01-16,60.0,60.45,59.72,60.43,7185596
2020-01-17,60.61,61.28,60.44,61.24,8752814
2020-01-21,61.0,61.64,60.81,61.42,6774706
2020-01-22,61.65,61.9,60.24,60.32,6110151
2020-01-23,60.32,60.55,60.06,60.13,5297196
2020-01-24,60.22,60.35,58.95,59.4,7688779
2020-01-27,58.19,58.69,57.78,58.32,6420173
2020-01-28,58.79,60.37,58.61,60.03,5644292
2020-01-29,60.49,60.57,59.9,60.4,4339829
2020-01-30,59.92,60.9,59.92,60.89,5287128
2020-01-31,60.2,60.3,58.35,58.48,8184161
2020-02-03,58.64,58.9,58.09,58.21,4825357
2020-02-04,58.86,59.38,57.37,59.21,6653690
2020-02-05,60.14,60.14,58.44,58.85,5985924
2020-02-06,59.19,60.64,59.0,60.26,9591480
2020-02-07,61.33,62.84,60.38,61.53,12936107
2020-02-10,61.42,61.95,60.77,61.63,5279576
2020-02-11,61.93,61.93,60.58,61.19,5350588
2020-02-12,61.5,63.12,61.44,62.8,5244177
2020-02-13,62.25,62.94,62.0,62.59,3642361
2020-02-14,62.69,63.54,62.31,63.52,4242634
2020-02-18,63.36,64.12,63.26,63.74,5317895
2020-02-19,64.0,64.43,63.79,64.37,4865969
2020-02-20,64.02,64.53,62.93,64.0,4219722
2020-02-21,63.82,63.93,63.07,63.38,3476886
2020-02-24,61.21,63.2,61.01,62.31,6101950
2020-02-25,61.8,62.02,59.31,59.51,10451760
2020-02-26,59.74,60.5,58.96,59.37,8275104
2020-02-27,57.8,60.29,57.52,58.33,9014174
2020-02-28,56.29,58.18,55.92,58.13,10456176
2020-03-02,58.3,60.65,57.91,60.59,9483090
2020-03-03,60.56,61.82,58.14,58.75,9825852
2020-03-04,60.0,62.59,59.59,62.55,7306474
2020-03-05,60.78,62.3,60.34,61.52,6978477
2020-03-06,59.65,60.88,58.36,59.97,9745151
2020-03-09,56.6,59.12,55.4,57.35,13169610
2020-03-10,59.45,61.12,57.93,60.71,15378111
2020-03-11,58.75,60.46,58.4,59.33,10531438
2020-03-12,55.1,57.49,52.83,54.56,11644179
2020-03-13,57.0,59.05,53.1,59.04,9942981
2020-03-16,53.11,57.07,52.48,52.76,10456782
2020-03-17,53.66,57.0,50.51,56.16,10799604
2020-03-18,53.0,58.22,52.05,55.59,14547229
2020-03-19,55.62,58.16,53.72,54.13,10151169
2020-03-20,55.25,55.6,51.38,52.05,12916122
2020-03-23,52.81,57.66,52.33,56.47,19601590
2020-03-24,58.34,61.25,53.82,54.43,14885479
2020-03-25,55.01,55.71,52.52,52.87,11194741
2020-03-26,53.06,57.78,53.06,57.72,9994827
2020-03-27,56.55,58.63,55.76,56.96,8513697
2020-03-30,58.34,59.75,57.51,58.47,9311318
2020-03-31,58.04,60.1,57.83,59.48,10128828
2020-04-01,58.0,59.61,57.06,57.5,7315683
2020-04-02,58.27,61.09,58.01,60.78,8032936
2020-04-03,61.26,61.72,58.77,59.98,7150304
2020-04-06,61.13,62.4,60.1,61.6,10077434
2020-04-07,62.53,62.55,58.12,59.87,14929015
2020-04-08,60.36,61.5,59.91,61.07,7420277
2020-04-09,61.28,61.8,59.55,60.46,8404908
2020-04-13,60.32,63.0,60.02,62.75,8054734
2020-04-14,63.98,64.0,62.72,63.28,7156436
2020-04-15,62.63,66.06,62.25,65.71,9411348
2020-04-16,66.45,68.32,65.55,68.05,11276045
2020-04-17,66.5,67.0,64.89,66.88,10942338
2020-04-20,66.62,67.15,65.96,66.5,5110247
2020-04-21,66.24,67.04,64.97,65.72,7782687
2020-04-22,66.7,67.12,64.73,66.98,6690149
2020-04-23,66.98,67.58,65.82,65.88,5900153
2020-04-24,66.07,66.88,65.8,66.65,7315817
2020-04-27,67.4,67.77,66.51,67.06,6135258
2020-04-28,67.0,67.33,63.72,63.86,7912156
2020-04-29,64.15,65.2,62.34,64.79,8572624
2020-04-30,64.82,65.46,63.41,63.73,9895100
2020-05-01,63.14,64.94,62.85,64.72,5103496
2020-05-04,65.33,66.89,65.23,66.7,7778103
2020-05-05,67.67,69.63,66.97,68.53,15461915
2020-05-06,74.0,74.8,71.03,72.87,21709490
2020-05-07,72.31,73.65,71.12,73.1,8653066
2020-05-08,73.18,74.0,72.51,73.14,6089228
2020-05-11,73.06,75.97,72.6,75.46,9285199
2020-05-12,75.27,75.49,71.95,72.25,8921039
2020-05-13,72.51,75.01,71.97,73.67,8807713
2020-05-14,73.12,73.9,71.61,72.96,6749221
2020-05-15,72.62,74.0,72.29,73.92,5854174
2020-05-18,73.86,74.68,72.45,72.88,8495178
2020-05-19,72.9,74.44,72.72,73.03,5509676
2020-05-20,73.54,74.54,73.24,73.78,6231063
2020-05-21,74.36,74.49,72.44,72.47,9522924
2020-05-22,73.01,73.16,72.2,73.08,5161359
2020-05-26,73.37,73.49,69.61,70.0,11628604
2020-05-27,69.29,70.34,66.59,70.15,13218568
2020-05-28,70.0,71.73,69.4,70.22,7899909
2020-05-29,70.66,72.21,69.82,71.98,11437088
2020-06-01,72.19,73.58,71.72,72.99,4931853
2020-06-02,72.78,73.04,71.09,72.98,6518530
2020-06-03,72.39,72.63,69.67,69.92,10519782
2020-06-04,69.5,71.1,69.1,69.81,7629965
2020-06-05,67.99,69.59,67.4,69.43,8620317
2020-06-08,68.49,70.77,68.33,70.73,6941441
2020-06-09,71.28,72.16,70.23,72.0,6245192
2020-06-10,72.38,74.24,72.31,73.82,9106784
2020-06-11,72.87,74.35,71.02,71.28,7808023
2020-06-12,71.5,73.21,70.25,71.68,5921437
2020-06-15,71.48,73.55,71.27,73.19,6494643
2020-06-16,74.0,74.19,72.23,73.0,6360259
2020-06-17,73.69,76.48,73.31,75.53,12763570
2020-06-18,75.99,76.37,74.89,76.01,7270416
2020-06-19,76.18,76.75,75.09,76.58,10385245
2020-06-22,76.67,77.2,75.87,76.12,5243074
2020-06-23,76.73,77.63,76.22,76.45,4472169
2020-06-24,76.46,77.17,74.43,75.58,7744934
2020-06-25,76.61,76.77,74.46,76.21,6157310
2020-06-26,76.54,76.84,74.65,76.4,11572670
2020-06-29,75.82,76.515,74.93,75.5,5099362
2020-06-30,75.69,76.43,75.42,75.9,6535740
2020-07-01,75.45,78.23,74.97,78.03,10189869
2020-07-02,78.86,79.11,77.05,77.51,5170981
2020-07-06,78.46,79.44,78.05,78.67,6041824
2020-07-07,79.0,80.38,78.39,78.5,6038830
2020-07-08,79.06,79.35,77.97,79.28,4863400
2020-07-09,79.93,80.75,78.82,80.64,6005740
2020-07-10,80.72,81.53,79.63,81.27,6071116
2020-07-13,82.01,82.05,77.52,77.95,7437572
2020-07-14,76.81,79.89,76.21,79.77,4875560
2020-07-15,78.52,79.58,77.46,79.15,6994327
2020-07-16,78.88,79.48,77.87,79.37,4950149
2020-07-17,79.41,79.85,77.95,78.64,6241468
2020-07-20,79.07,81.37,78.68,81.16,5515745
2020-07-21,81.65,81.83,79.62,80.76,5249708
2020-07-22,80.97,81.38,80.42,81.1,2937364
2020-07-23,81.49,82.67,79.38,79.61,5963149
2020-07-24,79.32,80.745,78.12,79.99,4371429
2020-07-27,80.6,81.795,80.59,81.63,3777232
2020-07-28,81.37,81.86,80.59,80.72,3637146
2020-07-29,81.26,81.44,80.62,81.2,2957601
2020-07-30,80.6,82.02,79.91,81.7,4034047
