,open,high,low,close,volume
2020-01-02,18.25,18.26,17.27,17.49,7396091
2020-01-03,18.02,19.09,17.88,18.86,16166927
2020-01-06,18.7,18.72,18.02,18.16,8904839
2020-01-07,18.13,18.55,17.89,18.02,5740895
2020-01-08,18.2,18.51,17.9,18.15,5397464
2020-01-09,18.31,19.29,18.11,18.96,16608366
2020-01-10,19.13,19.69,18.89,19.41,11790500
2020-01-13,19.3,20.23,19.28,20.19,7490400
2020-01-14,20.29,20.36,19.85,20.03,4812579
2020-01-15,19.96,20.2,19.73,19.79,3782892
2020-01-16,19.99,20.31,19.98,20.28,4081297
2020-01-17,20.24,20.28,19.94,20.16,5016221
2020-01-21,20.32,20.57,19.93,20.29,4776519
2020-01-22,20.5,20.5,19.95,19.98,4145460
2020-01-23,20.78,21.24,20.35,21.0,10318558
2020-01-24,21.09,21.09,20.49,20.74,6851299
2020-01-27,20.24,20.47,20.04,20.18,7101549
2020-01-28,20.44,20.77,20.22,20.56,4140444
2020-01-29,23.0,23.63,22.34,23.22,32146187
2020-01-30,22.91,23.46,22.72,23.41,9088471
2020-01-31,23.13,23.21,22.76,23.16,10433390
2020-02-03,22.88,23.12,22.41,22.44,8810721
2020-02-04,22.51,24.09,22.12,23.8,16149232
2020-02-05,23.98,24.7,23.64,24.57,9957360
2020-02-06,24.64,24.86,23.94,23.98,7467192
2020-02-07,23.84,23.91,23.35,23.58,5206706
2020-02-10,25.11,25.26,23.37,24.14,10399779
2020-02-11,24.3,24.96,24.21,24.59,8710178
2020-02-12,24.83,24.94,24.51,24.72,5240147
2020-02-13,24.4,24.62,23.84,24.28,6895745
2020-02-14,24.46,24.65,24.15,24.34,3692969
2020-02-18,24.25,24.43,23.77,24.09,5995111
2020-02-19,24.24,24.6,24.11,24.6,3914501
2020-02-20,22.46,24.96,21.81,23.42,33272588
2020-02-21,23.97,24.43,23.56,24.07,12587504
2020-02-24,23.23,23.7,22.62,23.65,9806040
2020-02-25,23.59,23.77,23.09,23.5,11854092
2020-02-26,23.6,23.72,22.74,22.78,16448575
2020-02-27,21.07,23.36,20.61,23.05,17192790
2020-02-28,22.47,22.94,21.33,21.66,12412428
2020-03-02,21.84,22.34,21.15,22.25,9563466
2020-03-03,22.32,23.11,21.9,22.08,7991477
2020-03-04,22.26,24.49,22.08,24.35,10544402
2020-03-05,23.54,24.52,23.0,23.31,10134360
2020-03-06,22.27,22.71,21.74,22.25,9203992
2020-03-09,20.9,21.86,20.0,20.6,7879390
2020-03-10,21.55,21.7,20.14,20.77,7152748
2020-03-11,20.26,20.71,19.48,19.62,13331978
2020-03-12,18.14,18.14,15.79,15.84,9756127
2020-03-13,16.62,16.92,15.4,16.12,9865333
2020-03-16,14.33,14.33,10.04,11.65,15531725
2020-03-17,11.79,11.82,8.0,10.13,24314432
2020-03-18,9.44,10.19,8.07,9.79,12106177
2020-03-19,9.49,11.21,8.51,10.74,11710864
2020-03-20,10.83,11.23,9.45,9.78,12430779
2020-03-23,9.69,9.75,8.52,9.17,7752578
2020-03-24,9.67,13.2,9.62,12.75,14742445
2020-03-25,13.18,15.18,12.5,13.93,13340687
2020-03-26,14.35,14.72,12.97,13.14,9410521
2020-03-27,12.33,13.22,11.5,12.59,9618618
2020-03-30,12.31,12.58,11.01,11.79,12001829
2020-03-31,11.69,12.45,11.45,11.56,7992883
2020-04-01,10.59,11.01,9.65,10.23,10127883
2020-04-02,10.05,10.23,9.32,10.15,15477916
2020-04-03,10.14,11.51,10.11,11.34,11864564
2020-04-06,12.12,13.09,11.55,12.55,13755862
2020-04-07,13.8,14.79,12.99,13.24,9002091
2020-04-08,13.42,15.08,13.35,14.58,9083419
2020-04-09,15.65,16.96,14.69,14.93,12328469
2020-04-13,14.93,14.95,13.48,13.71,6748284
2020-04-14,14.28,15.05,13.7,14.07,6609697
2020-04-15,12.98,13.16,12.18,12.62,6958192
2020-04-16,12.75,12.85,12.04,12.24,3900724
2020-04-17,13.01,13.94,12.91,13.78,7100222
2020-04-20,13.13,13.5,12.43,12.54,5466342
2020-04-21,11.85,12.68,11.81,12.06,4728123
2020-04-22,12.31,12.4,8.8,10.19,49445562
2020-04-23,10.06,11.3,10.01,10.63,20244412
2020-04-24,10.75,10.97,10.05,10.31,8736796
2020-04-27,10.5,11.59,10.12,11.5,8745992
2020-04-28,12.15,12.92,11.71,12.58,10711243
2020-04-29,13.21,13.63,12.64,12.78,8891054
2020-04-30,12.44,12.64,11.63,11.89,17246620
2020-05-01,11.53,12.05,11.3,12.0,6706071
2020-05-04,11.56,12.19,11.25,12.04,7037121
2020-05-05,12.19,12.54,11.52,11.62,13242672
2020-05-06,11.74,12.0,10.8,10.99,8595272
2020-05-07,11.14,11.73,11.06,11.18,5579542
