,open,high,low,close,volume
2020-01-02,44.0,44.05,43.35,43.95,1189342
2020-01-03,42.99,43.35,42.22,42.36,1050687
2020-01-06,42.0,42.29,41.61,42.18,846519
2020-01-07,42.1,42.71,41.92,42.44,1383320
2020-01-08,42.48,43.0,42.09,42.7,1071965
2020-01-09,42.92,42.93,41.92,41.93,1190853
2020-01-10,41.84,41.95,41.3,41.42,827084
2020-01-13,41.3,41.5,41.06,41.38,1703700
2020-01-14,41.32,42.12,41.32,41.73,1516776
2020-01-15,41.33,41.71,41.01,41.29,1075542
2020-01-16,41.5,41.88,41.26,41.88,1393926
2020-01-17,41.84,42.18,41.22,41.53,1426336
2020-01-21,41.25,41.33,40.47,40.5,1423310
2020-01-22,40.48,40.71,40.07,40.29,1197293
2020-01-23,39.96,40.64,39.31,40.56,1411467
2020-01-24,40.5,40.64,39.13,39.24,853358
2020-01-27,38.25,38.62,37.71,38.36,1651951
2020-01-28,35.5,36.57,34.88,35.43,15578308
2020-01-29,36.1,36.38,35.24,35.29,6307314
2020-01-30,35.0,35.48,34.65,35.06,4135775
2020-01-31,34.89,35.0,34.09,34.29,4540789
2020-02-03,34.62,35.17,34.37,34.38,3269589
2020-02-04,35.0,35.08,34.34,34.43,4049245
2020-02-05,34.89,35.155,34.59,35.04,3742551
2020-02-06,35.25,35.25,33.76,33.76,3665273
2020-02-07,33.5,33.73,33.25,33.57,2213955
2020-02-10,33.57,33.77,33.15,33.28,1975838
2020-02-11,33.25,34.44,33.17,34.11,2776514
2020-02-12,34.54,35.0,33.98,34.69,4740453
2020-02-13,34.31,35.36,33.56,35.08,5660476
2020-02-14,34.75,34.96,33.43,34.15,5008248
2020-02-18,34.16,34.81,33.95,34.34,3505975
2020-02-19,34.27,34.92,34.22,34.79,3027694
2020-02-20,34.62,35.4,34.55,35.15,2623749
2020-02-21,35.05,35.08,33.9,33.98,2478944
2020-02-24,32.79,32.85,31.81,32.16,5983220
2020-02-25,32.25,32.44,30.76,30.77,6578026
2020-02-26,31.22,31.73,30.17,30.21,3492460
2020-02-27,29.66,31.38,28.98,30.59,6592885
2020-02-28,29.48,31.63,29.42,31.6,6634183
2020-03-02,31.5,32.33,30.89,32.33,4148158
2020-03-03,32.05,32.64,30.78,31.24,5201035
2020-03-04,31.58,31.63,30.42,31.54,4169068
2020-03-05,30.59,30.77,29.57,29.9,3744924
2020-03-06,29.0,29.67,28.52,28.87,5598801
2020-03-09,27.16,27.9,26.03,26.05,4257151
2020-03-10,27.23,27.8,26.22,27.79,5597180
2020-03-11,27.06,27.39,26.21,26.79,5441549
2020-03-12,24.43,27.8,23.25,24.62,4710211
2020-03-13,25.7,26.38,23.72,25.66,4991141
2020-03-16,23.36,24.59,22.76,23.05,4210296
2020-03-17,23.37,23.71,20.7,22.29,5951643
2020-03-18,20.84,21.88,17.0,19.73,3967619
2020-03-19,18.96,22.08,18.26,21.01,4971781
2020-03-20,21.41,22.51,19.53,20.5,4303013
2020-03-23,20.44,21.69,19.58,21.15,3872631
2020-03-24,22.86,23.57,21.22,22.79,4834677
2020-03-25,23.48,24.68,21.19,23.72,5211612
