,open,high,low,close,volume
2020-01-02,323.22,323.85,318.77,323.32,316968
2020-01-03,318.48,322.96,318.26,322.3,197301
2020-01-06,321.47,323.76,319.83,323.17,185061
2020-01-07,322.96,324.68,320.31,324.05,212377
2020-01-08,324.99,328.24,324.34,327.65,335752
2020-01-09,328.86,333.52,327.74,333.25,372186
2020-01-10,333.9,334.33,330.37,333.65,218940
2020-01-13,333.64,334.99,332.92,333.55,235903
2020-01-14,332.67,336.39,331.19,336.07,289366
2020-01-15,336.46,344.29,336.46,343.85,364940
2020-01-16,345.88,349.79,343.77,349.06,350631
2020-01-17,350.0,355.41,348.26,355.31,397884
2020-01-21,354.41,359.77,352.67,358.56,597482
2020-01-22,361.88,365.68,359.04,359.98,432271
2020-01-23,358.66,358.82,353.15,357.0,304400
2020-01-24,356.7,356.92,351.03,352.36,342835
2020-01-27,347.45,357.0,347.19,354.21,232609
2020-01-28,354.93,357.86,352.92,355.04,338549
2020-01-29,355.0,358.31,354.12,354.32,244416
2020-01-30,351.64,353.74,349.05,353.4,268896
2020-01-31,351.99,353.41,345.04,346.89,400508
2020-02-03,348.87,349.97,345.27,346.24,299435
2020-02-04,350.3,353.15,348.68,350.15,312994
2020-02-05,353.11,357.09,352.79,353.57,251189
2020-02-06,354.07,354.86,351.91,353.02,208071
2020-02-07,351.79,353.83,347.72,348.2,170248
2020-02-10,346.49,350.11,345.72,349.39,150569
2020-02-11,351.04,354.91,349.69,351.39,250558
2020-02-12,351.75,355.72,351.01,353.09,190056
2020-02-13,350.91,354.75,349.96,352.97,171352
2020-02-14,353.32,356.24,352.4,353.31,199330
2020-02-18,352.26,356.93,350.7,356.35,168841
2020-02-19,357.49,360.0,355.32,356.56,137876
2020-02-20,355.53,357.06,351.54,354.83,134344
2020-02-21,353.98,357.58,353.9,355.67,159895
2020-02-24,349.19,351.23,343.22,347.12,348432
2020-02-25,348.34,349.95,334.69,336.45,316579
2020-02-26,338.66,344.53,335.27,335.32,288265
2020-02-27,331.55,338.9,328.0,328.27,321672
2020-02-28,321.06,325.6,311.0,324.57,567860
2020-03-02,328.03,335.52,324.15,335.45,282069
2020-03-03,335.21,345.06,325.05,329.98,422736
2020-03-04,335.09,339.44,331.29,338.14,307965
2020-03-05,329.85,335.22,321.47,325.27,466701
2020-03-06,328.72,338.42,313.54,333.81,551904
2020-03-09,330.0,330.0,312.48,317.5,472173
2020-03-10,323.8,335.1,313.41,334.95,446124
2020-03-11,326.64,335.89,319.74,323.89,674712
2020-03-12,303.83,309.99,279.97,280.05,827371
2020-03-13,291.83,292.48,272.78,291.04,601895
2020-03-16,256.6,280.71,251.5,259.43,494609
2020-03-17,263.11,275.87,251.07,275.17,478175
2020-03-18,259.43,265.46,236.68,251.11,487531
2020-03-19,249.75,286.93,239.22,273.15,413260
2020-03-20,278.18,279.91,246.71,250.65,516632
2020-03-23,252.66,259.26,237.71,243.44,425636
2020-03-24,255.04,262.67,243.22,255.89,323110
2020-03-25,253.93,265.69,246.96,256.89,443148
2020-03-26,261.34,282.05,256.09,282.05,513711
2020-03-27,273.04,280.31,260.85,273.23,325527
2020-03-30,274.96,282.66,274.83,280.15,272281
2020-03-31,280.96,286.07,275.06,275.67,356035
2020-04-01,268.8,279.63,264.01,273.05,425016
2020-04-02,270.61,284.34,269.8,283.83,308977
2020-04-03,282.26,288.0,278.5,279.68,314202
2020-04-06,289.03,298.6,287.84,296.68,240179
2020-04-07,305.22,306.75,292.05,292.64,302470
2020-04-08,293.56,299.3,285.86,297.43,347379
2020-04-09,295.2,300.25,289.29,296.57,429891
2020-04-13,296.62,299.5,292.14,299.03,475507
2020-04-14,304.1,312.23,298.53,300.49,342244
2020-04-15,293.27,301.25,292.66,298.7,436931
2020-04-16,300.26,300.26,292.79,296.95,242135
2020-04-17,302.47,307.71,299.25,306.28,288327
2020-04-20,303.6,307.23,300.56,304.7,163887
2020-04-21,299.84,300.84,287.54,288.53,248244
2020-04-22,293.13,295.69,286.17,294.1,185311
2020-04-23,296.01,297.54,289.1,290.27,300079
2020-04-24,291.06,294.25,285.26,293.21,351198
2020-04-27,295.0,298.08,289.32,293.65,297173
2020-04-28,297.05,297.05,288.62,291.1,330558
2020-04-29,294.37,299.5,290.74,291.82,305509
2020-04-30,289.99,291.76,285.73,286.7,318872
2020-05-01,283.79,285.14,279.42,280.31,188065
2020-05-04,280.96,288.26,278.61,287.09,260954
2020-05-05,290.61,294.82,288.02,290.88,221426
2020-05-06,293.24,299.81,290.03,294.96,261245
2020-05-07,298.6,304.92,297.0,303.9,279269
2020-05-08,307.64,308.93,302.31,304.52,253281
2020-05-11,301.81,309.8,301.81,307.82,250324
2020-05-12,308.61,313.84,303.49,303.52,235809
2020-05-13,302.85,303.73,292.88,296.42,299992
2020-05-14,293.45,297.33,290.82,296.54,255761
2020-05-15,294.78,303.26,294.25,296.52,679216
2020-05-18,302.07,307.02,301.41,302.17,304222
2020-05-19,301.72,305.49,297.91,298.36,206116
2020-05-20,301.37,301.37,293.72,296.31,361590
2020-05-21,295.0,295.0,283.7,287.8,416160
2020-05-22,287.64,288.34,285.24,287.42,298356
2020-05-26,292.59,300.46,292.13,297.9,329476
2020-05-27,302.59,308.96,300.35,308.54,339291
2020-05-28,311.75,322.39,311.11,316.63,409438
2020-05-29,317.26,320.45,310.46,316.98,501788
2020-06-01,317.28,319.57,312.96,315.18,242088
2020-06-02,314.12,317.64,310.84,316.35,256673
2020-06-03,319.99,322.07,317.71,319.22,284555
2020-06-04,318.14,320.42,311.72,313.86,352023
2020-06-05,313.65,324.41,303.45,318.54,810968
2020-06-08,318.44,324.24,317.38,320.3,445177
2020-06-09,318.33,320.5,302.51,303.23,330784
2020-06-10,303.23,308.48,297.71,298.63,418813
2020-06-11,294.24,294.4,278.42,278.55,419914
2020-06-12,284.38,289.2,276.88,288.4,476026
