,open,high,low,close,volume
2020-01-02,56.54,56.64,55.52,56.6,703362
2020-01-03,55.78,56.52,55.5,55.98,406744
2020-01-06,55.53,56.183,55.35,55.99,611883
2020-01-07,55.76,56.54,55.48,56.29,476270
2020-01-08,56.34,57.176,56.34,56.68,879914
2020-01-09,57.06,57.575,56.6,56.97,491616
2020-01-10,57.27,57.83,56.92,57.69,968306
2020-01-13,57.92,59.49,57.51,59.45,856631
2020-01-14,59.4,60.66,59.225,60.31,1048963
2020-01-15,60.33,61.14,60.21,60.84,875077
2020-01-16,61.21,61.74,61.06,61.47,649214
2020-01-17,61.53,61.94,60.81,60.88,774503
2020-01-21,60.89,61.64,60.8,61.52,387300
2020-01-22,61.63,61.98,61.154,61.75,361080
2020-01-23,61.67,61.83,61.25,61.57,522355
2020-01-24,61.82,61.93,61.3,61.58,734853
2020-01-27,60.84,62.49,60.36,62.0,742604
2020-01-28,62.27,63.22,61.59,62.95,601932
2020-01-29,63.02,63.36,62.66,62.8,535098
2020-01-30,62.24,62.64,61.34,61.99,1064705
2020-01-31,61.77,62.36,60.69,61.1,1018104
2020-02-03,67.24,68.78,61.52,61.65,1544861
2020-02-04,58.75,60.033,58.6,59.47,6897733
2020-02-05,60.22,60.25,59.11,59.26,1512983
2020-02-06,59.49,59.65,58.69,58.98,1343989
2020-02-07,58.77,58.91,57.29,57.89,1138964
2020-02-10,57.77,59.35,57.56,59.31,996287
2020-02-11,59.8,60.19,59.345,59.45,820919
2020-02-12,59.79,59.79,59.0,59.33,649976
2020-02-13,59.03,59.83,59.03,59.6,629675
2020-02-14,59.85,60.61,59.74,60.45,1838203
2020-02-18,60.43,60.57,59.25,59.3,773396
2020-02-19,59.22,60.87,58.91,60.65,2306730
2020-02-20,60.48,60.48,58.51,58.8,732427
2020-02-21,58.54,59.16,58.21,58.98,788704
2020-02-24,57.24,57.57,55.32,55.92,1123650
2020-02-25,56.19,56.8,54.56,54.72,1265278
2020-02-26,55.2,56.06,54.55,55.02,1242946
2020-02-27,54.19,54.72,52.42,52.45,1218363
2020-02-28,51.26,51.77,49.82,51.53,1549178
2020-03-02,51.84,53.41,51.12,53.34,1431460
2020-03-03,53.2,54.47,51.42,52.47,1589028
2020-03-04,53.51,55.54,53.18,54.89,992442
2020-03-05,53.49,53.63,51.13,51.68,879258
2020-03-06,50.15,51.12,47.73,48.91,1448038
2020-03-09,45.72,46.5,43.15,44.05,1396614
2020-03-10,45.65,47.61,43.61,47.49,1606156
2020-03-11,46.2,46.56,45.13,46.05,1889478
2020-03-12,42.76,44.26,40.975,44.01,1772342
