,open,high,low,close,volume
2020-01-02,17.52,17.6,16.93,17.23,8088337
2020-01-03,17.51,17.54,17.14,17.28,6896271
2020-01-06,17.44,17.48,17.13,17.42,8387686
2020-01-07,17.26,17.53,17.06,17.52,6985247
2020-01-08,17.25,17.38,16.7,16.85,10755261
2020-01-09,16.82,17.27,16.62,17.26,10587428
2020-01-10,17.27,17.6,17.09,17.49,7420953
2020-01-13,17.44,17.48,16.95,17.19,7588418
2020-01-14,17.13,17.52,17.11,17.51,6112443
2020-01-15,17.32,17.39,17.23,17.34,4972120
2020-01-16,17.45,17.81,17.34,17.37,5302927
2020-01-17,17.38,17.38,16.79,16.81,6091455
2020-01-21,16.65,16.7,15.51,15.52,15335034
2020-01-22,15.61,15.71,15.37,15.43,8669157
2020-01-23,15.22,15.47,15.05,15.23,11115605
2020-01-24,15.15,15.18,14.44,14.64,11093502
2020-01-27,14.51,14.57,14.08,14.42,10504582
2020-01-28,14.51,14.78,14.4,14.71,11903595
2020-01-29,14.75,14.82,14.3,14.32,6906786
2020-01-30,14.22,14.48,14.15,14.31,6365701
2020-01-31,14.18,14.3,14.02,14.09,7985754
2020-02-03,14.07,14.4,14.07,14.16,5995141
2020-02-04,14.4,14.76,14.32,14.41,8219044
2020-02-05,14.57,15.02,14.56,14.87,9762094
2020-02-06,14.94,14.97,14.71,14.77,5031459
2020-02-07,14.65,14.73,14.46,14.64,5310091
2020-02-10,14.48,14.66,14.37,14.65,7625306
2020-02-11,14.82,14.84,14.57,14.76,4883323
2020-02-12,14.98,15.12,14.69,14.96,5392449
2020-02-13,14.92,15.17,14.82,15.07,6466011
2020-02-14,15.08,15.2,14.77,14.8,5698333
2020-02-18,14.71,15.36,14.62,15.3,6369813
2020-02-19,15.28,15.66,15.2,15.6,6604420
2020-02-20,15.54,15.59,15.15,15.35,8077865
2020-02-21,14.8,15.16,14.42,14.89,10076417
2020-02-24,14.59,15.17,14.51,15.05,11811447
2020-02-25,15.12,15.14,14.26,14.6,10565771
2020-02-26,14.73,14.97,14.45,14.66,9413188
2020-02-27,14.34,14.36,13.5,13.51,17235532
2020-02-28,13.09,13.95,13.06,13.93,17766145
2020-03-02,14.06,14.68,13.68,14.55,11035233
2020-03-03,14.62,15.05,14.27,14.79,12636195
2020-03-04,15.0,15.02,14.43,14.94,10276293
2020-03-05,14.57,14.93,14.53,14.92,10134602
2020-03-06,14.51,16.66,14.49,16.37,22584584
2020-03-09,16.06,19.15,16.06,16.89,47473355
2020-03-10,16.57,17.62,15.75,16.94,22616841
2020-03-11,16.64,16.99,16.04,16.21,14817410
2020-03-12,15.94,17.34,15.25,16.04,24361483
2020-03-13,16.5,18.75,16.23,18.37,20151089
2020-03-16,17.08,20.53,16.9,17.11,20293849
2020-03-17,17.5,19.77,17.47,19.09,16397296
2020-03-18,18.59,19.23,17.5,18.5,15963256
2020-03-19,18.71,18.83,16.33,16.91,12732534
2020-03-20,16.75,16.79,14.84,14.92,11389627
2020-03-23,15.1,15.19,13.16,14.14,9369175
2020-03-24,14.55,16.51,14.19,16.35,9492324
2020-03-25,16.49,17.52,15.96,16.46,8932920
2020-03-26,16.61,17.93,16.11,16.87,8945310
2020-03-27,16.5,17.11,16.05,16.24,10358094
2020-03-30,16.01,17.7,16.01,17.51,8840538
2020-03-31,17.8,17.93,16.72,17.19,9539513
2020-04-01,16.88,17.56,16.27,16.64,8997144
2020-04-02,16.9,17.85,15.43,16.7,14924509
2020-04-03,17.03,17.57,16.72,17.35,9110546
2020-04-06,17.48,18.68,17.2,18.28,6755377
2020-04-07,18.45,18.93,17.88,18.38,7591162
2020-04-08,18.6,19.27,17.85,19.19,5128657
2020-04-09,19.0,19.65,18.5,18.88,7212585
2020-04-13,19.4,19.95,18.72,18.98,5090491
2020-04-14,19.15,19.81,18.83,19.54,5942870
2020-04-15,19.07,20.05,18.98,19.99,7113107
2020-04-16,20.1,20.75,19.13,19.31,7927333
2020-04-17,19.68,20.98,19.45,20.96,9019327
2020-04-20,20.33,22.14,20.28,21.42,9155781
2020-04-21,21.5,22.23,20.73,21.03,8132637
2020-04-22,21.35,21.56,20.57,20.72,7309862
2020-04-23,21.11,21.11,19.83,20.04,9547633
2020-04-24,20.52,20.76,20.14,20.44,9157967
2020-04-27,20.46,21.35,20.3,21.09,6225371
2020-04-28,21.36,21.36,20.3,20.54,6441614
2020-04-29,20.63,21.21,20.22,20.77,5686588
2020-04-30,21.02,21.99,20.67,21.62,8849638
2020-05-01,20.66,20.92,19.24,20.22,8058563
2020-05-04,20.52,20.81,19.76,20.26,6441669
2020-05-05,20.65,20.96,20.3,20.39,5239149
2020-05-06,20.36,20.41,19.55,19.6,5242237
2020-05-07,19.81,20.31,19.78,19.98,5443627
2020-05-08,20.08,20.56,20.08,20.51,3504724
2020-05-11,20.38,20.63,19.28,19.35,4899471
2020-05-12,19.38,19.64,18.99,19.0,5102898
2020-05-13,18.85,19.03,18.46,18.77,4899228
2020-05-14,18.52,18.99,18.2,18.65,5442908
2020-05-15,18.6,18.74,18.2,18.25,4014448
2020-05-18,18.85,19.12,18.25,18.47,5538297
2020-05-19,18.54,18.77,18.21,18.21,4161222
2020-05-20,18.39,19.0,18.18,18.91,6207022
2020-05-21,18.9,19.06,18.47,18.63,7726530
2020-05-22,18.61,18.97,18.25,18.9,3964117
2020-05-26,19.07,19.74,18.88,19.47,5424622
2020-05-27,19.68,20.42,19.64,20.33,6279643
2020-05-28,20.22,20.84,19.21,19.32,5806826
2020-05-29,19.29,20.13,19.16,19.84,8281121
2020-06-01,19.25,19.95,18.86,19.83,6879030
2020-06-02,19.96,20.21,19.66,20.21,5750659
2020-06-03,20.58,20.6,20.13,20.35,4469608
2020-06-04,20.22,20.44,19.68,19.98,4407875
2020-06-05,20.23,20.5,20.03,20.42,7255085
2020-06-08,20.28,22.38,20.28,22.37,7982173
2020-06-09,22.0,22.67,21.12,21.93,9068010
2020-06-10,21.79,22.06,20.22,20.24,6948401
2020-06-11,19.77,20.83,19.52,20.14,6608589
2020-06-12,20.2,20.52,19.59,20.07,5436902
2020-06-15,19.54,19.84,19.07,19.4,7626216
2020-06-16,19.7,19.81,19.03,19.31,4768631
2020-06-17,19.13,19.31,18.79,18.89,5118202
2020-06-18,18.77,19.13,18.6,18.77,3575953
2020-06-19,19.12,19.12,18.41,18.69,11890973
2020-06-22,18.51,18.66,17.94,18.07,4949334
2020-06-23,18.24,18.43,17.99,18.17,5537973
2020-06-24,18.04,18.42,17.85,17.92,5159678
2020-06-25,17.77,17.96,17.02,17.17,5750981
2020-06-26,17.09,17.12,16.42,16.57,11582222
2020-06-29,16.68,17.22,16.61,17.06,5070992
2020-06-30,17.08,17.24,16.76,17.18,5638985
2020-07-01,17.05,17.22,16.76,17.0,4691533
2020-07-02,17.28,17.95,17.27,17.74,4322840
2020-07-06,18.0,18.15,17.69,17.92,4701115
2020-07-07,17.85,18.55,17.73,18.08,5413122
2020-07-08,18.1,18.15,17.43,17.55,4494046
2020-07-09,17.59,17.71,17.02,17.03,3636961
2020-07-10,17.09,17.67,17.09,17.6,4395369
2020-07-13,17.54,17.59,17.03,17.08,4547471
2020-07-14,17.05,17.7,16.97,17.44,4960803
2020-07-15,17.72,17.9,17.38,17.85,3846030
2020-07-16,17.77,18.11,17.6,17.71,3157853
2020-07-17,17.85,18.19,17.82,17.94,4903710
2020-07-20,17.94,18.11,17.78,17.84,4085125
2020-07-21,17.59,18.72,17.58,18.53,4652952
2020-07-22,18.34,18.5783,17.925,18.48,3527868
2020-07-23,18.57,19.405,18.51,19.19,4456694
2020-07-24,19.13,19.54,19.02,19.04,3715775
2020-07-27,18.89,18.9,17.85,17.97,5690410
2020-07-28,18.22,18.605,17.99,18.27,5064100
2020-07-29,18.25,18.49,17.87,18.48,4044224
2020-07-30,18.39,18.49,17.98,18.14,4379700
2020-07-31,17.99,18.95,17.85,18.7,7529205
2020-08-03,18.93,19.45,18.69,19.12,6412144
2020-08-04,19.17,19.69,18.73,19.63,5705415
2020-08-05,19.95,19.95,19.23,19.62,4981920
2020-08-06,19.6,20.14,19.55,19.83,4187135
2020-08-07,20.07,20.63,19.85,20.59,5021848
2020-08-10,20.67,21.335,20.55,20.58,6619567
2020-08-11,20.79,20.87,19.61,19.73,6781527
2020-08-12,19.87,20.085,19.59,19.81,4209177
2020-08-13,19.78,19.81,19.21,19.35,4880042
2020-08-14,19.37,20.27,19.19,20.04,3379977
2020-08-17,20.08,20.2,19.74,20.16,3110759
2020-08-18,20.34,20.52,19.87,19.89,4730011
2020-08-19,19.89,20.36,19.67,20.1,3476851
2020-08-20,19.99,19.99,19.37,19.37,3922913
2020-08-21,19.41,19.56,19.095,19.52,3573568
2020-08-24,19.53,19.75,19.31,19.51,4082995
2020-08-25,19.56,19.68,19.1,19.29,3520390
2020-08-26,19.19,19.19,18.55,18.68,4823413
2020-08-27,18.78,19.11,18.74,19.07,2978093
2020-08-28,19.1,19.145,18.815,18.95,2812106
2020-08-31,18.85,19.055,18.56,18.97,4812575
2020-09-01,18.57,18.81,18.111,18.59,4683516
2020-09-02,18.47,18.56,18.11,18.17,4730344
2020-09-03,18.04,18.7,18.02,18.14,4001033
2020-09-04,18.24,18.48,18.01,18.33,4430313
2020-09-08,18.05,18.2,17.44,17.88,6192251
2020-09-09,18.05,18.625,17.95,18.58,4877067
2020-09-10,18.67,18.7,18.145,18.2,4819140
2020-09-11,18.29,18.385,18.02,18.24,3878453
2020-09-14,18.34,18.8,18.28,18.61,3990251
2020-09-15,18.7,18.84,18.41,18.68,3890580
2020-09-16,18.96,19.51,18.88,19.3,4470591
2020-09-17,19.0,19.41,18.735,19.41,6384394
2020-09-18,19.44,19.73,19.195,19.39,6629246
2020-09-21,19.19,19.47,19.03,19.45,4925837
2020-09-22,19.38,19.815,19.3,19.41,4695923
2020-09-23,19.56,19.59,18.62,18.65,4098098
2020-09-24,18.73,19.05,18.54,18.74,4266111
2020-09-25,18.47,18.635,18.02,18.12,4273995
2020-09-28,18.24,18.29,18.04,18.07,3393444
2020-09-29,17.86,18.04,17.325,17.64,5966465
2020-09-30,17.65,17.75,17.185,17.36,4253402
2020-10-01,17.26,17.48,16.82,16.85,5552400
2020-10-02,16.47,17.215,16.41,17.01,4434892
2020-10-05,17.2,17.77,17.045,17.74,3835755
2020-10-06,17.91,18.175,17.58,17.61,3715880
2020-10-07,17.84,18.37,17.72,18.26,4793122
2020-10-08,18.11,18.52,18.03,18.49,4257789
2020-10-09,18.75,18.97,18.42,18.93,4311313
2020-10-12,18.9,19.655,18.71,19.57,4950913
2020-10-13,19.56,19.87,19.16,19.3,6068650
2020-10-14,19.16,19.33,18.985,19.19,4078907
2020-10-15,19.27,19.575,19.03,19.47,3409324
2020-10-16,19.39,19.5925,19.08,19.1,2906000
2020-10-19,19.22,19.39,18.86,19.08,3327663
2020-10-20,19.15,19.51,19.075,19.27,2938156
2020-10-21,19.3,19.8,19.04,19.18,5539102
2020-10-22,19.22,20.33,19.17,20.17,7587181
2020-10-23,20.2,20.25,19.585,19.68,5681359
2020-10-26,19.85,19.85,19.09,19.34,4664999
2020-10-27,19.2,19.35,18.965,19.09,4243941
2020-10-28,18.74,18.91,18.15,18.17,6783351
2020-10-29,17.85,18.43,17.645,18.39,5301779
2020-10-30,17.98,18.39,17.21,17.79,7502970
2020-11-02,17.99,18.02,17.075,17.42,8029436
2020-11-03,17.54,17.87,16.79,16.8,5440096
2020-11-04,16.73,16.78,16.0,16.01,7655715
2020-11-05,16.12,17.02,16.12,16.45,6627376
2020-11-06,16.58,17.045,16.265,16.44,5567800
2020-11-09,17.23,17.48,15.755,16.65,11007399
2020-11-10,16.78,17.21,16.41,17.19,5575912
2020-11-11,17.39,17.5,16.995,17.28,4404363
2020-11-12,17.05,17.365,16.68,16.91,3451276
2020-11-13,17.06,17.71,17.05,17.62,4713047
2020-11-16,17.59,17.67,16.7,17.05,7033889
2020-11-17,16.95,17.25,16.9,17.18,4028532
2020-11-18,17.3,17.43,16.73,16.74,5634686
