,open,high,low,close,volume
2020-01-02,111.59,111.99,111.06,111.67,1352558
2020-01-03,110.57,111.97,110.36,111.82,1107030
2020-01-06,111.32,113.06,111.32,113.01,1046672
2020-01-07,112.51,113.43,112.22,112.41,933693
2020-01-08,112.63,114.03,112.61,113.76,1261607
2020-01-09,113.99,114.37,113.51,114.05,1606078
2020-01-10,114.63,114.81,113.46,113.74,964591
2020-01-13,114.21,115.51,112.29,115.14,1543668
2020-01-14,115.0,115.39,114.39,114.96,895115
2020-01-15,114.89,116.14,114.31,115.31,892093
2020-01-16,115.7,117.47,115.7,116.88,796029
2020-01-17,117.15,117.29,116.09,117.22,1416439
2020-01-21,116.7,118.15,116.7,117.85,1434203
2020-01-22,118.02,119.62,118.02,119.16,1948145
2020-01-23,123.09,130.55,122.2,128.48,4300853
2020-01-24,128.44,129.26,126.76,128.26,2063803
2020-01-27,127.33,128.24,126.75,126.9,1312320
2020-01-28,126.55,127.2,125.21,125.55,1530548
2020-01-29,126.07,126.07,122.88,123.01,1570472
2020-01-30,122.44,123.4,121.62,122.54,1541155
2020-01-31,123.55,123.78,120.69,121.22,2397782
2020-02-03,121.09,123.29,121.09,122.67,1373348
2020-02-04,122.93,124.11,122.67,123.49,1698659
2020-02-05,123.67,124.12,122.26,122.75,1882524
2020-02-06,123.2,123.83,121.75,122.23,1305516
2020-02-07,121.9,122.54,120.86,121.08,1014876
2020-02-10,120.94,121.87,120.29,121.82,1618884
2020-02-11,122.41,122.62,121.39,121.62,1006311
2020-02-12,122.18,122.59,121.34,122.04,1036009
2020-02-13,121.59,123.43,121.59,123.0,867894
2020-02-14,122.88,123.45,121.75,122.03,1257241
2020-02-18,121.94,123.54,121.84,123.51,1915089
2020-02-19,123.64,124.49,122.1,122.25,1273113
2020-02-20,122.14,122.52,118.91,119.57,1384700
2020-02-21,119.01,119.92,115.84,116.08,1739983
2020-02-24,114.13,114.89,111.84,111.94,2128174
2020-02-25,112.08,112.4,108.36,108.65,2277755
2020-02-26,109.68,110.39,106.41,106.8,1676184
2020-02-27,105.05,107.04,102.91,102.97,2536859
2020-02-28,100.7,103.47,100.31,103.39,4823412
2020-03-02,104.06,108.97,103.79,108.78,3897068
