date,open,high,low,close,volume
2025-12-22,452.87,458.25,429.59,433.59,5667633
2025-12-23,433.21,437.87,424.0,437.35,2340393
2025-12-24,436.96,443.5,436.565,441.57,904442
2025-12-26,441.99,446.8,436.64,438.47,1257060
2025-12-29,435.9,440.78,429.0,433.55,1681997
2025-12-30,433.47,435.7,429.05,429.55,1345152
2025-12-31,429.55,429.9799,421.855,422.02,1599298
2026-01-02,421.68,421.71,390.87,400.25,4696721
2026-01-05,402.6,434.39,398.2817,430.06,4181454
2026-01-06,434.0,442.78,427.8,440.44,2860346
2026-01-07,442.0,454.36,440.0,450.78,2557643
2026-01-08,449.87,457.5681,433.14,442.58,3032124
2026-01-09,447.99,466.159,447.65,463.09,3257033
2026-01-12,457.43,471.0,455.3,464.52,2167505
2026-01-13,471.98,472.0,456.779,468.55,2300587
2026-01-14,467.49,474.5,450.76,458.61,3132222
2026-01-15,463.5,472.73,457.9162,460.88,1759848
2026-01-16,460.35,464.51,442.19,443.12,2841194
2026-01-20,433.82,450.0,430.35,442.29,2601586
2026-01-21,445.0,457.8799,442.08,455.02,3502966
2026-01-22,458.53,479.33,457.72,478.45,2662305
2026-01-23,477.79,486.89,462.45,473.31,2460863
2026-01-26,474.59,483.03,469.25,473.71,1886459
2026-01-27,477.62,484.79,463.01,477.72,3464152
2026-01-28,474.06,477.5872,374.55,410.04,19804842
2026-01-29,431.27,445.0,413.3,427.44,6904605
2026-01-30,425.21,427.5,396.61,401.11,3837659
2026-02-02,391.19,419.0,391.0,407.89,2245349
2026-02-03,406.78,415.51,392.26,410.36,2588497
2026-02-04,406.34,407.57,366.53,393.04,4645192
2026-02-05,385.26,391.99,360.5,383.69,4795512
2026-02-06,391.36,412.86,390.29,403.67,3675475
2026-02-09,400.6,413.6797,393.0,411.61,1658144
2026-02-10,411.48,419.8499,391.52,391.69,2707442
2026-02-11,394.0,396.235,346.22,364.07,6586603
2026-02-12,365.0,370.99,328.875,344.14,6295447
2026-02-13,344.27,351.19,336.105,342.87,2796190
2026-02-17,337.46,352.18,334.0,350.94,3485020
2026-02-18,339.15,366.26,339.15,361.53,9595402
2026-02-19,341.9,353.708,315.0,332.79,17741035
2026-02-20,330.0,344.95,318.0,336.62,7352701
2026-02-23,333.84,338.4,313.41,325.1,4559019
2026-02-24,325.82,337.77,323.5,325.16,3146670
2026-02-25,327.0,335.82,319.91,334.89,2794021
2026-02-26,335.0,355.42,334.0,353.9,3204720
2026-02-27,343.825,348.59,320.64,334.16,4719681
2026-03-02,322.48,327.9,317.12,323.11,2605504
2026-03-03,315.71,323.29,299.3,318.99,3156841
2026-03-04,322.115,331.005,315.47,316.26,2930881
2026-03-05,313.55,331.96,313.55,331.16,2655271
2026-03-06,321.0,323.69,312.77,317.7,2099218
2026-03-09,312.89,329.1,302.85,328.26,3094530
2026-03-10,327.15,332.05,312.42,318.77,2399141
2026-03-11,320.0,329.4678,305.4,309.48,2542259
2026-03-12,305.11,306.51,291.85,292.64,2138840
2026-03-13,299.26,303.2648,288.4997,300.15,3194277
2026-03-16,306.7,315.98,303.445,305.97,2854257
2026-03-17,310.0,319.7,308.4527,314.74,1809361
2026-03-18,311.1,314.615,290.01,291.17,2390680
2026-03-19,284.91,297.0,275.39,294.18,4881891
2026-03-20,291.11,291.36,276.74,281.28,3311978
2026-03-23,291.15,306.5,290.275,299.6,3237470
2026-03-24,294.57,304.215,291.73,300.97,2499218
2026-03-25,304.61,310.7,300.3492,308.56,2407640
2026-03-26,300.92,303.0099,293.17,301.37,2662831
2026-03-27,298.73,305.525,295.61,302.04,3364501
2026-03-30,302.475,305.0,272.32,290.8,3944432
2026-03-31,297.94,316.71,287.11,314.38,4563940
2026-04-01,316.675,322.25,294.71,312.09,3140625
2026-04-02,300.64,319.87,296.92,313.91,1994915
2026-04-06,307.0,318.6099,306.95,316.85,1786831
2026-04-07,311.02,320.72,304.09,320.22,1891621
2026-04-08,340.44,347.12,331.81,338.81,2967278
2026-04-09,331.075,332.06,316.32,326.93,2043473
2026-04-10,328.48,340.1,324.7101,336.31,1922134
2026-04-13,333.5,359.79,330.51,359.27,2431884
2026-04-14,365.0,383.92,364.63,374.21,5299164
2026-04-15,374.9,386.0,368.68,371.08,2888639
2026-04-16,370.0,373.0,355.24,362.24,3604966
2026-04-17,369.215,398.12,367.57,387.53,4737576
2026-04-20,385.0,402.98,383.109,401.99,2037086
2026-04-21,403.44,412.38,396.5101,400.92,2440028
2026-04-22,406.93,416.88,405.0,416.79,2093189
2026-04-23,412.37,413.9999,394.05,403.02,1854736
2026-04-24,405.57,410.18,393.5715,409.08,1594758
2026-04-27,409.0,412.05,399.73,406.73,1788996
2026-04-28,398.625,407.25,394.38,406.42,1592206
2026-04-29,401.7,410.1775,393.06,396.59,3283456
2026-04-30,419.57,419.57,371.59,395.8,5788586
2026-05-01,395.32,400.04,377.46,382.6,4361480
2026-05-04,385.29,388.0,367.525,376.55,2441683
2026-05-05,379.92,395.2299,377.6901,379.09,2146333
2026-05-06,391.385,404.941,381.47,389.38,2587960
2026-05-07,391.8,403.0399,387.9,400.02,1987046
2026-05-08,81.03,81.95,76.43,77.94,6910241
