,open,high,low,close,volume
2018-01-02,150.87,152.29,150.54,151.9,791513
2018-01-03,152.37,153.96,151.41,152.59,1113140
2018-01-04,154.73,154.8,152.1,153.61,1049855
2018-01-05,152.94,155.7,152.0,155.6,1077148
2018-01-08,155.1,156.36,154.17,156.04,1052045
2018-01-09,156.36,156.77,154.6,154.99,714070
2018-01-10,155.17,156.04,153.57,154.51,800052
2018-01-11,155.48,159.52,154.41,157.86,1404302
2018-01-12,158.46,159.37,156.9,159.09,877840
2018-01-16,159.56,160.37,156.32,156.72,989853
2018-01-17,156.79,157.6,155.02,156.58,916533
2018-01-18,155.52,158.45,154.85,156.47,843779
2018-01-19,156.29,157.21,155.12,156.19,1071273
2018-01-22,156.8,160.52,156.45,160.41,1230027
2018-01-23,160.84,161.9,159.24,160.53,925026
2018-01-24,161.17,161.96,158.82,160.9,1137961
2018-01-25,161.54,162.21,159.06,159.79,782445
2018-01-26,160.46,162.01,159.66,161.66,847153
2018-01-29,160.61,162.91,159.96,161.28,793656
2018-01-30,159.9,159.9,156.14,157.36,1597204
2018-01-31,157.75,158.5,156.17,157.44,994142
2018-02-01,158.03,159.65,156.44,159.26,1001641
2018-02-02,156.81,157.78,153.46,154.53,1708137
2018-02-05,152.46,156.5,150.56,151.44,1950545
2018-02-06,148.97,152.42,145.42,149.05,2790504
2018-02-07,149.98,151.77,147.92,148.1,1762191
2018-02-08,148.01,148.95,140.07,140.09,2181519
2018-02-09,140.64,141.39,133.58,138.98,2268018
2018-02-12,140.97,145.13,140.31,143.48,1714854
2018-02-13,142.22,143.37,141.01,141.66,924707
2018-02-14,140.66,147.28,140.12,146.86,1118761
2018-02-15,146.89,147.35,143.65,146.04,1380540
2018-02-16,145.59,147.52,144.86,146.52,994922
2018-02-20,147.0,149.21,145.98,147.15,1369208
2018-02-21,153.7,153.7,144.9,149.16,2899257
2018-02-22,150.39,151.02,147.95,149.18,1598981
2018-02-23,149.76,152.97,149.14,152.81,1250676
2018-02-26,153.92,157.01,153.01,154.95,1515768
2018-02-27,154.79,156.12,153.08,153.09,1124444
2018-02-28,154.34,155.02,150.79,150.8,1191365
2018-03-01,151.18,152.12,149.25,150.34,1215865
2018-03-02,149.5,151.07,147.75,150.57,1285887
2018-03-05,150.19,153.72,149.75,152.95,732305
2018-03-06,153.61,153.71,150.77,151.36,1018725
2018-03-07,150.22,152.84,150.03,152.55,1040845
2018-03-08,152.98,153.69,149.06,149.74,1210188
2018-03-09,151.29,153.77,150.98,153.29,1230378
2018-03-12,153.91,154.45,151.39,153.48,922565
2018-03-13,154.39,154.39,149.58,150.5,1003694
2018-03-14,151.04,151.9,149.61,150.21,729257
2018-03-15,150.51,151.6,147.38,148.26,837343
2018-03-16,148.55,150.33,147.71,148.49,1540448
2018-03-19,147.09,148.08,144.94,146.34,798166
2018-03-20,147.57,149.7,146.71,148.64,885980
2018-03-21,149.75,155.0,149.42,153.16,1442140
2018-03-22,151.92,153.96,151.92,153.02,1619867
2018-03-23,153.78,156.65,152.79,153.53,1178273
2018-03-26,155.24,157.31,154.03,157.22,1227365
2018-03-27,157.42,158.47,156.27,157.0,2090660
2018-03-28,147.37,150.46,141.36,143.25,12063369
2018-03-29,145.2,150.62,143.53,150.33,6112954
2018-04-02,149.63,149.94,137.54,140.42,3144443
2018-04-03,140.21,141.66,136.17,141.59,3281417
2018-04-04,138.48,141.6,137.49,141.18,2357162
2018-04-05,142.26,143.85,138.64,139.65,3826112
2018-04-06,137.93,138.27,131.35,133.63,3024280
2018-04-09,134.14,135.4,132.75,133.38,2248996
2018-04-10,135.32,141.77,135.18,140.44,3038480
2018-04-11,139.46,147.17,139.46,146.77,3427564
2018-04-12,146.75,150.0,144.6,146.32,2278839
2018-04-13,147.58,151.48,146.76,151.02,2860065
2018-04-16,151.01,153.97,149.79,153.37,3868262
2018-04-17,154.03,154.81,152.97,153.47,2389497
2018-04-18,155.15,157.69,154.74,156.83,2511986
2018-04-19,157.28,160.46,156.03,157.45,2640771
2018-04-20,156.56,157.8,154.85,156.36,2064590
2018-04-23,155.71,158.37,154.44,157.16,790698
2018-04-24,157.4,158.13,150.67,151.71,1719340
2018-04-25,152.23,154.77,151.25,154.6,1404120
2018-04-26,154.9,155.86,153.86,155.12,1243775
2018-04-27,153.82,155.9,153.21,154.59,1351298
2018-04-30,154.62,160.19,154.01,157.21,1644355
2018-05-01,156.21,157.44,154.71,157.03,1654947
2018-05-02,160.3,163.11,156.63,157.66,2555561
2018-05-03,156.31,156.31,149.33,152.0,2512606
2018-05-04,152.26,154.85,151.37,152.75,1662289
2018-05-07,154.0,157.75,153.91,155.27,1357676
2018-05-08,154.52,158.48,151.84,158.32,1797111
2018-05-09,161.08,162.54,158.77,159.47,1599345
2018-05-10,160.71,161.21,155.35,156.01,2185801
2018-05-11,156.52,156.92,152.47,152.7,1426904
2018-05-14,153.08,153.97,150.39,150.55,2088003
2018-05-15,150.61,150.69,148.31,149.65,3129032
2018-05-16,149.43,150.63,148.12,149.33,1738625
