,open,high,low,close,volume
2020-01-02,169.73,172.21,168.95,172.17,271168
2020-01-03,169.56,173.67,168.79,173.46,315105
2020-01-06,172.14,174.74,171.94,174.5,295818
2020-01-07,174.5,177.01,172.95,173.15,419612
2020-01-08,173.37,174.0,168.43,168.83,565361
2020-01-09,168.77,169.83,167.4,169.29,555255
2020-01-10,169.62,169.99,164.6,165.03,279048
2020-01-13,165.51,167.83,164.53,167.79,371126
2020-01-14,168.19,170.64,167.16,168.49,391183
2020-01-15,168.15,169.06,167.53,168.82,406814
2020-01-16,169.96,174.98,169.69,172.66,481487
2020-01-17,173.25,173.96,171.0,173.52,513461
2020-01-21,172.82,176.29,171.21,174.99,672444
2020-01-22,176.19,178.08,173.77,175.33,543728
2020-01-23,174.07,175.84,171.02,175.01,532700
2020-01-24,180.0,180.0,175.65,177.66,575510
2020-01-27,174.12,176.26,173.23,175.3,399891
2020-01-28,175.94,176.29,171.12,175.05,620298
2020-01-29,176.12,178.02,174.48,176.6,474270
2020-01-30,175.09,177.95,174.4,177.38,758442
2020-01-31,185.58,199.31,185.58,190.91,2520409
2020-02-03,192.06,193.78,186.73,187.61,948321
2020-02-04,188.79,191.67,188.51,189.68,498453
2020-02-05,190.11,193.26,187.67,192.84,623916
2020-02-06,193.58,193.64,190.48,192.05,518594
2020-02-07,191.62,193.71,190.38,191.38,435346
2020-02-10,191.36,193.63,190.07,193.05,340069
2020-02-11,192.48,194.14,190.98,193.31,584013
2020-02-12,194.73,200.1,193.43,199.39,460978
2020-02-13,198.8,201.13,198.14,200.55,379243
2020-02-14,201.12,203.17,199.44,200.56,353495
2020-02-18,199.48,203.19,198.43,201.18,323527
2020-02-19,202.0,203.16,200.79,201.12,441306
2020-02-20,200.72,201.71,196.85,199.07,429783
2020-02-21,198.56,198.69,193.88,194.56,469814
2020-02-24,188.77,190.87,187.1,187.48,411870
2020-02-25,188.35,189.5,181.47,182.16,505204
2020-02-26,183.6,186.65,181.38,181.46,445381
2020-02-27,177.14,181.78,173.91,173.92,488899
2020-02-28,170.0,175.66,168.8,173.8,741082
2020-03-02,174.3,179.35,169.25,178.94,684758
2020-03-03,179.0,185.09,172.67,174.91,411094
2020-03-04,177.19,180.22,174.5,179.91,320438
2020-03-05,175.4,177.12,171.94,172.72,480123
2020-03-06,168.18,173.58,167.35,172.63,444496
2020-03-09,161.53,168.31,151.36,162.01,577170
2020-03-10,166.98,168.8,157.33,166.85,624284
2020-03-11,162.75,165.34,152.84,153.37,693474
2020-03-12,142.71,142.77,130.73,131.1,757858
2020-03-13,138.04,139.78,121.14,129.63,1004531
2020-03-16,113.0,117.22,107.78,111.34,766380
2020-03-17,113.02,115.09,99.07,110.73,830605
2020-03-18,103.32,104.97,78.7,91.16,919451
2020-03-19,91.28,105.51,82.25,103.76,976106
2020-03-20,103.75,112.2,101.51,103.9,932313
2020-03-23,104.59,115.9,99.99,113.69,926253
2020-03-24,121.68,133.96,119.91,133.43,765304
2020-03-25,134.33,137.57,127.5,129.55,912097
2020-03-26,131.87,140.76,127.76,140.57,582324
2020-03-27,136.36,136.48,129.41,133.09,460732
2020-03-30,129.64,140.5,129.64,139.13,365851
2020-03-31,137.53,140.58,132.73,134.0,416555
2020-04-01,128.17,128.85,121.86,123.75,474286
2020-04-02,123.97,129.12,121.89,126.69,353904
2020-04-03,125.4,126.02,118.44,122.11,363322
2020-04-06,130.18,138.74,128.17,138.36,500440
2020-04-07,145.38,150.13,140.03,141.17,453360
2020-04-08,143.06,146.9,141.25,145.08,299049
2020-04-09,149.43,151.63,144.63,148.88,423046
2020-04-13,146.83,147.55,140.75,143.35,326658
2020-04-14,148.17,149.88,144.66,145.49,209139
2020-04-15,140.46,142.84,137.58,138.93,451577
2020-04-16,138.9,140.97,136.13,139.26,258095
2020-04-17,144.54,149.18,143.28,145.65,365456
2020-04-20,142.65,146.51,139.79,140.66,265618
2020-04-21,136.56,138.36,131.75,131.97,372259
2020-04-22,137.04,137.18,132.7,132.77,451658
2020-04-23,132.53,137.11,130.64,132.75,354080
2020-04-24,133.15,139.03,131.5,137.42,407609
2020-04-27,139.45,147.31,136.47,146.4,504223
2020-04-28,151.65,157.31,147.53,147.92,288202
2020-04-29,154.83,159.1,150.01,155.58,296774
2020-04-30,152.49,153.17,148.0,148.76,335706
2020-05-01,147.92,149.01,142.14,143.29,300368
2020-05-04,140.34,144.89,138.61,140.25,500279
2020-05-05,143.38,148.23,141.96,143.6,407230
2020-05-06,143.9,145.29,139.73,142.64,406484
2020-05-07,144.98,148.73,144.22,144.56,250243
2020-05-08,147.94,150.38,145.1,149.18,220368
2020-05-11,147.33,147.97,143.0,147.35,439418
2020-05-12,147.46,147.89,138.31,138.51,336801
2020-05-13,137.0,138.17,130.76,135.47,449519
2020-05-14,132.14,139.72,128.92,139.52,377783
2020-05-15,138.48,141.76,135.5,140.83,340074
2020-05-18,148.04,156.88,148.04,152.97,590116
2020-05-19,152.3,156.64,150.59,154.51,447477
2020-05-20,156.62,164.23,156.62,162.51,588007
2020-05-21,162.19,168.39,159.06,168.03,719810
2020-05-22,178.82,189.61,170.0,179.24,1086938
2020-05-26,187.24,188.56,179.41,180.05,653571
2020-05-27,183.98,196.0,182.86,195.28,719646
2020-05-28,197.03,197.03,185.56,186.39,534868
2020-05-29,184.63,186.57,181.31,182.53,524224
2020-06-01,183.22,197.07,183.22,195.82,820464
2020-06-02,196.81,204.1,195.51,203.97,782660
2020-06-03,208.34,214.04,205.44,212.58,750406
