,open,high,low,close,volume
2020-01-02,85.11,85.31,84.47,85.3,1559211
2020-01-03,84.01,84.43,83.35,83.88,1068329
2020-01-06,83.01,83.38,81.67,82.4,2276701
2020-01-07,81.96,82.39,81.39,81.49,1934634
2020-01-08,81.67,83.06,81.35,82.37,2092310
2020-01-09,82.94,83.49,82.92,83.43,1580126
2020-01-10,83.44,83.59,82.54,82.68,909066
2020-01-13,82.76,83.11,82.19,82.88,996890
2020-01-14,82.91,83.48,82.58,83.04,1343341
2020-01-15,82.63,83.7,82.4,83.32,1430797
2020-01-16,83.83,84.35,83.46,83.64,1702914
2020-01-17,84.03,84.97,83.71,84.44,2736844
2020-01-21,84.0,84.6,83.52,83.68,2002207
2020-01-22,84.43,85.63,84.06,85.34,2804237
2020-01-23,84.95,85.86,84.27,85.85,2722174
2020-01-24,78.12,79.19,76.0,76.29,12376572
2020-01-27,74.3,75.18,73.43,73.91,4545557
2020-01-28,76.0,76.0,74.12,75.23,4336826
2020-01-29,75.41,76.3,75.24,75.8,2515762
2020-01-30,74.97,76.56,74.815,76.37,3404734
2020-01-31,75.85,76.0,74.64,75.13,2695229
2020-02-03,75.77,76.68,74.97,75.09,2842596
2020-02-04,76.2,76.84,75.79,75.8,2228564
2020-02-05,76.98,77.89,76.64,77.38,2099509
2020-02-06,77.83,78.14,76.35,76.35,2083344
2020-02-07,75.84,75.84,74.73,75.29,2295299
2020-02-10,75.07,75.97,75.02,75.83,1400011
2020-02-11,76.1,76.63,75.71,75.75,1617403
2020-02-12,76.17,76.39,75.44,76.04,1608835
2020-02-13,75.91,76.59,75.45,76.2,2038563
2020-02-14,76.28,76.79,76.0,76.42,1426411
2020-02-18,76.09,76.36,75.06,75.35,1686733
2020-02-19,75.16,75.77,74.71,75.56,1591469
2020-02-20,75.4,76.36,75.23,75.79,1178765
2020-02-21,75.29,75.44,74.43,75.32,1722792
2020-02-24,72.86,73.96,72.69,73.15,2017955
2020-02-25,73.16,73.18,69.09,69.49,3074026
2020-02-26,70.15,70.78,68.97,69.0,2130018
2020-02-27,67.36,68.95,65.26,66.18,3473614
2020-02-28,63.97,65.62,63.24,65.58,5033232
2020-03-02,66.11,67.93,65.02,67.88,4289933
2020-03-03,67.64,68.73,63.9,64.31,3601027
2020-03-04,65.31,66.84,64.32,66.69,2878195
2020-03-05,64.42,65.88,63.92,64.57,3488446
2020-03-06,62.0,64.25,61.33,62.58,3861420
2020-03-09,58.09,58.5,54.13,54.76,3597527
2020-03-10,57.21,58.69,53.57,57.69,4406380
2020-03-11,56.0,56.45,52.39,53.2,3087369
2020-03-12,48.5,50.18,44.79,44.88,4487240
2020-03-13,48.93,51.89,46.24,51.76,4450215
2020-03-16,44.25,44.75,37.56,37.87,4818906
2020-03-17,38.78,39.16,32.82,36.87,9789066
2020-03-18,33.99,34.41,26.6,27.0,7184247
