,open,high,low,close,volume
2020-01-02,153.96,155.24,153.13,155.11,2585100
2020-01-03,153.43,155.31,152.43,154.15,2329043
2020-01-06,153.45,154.76,153.26,154.61,2747987
2020-01-07,155.02,156.67,154.1,156.13,1987168
2020-01-08,157.3,157.74,156.27,156.29,2788122
2020-01-09,156.98,158.84,156.39,157.67,2104949
2020-01-10,158.24,158.58,157.37,158.12,1995484
2020-01-13,158.45,159.75,158.17,159.57,2273312
2020-01-14,159.86,161.99,159.36,161.39,3041105
2020-01-15,161.55,162.37,160.27,160.8,2660189
2020-01-16,161.65,161.96,160.45,161.51,2427034
2020-01-17,162.25,163.17,161.47,163.06,2542678
2020-01-21,162.91,164.17,162.6,163.71,2293122
2020-01-22,163.86,164.54,163.08,163.77,1882408
2020-01-23,163.62,164.03,162.21,162.48,2153326
2020-01-24,163.31,163.51,161.62,162.25,1970737
2020-01-27,160.65,161.87,159.61,161.2,2347619
2020-01-28,161.5,164.13,161.01,163.76,2105494
2020-01-29,164.57,166.18,163.36,165.22,1898182
2020-01-30,165.0,169.19,163.5658,169.05,3834512
2020-01-31,167.24,167.3,160.34,160.87,3746986
2020-02-03,162.0,163.12,160.51,161.0,2997519
2020-02-04,163.25,163.8,162.45,162.76,2616379
2020-02-05,163.78,164.21,162.065,162.89,1945964
2020-02-06,163.68,165.12,162.56,163.98,1844268
2020-02-07,163.39,163.85,161.7,161.99,1661586
2020-02-10,162.36,163.67,161.38,162.99,1669763
2020-02-11,163.58,164.3,163.02,163.68,1651039
2020-02-12,163.56,164.87,163.18,163.83,1653431
2020-02-13,163.25,163.79,161.95,163.42,2734027
2020-02-14,163.43,165.96,163.02,165.95,1633778
2020-02-18,166.29,166.4,163.33,164.0,1916689
2020-02-19,164.44,164.8,162.69,163.91,2642379
2020-02-20,163.48,163.8,158.73,160.26,2428805
2020-02-21,159.31,162.08,158.93,161.88,1945795
2020-02-24,155.3,159.11,155.3,156.82,2467146
2020-02-25,157.73,158.0,150.75,151.65,3187484
2020-02-26,151.41,155.51,150.5,152.19,3203060
2020-02-27,149.85,153.13,147.04,147.05,4237945
2020-02-28,142.16,146.8,141.22,144.58,7942813
2020-03-02,145.31,150.72,143.02,150.69,4682742
2020-03-03,151.84,155.93,146.09,147.54,3105432
2020-03-04,150.58,156.14,149.3,155.98,3463276
2020-03-05,152.98,153.12,147.41,149.47,4494182
2020-03-06,145.23,148.96,143.37,148.43,3156350
2020-03-09,140.5,143.56,138.14,141.59,4252757
2020-03-10,146.48,147.25,139.04,144.31,4064896
2020-03-11,141.51,142.08,137.37,139.37,4641990
2020-03-12,129.85,135.69,127.88,128.89,5854884
2020-03-13,136.47,142.08,127.23,141.39,5744274
2020-03-16,129.94,136.25,123.53,127.64,4893670
2020-03-17,129.63,135.73,126.12,131.78,4852250
2020-03-18,124.2,130.45,121.07,128.14,4908264
2020-03-19,127.68,129.48,122.0,124.19,5746968
2020-03-20,125.88,130.0,121.62,123.81,6373806
2020-03-23,135.95,137.17,119.6,121.39,8974313
2020-03-24,125.75,132.0,125.13,129.15,5256994
2020-03-25,126.66,132.94,123.78,129.32,5737299
2020-03-26,131.85,139.58,130.22,138.66,5268585
2020-03-27,134.13,141.83,133.68,138.58,5254451
2020-03-30,137.54,141.61,134.49,140.82,4766688
2020-03-31,140.76,140.89,137.18,138.41,5470312
2020-04-01,133.36,135.57,128.03,128.7,3723613
2020-04-02,127.82,136.63,127.7,136.43,5152894
2020-04-03,135.49,137.8,134.0,135.15,2448769
2020-04-06,140.0,142.75,138.63,141.94,5605454
2020-04-07,145.28,146.0,138.19,138.3,3448798
2020-04-08,141.83,145.87,138.07,145.13,3280959
2020-04-09,144.54,146.82,144.11,145.73,3275326
2020-04-13,144.0,146.46,143.01,146.13,2680752
2020-04-14,149.64,152.95,147.0,152.14,3411325
2020-04-15,150.26,153.41,149.65,152.76,3698914
2020-04-16,154.18,156.87,153.73,154.87,4272736
2020-04-17,157.24,158.0,154.31,156.53,3565210
2020-04-20,155.98,157.34,154.42,155.83,2675350
2020-04-21,153.54,154.83,151.37,153.75,3023933
2020-04-22,156.08,160.85,155.3,160.25,3901503
2020-04-23,161.35,163.98,160.28,160.65,5122385
2020-04-24,161.59,165.68,161.47,165.07,3972595
2020-04-27,166.5,170.14,166.22,169.51,3221991
2020-04-28,169.82,170.64,163.57,165.33,3066583
2020-04-29,163.26,166.59,162.8,164.97,2684772
2020-04-30,163.9,166.05,162.75,163.46,3545685
2020-05-01,162.35,162.63,159.75,160.77,2124997
2020-05-04,161.12,161.22,159.1,161.12,1653596
2020-05-05,162.88,166.16,162.24,164.45,1500955
2020-05-06,164.57,167.08,163.74,163.98,2180853
2020-05-07,158.71,165.06,157.28,163.48,7373924
2020-05-08,164.06,164.75,161.1,161.43,9313537
2020-05-11,159.8,162.49,159.16,161.71,6314683
2020-05-12,162.32,163.9,160.27,160.27,3225614
2020-05-13,160.01,162.88,157.12,159.89,4117307
2020-05-14,158.11,161.8,157.6,161.66,2590219
2020-05-15,159.56,163.94,159.41,163.85,5586060
2020-05-18,165.29,166.87,161.94,162.24,3436141
2020-05-19,161.93,163.06,158.82,159.12,2513877
2020-05-20,160.79,161.2,158.88,158.99,2110152
2020-05-21,158.17,158.62,156.33,157.66,2278752
2020-05-22,157.76,158.68,156.52,158.26,1483268
2020-05-26,162.22,162.49,157.83,158.58,3097557
2020-05-27,157.4,160.78,155.61,160.78,3110676
2020-05-28,162.28,166.17,162.0,163.97,3088386
2020-05-29,164.92,167.06,163.14,166.61,5328901
2020-06-01,165.74,166.33,164.43,165.38,1512142
2020-06-02,165.72,166.96,164.31,166.96,2959270
2020-06-03,167.9,169.64,166.21,169.64,4064582
2020-06-04,169.0,170.64,168.04,168.79,2599703
2020-06-05,170.06,174.1,168.62,173.23,3034177
2020-06-08,171.49,173.23,170.97,171.51,2819035
2020-06-09,172.37,173.21,169.19,169.45,2379097
2020-06-10,170.23,174.52,170.23,172.69,2561159
2020-06-11,171.97,172.37,164.51,164.9,3296777
2020-06-12,167.75,171.19,165.25,168.38,3292290
2020-06-15,166.49,172.67,166.14,171.55,2794057
2020-06-16,175.33,176.44,172.7,174.9,2976264
2020-06-17,176.0,177.65,175.73,176.33,2107386
2020-06-18,175.75,177.14,174.82,176.0,1895385
2020-06-19,178.18,178.73,172.95,172.95,5523581
2020-06-22,173.58,175.21,172.75,174.84,1670029
2020-06-23,176.38,177.0,174.68,175.59,1287673
2020-06-24,174.63,174.79,169.74,171.46,2025725
2020-06-25,171.45,172.45,168.59,172.15,1982280
2020-06-26,172.12,172.77,169.25,171.71,3447659
2020-06-29,173.33,173.57,171.16,172.38,2282224
2020-06-30,172.0,177.41,171.4,176.83,2433849
2020-07-01,177.11,178.05,175.14,177.16,2099720
2020-07-02,178.47,180.78,177.86,179.68,1594075
2020-07-06,182.0,184.41,181.41,183.0,1887959
2020-07-07,182.27,184.73,181.62,182.04,2764223
2020-07-08,182.99,184.89,182.53,184.42,1879904
2020-07-09,184.51,187.19,183.3,185.47,2435392
2020-07-10,185.53,185.85,182.8,183.67,1956096
2020-07-13,184.41,186.69,181.98,182.41,2135378
2020-07-14,182.77,185.65,181.18,185.45,2024727
2020-07-15,187.15,188.44,184.89,188.34,2551237
2020-07-16,188.34,189.27,186.87,188.81,2762952
2020-07-17,189.94,192.0,188.07,190.95,3549827
2020-07-20,191.44,193.71,191.0,193.37,2030781
2020-07-21,193.55,195.74,192.72,195.0,2245002
2020-07-22,194.68,197.18,194.16,195.61,2546392
2020-07-23,201.65,203.0,197.59,199.22,4319468
2020-07-24,197.18,197.2,190.34,195.27,3115197
2020-07-27,195.8,202.29,195.24,198.98,2654061
2020-07-28,198.69,199.82,197.78,199.01,2072492
2020-07-29,199.54,204.13,198.83,202.13,2995701
2020-07-30,199.34,203.37,198.87,202.14,1696821
2020-07-31,201.52,203.95,200.87,203.8,1792914
2020-08-03,205.0,207.03,204.87,206.83,2074654
2020-08-04,205.81,206.96,204.17,206.07,1734714
2020-08-05,206.15,207.3917,204.185,205.54,2081465
2020-08-06,206.2,207.17,202.38,205.69,2729122
2020-08-07,206.89,207.66,204.35,205.4,1345768
2020-08-10,205.5,205.84,201.36,202.05,2161208
2020-08-11,202.97,203.61,199.3,200.01,2421280
2020-08-12,201.57,206.98,201.21,205.92,1464163
2020-08-13,204.58,207.48,204.36,207.19,1211281
2020-08-14,206.81,207.87,204.04,204.86,1280688
