,open,high,low,close,volume
2020-01-02,30.61,30.64,29.95,30.185,2525475
2020-01-03,29.85,30.22,29.785,30.015,1900343
2020-01-06,29.88,30.01,29.6,29.96,1312847
2020-01-07,29.84,30.47,29.75,29.99,2012383
2020-01-08,30.06,30.35,29.98,30.15,2896620
2020-01-09,30.21,30.51,29.98,30.24,2946255
2020-01-10,30.22,30.26,29.8,29.88,2831320
2020-01-13,29.87,30.01,29.57,29.81,2745034
2020-01-14,29.79,30.09,29.72,29.965,2868389
2020-01-15,29.78,30.32,29.78,30.29,1670153
2020-01-16,30.36,30.73,30.32,30.6,1951775
2020-01-17,30.58,30.72,30.4,30.48,2013302
2020-01-21,30.49,30.49,29.98,30.09,1603964
2020-01-22,30.1,30.5,30.0,30.09,2761773
2020-01-23,29.89,30.0,28.695,28.74,5329742
2020-01-24,28.7,28.73,28.23,28.645,5347783
2020-01-27,28.2,28.71,28.2,28.535,3475532
2020-01-28,28.63,28.975,28.56,28.93,3709063
2020-01-29,28.77,28.9,28.05,28.23,3865354
2020-01-30,28.01,28.415,27.95,28.375,5873482
2020-01-31,28.24,28.55,27.6,27.77,4457651
2020-02-03,27.87,28.08,27.6,27.68,4853707
2020-02-04,28.04,28.32,27.87,28.26,2741407
2020-02-05,28.49,29.3,28.49,29.07,4568745
2020-02-06,29.19,29.27,28.4,28.54,4460055
2020-02-07,28.36,28.595,28.135,28.35,2242405
2020-02-10,28.2,28.39,28.0,28.36,2395311
2020-02-11,28.45,28.83,28.29,28.65,2831855
2020-02-12,28.7,29.02,28.41,28.86,2435657
2020-02-13,28.72,29.02,28.53,28.9,4014352
2020-02-14,28.86,28.98,28.56,28.73,2435874
2020-02-18,28.64,29.1,28.64,28.87,2118198
2020-02-19,28.85,29.345,28.7,29.03,3265069
2020-02-20,28.62,28.71,28.06,28.6,3174347
2020-02-21,28.47,28.55,27.86,27.93,3064908
2020-02-24,27.39,27.43,26.79,27.13,3799373
2020-02-25,27.18,27.29,25.89,26.3,4088315
2020-02-26,26.52,26.54,25.35,25.42,4065103
2020-02-27,24.59,24.59,23.0,23.79,6890924
2020-02-28,23.29,25.11,23.11,25.1,10139378
2020-03-02,24.86,25.18,24.02,25.17,5632892
2020-03-03,24.96,25.73,24.605,25.08,5791911
2020-03-04,25.27,25.33,24.65,25.11,6980914
2020-03-05,24.39,24.75,23.665,23.82,6427873
2020-03-06,23.2,24.27,22.96,24.07,6457605
2020-03-09,22.51,23.4,22.48,22.54,6472279
2020-03-10,23.01,23.825,22.57,23.82,7273621
2020-03-11,23.13,23.65,22.79,22.99,5529776
2020-03-12,21.86,21.86,19.86,21.19,4369451
2020-03-13,22.28,22.86,19.8101,21.285,4141041
2020-03-16,19.83,20.09,18.23,18.9,4458005
2020-03-17,19.32,19.7,18.0,19.53,3923448
2020-03-18,18.68,18.72,15.77,17.64,3998413
2020-03-19,17.13,19.25,17.0,18.89,4787069
2020-03-20,19.15,19.7,16.7,16.87,6226294
2020-03-23,16.66,16.74,15.43,16.46,4076839
2020-03-24,17.32,18.835,17.01,18.08,5148739
2020-03-25,18.22,19.8,17.12,18.82,5136514
2020-03-26,19.19,19.67,18.16,18.75,6540952
2020-03-27,18.04,18.58,17.05,17.16,5250130
2020-03-30,16.8692,18.09,16.27,17.95,5281152
2020-03-31,18.08,18.43,17.49,17.54,3495598
2020-04-01,16.81,18.16,16.65,17.64,5245427
2020-04-02,17.38,18.22,16.79,17.07,3853327
2020-04-03,17.02,17.25,16.1,16.84,4443163
2020-04-06,17.78,18.33,17.59,18.08,3508683
2020-04-07,19.06,19.82,18.53,18.71,4105956
2020-04-08,18.65,19.94,18.65,19.43,2627491
2020-04-09,20.13,20.51,19.79,20.14,3547639
2020-04-13,20.04,20.17,18.96,19.85,1995588
2020-04-14,20.04,20.68,19.93,20.24,2232589
2020-04-15,19.34,19.59,19.045,19.44,2089835
2020-04-16,19.35,19.65,18.785,19.515,2650828
2020-04-17,20.06,20.4,19.86,20.2,1831108
2020-04-20,19.73,20.32,19.565,19.74,1480816
2020-04-21,19.19,19.65,19.0,19.005,2239531
2020-04-22,19.4,19.51,18.535,18.555,1924705
2020-04-23,18.71,19.19,18.29,18.595,1821343
2020-04-24,18.62,19.45,18.405,19.14,2383862
2020-04-27,19.16,20.88,19.16,20.7,1664757
2020-04-28,21.21,21.82,20.72,21.29,2455480
2020-04-29,21.94,22.75,21.9,22.5,2135844
2020-04-30,21.83,21.96,19.955,20.41,3147542
2020-05-01,20.05,20.12,19.34,19.54,1827773
2020-05-04,19.4,19.99,18.97,19.935,2725890
2020-05-05,20.19,20.19,19.295,19.36,2661765
2020-05-06,19.52,19.82,18.51,19.04,2171609
2020-05-07,19.29,20.05,18.78,18.87,2885872
2020-05-08,19.48,19.67,19.11,19.35,2305885
2020-05-11,19.12,19.27,18.09,18.485,2450530
