,open,high,low,close,volume
2020-01-02,35.87,36.13,35.3,35.74,1764025
2020-01-03,35.28,35.95,35.28,35.88,1277581
2020-01-06,35.57,35.78,35.43,35.64,1833868
2020-01-07,35.36,36.08,35.36,35.54,2110270
2020-01-08,35.44,35.63,34.97,35.49,1829134
2020-01-09,35.68,35.7,35.27,35.58,1341603
2020-01-10,35.68,35.74,35.21,35.36,1656787
2020-01-13,35.37,36.12,35.26,36.06,1305675
2020-01-14,35.89,36.85,35.82,36.59,2426505
2020-01-15,36.66,36.72,36.33,36.66,1547601
2020-01-16,36.68,37.04,36.21,36.82,1326708
2020-01-17,36.75,36.9,36.22,36.79,3427537
2020-01-21,36.75,36.94,36.33,36.75,3098477
2020-01-22,36.85,36.87,36.33,36.75,2177812
2020-01-23,36.6,36.94,36.26,36.89,1895351
2020-01-24,36.9,36.9,36.24,36.74,3801182
2020-01-27,36.27,36.84,36.21,36.75,3666780
2020-01-28,36.84,37.35,36.63,36.75,2278259
2020-01-29,36.75,37.15,36.35,36.75,2437203
2020-01-30,36.64,37.16,36.35,37.1,2099040
2020-01-31,37.03,37.08,36.61,36.76,2880448
2020-02-03,37.12,37.42,36.67,36.75,1865649
2020-02-04,37.03,37.16,36.66,36.78,2414232
2020-02-05,37.12,38.25,37.05,37.94,3596547
2020-02-06,38.13,38.47,36.81,36.9,2459900
2020-02-07,36.79,36.94,36.52,36.78,2712845
2020-02-10,36.75,36.9,36.36,36.85,2790872
2020-02-11,41.39,41.5,38.17,39.48,15537330
2020-02-12,40.07,42.01,39.6,40.11,9039569
2020-02-13,39.98,40.55,39.83,40.18,5598753
2020-02-14,40.09,40.26,39.69,39.97,3277856
2020-02-18,39.89,41.56,39.82,41.29,5294606
2020-02-19,42.0,42.62,40.89,41.25,5084701
2020-02-20,41.76,41.85,40.83,41.0,3135853
2020-02-21,40.82,40.88,40.43,40.73,2387525
2020-02-24,39.84,39.98,38.32,38.36,3718166
2020-02-25,38.57,38.98,37.12,37.62,3702628
2020-02-26,37.87,38.48,36.28,36.32,2622940
2020-02-27,35.78,35.78,33.48,33.48,6592602
2020-02-28,32.47,33.71,31.69,33.52,7458961
2020-03-02,33.42,34.33,32.42,34.33,3272468
2020-03-03,34.28,35.41,32.7,32.82,3533951
2020-03-04,33.14,33.92,32.56,33.87,4409590
2020-03-05,32.87,33.15,31.17,31.43,3994664
2020-03-06,30.8,31.0,28.51,29.21,6281448
2020-03-09,26.98,27.16,24.88,24.93,6162004
2020-03-10,25.88,26.47,24.39,26.34,3380435
2020-03-11,25.33,25.69,23.43,23.58,4436983
2020-03-12,21.67,21.67,19.6,19.85,5897060
