,open,high,low,close,volume
2020-01-02,230.0,233.7487,229.89,232.5,1378952
2020-01-03,228.5,232.5,228.32,231.63,997853
2020-01-06,230.95,235.06,230.01,234.8,1081151
2020-01-07,234.25,235.8,232.15,233.01,873827
2020-01-08,234.0,234.0,229.84,231.46,1427215
2020-01-09,232.92,235.65,232.08,233.92,1379226
2020-01-10,235.69,236.0,232.34,232.84,1155216
2020-01-13,233.48,234.81,232.545,233.4,1113910
2020-01-14,233.95,236.54,233.11,236.03,1232273
2020-01-15,236.0,237.92,235.13,236.79,955280
2020-01-16,238.39,239.5,235.575,238.58,708167
2020-01-17,239.81,239.97,238.02,238.64,1357804
2020-01-21,238.66,243.31,238.47,242.12,845801
2020-01-22,243.47,245.71,242.845,242.99,1297867
2020-01-23,241.5,242.4,228.5,231.27,3278148
2020-01-24,232.14,234.05,229.1,230.45,1670309
2020-01-27,226.99,230.34,224.74,228.92,1935094
2020-01-28,229.29,233.95,227.16,232.92,1305434
2020-01-29,233.0,236.07,232.48,232.73,1519910
2020-01-30,230.42,234.51,229.4,233.97,1186742
2020-01-31,242.46,242.98,215.16,219.86,4140473
2020-02-03,219.5,224.28,219.0,219.92,2274400
2020-02-04,223.39,228.36,222.86,226.35,1373593
2020-02-05,227.31,231.43,227.31,231.13,1719233
2020-02-06,232.84,236.68,230.48,236.64,1496157
2020-02-07,235.65,235.862,230.93,232.41,1096383
2020-02-10,230.78,232.0,227.07,228.44,1234895
2020-02-11,230.26,231.78,228.33,231.15,859570
2020-02-12,231.37,231.935,224.67,226.81,1368359
2020-02-13,225.17,229.425,225.17,226.54,1389385
2020-02-14,228.27,230.77,227.0257,230.55,679679
2020-02-18,228.57,230.21,227.28,229.54,1357051
2020-02-19,230.82,237.32,230.45,235.31,1571491
2020-02-20,235.3,235.64,229.71,233.91,1024230
2020-02-21,232.8,232.8,230.13,231.25,844745
2020-02-24,224.16,228.11,223.57,226.29,1412953
2020-02-25,227.64,228.4237,223.17,224.07,1409948
2020-02-26,225.16,229.43,220.45,221.58,1040970
2020-02-27,217.53,220.51,212.76,212.96,2284599
2020-02-28,207.76,207.76,199.1521,204.84,3356396
2020-03-02,207.0,212.93,205.88,212.92,2021438
2020-03-03,213.74,216.843,205.39,208.56,2331507
2020-03-04,213.37,217.3999,208.79,217.38,2277742
2020-03-05,219.13,219.13,206.86,208.96,1890134
2020-03-06,202.52,206.79,199.76,205.85,1789903
2020-03-09,190.68,196.865,190.5,191.06,1945328
2020-03-10,198.07,202.94,192.61,202.87,2134241
2020-03-11,196.96,202.49,194.57,197.37,1858577
