,open,high,low,close,volume
2020-01-02,45.78,45.78,45.25,45.43,4888826
2020-01-03,45.33,45.77,45.32,45.57,5385573
2020-01-06,45.54,45.76,45.39,45.64,5551464
2020-01-07,45.53,45.69,45.12,45.68,6777396
2020-01-08,45.68,46.18,45.63,46.01,6139503
2020-01-09,45.92,46.19,45.58,46.15,5320854
2020-01-10,46.3,46.43,46.12,46.26,5738539
2020-01-13,46.23,46.58,46.12,46.19,5532758
2020-01-14,46.09,46.1,45.57,45.81,6279667
2020-01-15,46.05,46.91,46.01,46.55,5877284
2020-01-16,46.65,47.03,46.55,46.74,5763883
2020-01-17,46.96,47.47,46.73,47.39,7566295
2020-01-21,47.44,47.61,47.23,47.58,5054033
2020-01-22,47.57,47.91,47.5,47.66,8751545
2020-01-23,47.67,48.0,47.44,47.95,6076021
2020-01-24,47.85,48.17,47.55,47.73,4801223
2020-01-27,47.76,48.17,47.19,47.27,5451092
2020-01-28,47.26,47.91,47.23,47.73,5118538
2020-01-29,47.66,48.28,47.58,47.81,6526332
2020-01-30,47.62,48.15,47.4,48.06,5240488
2020-01-31,48.0,48.16,47.25,47.59,6880671
2020-02-03,47.68,48.3,47.6,48.2,6122899
2020-02-04,48.11,48.51,47.89,48.09,6091442
2020-02-05,48.01,48.44,47.82,48.33,5062968
2020-02-06,48.35,48.57,48.2,48.26,4162485
2020-02-07,48.37,48.58,48.15,48.19,4831435
2020-02-10,48.29,48.36,48.06,48.31,4227498
2020-02-11,48.31,49.47,48.31,49.34,6187445
2020-02-12,49.44,49.62,49.01,49.26,5279708
2020-02-13,49.45,49.7,49.21,49.57,5165541
2020-02-14,49.6,49.78,49.33,49.76,3643068
2020-02-18,49.92,50.54,49.65,50.38,5163076
2020-02-19,49.83,50.04,49.4,49.6,4023511
2020-02-20,49.48,49.93,49.42,49.85,3745514
2020-02-21,49.84,50.04,49.65,49.72,7352332
2020-02-24,50.05,50.47,48.8,48.82,5989460
2020-02-25,48.77,48.88,47.51,47.63,7610224
2020-02-26,48.19,48.3,47.03,47.05,6901530
2020-02-27,47.11,47.14,45.12,45.14,8275434
2020-02-28,44.34,44.36,42.32,43.11,14879090
2020-03-02,43.19,45.44,42.9,45.43,9653778
2020-03-03,45.08,46.58,44.04,44.19,11652224
2020-03-04,44.61,46.87,44.51,46.82,8139821
2020-03-05,45.75,46.39,45.29,46.13,8488883
2020-03-06,44.01,45.37,43.56,45.17,9421638
2020-03-09,42.99,44.61,41.13,41.91,12448042
2020-03-10,42.68,43.68,40.88,43.12,13291561
2020-03-11,42.08,42.08,39.37,39.81,9143220
2020-03-12,37.5,38.23,34.42,35.27,13262278
2020-03-13,36.15,38.0,34.1,36.36,11414572
2020-03-16,33.17,35.59,29.78,30.51,8626644
2020-03-17,31.28,36.25,29.42,36.0,13613677
2020-03-18,33.85,34.73,30.92,33.04,9432190
2020-03-19,32.98,34.34,30.51,32.41,7480928
2020-03-20,32.67,33.48,30.82,31.0,8645011
2020-03-23,31.45,31.94,29.28,29.98,9696507
2020-03-24,31.46,34.57,31.36,34.51,11154265
2020-03-25,34.03,36.31,33.2,34.55,9018783
2020-03-26,34.57,36.99,34.26,36.59,6956192
2020-03-27,35.0,36.87,34.68,35.5,6617432
2020-03-30,35.69,37.48,35.5,37.23,7186313
2020-03-31,36.8,37.96,36.23,36.81,10591886
2020-04-01,35.2,35.78,32.94,33.48,5835527
2020-04-02,33.38,35.29,32.96,34.68,4312191
2020-04-03,34.19,34.45,32.39,32.75,6410809
2020-04-06,34.12,36.6,34.07,36.32,6897630
2020-04-07,37.56,37.89,35.65,35.79,6199445
2020-04-08,35.8,37.93,35.58,37.59,6604571
2020-04-09,37.97,39.83,37.97,39.15,9360912
2020-04-13,39.67,39.67,37.2,37.75,5644183
2020-04-14,38.86,39.14,38.11,39.07,5024277
2020-04-15,38.17,38.29,36.8,37.03,5905568
2020-04-16,37.15,37.62,36.42,37.1,4541469
2020-04-17,38.02,38.56,37.41,38.44,5713654
2020-04-20,37.66,37.85,37.02,37.07,4945686
2020-04-21,36.34,36.71,35.22,35.68,7887708
2020-04-22,36.68,37.6,36.02,37.2,4088437
2020-04-23,37.01,37.62,35.95,36.32,4590502
2020-04-24,36.6,36.9,35.87,36.6,5363082
2020-04-27,36.98,37.96,36.84,37.83,4128143
2020-04-28,38.08,39.03,37.57,37.84,6341407
2020-04-29,38.75,39.05,38.02,38.32,4590777
2020-04-30,37.95,38.86,36.67,37.08,4959089
2020-05-01,36.54,36.85,35.49,35.8,4856285
2020-05-04,35.81,35.85,34.86,35.45,6164626
2020-05-05,35.7,36.51,35.67,35.87,4835322
2020-05-06,36.0,36.06,34.44,34.48,5029585
2020-05-07,34.88,35.42,34.73,35.04,6580619
2020-05-08,35.29,37.48,35.18,37.43,8152826
2020-05-11,36.71,37.62,36.24,37.28,7221098
2020-05-12,36.95,37.56,36.73,36.83,7480773
2020-05-13,36.49,36.69,35.1,35.68,7339832
2020-05-14,35.29,36.35,34.67,36.1,6312472
2020-05-15,35.61,35.9,34.6,35.29,11716680
2020-05-18,36.32,37.84,36.02,37.54,6308801
2020-05-19,37.1,37.35,36.68,36.71,5307056
2020-05-20,36.88,37.47,36.85,36.97,4932493
2020-05-21,36.79,37.15,36.39,36.44,4334911
2020-05-22,36.36,36.88,36.28,36.85,3346695
2020-05-26,37.8,38.14,37.3,37.6,5702123
2020-05-27,38.2,38.53,37.38,37.94,6022784
2020-05-28,38.4,38.71,37.85,38.26,7015997
2020-05-29,38.37,38.64,37.55,38.31,6967012
2020-06-01,38.32,38.96,38.18,38.84,3819504
2020-06-02,38.93,39.06,38.37,38.93,4064036
2020-06-03,39.27,40.05,39.15,39.91,4571659
2020-06-04,39.87,39.89,38.63,38.98,5772803
2020-06-05,39.91,41.17,39.51,40.36,5583237
2020-06-08,40.67,41.96,40.32,41.86,5281885
2020-06-09,41.16,41.34,40.28,40.51,8203885
2020-06-10,40.93,41.0,39.71,40.0,8305031
2020-06-11,39.42,39.54,37.72,38.05,11119672
2020-06-12,38.67,38.84,37.43,37.91,7778060
2020-06-15,36.97,38.47,36.58,38.31,6095170
2020-06-16,39.27,39.75,38.22,38.59,5133493
2020-06-17,38.68,38.77,37.92,38.45,4872545
2020-06-18,38.14,38.28,37.81,38.2,4475268
2020-06-19,38.51,38.81,37.43,37.53,13309390
2020-06-22,37.33,37.84,37.05,37.57,4654735
2020-06-23,37.99,38.01,37.19,37.25,5470030
2020-06-24,36.81,37.17,36.24,36.47,6672610
2020-06-25,36.37,36.37,35.03,35.42,9148744
2020-06-26,35.44,35.59,34.49,34.71,9986463
2020-06-29,35.11,36.0,34.785,35.99,4852033
2020-06-30,35.7,36.56,35.59,36.29,5137733
2020-07-01,36.15,37.49,36.04,37.36,5673189
2020-07-02,37.53,38.04,37.37,37.48,4310603
2020-07-06,37.78,38.14,37.03,37.4,3811085
2020-07-07,36.92,37.08,36.52,37.0,4866767
2020-07-08,37.03,37.27,36.52,37.15,4420077
2020-07-09,36.91,37.03,35.89,36.62,5430201
2020-07-10,36.72,37.52,36.51,37.39,3865740
2020-07-13,37.35,37.73,37.1,37.47,5701839
2020-07-14,37.22,38.07,37.22,37.87,7244238
2020-07-15,38.11,38.59,37.91,38.05,5090299
2020-07-16,38.09,38.41,37.82,38.06,4157983
2020-07-17,38.65,39.52,38.4,39.4,6946729
2020-07-20,39.08,39.25,38.12,38.32,5425103
2020-07-21,38.46,38.92,38.14,38.73,6942479
2020-07-22,38.2467,39.03,37.833,38.985,10427107
2020-07-23,39.05,39.3,38.42,38.64,6242199
2020-07-24,38.48,38.93,37.505,37.8,5426154
2020-07-27,37.83,38.0,37.0377,37.58,5770085
2020-07-28,37.48,38.59,37.41,37.97,6857269
2020-07-29,38.02,38.57,37.8,38.56,5405067
2020-07-30,38.05,38.495,37.56,38.47,4250583
2020-07-31,38.31,38.63,37.95,38.61,9205194
2020-08-03,38.38,38.45,37.7,37.99,4724055
2020-08-04,37.56,38.93,37.34,38.75,7111962
2020-08-05,38.6878,38.92,37.51,37.72,5287948
2020-08-06,37.65,37.95,37.35,37.9,4525757
2020-08-07,37.9,39.055,37.74,38.93,6261929
2020-08-10,38.94,39.29,37.95,38.31,7763990
2020-08-11,38.54,38.75,37.72,37.9,6477580
2020-08-12,38.0,38.93,37.91,38.71,4890535
2020-08-13,38.17,38.27,37.73,37.94,4095387
2020-08-14,37.75,38.02,37.55,37.93,3313704
2020-08-17,37.59,37.72,37.15,37.34,7647825
2020-08-18,37.4168,37.6101,36.89,37.07,4123642
2020-08-19,37.17,37.4,36.89,37.02,4590506
2020-08-20,37.2,37.24,36.28,36.31,3633104
2020-08-21,36.45,36.585,35.97,36.52,6336109
2020-08-24,36.81,37.74,36.54,37.69,5732081
2020-08-25,37.78,37.8,36.85,37.13,3815976
2020-08-26,37.01,37.3,36.55,37.275,6602568
2020-08-27,37.15,37.5666,36.68,36.89,5470192
2020-08-28,36.899,37.06,36.645,37.04,3930978
2020-08-31,36.75,37.31,36.75,36.91,3984153
2020-09-01,36.7,36.75,36.12,36.33,4373858
2020-09-02,36.77,38.23,36.25,38.03,9580882
2020-09-03,38.04,38.35,36.84,37.29,8410014
2020-09-04,37.5253,37.7,36.64,37.09,5989735
2020-09-08,36.77,37.09,36.07,36.42,6070600
2020-09-09,36.8,37.105,36.54,36.67,4467937
2020-09-10,36.67,36.67,35.72,35.84,6101963
2020-09-11,36.0,36.05,35.62,35.83,4602052
2020-09-14,35.7045,36.49,35.64,36.26,3664322
2020-09-15,36.42,36.86,35.99,36.165,3310756
2020-09-16,36.085,36.78,35.91,36.26,5631380
2020-09-17,35.97,36.0,35.43,35.93,7085210
2020-09-18,35.96,36.01,34.84,35.07,8477076
2020-09-21,34.64,34.785,34.01,34.75,5216869
2020-09-22,34.91,35.385,34.81,35.21,4448856
2020-09-23,35.1766,35.39,34.4,34.48,5043841
2020-09-24,34.31,35.145,33.965,34.81,4594920
2020-09-25,34.68,35.64,34.44,35.52,5196554
2020-09-28,35.82,36.23,35.64,35.74,4661643
2020-09-29,35.84,35.94,35.15,35.32,3278925
2020-09-30,35.65,36.11,35.51,35.76,7059208
2020-10-01,35.91,36.15,35.54,35.83,4727194
2020-10-02,35.5517,36.195,35.22,35.94,5178773
2020-10-05,36.05,36.89,35.73,36.79,4998176
2020-10-06,36.7,37.83,36.69,37.17,5710893
2020-10-07,37.38,37.95,37.26,37.85,6227860
2020-10-08,37.436,39.36,37.436,39.32,6929500
2020-10-09,40.49,40.62,38.92,39.2,6014484
2020-10-12,39.21,40.295,39.09,39.98,5940854
2020-10-13,40.9,41.1197,39.92,40.98,12124401
2020-10-14,41.3268,41.75,40.98,41.03,9089313
2020-10-15,40.44,41.48,40.315,41.4,5918793
2020-10-16,41.4,42.17,41.17,42.09,6516543
2020-10-19,41.87,42.285,41.8,41.86,8246954
2020-10-20,42.21,42.66,42.04,42.4,6113320
2020-10-21,42.29,42.77,42.12,42.14,4990413
2020-10-22,42.08,42.29,41.575,42.23,4844992
2020-10-23,42.5801,42.65,41.95,42.2,4142908
2020-10-26,41.41,41.765,41.04,41.7,6386740
2020-10-27,41.62,42.005,41.14,41.15,5194860
2020-10-28,40.37,40.83,39.425,39.57,6321729
2020-10-29,39.18,40.565,38.8,40.16,5470756
2020-10-30,39.7215,40.25,39.46,39.89,7071659
2020-11-02,40.51,40.975,39.94,40.96,5063709
2020-11-03,42.72,42.99,41.62,42.47,6441796
2020-11-04,42.69,42.94,41.65,42.22,8022245
2020-11-05,42.46,43.36,42.31,43.07,7379248
2020-11-06,42.94,43.17,42.61,42.84,8848182
2020-11-09,44.41,46.02,43.11,43.32,8128001
2020-11-10,43.27,43.67,42.92,42.99,10019998
2020-11-11,43.2,43.85,42.88,43.835,5882684
2020-11-12,43.45,43.63,42.385,42.7,5418055
2020-11-13,42.7,42.95,42.51,42.89,3668734
2020-11-16,43.21,43.51,42.63,43.34,4110897
2020-11-17,42.88,43.54,42.81,43.07,4676072
2020-11-18,43.19,43.38,42.68,42.7,5759432
2020-11-19,42.47,42.58,41.78,42.35,5376687
2020-11-20,42.24,42.56,41.78,41.87,4069937
2020-11-23,42.29,42.3,41.395,41.57,4373778
2020-11-24,42.06,42.81,41.87,42.75,4762446
2020-11-25,42.46,42.56,41.78,42.22,3368949
2020-11-27,42.24,42.31,41.585,41.74,1723438
2020-11-30,41.4826,41.52,40.92,41.07,9445750
2020-12-01,41.32,41.88,41.1,41.25,5696974
2020-12-02,41.12,41.61,40.72,41.57,5152715
2020-12-03,41.3,41.65,40.8,41.05,4361370
2020-12-04,41.3,41.34,40.53,40.93,3546301
2020-12-07,40.7,41.445,40.66,41.195,3235857
2020-12-08,41.17,41.39,40.61,41.32,4130692
2020-12-09,41.28,41.47,40.97,41.09,4392419
2020-12-10,41.26,41.38,40.551,41.2,4396124
2020-12-11,40.83,41.29,40.705,41.19,3532441
2020-12-14,41.48,42.09,41.03,41.06,4025620
2020-12-15,41.44,42.83,41.275,42.72,8301152
2020-12-16,42.8,43.11,42.18,42.44,7583779
2020-12-17,42.61,43.115,42.605,42.65,5229598
2020-12-18,42.69,43.03,42.34,42.57,9169932
2020-12-21,42.21,42.21,41.11,41.51,4402792
2020-12-22,41.59,41.965,41.48,41.76,3121752
2020-12-23,41.93,42.43,41.65,41.71,3322921
2020-12-24,41.95,41.95,41.41,41.83,1476671
2020-12-28,42.16,42.63,41.985,42.21,2531420
2020-12-29,42.22,42.44,41.67,41.83,2647909
2020-12-30,41.78,42.25,41.72,41.93,2531495
2020-12-31,41.9474,42.28,41.705,42.22,3248447
2021-01-04,42.42,42.54,40.845,41.17,5033744
2021-01-05,41.21,41.47,40.84,41.11,3968325
2021-01-06,41.4,42.81,41.32,42.45,6310598
2021-01-07,42.45,42.56,41.73,42.03,5223143
2021-01-08,42.01,42.41,41.901,42.21,4582762
2021-01-11,42.25,42.56,41.61,41.86,5042880
2021-01-12,41.77,42.18,41.41,42.08,5235938
2021-01-13,42.01,42.95,41.946,42.8,4467271
2021-01-14,42.79,43.01,42.3298,42.58,4328454
2021-01-15,42.3333,43.48,42.135,43.36,5060904
2021-01-19,43.51,43.6425,42.82,42.82,4141504
2021-01-20,42.66,43.115,42.435,43.05,4211639
2021-01-21,42.8,43.28,42.49,43.02,3665305
2021-01-22,42.82,42.9456,42.38,42.54,4189805
2021-01-25,42.41,43.4,42.0802,43.35,6055877
2021-01-26,43.28,43.28,42.45,42.85,4455727
2021-01-27,42.55,42.83,40.935,41.02,7150355
2021-01-28,41.17,42.84,41.0,42.04,5317780
2021-01-29,41.61,41.99,41.0,41.56,6858925
2021-02-01,41.87,42.32,41.2232,42.08,3650241
2021-02-02,42.47,43.435,42.08,42.85,3887110
2021-02-03,42.85,42.92,42.18,42.48,4831407
2021-02-04,42.5,43.68,42.38,43.67,4526297
2021-02-05,43.97,44.04,43.29,43.68,3978387
2021-02-08,43.76,43.97,43.505,43.74,4314720
2021-02-09,43.93,44.0,43.31,43.57,4406756
2021-02-10,43.83,43.88,43.05,43.32,4250822
2021-02-11,43.45,43.45,42.655,42.74,3455070
2021-02-12,42.62,42.97,42.01,42.21,3442142
2021-02-16,42.15,42.39,41.88,41.98,3210517
2021-02-17,41.93,42.295,41.52,42.17,3163026
2021-02-18,42.14,42.985,42.06,42.7,3492084
2021-02-19,42.01,42.3,41.19,41.38,5333699
2021-02-22,41.185,41.21,40.17,40.6,6196216
2021-02-23,40.85,41.04,40.3302,40.8,5108227
2021-02-24,40.03,41.26,40.0,40.19,7782691
2021-02-25,39.91,40.0,38.355,38.92,9241219
2021-02-26,39.05,39.48,38.57,38.6,8763332
