,open,high,low,close,volume
2020-01-02,152.42,155.1,151.6,155.1,3027595
2020-01-03,152.5,153.34,151.84,153.18,2216534
2020-01-06,151.25,153.55,150.17,153.3,2388115
2020-01-07,153.36,155.22,152.34,154.8,2141681
2020-01-08,154.57,157.75,153.93,157.13,3053162
2020-01-09,157.95,158.31,156.59,158.05,2240217
2020-01-10,158.07,158.43,156.14,156.63,2449551
2020-01-13,156.72,159.53,156.71,159.28,1984890
2020-01-14,159.15,164.5,158.62,162.13,5076589
2020-01-15,163.02,163.02,158.67,159.15,2968765
2020-01-16,160.59,161.47,158.84,159.54,2343620
2020-01-17,159.39,161.18,158.56,159.98,1846109
2020-01-21,159.1,159.16,156.81,157.53,2459171
2020-01-22,157.49,158.85,155.47,155.54,1909570
2020-01-23,155.0,155.34,152.73,154.88,2058530
2020-01-24,155.64,155.64,152.31,154.07,1972730
2020-01-27,150.11,150.18,147.51,148.49,3367719
2020-01-28,149.75,149.95,147.11,148.4,2187391
2020-01-29,149.16,150.07,147.91,148.06,2521001
2020-01-30,146.0,148.4,143.36,148.26,3379668
2020-01-31,147.1,147.29,143.59,144.64,3285050
2020-02-03,145.5,147.4,143.6,143.84,1988383
2020-02-04,146.37,148.24,146.0,147.51,2573669
2020-02-05,149.5,150.85,148.82,149.95,2013682
2020-02-06,151.38,151.38,148.49,148.63,1705689
2020-02-07,147.3,157.44,146.42,155.66,6530009
2020-02-10,158.8,160.29,156.2,156.78,3947011
2020-02-11,158.27,159.56,156.87,158.0,2016726
2020-02-12,159.2,159.81,157.23,158.51,1604665
2020-02-13,157.79,161.83,156.48,161.47,2624440
2020-02-14,160.46,161.29,158.0,158.62,1677929
2020-02-18,159.31,160.91,156.39,158.57,1923700
2020-02-19,159.0,161.69,158.83,161.14,1697264
2020-02-20,161.07,165.25,159.5,164.91,2602539
2020-02-21,163.26,164.14,161.69,163.25,1644742
2020-02-24,156.26,157.72,152.62,154.85,3116319
2020-02-25,155.66,155.8,144.81,145.6,4223346
2020-02-26,147.42,149.39,143.56,144.53,2766310
2020-02-27,140.76,145.49,136.48,138.76,3533718
2020-02-28,135.0,141.2,134.06,141.17,4391211
2020-03-02,142.18,142.52,135.28,139.75,4416733
2020-03-03,140.0,142.17,132.56,133.09,4369605
2020-03-04,135.06,136.46,132.18,136.41,2853589
2020-03-05,132.01,133.14,128.75,129.93,3148783
2020-03-06,125.75,130.65,123.79,127.68,3885788
2020-03-09,120.4,121.58,113.85,115.7,4043124
2020-03-10,120.14,121.75,113.87,120.67,3560981
2020-03-11,117.39,118.3,108.53,111.01,4746318
2020-03-12,103.2,105.18,96.2,97.0,5148698
2020-03-13,102.46,106.68,96.0,106.63,4270779
2020-03-16,92.0,99.87,90.49,90.49,4412352
2020-03-17,92.9,100.15,88.69,94.96,5514171
2020-03-18,90.39,100.7,89.8,99.68,6995476
2020-03-19,98.85,116.16,97.37,111.68,4645027
2020-03-20,113.88,118.7,106.59,111.06,4476875
2020-03-23,110.94,115.05,107.25,111.76,3932105
2020-03-24,118.0,121.8,115.43,120.04,3011122
2020-03-25,121.36,126.94,114.93,118.31,4131816
2020-03-26,119.36,127.0,119.01,125.6,2713902
2020-03-27,120.05,124.35,116.0,120.58,2619369
2020-03-30,122.38,125.61,119.25,124.31,2279615
2020-03-31,122.5,124.85,119.26,121.26,2643794
2020-04-01,116.01,118.75,112.3,113.48,2568695
2020-04-02,112.53,117.3,111.59,116.64,2335110
2020-04-03,115.24,116.0,107.69,109.22,3204442
2020-04-06,113.04,119.81,113.01,119.02,3509984
2020-04-07,124.91,125.48,115.75,115.95,3178176
2020-04-08,123.0,127.23,119.92,125.54,5574970
2020-04-09,129.61,130.0,120.16,122.29,4745352
2020-04-13,125.19,125.19,121.74,123.53,2818463
2020-04-14,125.74,126.98,122.05,125.08,3082709
2020-04-15,121.69,121.69,118.15,119.9,2943300
2020-04-16,119.73,121.0,117.12,119.08,2220595
2020-04-17,121.0,124.96,120.73,124.85,2460760
2020-04-20,122.53,125.67,121.83,122.64,2241163
2020-04-21,120.63,122.18,119.62,120.48,1605253
2020-04-22,122.52,122.97,118.45,118.54,2082532
2020-04-23,118.64,122.42,118.5,120.88,2020999
2020-04-24,121.41,123.19,119.48,123.06,2111029
2020-04-27,124.16,128.5,122.32,127.29,2395852
2020-04-28,129.81,129.89,125.16,127.74,2738653
2020-04-29,130.0,131.8,128.46,129.48,2171619
2020-04-30,127.93,127.93,125.75,126.77,1969695
2020-05-01,124.52,124.56,117.5,118.2,3140352
2020-05-04,117.12,117.56,114.61,115.85,2409536
2020-05-05,117.83,120.12,117.13,117.67,1703085
2020-05-06,118.89,119.42,115.08,115.12,1914538
2020-05-07,116.94,118.87,116.15,116.74,1842087
2020-05-08,118.25,120.89,118.18,120.44,1770876
2020-05-11,118.39,119.37,116.28,117.56,1862763
2020-05-12,118.0,118.11,113.08,113.14,1975388
2020-05-13,113.08,113.15,108.25,109.34,2905042
2020-05-14,107.36,109.18,103.4,109.11,3252032
2020-05-15,107.54,108.96,106.25,107.52,2938502
2020-05-18,113.49,120.0,112.79,119.19,3602282
2020-05-19,119.0,119.4,114.65,114.79,2481778
2020-05-20,116.8,119.48,115.83,117.01,2602662
2020-05-21,116.58,118.43,115.53,115.77,1742394
2020-05-22,115.75,117.56,114.92,117.0,2244940
2020-05-26,122.99,126.74,122.01,124.81,3822452
2020-05-27,128.0,130.78,125.5,130.43,3200685
2020-05-28,131.0,133.91,129.3,131.15,3237996
2020-05-29,130.19,130.89,126.44,130.56,3409390
2020-06-01,129.05,130.46,127.46,129.71,1990253
2020-06-02,130.83,134.59,130.71,134.2,2520528
2020-06-03,137.0,139.88,136.53,138.08,2728787
2020-06-04,137.3,139.25,135.65,139.21,2000019
2020-06-05,143.0,145.77,142.0,142.21,3583379
2020-06-08,144.94,149.99,144.14,149.38,2708623
2020-06-09,145.88,145.93,142.1,144.69,2251649
2020-06-10,144.0,144.41,140.32,140.4,2073476
2020-06-11,133.95,134.47,127.81,128.81,4383487
2020-06-12,134.59,135.0,129.14,132.72,2271680
2020-06-15,128.42,134.63,127.29,133.68,1835255
2020-06-16,138.15,139.37,133.0,135.54,1651716
2020-06-17,136.71,137.4,134.87,135.66,1214352
2020-06-18,134.92,139.34,134.5,138.39,2414793
2020-06-19,140.76,140.88,135.62,137.63,2828492
2020-06-22,136.55,137.75,135.2,137.38,1448076
2020-06-23,138.55,139.84,137.38,139.07,1384584
2020-06-24,137.65,138.0,134.13,135.09,2355956
2020-06-25,133.72,136.28,132.23,136.11,2310271
2020-06-26,135.2,135.38,129.28,130.08,3281169
2020-06-29,131.3,134.73,130.12,134.55,2336249
2020-06-30,136.22,140.75,134.92,140.22,6190495
2020-07-01,158.85,163.65,155.76,156.66,17960923
2020-07-02,158.6,159.72,155.28,155.48,4044722
2020-07-06,157.9,158.4,153.66,156.27,3013542
2020-07-07,154.27,159.95,154.13,158.54,2582682
2020-07-08,158.12,159.38,156.27,158.56,2110724
2020-07-09,158.0,158.75,155.32,155.74,2238234
2020-07-10,156.2,159.01,155.97,158.59,1743656
2020-07-13,160.0,160.22,155.66,156.23,1735977
2020-07-14,156.23,158.92,155.53,158.5,1638872
2020-07-15,160.42,162.53,159.04,161.25,3332807
2020-07-16,161.77,167.1,160.47,166.1,4098929
2020-07-17,167.28,168.12,164.91,165.98,2047884
2020-07-20,164.89,165.55,162.81,164.13,1593293
2020-07-21,165.1,167.56,164.41,165.5,1731734
2020-07-22,164.64,165.94,163.44,165.14,1231859
2020-07-23,165.41,167.39,164.65,165.99,1387204
2020-07-24,164.69,166.88,164.19,165.04,1546235
2020-07-27,165.0,170.72,163.86,170.64,2926388
2020-07-28,169.42,170.3299,166.711,166.93,2374595
2020-07-29,167.1,171.37,167.01,169.55,4623873
2020-07-30,174.15,174.5,169.8601,172.71,5407268
2020-07-31,172.0,172.71,167.99,168.4,2488103
2020-08-03,169.55,170.585,168.53,169.22,1503570
2020-08-04,169.22,171.48,169.2,170.66,1264202
2020-08-05,171.85,172.4233,170.2442,171.7,1309963
2020-08-06,172.0,173.48,171.32,172.24,1364902
2020-08-07,172.47,183.88,172.47,183.53,6311099
2020-08-10,188.16,200.46,187.34,199.98,10815110
2020-08-11,199.99,203.585,195.14,196.45,5998248
2020-08-12,200.0,206.24,199.015,201.96,6239385
2020-08-13,200.68,204.79,199.61,203.86,3663846
2020-08-14,202.07,209.6412,201.86,208.6,4632952
2020-08-17,210.0,211.56,206.0373,206.64,2652897
2020-08-18,206.37,208.43,204.18,206.97,3040684
2020-08-19,206.84,210.94,206.84,207.88,2217960
2020-08-20,206.23,209.2,205.06,208.82,1532805
2020-08-21,209.16,212.94,208.5,210.49,2034054
2020-08-24,212.96,217.95,211.99,217.4,3393717
2020-08-25,219.17,219.58,213.22,214.31,2160235
2020-08-26,215.73,217.12,214.08,215.77,1518191
2020-08-27,216.1,218.875,215.08,218.21,2014856
2020-08-28,218.23,223.66,218.01,221.9,2996129
2020-08-31,221.8,224.2,219.8,219.84,1839581
2020-09-01,219.99,226.55,219.1406,225.46,1904774
2020-09-02,227.12,229.0,223.07,227.91,1680746
2020-09-03,228.13,231.58,218.59,220.97,4003783
2020-09-04,222.46,228.236,217.398,226.12,2879820
2020-09-08,223.79,225.7478,219.72,221.05,2121067
2020-09-09,226.0,228.845,224.12,225.75,3222696
2020-09-10,229.49,229.49,222.89,224.44,2443294
2020-09-11,226.44,233.67,225.47,232.79,4865220
2020-09-14,240.99,241.0,232.5701,236.34,6583670
2020-09-15,234.99,239.85,230.51,236.67,9847346
2020-09-16,253.03,256.18,246.3,250.3,17082179
2020-09-17,242.63,249.8,242.11,244.08,4254299
2020-09-18,242.97,248.2,241.95,242.78,4348747
2020-09-21,237.95,239.19,230.27,238.74,4109508
2020-09-22,239.51,243.78,235.63,243.42,2651668
2020-09-23,244.99,250.5104,241.04,241.42,3083045
2020-09-24,244.01,247.2,239.5,244.22,3048346
2020-09-25,241.68,251.8994,241.47,250.17,3212430
2020-09-28,255.27,259.95,254.08,254.44,3309826
2020-09-29,254.99,258.2,249.12,253.5,2204308
2020-09-30,253.47,257.5061,249.5,251.52,2506013
2020-10-01,255.26,257.79,252.88,254.08,2862287
2020-10-02,250.55,258.55,250.0,255.2,3015325
2020-10-05,258.8,260.96,257.73,259.21,2427788
2020-10-06,260.12,264.98,258.18,259.27,3152178
2020-10-07,263.85,270.66,263.5,268.26,2986524
2020-10-08,269.73,272.525,266.3501,271.06,1993009
2020-10-09,274.4,275.0,269.54,271.55,2172049
2020-10-12,272.26,274.21,271.32,273.5,2063626
2020-10-13,272.32,275.24,271.85,272.74,1657102
2020-10-14,274.75,278.96,273.77,276.24,2080629
2020-10-15,273.09,282.14,271.7487,282.11,2258087
2020-10-16,284.0,287.1599,282.0009,283.87,2992528
2020-10-19,284.81,291.22,279.56,281.97,3453108
2020-10-20,284.0,292.69,283.11,287.4,3929167
2020-10-21,289.16,293.3,282.2603,282.28,3219229
2020-10-22,283.58,285.64,274.02,275.95,2966629
2020-10-23,278.29,283.87,276.86,283.56,2498307
2020-10-26,279.99,280.5,273.4,277.62,2321360
2020-10-27,279.94,280.35,274.39,274.41,1912266
2020-10-28,262.73,266.92,258.0,259.99,4039177
2020-10-29,260.21,269.74,260.06,267.02,2680687
2020-10-30,264.6,265.99,255.56,259.47,2709583
2020-11-02,262.7,267.49,259.01,266.98,2042932
2020-11-03,271.95,276.92,268.12,274.48,2630793
2020-11-04,276.71,278.8,268.53,269.1,2810577
2020-11-05,273.0,282.27,273.0,279.07,2234561
2020-11-06,278.52,284.3,277.1236,279.77,1894785
2020-11-09,274.24,274.5,256.35,263.88,5907191
2020-11-10,264.38,268.77,258.0,267.27,2874010
2020-11-11,271.17,271.3076,266.0,267.81,1937663
2020-11-12,269.23,270.89,263.99,267.16,1924908
2020-11-13,267.99,273.72,267.99,271.91,1595008
2020-11-16,273.52,280.88,270.42,279.83,2474834
2020-11-17,281.87,286.2,276.9,285.05,2816659
2020-11-18,285.7,289.76,282.49,282.5,2874823
2020-11-19,283.77,285.0,276.88,279.85,2374950
2020-11-20,280.97,281.66,276.69,276.69,1887673
2020-11-23,280.21,286.4,280.2,286.35,2437192
2020-11-24,289.59,296.075,285.3,291.68,3457685
2020-11-25,291.81,292.7753,286.56,288.3,2299565
2020-11-27,290.8,291.2,285.35,287.41,1248021
2020-11-30,287.99,290.9,280.54,286.58,3188976
2020-12-01,293.56,297.66,287.6,287.76,3014390
2020-12-02,287.22,293.84,285.034,291.72,2518005
2020-12-03,291.72,296.34,289.78,292.7,1955755
2020-12-04,294.36,298.98,293.1185,294.88,1847692
2020-12-07,296.9,297.04,293.2,297.04,1483433
2020-12-08,298.0,303.65,297.72,301.45,2889109
2020-12-09,303.5,305.66,293.46,295.32,2644923
2020-12-10,291.26,294.38,288.61,290.9,2961008
2020-12-11,289.78,291.88,286.1916,289.47,2354504
2020-12-14,296.0,296.35,285.41,285.54,2933932
2020-12-15,286.01,289.46,283.11,285.74,3026367
2020-12-16,287.38,290.85,286.61,288.81,2611752
2020-12-17,289.41,293.9,286.2209,292.26,6006907
