,open,high,low,close,volume
2018-01-02,46.77,47.12,46.57,47.11,778503
2018-01-03,47.13,47.57,46.95,47.48,1022508
2018-01-04,47.53,47.75,47.26,47.61,978499
2018-01-05,47.77,48.39,47.66,48.25,751246
2018-01-08,49.6,50.48,49.41,49.67,1378275
2018-01-09,49.91,49.91,49.34,49.39,837186
2018-01-10,49.35,49.75,49.02,49.71,814945
2018-01-11,49.75,50.28,49.65,50.26,642223
2018-01-12,50.36,50.46,49.99,50.28,661978
2018-01-16,50.48,50.84,50.14,50.34,995573
2018-01-17,50.64,51.09,50.33,50.85,525118
2018-01-18,51.0,51.39,50.58,51.35,1179711
2018-01-19,51.82,52.44,51.5,52.4,1440445
2018-01-22,52.27,52.41,51.59,51.88,1068841
2018-01-23,51.8,51.83,51.03,51.32,904622
2018-01-24,51.59,51.88,51.32,51.84,975091
2018-01-25,52.05,52.49,51.75,52.23,753468
2018-01-26,52.51,52.88,52.05,52.8,986364
2018-01-29,52.52,52.78,52.02,52.44,920368
2018-01-30,52.11,52.55,51.05,51.48,980181
2018-01-31,51.71,52.09,51.04,51.21,938837
2018-02-01,51.05,51.69,50.79,51.42,607902
2018-02-02,51.19,51.38,49.93,49.94,914591
2018-02-05,49.59,50.09,47.93,47.98,938223
2018-02-06,46.98,48.68,45.56,48.41,1166045
2018-02-07,48.12,49.22,48.12,48.4,859254
2018-02-08,48.41,48.56,46.44,46.46,808621
2018-02-09,47.08,47.4,45.21,47.04,1051236
2018-02-12,47.31,48.01,46.91,47.68,811751
2018-02-13,47.41,48.3,47.02,48.21,760423
2018-02-14,46.94,49.13,46.12,49.07,1906362
2018-02-15,49.4,50.81,49.09,49.48,1157212
2018-02-16,49.25,50.01,48.61,49.09,864394
2018-02-20,48.77,49.61,48.69,48.82,1242448
2018-02-21,48.96,49.72,48.27,48.31,1738562
2018-02-22,48.42,49.0,47.81,47.86,1131218
2018-02-23,47.93,48.56,47.72,48.49,751287
2018-02-26,48.79,49.76,48.67,49.64,747284
2018-02-27,49.65,49.72,48.98,49.04,1068770
2018-02-28,49.34,49.6,48.76,49.1,1412201
2018-03-01,49.23,49.51,48.6,49.16,1144152
2018-03-02,48.87,49.06,48.49,48.93,1042502
2018-03-05,48.61,49.76,48.31,49.69,886342
2018-03-06,49.93,50.58,49.72,50.5,1350218
2018-03-07,50.13,50.34,49.74,50.04,1138444
2018-03-08,50.27,50.31,49.91,50.28,926020
2018-03-09,50.47,51.55,50.2,51.54,930421
2018-03-12,51.67,51.7,50.65,50.82,1141590
2018-03-13,51.18,51.52,51.14,51.37,788557
2018-03-14,51.62,51.62,50.57,50.65,842524
2018-03-15,50.75,50.91,50.08,50.41,1193334
2018-03-16,50.41,50.69,49.92,49.93,1480611
2018-03-19,49.64,50.07,48.99,49.44,1092779
2018-03-20,49.46,50.21,49.46,50.1,765522
2018-03-21,50.22,51.0,49.85,50.61,863983
2018-03-22,50.24,50.6,49.56,49.56,985773
2018-03-23,49.52,49.92,49.04,49.19,1214566
