,open,high,low,close,volume
2020-01-02,21.45,21.55,21.17,21.33,3410472
2020-01-03,21.49,21.64,21.29,21.58,2749161
2020-01-06,21.62,21.84,21.4,21.73,2777937
2020-01-07,21.49,21.51,20.88,21.21,3325701
2020-01-08,20.65,20.82,20.37,20.49,4332254
2020-01-09,20.55,21.01,20.38,20.85,3761923
2020-01-10,20.72,21.07,20.61,21.01,2562356
2020-01-13,21.03,21.39,20.86,21.34,3259516
2020-01-14,20.76,20.98,20.55,20.97,5050871
2020-01-15,20.58,20.61,20.15,20.18,4017285
2020-01-16,20.12,20.34,19.98,20.08,4039511
2020-01-17,20.05,20.14,19.64,19.79,3827263
2020-01-21,19.75,19.77,19.38,19.4,3441527
2020-01-22,19.16,19.18,18.44,18.66,6430104
2020-01-23,18.47,18.65,18.17,18.43,4189122
2020-01-24,18.43,18.45,17.84,17.97,4494474
2020-01-27,17.49,17.67,17.3,17.3,3762485
2020-01-28,17.21,17.24,16.78,16.78,7604433
2020-01-29,17.02,17.11,16.61,16.64,6110739
2020-01-30,16.12,16.49,15.74,16.46,7866540
2020-01-31,16.12,16.52,15.9,16.51,7435707
2020-02-03,16.61,17.05,16.54,16.99,6498238
2020-02-04,17.38,17.64,17.35,17.45,5682500
2020-02-05,17.68,17.95,17.59,17.87,4957408
2020-02-06,17.73,17.9,17.46,17.49,3778088
2020-02-07,16.96,17.09,16.82,16.82,4218498
2020-02-10,16.54,16.54,16.17,16.26,3571397
2020-02-11,16.99,17.47,16.82,17.4,4591889
2020-02-12,17.73,18.03,17.5,17.56,4160838
2020-02-13,17.44,17.54,17.28,17.36,4694857
2020-02-14,17.51,17.59,17.18,17.26,3903785
2020-02-18,16.81,17.26,16.65,17.13,4658591
2020-02-19,17.31,17.37,16.94,17.2,2586455
2020-02-20,17.27,17.5,17.18,17.24,3047958
2020-02-21,16.91,17.02,16.68,16.95,3824736
2020-02-24,16.05,16.34,16.0,16.02,3766514
2020-02-25,16.06,16.06,15.1,15.27,4150525
2020-02-26,15.85,15.85,15.14,15.23,6081959
2020-02-27,15.2,16.17,15.16,15.3,9420275
2020-02-28,15.03,15.22,14.34,14.84,17299949
2020-03-02,14.61,15.09,14.25,15.08,6953315
2020-03-03,15.01,15.2,14.24,14.35,7147617
2020-03-04,14.46,14.5,13.89,14.17,6370307
2020-03-05,13.97,14.04,13.41,13.78,6020815
2020-03-06,13.11,13.48,12.4,12.6,5750868
2020-03-09,10.39,10.65,9.28,9.29,9871811
2020-03-10,9.71,9.73,8.7,9.53,10626762
2020-03-11,8.76,8.91,7.78,8.03,8741249
2020-03-12,7.56,7.65,6.51,6.64,10968222
2020-03-13,6.95,7.15,6.21,7.14,12007307
2020-03-16,5.42,6.72,5.01,5.73,17210911
2020-03-17,6.2,6.22,5.43,6.17,11608235
2020-03-18,5.7,5.81,4.49,5.01,8666113
2020-03-19,5.09,6.06,4.99,6.06,10850337
2020-03-20,5.79,6.87,5.73,6.3,14162968
2020-03-23,7.8,7.83,6.0,6.3,10181191
2020-03-24,6.53,7.47,6.53,7.09,7585982
2020-03-25,6.77,7.33,6.53,6.98,7170239
2020-03-26,6.81,7.3,6.69,7.08,5343501
2020-03-27,6.83,7.41,6.72,7.11,6392084
2020-03-30,6.58,7.12,6.44,7.05,6995246
2020-03-31,6.67,6.95,6.62,6.74,5884448
2020-04-01,6.58,6.81,6.3,6.56,3812187
2020-04-02,6.78,7.91,6.76,7.52,6097181
2020-04-03,7.38,7.55,6.66,7.17,4310698
2020-04-06,7.36,7.82,7.26,7.77,2699952
2020-04-07,7.7,8.14,7.58,7.87,5994747
2020-04-08,8.0,8.97,7.91,8.81,3897241
2020-04-09,8.75,9.2,8.13,8.4,5689064
2020-04-13,8.93,8.95,8.31,8.41,1976555
2020-04-14,8.25,8.61,8.21,8.45,3946177
2020-04-15,7.76,8.23,7.32,7.92,3618123
2020-04-16,7.81,7.81,7.35,7.42,3410623
2020-04-17,7.62,8.17,7.62,8.12,2942303
2020-04-20,7.65,8.2,7.5,7.65,4364360
2020-04-21,7.67,7.78,7.35,7.53,3633895
2020-04-22,7.91,8.27,7.68,8.26,4022270
2020-04-23,7.57,8.1,7.57,7.71,9063759
