,open,high,low,close,volume
2020-01-02,107.6,110.29,107.38,109.68,1108235
2020-01-03,108.42,111.53,108.1,111.21,1328764
2020-01-06,110.61,112.36,109.53,112.0,1473781
2020-01-07,112.33,112.51,111.07,111.89,761877
2020-01-08,111.95,114.4,111.8,113.67,1390601
2020-01-09,115.01,115.78,113.44,114.48,1095255
2020-01-10,114.85,115.3,113.86,114.32,696632
2020-01-13,116.2,116.75,114.84,116.69,840296
2020-01-14,117.52,117.67,116.32,116.72,796470
2020-01-15,116.96,117.74,116.61,117.05,851098
2020-01-16,117.4,119.23,117.09,119.09,866231
2020-01-17,119.31,119.5,116.96,117.49,1121207
2020-01-21,117.77,118.31,117.0,117.64,856847
2020-01-22,120.0,120.44,117.7,117.79,999198
2020-01-23,117.75,119.55,117.24,119.07,1465775
2020-01-24,119.51,120.28,117.36,117.99,1090250
2020-01-27,114.88,115.8,112.06,114.43,1243888
2020-01-28,115.0,117.72,114.95,117.54,1072132
2020-01-29,118.0,118.84,117.09,117.27,884674
2020-01-30,116.41,118.39,116.05,118.33,802695
2020-01-31,118.51,118.72,114.57,115.36,2848859
2020-02-03,115.85,117.48,115.51,116.49,866683
2020-02-04,119.56,120.35,117.22,120.08,1048433
2020-02-05,121.06,121.48,118.83,119.78,1283732
2020-02-06,119.94,121.82,118.78,121.33,1886991
2020-02-07,118.01,119.94,112.63,117.11,2127139
2020-02-10,116.48,118.98,115.0,118.73,1373375
2020-02-11,119.76,120.18,116.4,117.32,1097609
2020-02-12,117.5,118.52,115.78,117.4,859401
2020-02-13,116.47,119.24,116.0,119.1,826041
2020-02-14,119.34,119.62,117.95,119.19,974399
2020-02-18,118.87,121.27,118.75,119.45,2827686
2020-02-19,120.0,120.87,119.1,119.2,703605
2020-02-20,119.25,119.94,116.08,118.0,1171034
2020-02-21,117.76,117.81,113.75,114.48,896737
2020-02-24,108.55,110.61,105.9,108.7,1703839
2020-02-25,109.0,109.74,104.19,105.05,2790367
2020-02-26,105.54,108.24,105.54,106.26,1775834
2020-02-27,103.36,106.53,101.26,102.64,3553951
2020-02-28,98.88,104.07,98.09,102.06,3566599
2020-03-02,103.62,110.19,103.47,110.1,2890770
2020-03-03,110.09,110.48,102.21,103.53,2280951
2020-03-04,105.0,107.17,103.79,107.05,1490287
2020-03-05,104.66,107.39,103.43,104.0,1302885
2020-03-06,101.01,102.86,97.68,99.5,3417920
