,open,high,low,close,volume
2020-01-02,77.0,77.56,76.52,77.55,1622628
2020-01-03,76.2,77.35,76.03,77.23,1143496
2020-01-06,76.31,76.991,75.97,76.83,1986096
2020-01-07,76.82,77.1,76.18,77.08,1695420
2020-01-08,77.06,77.3,76.4,77.01,2287166
2020-01-09,77.44,78.66,77.44,77.98,2785066
2020-01-10,78.11,78.63,77.65,78.0,2112049
2020-01-13,78.0,78.88,77.82,78.8,2350599
2020-01-14,78.8,79.395,78.21,78.34,1917092
2020-01-15,78.58,78.99,77.62,78.0,1192687
2020-01-16,78.47,78.94,77.5,78.26,1074533
2020-01-17,78.16,79.18,78.16,78.78,1451226
2020-01-21,78.38,78.45,77.48,78.18,1480273
2020-01-22,78.65,78.905,77.61,77.66,1403236
2020-01-23,77.36,77.86,76.82,77.59,936910
2020-01-24,77.79,77.94,76.25,76.91,1153460
2020-01-27,75.49,75.835,74.59,74.62,1397715
2020-01-28,74.71,75.62,74.44,75.03,1679747
2020-01-29,75.58,75.97,75.17,75.31,1396454
2020-01-30,74.94,76.28,74.71,76.2,1608058
2020-01-31,75.8,75.94,74.56,74.93,2004536
2020-02-03,75.48,76.11,74.576,74.78,1607567
2020-02-04,75.67,76.705,75.66,76.49,2095071
2020-02-05,77.55,77.68,76.935,77.56,1165244
2020-02-06,77.76,78.03,76.88,77.83,1979237
2020-02-07,77.16,80.61,77.1,79.02,3676930
2020-02-10,78.57,79.37,78.17,79.34,1514856
2020-02-11,79.47,79.91,79.1,79.4,1839748
2020-02-12,80.0,80.1,78.625,79.0,1746467
2020-02-13,78.46,78.68,77.05,77.24,2093500
2020-02-14,77.37,77.87,77.22,77.81,1168720
2020-02-18,77.56,77.99,76.8,77.65,1110030
2020-02-19,77.97,77.98,76.73,76.86,1326461
2020-02-20,76.76,77.34,76.25,76.79,1417372
2020-02-21,76.27,76.51,75.67,75.81,1128422
2020-02-24,73.76,73.78,72.22,72.55,1808332
2020-02-25,72.88,73.01,69.96,70.28,2618190
2020-02-26,70.96,71.91,70.29,70.75,3169808
2020-02-27,69.55,72.39,69.161,70.29,4059902
2020-02-28,68.29,69.325,67.46,69.16,3845734
2020-03-02,69.25,70.74,68.0,70.65,2525917
2020-03-03,70.31,72.65,69.01,69.38,2231281
2020-03-04,70.09,72.15,69.3,72.07,5390066
2020-03-05,70.29,70.515,67.59,68.16,2517858
2020-03-06,66.14,67.44,65.74,66.81,2727327
2020-03-09,63.1,63.66,59.03,62.11,3300985
2020-03-10,63.48,64.0,59.31,62.46,5852230
2020-03-11,60.51,61.26,58.89,59.43,3531866
2020-03-12,55.65,57.86,52.405,55.73,5197277
2020-03-13,58.06,59.75,54.93,59.73,3306078
2020-03-16,53.34,56.06,50.8,51.84,3044099
2020-03-17,52.86,53.55,49.42,52.66,3610155
2020-03-18,49.15,49.15,37.31,45.06,5951041
2020-03-19,44.67,47.11,42.5,46.05,4527099
2020-03-20,47.25,47.59,43.9,45.58,4091270
2020-03-23,44.34,45.04,40.638,42.01,3676950
2020-03-24,44.36,50.21,43.798,49.92,3345496
2020-03-25,50.44,51.95,48.42,49.89,3886163
2020-03-26,50.73,52.44,49.26,51.67,3996150
2020-03-27,49.3,50.94,47.7,49.65,3945328
2020-03-30,49.0,52.59,48.97,52.1,3703714
2020-03-31,51.57,55.84,51.57,55.19,3168348
2020-04-01,53.44,55.59,52.55,54.97,3819138
2020-04-02,54.69,56.48,54.34,56.0,2357890
2020-04-03,56.21,58.31,53.41,54.28,2310492
2020-04-06,55.79,57.98,54.895,57.25,2683387
2020-04-07,59.75,61.02,58.33,58.45,2360725
2020-04-08,58.51,61.49,58.02,60.64,2320564
2020-04-09,61.35,62.95,60.43,61.04,1419612
2020-04-13,60.92,61.03,58.6,59.42,1625284
2020-04-14,60.58,61.761,60.41,61.01,2089606
2020-04-15,59.43,59.83,57.39,57.49,2698764
2020-04-16,56.87,57.0,55.51,56.78,2144775
2020-04-17,58.31,60.46,58.24,60.36,1823198
2020-04-20,59.49,59.705,57.99,58.7,2010877
2020-04-21,56.74,58.12,55.734,55.84,2167713
2020-04-22,57.17,58.25,56.17,57.74,1226378
2020-04-23,58.24,59.45,57.86,58.6,1857877
2020-04-24,59.0,60.79,58.57,60.34,1645834
2020-04-27,60.85,64.25,60.5,63.98,1671895
2020-04-28,65.16,65.96,64.0,64.71,1951826
2020-04-29,66.4,66.97,65.27,65.55,1972783
2020-04-30,64.33,64.5,62.99,64.0,1720038
2020-05-01,63.75,64.0,60.01,60.75,2919284
2020-05-04,59.57,61.01,59.36,61.0,2696266
2020-05-05,60.12,60.36,58.19,58.33,4542358
2020-05-06,58.38,58.82,57.46,57.77,1976749
2020-05-07,58.67,58.94,57.725,57.93,2469902
2020-05-08,58.55,59.52,58.12,59.27,3084647
2020-05-11,58.59,59.71,57.82,58.82,2186422
2020-05-12,59.08,59.58,56.15,56.16,2111352
2020-05-13,56.0,56.62,53.78,54.46,2074733
2020-05-14,53.67,55.82,52.46,55.76,2145816
2020-05-15,55.18,56.25,54.93,55.25,1908331
2020-05-18,56.82,59.72,56.82,59.19,2962277
2020-05-19,59.08,60.86,58.71,59.11,2505185
2020-05-20,59.01,59.72,58.91,59.1,2901169
2020-05-21,59.0,59.06,57.92,58.28,1928201
2020-05-22,58.45,58.7,57.39,58.53,1556134
2020-05-26,60.36,61.87,60.265,61.37,1569406
2020-05-27,62.91,64.08,62.625,63.66,1733999
2020-05-28,64.08,64.14,61.42,61.54,1843076
2020-05-29,61.24,61.36,60.415,60.98,2403815
2020-06-01,60.98,62.5,60.36,62.17,2301454
2020-06-02,62.76,64.1,62.23,64.03,2195484
2020-06-03,65.0,67.22,64.78,67.08,2838221
2020-06-04,66.36,67.66,66.27,67.46,2008331
2020-06-05,70.26,73.15,70.11,70.61,3884613
2020-06-08,71.63,72.13,69.39,70.38,3699947
2020-06-09,69.23,70.01,68.27,69.58,3055572
2020-06-10,69.34,69.575,66.79,66.86,1623970
2020-06-11,64.1,64.45,62.628,62.85,2720832
2020-06-12,65.18,65.18,61.91,63.65,2070009
2020-06-15,61.85,64.66,61.19,64.39,1992068
2020-06-16,66.82,68.37,64.91,67.81,3427798
2020-06-17,68.58,68.71,67.64,67.9,3106459
2020-06-18,67.13,68.85,67.13,68.18,2523748
2020-06-19,69.83,69.89,67.79,67.85,4712328
2020-06-22,67.23,68.87,66.8,68.4,2318440
2020-06-23,69.24,69.55,68.24,68.29,1906598
2020-06-24,67.21,67.835,65.39,66.01,2509408
2020-06-25,66.17,67.87,65.305,67.66,1866732
2020-06-26,67.41,67.41,65.78,66.37,3093192
2020-06-29,66.85,68.31,66.67,67.92,1727784
2020-06-30,67.18,68.14,66.82,67.66,2992270
2020-07-01,67.75,68.31,67.37,67.46,2680135
2020-07-02,68.47,69.43,67.915,68.15,1428834
2020-07-06,69.35,69.59,68.715,69.15,1223318
2020-07-07,68.73,68.94,68.01,68.06,985730
2020-07-08,67.89,68.34,67.14,68.28,1231254
2020-07-09,67.98,68.62,66.88,67.28,1190686
2020-07-10,67.39,67.62,66.93,67.26,1725168
2020-07-13,67.67,68.66,67.44,67.63,1289113
2020-07-14,67.77,69.33,67.03,69.16,1933827
2020-07-15,70.22,71.59,69.92,71.19,1793824
2020-07-16,71.02,72.15,70.23,71.71,2054798
2020-07-17,72.07,72.51,71.66,72.09,1221863
2020-07-20,71.94,72.0,70.51,70.75,1144267
2020-07-21,70.95,71.79,70.95,71.2,1325296
2020-07-22,71.03,71.74,70.87,71.53,1973899
2020-07-23,71.84,73.02,71.825,72.53,1328578
2020-07-24,72.63,72.63,70.86,71.0,1850337
2020-07-27,71.22,72.14,71.025,71.9,2125286
2020-07-28,71.63,71.76,70.96,71.03,2114342
2020-07-29,73.34,73.97,72.75,73.6,3781026
2020-07-30,72.5,72.75,71.62,72.16,2778348
2020-07-31,71.86,71.86,69.76,70.19,2907660
2020-08-03,70.51,70.63,69.32,69.56,3750227
2020-08-04,69.44,69.99,69.1,69.47,3108661
2020-08-05,70.02,70.75,69.35,70.02,3990749
2020-08-06,69.8,71.01,69.755,70.7,3196337
2020-08-07,70.68,72.305,70.36,72.23,2257655
