date,open,high,low,close,volume
2020-01-02,14.77,14.86,14.41,14.57,8719182
2020-01-03,14.35,14.5,14.24,14.41,5653554
2020-01-06,14.3,14.7,14.3,14.67,4304314
2020-01-07,14.55,14.71,14.29,14.57,4936096
2020-01-08,14.57,14.66,14.21,14.39,6069912
2020-01-09,14.4,14.46,13.93,14.05,5149127
2020-01-10,13.78,14.0,13.7,13.84,7488120
2020-01-13,13.88,14.14,13.68,14.14,6234247
2020-01-14,14.11,14.29,14.07,14.27,4345664
2020-01-15,14.13,14.17,13.77,14.01,7803907
2020-01-16,14.15,14.4,14.13,14.29,5779810
2020-01-17,14.37,14.41,14.15,14.32,5618347
2020-01-21,14.35,14.36,14.07,14.23,4174499
2020-01-22,14.24,14.45,14.15,14.33,5136809
2020-01-23,14.18,14.53,13.89,14.44,5245374
2020-01-24,14.47,14.51,14.13,14.25,4288667
2020-01-27,13.95,14.17,13.87,14.04,4425660
2020-01-28,14.15,14.39,14.07,14.23,4322440
2020-01-29,14.36,14.53,14.28,14.34,3414575
2020-01-30,14.21,14.295,14.04,14.27,5379238
2020-01-31,14.27,14.33,13.7,13.76,7795841
2020-02-03,13.84,13.93,13.36,13.37,8998618
2020-02-04,13.65,13.97,13.55,13.85,9495257
2020-02-05,14.04,14.7,13.97,14.65,10384078
2020-02-06,14.75,14.88,14.4,14.42,12372222
2020-02-07,14.5,15.37,14.05,14.2,15791381
2020-02-10,14.23,14.23,13.83,13.89,13906263
2020-02-11,13.92,14.46,13.86,14.35,16302491
2020-02-12,14.5,15.01,14.46,14.77,8928962
2020-02-13,14.59,14.69,14.27,14.39,7753756
2020-02-14,14.3,14.54,14.23,14.3,6485640
2020-02-18,14.25,14.56,14.19,14.51,5911014
2020-02-19,14.38,14.44,14.14,14.29,5174005
2020-02-20,14.27,14.77,14.25,14.72,6347990
2020-02-21,14.62,14.7,14.44,14.49,4030436
2020-02-24,14.01,14.32,13.93,14.08,6134237
2020-02-25,14.15,14.19,13.37,13.42,6996860
2020-02-26,13.54,13.69,12.67,12.67,10444281
2020-02-27,12.37,13.21,12.12,12.86,11874042
2020-02-28,12.47,13.26,12.47,13.24,16157158
2020-03-02,13.21,13.38,12.65,13.36,8245843
2020-03-03,13.08,13.21,12.28,12.35,17395239
2020-03-04,12.48,12.81,12.39,12.79,7928882
2020-03-05,12.48,12.71,12.27,12.4,5218438
2020-03-06,12.07,12.55,12.01,12.02,12445052
2020-03-09,11.19,11.57,10.81,11.26,7848719
2020-03-10,11.67,11.76,10.91,11.32,9165057
2020-03-11,11.05,11.05,10.0,10.17,12216892
2020-03-12,9.6,9.7,8.96,9.3,13300099
2020-03-13,9.91,9.93,8.63,9.68,10841481
2020-03-16,8.63,9.16,8.11,8.38,9935163
2020-03-17,8.52,9.85,7.89,9.8,11559397
2020-03-18,8.95,9.27,8.31,8.95,11320452
2020-03-19,8.82,9.3,8.0,9.19,10920168
2020-03-20,9.34,10.01,8.87,8.98,10507641
2020-03-23,10.5,10.5,8.51,8.98,15726258
2020-03-24,9.44,9.8,8.79,9.0,9357587
2020-03-25,9.3,9.32,8.15,8.92,15613822
2020-03-26,9.03,9.19,8.54,8.95,12652177
2020-03-27,8.61,8.82,7.7,8.19,12894707
2020-03-30,8.25,8.27,7.59,8.06,10015010
2020-03-31,8.02,8.29,7.83,7.87,7307092
2020-04-01,7.5,7.61,7.13,7.39,9043242
2020-04-02,7.34,7.74,7.06,7.25,10385293
2020-04-03,7.17,7.43,6.96,7.17,10551214
2020-04-06,7.57,8.4,7.42,8.05,13401140
2020-04-07,8.71,9.24,8.34,8.36,16390806
2020-04-08,8.59,9.57,8.56,9.21,13280487
2020-04-09,9.8,10.24,9.37,9.57,10998036
2020-04-13,9.61,9.65,9.04,9.35,5484671
2020-04-14,9.49,9.78,9.2,9.47,6814831
2020-04-15,9.12,9.13,8.65,8.89,6465355
2020-04-16,9.0,9.0,8.53,8.68,6037390
2020-04-17,9.14,9.55,9.06,9.21,7401256
2020-04-20,8.99,9.18,8.69,8.79,4031001
2020-04-21,8.58,8.86,8.48,8.68,5509483
2020-04-22,8.81,8.91,8.36,8.37,5375471
2020-04-23,8.43,8.66,8.17,8.29,8796931
2020-04-24,8.32,8.59,8.21,8.44,7388877
2020-04-27,8.62,9.39,8.51,9.18,6847105
2020-04-28,9.5,9.84,9.35,9.75,8555549
2020-04-29,10.04,10.49,10.03,10.39,10956745
2020-04-30,10.33,10.38,9.65,9.94,13617071
2020-05-01,9.54,9.69,9.34,9.58,9570353
2020-05-04,9.24,9.61,9.06,9.51,10642667
2020-05-05,9.7,10.42,9.68,10.05,14428767
2020-05-06,10.05,10.21,9.37,9.6,6437818
2020-05-07,9.69,9.93,9.31,9.31,5572849
2020-05-08,9.45,9.64,9.34,9.47,6021354
2020-05-11,9.33,9.33,8.8,8.97,8937835
2020-05-12,9.01,9.25,8.64,8.65,6526095
2020-05-13,8.56,8.59,8.11,8.25,9759151
2020-05-14,8.03,8.55,7.71,8.53,9077188
2020-05-15,8.36,8.69,8.3,8.52,6163763
2020-05-18,8.85,9.43,8.81,9.32,5470609
2020-05-19,9.23,9.58,8.92,9.26,6942174
2020-05-20,9.38,9.66,9.31,9.57,8884230
2020-05-21,9.49,9.83,9.38,9.81,5449431
2020-05-22,9.87,10.07,9.45,9.59,6856158
2020-05-26,10.12,10.78,10.02,10.69,9699284
2020-05-27,11.1,11.41,10.78,11.3,12119251
2020-05-28,11.31,11.35,10.15,10.21,8443185
2020-05-29,10.04,10.09,9.65,9.86,24388332
2020-06-01,9.89,10.47,9.86,10.29,6240190
2020-06-02,10.47,10.84,10.33,10.72,6685017
2020-06-03,11.09,12.1,11.07,12.04,12216080
2020-06-04,11.94,12.06,11.63,11.94,10648862
2020-06-05,12.66,13.27,12.65,12.92,15151997
2020-06-08,13.19,13.37,12.65,13.21,6992135
2020-06-09,14.01,14.01,13.03,13.1,9686538
2020-06-10,12.98,13.04,12.55,12.58,6566677
2020-06-11,11.65,11.98,11.09,11.2,10761827
2020-06-12,11.72,11.88,11.28,11.72,8607510
2020-06-15,11.25,11.76,11.03,11.66,9867211
2020-06-16,12.24,12.44,11.81,12.1,6033102
2020-06-17,12.07,12.15,11.79,11.85,5489812
2020-06-18,11.69,12.02,11.55,11.81,4731679
2020-06-19,12.02,12.14,11.32,11.35,13972439
2020-06-22,11.25,11.41,11.07,11.23,6922043
2020-06-23,11.44,11.57,11.13,11.27,6637125
2020-06-24,11.06,11.08,10.55,10.71,7689887
2020-06-25,10.6,10.78,10.44,10.76,4934778
2020-06-26,10.65,10.8,10.28,10.46,11109442
2020-06-29,10.55,11.21,10.5,11.15,5775065
2020-06-30,11.17,11.53,11.02,11.29,8005905
2020-07-01,11.31,11.51,11.04,11.06,7691203
2020-07-02,11.37,11.88,11.33,11.46,7613930
2020-07-06,11.75,11.81,11.23,11.38,8124084
2020-07-07,11.23,11.37,11.1,11.15,6344550
2020-07-08,11.15,11.41,10.94,11.37,6190492
2020-07-09,11.33,11.37,10.72,10.77,8225561
2020-07-10,10.86,11.45,10.85,11.43,5833088
2020-07-13,11.48,11.67,11.05,11.46,5627156
2020-07-14,12.48,12.58,11.73,12.55,22489086
2020-07-15,13.25,14.53,13.17,14.34,26891152
2020-07-16,14.16,14.47,13.95,14.26,7271186
2020-07-17,14.34,14.34,13.91,14.02,6906488
2020-07-20,14.02,14.13,13.69,13.98,6134854
2020-07-21,14.0,14.27,13.83,13.88,5271649
2020-07-22,13.9,14.2163,13.79,14.05,5251395
2020-07-23,14.01,14.34,13.945,14.08,5310175
2020-07-24,14.1,14.29,13.955,13.97,5184211
2020-07-27,13.96,14.22,13.885,14.16,5480112
2020-07-28,14.09,14.46,14.03,14.21,5926555
2020-07-29,14.31,14.76,14.2442,14.64,6063571
2020-07-30,15.05,15.6,14.01,14.26,16741645
2020-07-31,14.4,14.56,13.86,14.13,19984108
2020-08-03,14.23,14.52,14.12,14.32,8092522
2020-08-04,14.3,14.61,14.135,14.26,6068182
2020-08-05,14.35,14.78,14.35,14.74,4792337
2020-08-06,14.79,14.84,14.24,14.27,6645695
2020-08-07,14.27,15.05,14.1625,15.04,7000616
2020-08-10,15.0,16.025,14.93,15.78,10471962
2020-08-11,16.56,16.755,15.905,15.95,6786633
2020-08-12,16.12,16.18,15.64,15.97,5509732
2020-08-13,15.86,15.87,15.45,15.6,5504266
2020-08-14,15.58,15.895,15.45,15.77,3102350
2020-08-17,15.78,15.9,15.59,15.84,4196832
2020-08-18,15.77,15.885,15.46,15.76,3792560
2020-08-19,15.7,16.1,15.66,15.78,4755923
2020-08-20,15.7,15.85,15.55,15.65,3107719
2020-08-21,15.74,15.94,15.51,15.68,3514450
2020-08-24,15.72,16.06,15.62,16.04,4925959
2020-08-25,16.18,16.28,15.845,16.01,4519137
2020-08-26,15.87,15.99,15.56,15.57,4704803
2020-08-27,15.74,16.0,15.68,15.73,3340231
2020-08-28,15.81,15.895,15.46,15.72,3097849
2020-08-31,15.7,15.7,15.19,15.29,4902336
2020-09-01,15.24,15.6,15.13,15.54,4703154
2020-09-02,15.7,15.99,15.58,15.92,4859563
2020-09-03,15.94,16.145,15.42,15.51,3791460
2020-09-04,15.7,15.8,15.24,15.41,5482516
2020-09-08,15.25,15.69,15.19,15.52,4169453
2020-09-09,15.54,15.54,15.14,15.38,3071429
2020-09-10,15.52,15.655,15.22,15.28,2629709
2020-09-11,15.47,15.53,15.2,15.39,3955836
2020-09-14,15.55,15.84,15.39,15.78,4137077
2020-09-15,15.92,16.12,15.58,15.71,6808307
2020-09-16,15.81,16.44,15.745,16.21,6592931
2020-09-17,15.94,16.095,15.55,15.8,6030695
2020-09-18,15.77,15.875,15.505,15.67,14116529
2020-09-21,15.35,15.435,15.13,15.29,5156511
2020-09-22,15.34,15.68,15.32,15.64,3184104
2020-09-23,15.85,16.25,15.825,16.0,6030069
2020-09-24,15.9,15.9082,15.3,15.58,3502440
2020-09-25,15.46,15.6,15.19,15.51,6205621
2020-09-28,15.82,15.97,15.63,15.79,3781148
2020-09-29,15.79,15.79,15.315,15.44,3652182
2020-09-30,15.47,15.88,15.47,15.75,5010609
2020-10-01,15.85,16.13,15.525,15.95,4368822
2020-10-02,15.5,16.175,15.29,16.15,3537224
2020-10-05,16.26,16.76,16.11,16.74,6212702
2020-10-06,16.82,17.175,16.61,16.61,6874212
2020-10-07,16.95,17.33,16.77,16.8,5555175
2020-10-08,16.82,17.07,16.72,16.97,3639134
2020-10-09,17.04,17.25,16.845,17.21,4469112
2020-10-12,17.25,17.32,17.09,17.27,2999956
2020-10-13,17.21,17.35,16.93,17.02,2419717
2020-10-14,16.94,17.175,16.9,17.02,2791840
2020-10-15,16.8,17.37,16.76,17.34,2557053
2020-10-16,17.44,17.49,17.19,17.2,3931007
2020-10-19,17.19,17.27,16.62,16.73,4369807
2020-10-20,17.02,17.525,16.87,17.11,4486943
2020-10-21,17.0,17.4,16.94,17.26,3006547
2020-10-22,17.28,17.705,17.12,17.62,3379818
2020-10-23,17.73,17.735,17.425,17.58,2478580
2020-10-26,17.39,17.47,17.12,17.47,3861330
2020-10-27,17.48,17.595,17.3,17.5,3114709
2020-10-28,17.13,17.25,16.43,16.52,3708495
2020-10-29,16.61,16.61,16.21,16.51,5454225
2020-10-30,16.54,16.63,15.875,16.07,3381435
2020-11-02,16.3,16.745,16.21,16.59,3412433
2020-11-03,16.84,16.92,16.56,16.82,3319192
2020-11-04,16.78,16.89,16.31,16.37,4347667
2020-11-05,14.0,14.4,12.85,13.33,30430262
2020-11-06,13.31,13.75,12.74,12.85,14479979
2020-11-09,13.1,13.415,12.54,12.81,16176423
2020-11-10,12.82,13.04,12.72,12.98,10399432
2020-11-11,13.23,13.28,12.89,12.92,5657568
2020-11-12,12.81,12.89,12.28,12.45,8206889
2020-11-13,12.67,13.04,12.62,12.95,4634520
2020-11-16,13.23,13.36,13.02,13.32,7543226
2020-11-17,13.23,13.64,13.02,13.53,5697294
2020-11-18,13.56,13.78,13.4,13.41,4735441
2020-11-19,13.49,13.62,13.335,13.56,4104497
2020-11-20,13.52,13.7,13.3621,13.63,3315935
2020-11-23,13.73,14.17,13.645,14.01,4092340
2020-11-24,14.17,14.89,14.16,14.82,5544606
2020-11-25,14.34,14.545,14.1611,14.5,4303258
2020-11-27,14.73,14.77,14.39,14.43,2805372
2020-11-30,14.4,14.45,14.0,14.2,4904658
2020-12-01,14.47,14.58,14.01,14.14,4656066
2020-12-02,14.14,14.195,14.01,14.06,2855173
