,open,high,low,close,volume
2020-01-02,52.1,52.33,51.39,52.07,1557804
2020-01-03,51.24,51.94,51.13,51.89,1626649
2020-01-06,51.47,52.47,51.46,52.38,1859587
2020-01-07,52.35,52.795,52.15,52.49,1551233
2020-01-08,52.38,52.81,52.29,52.29,1928647
2020-01-09,52.54,53.43,52.425,53.275,4088854
2020-01-10,53.58,53.58,52.92,53.17,1152365
2020-01-13,53.37,53.64,52.56,52.91,2837897
2020-01-14,52.83,53.995,52.67,53.53,2239066
2020-01-15,53.54,54.24,53.465,53.75,1367472
2020-01-16,53.85,54.38,53.775,54.22,1779930
2020-01-17,54.33,54.73,54.2,54.32,1714479
2020-01-21,54.25,54.51,53.98,54.21,1216715
2020-01-22,54.29,54.605,54.1,54.24,1517260
2020-01-23,54.23,54.3,53.68,53.82,2253890
2020-01-24,53.96,54.015,53.35,53.72,4022564
2020-01-27,53.16,54.05,53.105,53.72,3238282
2020-01-28,53.64,54.77,53.5,54.62,2027986
2020-01-29,54.54,55.16,54.3436,54.65,2415732
2020-01-30,54.68,54.9668,53.32,54.23,5036646
2020-01-31,54.31,54.45,53.43,53.52,2505694
2020-02-03,53.59,54.19,53.275,53.62,2989969
2020-02-04,54.29,55.25,54.035,54.09,2108133
2020-02-05,54.37,55.09,54.11,54.32,1832033
2020-02-06,54.24,54.58,53.82,53.95,1495009
2020-02-07,53.93,54.17,53.1,53.17,1802669
2020-02-10,53.06,53.4925,53.0108,53.26,2652838
2020-02-11,53.43,53.7,53.19,53.43,1348514
2020-02-12,53.58,53.58,52.55,52.6,1541530
2020-02-13,52.27,52.725,52.09,52.44,1268977
2020-02-14,52.41,53.04,52.26,53.02,1197305
2020-02-18,53.11,53.11,52.16,52.61,1475423
2020-02-19,52.81,53.17,52.69,52.96,1114093
2020-02-20,52.76,52.96,51.985,52.7,1807776
2020-02-21,52.38,52.735,52.12,52.59,1106585
2020-02-24,51.34,51.98,51.15,51.4,1200782
2020-02-25,51.48,51.735,49.28,49.37,1825303
2020-02-26,49.6,50.09,48.54,48.54,2368948
2020-02-27,47.96,49.3,47.27,47.69,2007254
2020-02-28,46.66,47.25,45.81,47.12,3241113
2020-03-02,47.36,48.86,47.05,48.82,3047148
2020-03-03,48.62,49.82,46.485,47.25,2703696
2020-03-04,48.12,49.48,47.69,49.38,2710529
2020-03-05,48.46,48.79,47.05,47.36,3396753
2020-03-06,46.06,47.13,45.7254,46.75,2889637
2020-03-09,44.4,45.78,43.1,44.05,3867128
2020-03-10,45.37,45.98,43.9052,45.82,2840899
2020-03-11,44.64,44.74,43.26,43.78,2689215
2020-03-12,41.28,42.12,39.36,39.44,3547675
2020-03-13,40.97,42.09,38.13,40.58,3988985
2020-03-16,34.42,37.105,32.13,32.25,3770030
2020-03-17,34.05,34.05,28.94,31.47,6406577
2020-03-18,33.2,33.99,26.49,29.62,6431435
2020-03-19,29.64,32.83,28.71,31.95,5303657
2020-03-20,32.01,32.85,30.12,31.05,4716889
2020-03-23,31.04,31.15,29.09,29.38,3390415
2020-03-24,30.82,31.77,30.23,31.44,3739443
2020-03-25,30.4032,33.2,30.4032,32.26,4324947
2020-03-26,32.85,34.26,32.5,34.02,4351342
2020-03-27,32.77,34.09,32.46,33.26,2902590
2020-03-30,33.0,35.36,32.7032,35.0,3913554
2020-03-31,34.75,35.3917,34.39,35.1,4364452
2020-04-01,33.74,34.34,32.55,32.7,3154237
2020-04-02,32.14,34.24,32.001,34.06,2577547
2020-04-03,33.91,34.34,32.55,32.82,2053999
2020-04-06,34.08,36.32,34.04,35.86,2703985
2020-04-07,38.02,38.89,37.377,37.77,3732747
2020-04-08,37.31,39.66,37.2605,39.38,2180921
2020-04-09,40.17,41.67,40.01,41.11,3092155
2020-04-13,40.76,41.07,39.79,40.96,4725065
2020-04-14,41.11,42.66,41.04,42.01,2766325
2020-04-15,40.84,41.64,40.65,41.33,2043503
2020-04-16,41.48,42.0,41.11,41.46,2680192
2020-04-17,42.66,43.79,42.42,43.79,2234022
2020-04-20,42.98,44.32,42.52,43.24,3005888
2020-04-21,41.68,43.26,41.03,42.35,2822935
2020-04-22,42.89,43.19,42.4,42.88,2905350
2020-04-23,43.68,46.34,43.08,45.38,4665898
2020-04-24,45.9,47.46,45.81,47.11,3087778
2020-04-27,47.87,49.9,47.51,49.51,2737976
2020-04-28,49.98,50.5,48.4,48.685,3952398
2020-04-29,49.52,50.055,48.47,48.95,3854414
2020-04-30,53.43,53.45,49.22,50.1,9441315
2020-05-01,49.05,49.69,48.39,49.4,3200084
2020-05-04,49.47,50.26,48.95,49.93,2906070
2020-05-05,50.56,51.43,50.085,50.28,2790986
2020-05-06,51.3,52.3689,50.5371,52.01,3507987
2020-05-07,52.75,53.25,52.21,52.94,2727855
2020-05-08,53.22,53.4,51.86,51.99,2155156
2020-05-11,51.74,53.0,51.69,52.81,1869450
2020-05-12,53.1,53.47,51.89,51.89,1727350
2020-05-13,51.53,52.36,50.465,51.35,2344220
2020-05-14,50.48,51.51,49.9113,51.41,2127663
2020-05-15,52.0742,52.46,50.98,51.93,2357227
2020-05-18,52.95,53.99,52.115,52.48,2165520
2020-05-19,52.24,53.48,52.24,52.89,2120454
2020-05-20,53.14,54.58,53.12,53.98,2684088
2020-05-21,53.53,53.925,52.46,52.56,2648356
2020-05-22,52.41,52.68,51.71,52.33,2012829
2020-05-26,53.27,53.58,50.93,51.1,2252646
2020-05-27,51.4,51.43,49.725,51.39,2895522
2020-05-28,51.68,53.2,51.13,52.32,1909796
2020-05-29,52.39,53.18,51.29,53.0,3636674
2020-06-01,52.56,53.8,51.915,53.25,1259751
2020-06-02,53.06,53.13,52.07,52.67,1471355
2020-06-03,53.91,54.615,53.36,53.69,4163505
2020-06-04,53.13,53.76,52.0,52.32,2132479
2020-06-05,53.09,53.58,52.25,52.41,3527422
2020-06-08,51.78,53.315,51.64,53.11,1431030
2020-06-09,53.95,53.95,52.13,52.75,2265628
2020-06-10,53.04,53.26,51.86,52.01,1535304
2020-06-11,51.03,51.33,49.82,50.46,2725596
2020-06-12,51.58,51.77,49.45,50.15,3133342
2020-06-15,49.32,52.592,49.19,52.4,2549549
2020-06-16,53.33,53.89,52.49,52.83,2264875
2020-06-17,53.04,53.33,52.475,52.64,2143805
2020-06-18,52.19,53.12,52.06,53.07,2527443
2020-06-19,53.9,55.28,53.5,55.16,6407502
2020-06-22,55.01,55.5,54.05,55.21,3707404
2020-06-23,55.75,55.96,55.2,55.5,3231008
2020-06-24,55.12,55.25,53.145,53.67,4097093
2020-06-25,54.04,54.78,53.55,54.57,2654278
2020-06-26,54.77,54.95,53.26,53.52,2670929
2020-06-29,53.91,53.98,53.02,53.33,2143200
2020-06-30,54.07,57.32,53.85,57.0,3403400
2020-07-01,57.47,57.48,55.8,56.97,1991600
2020-07-02,57.54,58.72,57.54,57.86,3009100
2020-07-06,58.55,59.14,57.63,57.86,2499700
2020-07-07,57.42,57.82,56.71,56.85,1753300
2020-07-08,56.84,57.75,56.79,57.62,1747200
2020-07-09,57.59,57.92,56.3,57.47,1745100
2020-07-10,57.38,58.29,56.92,57.7,2930900
2020-07-13,58.1,59.69,57.23,57.5,2084800
2020-07-14,57.64,59.47,57.28,59.43,2133100
2020-07-15,59.99,60.59,59.19,60.26,1938300
2020-07-16,60.25,60.25,59.55,59.96,1055100
2020-07-17,60.28,62.29,60.0,61.88,2407200
2020-07-20,61.79,61.83,60.99,61.43,1600915
2020-07-21,61.29,62.38,61.22,61.84,1729966
2020-07-22,61.98,62.69,61.69,62.17,1636457
2020-07-23,63.39,63.6,61.645,61.94,2166878
2020-07-24,61.56,61.89,60.9322,61.75,2111925
2020-07-27,61.79,62.87,61.42,62.69,1551869
2020-07-28,62.43,62.75,61.92,62.1,1481871
2020-07-29,62.45,64.21,62.15,64.0,2220463
2020-07-30,69.52,70.15,67.45,69.71,4817512
2020-07-31,68.6666,70.35,68.6666,69.78,2584378
2020-08-03,70.6,71.49,70.08,71.32,2654992
2020-08-04,71.22,72.21,70.8003,72.06,1832908
2020-08-05,72.26,73.63,72.21,73.32,2236408
2020-08-06,72.8,73.25,69.44,70.25,3267014
2020-08-07,70.3,71.3,68.0818,68.55,3146441
2020-08-10,68.62,68.73,65.71,65.9,2819170
2020-08-11,66.34,66.34,64.1732,65.79,2864237
2020-08-12,66.26,68.55,66.14,67.99,1868396
2020-08-13,67.54,68.77,67.42,68.12,1636466
2020-08-14,67.64,68.02,66.4726,66.81,1065602
2020-08-17,67.01,68.48,66.92,68.08,1698161
2020-08-18,68.2,68.625,67.6,67.8,1456387
2020-08-19,67.98,68.42,66.88,67.04,2019640
2020-08-20,66.66,67.38,66.511,67.08,1534560
2020-08-21,66.75,67.03,66.4,66.75,1790623
2020-08-24,66.94,67.235,65.11,65.33,1426894
2020-08-25,65.65,66.2,64.9928,66.115,1109431
2020-08-26,66.06,66.42,65.3,65.91,1044309
2020-08-27,60.03,62.45,57.94,61.54,8004281
2020-08-28,61.9662,61.9662,59.5,60.37,4093675
2020-08-31,60.6,61.1119,59.61,59.72,3745365
2020-09-01,59.84,60.51,58.4,59.22,2634172
2020-09-02,59.49,61.91,58.82,61.74,3022821
2020-09-03,61.14,61.74,58.66,59.21,2848113
2020-09-04,59.36,59.61,56.81,58.24,2627921
2020-09-08,57.61,58.97,57.02,57.6,2065650
2020-09-09,58.07,59.46,57.98,59.23,2489140
2020-09-10,59.34,60.91,58.66,59.92,2736535
2020-09-11,63.875,64.0,61.32,62.04,3671972
2020-09-14,62.28,62.59,60.45,60.65,1924699
2020-09-15,61.13,61.95,60.68,60.89,1817287
2020-09-16,61.28,61.74,60.54,60.77,1547575
2020-09-17,59.94,63.28,59.71,63.23,2978457
2020-09-18,63.17,64.28,62.27,63.57,3929622
2020-09-21,62.5,65.22,61.285,65.12,3006191
2020-09-22,65.0,65.575,63.65,65.38,2036223
2020-09-23,65.72,65.72,63.69,63.75,1369167
2020-09-24,63.72,63.88,62.49,63.01,1077319
2020-09-25,63.05,64.44,62.45,64.35,1112902
2020-09-28,65.73,66.61,65.1,65.77,1630054
2020-09-29,65.82,66.73,65.49,66.12,1242716
2020-09-30,66.04,67.45,65.56,66.47,1698736
2020-10-01,67.0,67.86,65.97,66.35,1493961
2020-10-02,65.63,67.31,65.6,66.88,1086124
2020-10-05,67.56,68.44,67.46,67.9,1363786
2020-10-06,68.18,68.8,67.02,67.29,1310558
2020-10-07,68.13,69.31,67.81,68.93,1380276
2020-10-08,69.32,69.4399,68.02,68.29,1632621
2020-10-09,69.03,69.705,68.06,69.39,1540023
2020-10-12,69.54,69.71,68.04,68.34,1735091
2020-10-13,68.25,68.49,67.4202,67.67,1781656
2020-10-14,68.15,68.16,65.84,66.5,1810838
2020-10-15,66.37,66.59,65.31,65.93,1758902
2020-10-16,66.12,67.45,65.49,66.9,2285383
2020-10-19,66.81,67.79,66.57,67.01,1231818
2020-10-20,67.24,67.78,66.35,66.38,883758
2020-10-21,66.56,67.17,65.735,65.85,1211749
2020-10-22,65.65,68.21,65.57,67.97,1537418
2020-10-23,68.23,68.43,67.16,67.91,1029546
2020-10-26,67.68,68.95,67.29,68.66,1648997
2020-10-27,68.41,71.07,68.41,70.92,2094508
2020-10-28,69.73,71.46,69.39,69.69,2526800
2020-10-29,69.55,70.83,69.1621,70.5,2300024
2020-10-30,70.45,71.02,67.71,68.82,2228798
2020-11-02,69.85,70.735,69.44,70.56,2328644
2020-11-03,70.84,72.18,70.48,71.92,1778714
2020-11-04,72.7,74.42,72.415,73.75,2177353
2020-11-05,76.5,77.47,74.23,76.67,3135902
2020-11-06,77.43,77.488,74.6,75.05,2381459
2020-11-09,66.64,70.0,66.0534,68.35,5826590
2020-11-10,68.23,68.51,64.01,66.69,3254452
2020-11-11,67.66,70.14,67.23,69.84,2379524
2020-11-12,70.51,70.92,69.5758,70.2,2147383
2020-11-13,70.07,71.85,69.285,69.74,2150395
2020-11-16,69.17,71.14,68.97,71.07,2073852
2020-11-17,71.08,72.825,71.08,72.0,1870980
2020-11-18,72.1,72.21,69.92,70.01,1687960
2020-11-19,70.0,70.51,69.66,70.01,2044194
2020-11-20,69.26,69.67,68.6,68.99,2314514
2020-11-23,69.72,69.75,67.33,68.07,1730773
2020-11-24,68.49,69.21,67.62,67.68,1943287
2020-11-25,67.85,68.81,67.64,68.23,1614434
2020-11-27,68.57,69.53,68.39,69.51,624408
2020-11-30,69.52,69.87,68.12,69.13,2230371
2020-12-01,69.36,70.18,68.9003,69.63,1262907
2020-12-02,69.53,71.015,68.66,70.86,1472192
2020-12-03,70.93,72.71,70.6,72.49,1975667
2020-12-04,72.12,73.21,71.42,73.155,1451389
2020-12-07,73.23,73.69,72.6,73.18,1739211
2020-12-08,72.99,73.14,72.36,72.77,1629531
2020-12-09,73.19,73.19,71.33,71.83,1476445
2020-12-10,71.73,76.44,71.51,76.25,3683047
2020-12-11,75.91,76.56,73.79,74.32,2295727
2020-12-14,75.14,76.85,73.98,74.17,1911347
2020-12-15,74.37,76.48,73.71,75.5,1543489
2020-12-16,76.06,76.06,73.42,73.63,1894190
