,open,high,low,close,volume
2020-01-02,177.5,180.8,177.14,180.79,2857379
2020-01-03,178.34,179.83,177.41,178.86,2805057
2020-01-06,177.84,178.38,176.93,177.51,3276151
2020-01-07,177.37,178.07,175.59,177.61,3002824
2020-01-08,177.67,179.1,176.73,177.76,2545487
2020-01-09,178.7,179.43,178.06,179.07,1789448
2020-01-10,179.9,179.9,178.14,178.68,1671686
2020-01-13,179.25,181.34,178.69,181.27,2261853
2020-01-14,180.49,181.22,179.51,180.45,2191156
2020-01-15,181.29,182.44,179.85,180.73,2600800
2020-01-16,181.5,182.49,180.79,182.26,2215388
2020-01-17,182.86,184.06,182.53,183.23,2607963
2020-01-21,183.04,183.3,180.47,180.93,2188566
2020-01-22,181.56,181.88,179.81,180.05,1881657
2020-01-23,179.81,180.54,179.03,179.58,2434031
2020-01-24,179.92,180.26,176.49,177.13,2736972
2020-01-27,174.27,175.34,173.47,173.54,2491525
2020-01-28,174.12,176.75,173.24,175.46,2178402
2020-01-29,177.0,177.74,175.63,175.67,2198978
2020-01-30,173.8,178.77,173.8,178.34,3073247
2020-01-31,177.91,177.91,171.34,173.22,5499968
2020-02-03,174.46,175.62,170.67,171.32,3542722
2020-02-04,174.08,176.06,174.0,175.21,2992496
2020-02-05,176.91,177.63,175.4,176.9,2818117
2020-02-06,178.0,178.0,176.16,176.35,2427522
2020-02-07,175.85,176.72,174.7,175.28,3254485
2020-02-10,174.92,177.12,174.11,176.95,2399668
2020-02-11,178.25,179.94,177.2,179.15,2948547
2020-02-12,179.48,181.64,179.05,181.18,2950819
2020-02-13,180.33,180.95,178.69,180.12,1985746
2020-02-14,180.51,181.86,179.98,180.81,2489020
2020-02-18,180.1,180.49,178.95,179.42,1818587
2020-02-19,179.83,181.68,179.5,180.86,2464549
2020-02-20,180.93,182.21,179.01,180.7,2336836
2020-02-21,179.61,180.99,178.75,179.88,1940390
2020-02-24,174.44,177.37,173.46,175.27,3202804
2020-02-25,175.64,176.55,166.83,167.8,4092200
2020-02-26,168.59,172.08,166.77,167.18,3411740
2020-02-27,163.01,166.83,159.52,159.55,3950779
2020-02-28,153.75,162.17,150.62,162.17,9558084
2020-03-02,163.09,165.48,157.59,164.24,6744856
2020-03-03,164.28,168.18,160.56,161.89,6104398
2020-03-04,164.9,171.93,164.26,171.19,4532525
2020-03-05,166.5,167.91,163.22,164.92,5394665
2020-03-06,158.81,165.12,157.58,164.03,5021636
2020-03-09,152.5,157.26,149.74,152.86,5848987
2020-03-10,155.85,161.94,153.35,161.69,5477609
2020-03-11,156.83,157.48,151.56,153.39,4669714
2020-03-12,143.39,145.48,134.44,134.85,7160091
2020-03-13,142.15,149.68,138.02,149.41,6323282
2020-03-16,128.0,143.23,124.01,135.27,5889124
2020-03-17,136.23,141.97,130.19,131.8,8522916
2020-03-18,121.92,124.13,101.1,119.61,7629014
2020-03-19,117.75,122.42,112.02,118.96,6811746
2020-03-20,120.89,121.16,110.78,112.5,6800503
2020-03-23,107.49,111.08,101.08,103.86,8197570
2020-03-24,110.0,119.53,109.25,119.51,5797920
2020-03-25,120.29,135.34,119.8,129.65,7158629
2020-03-26,131.83,139.39,131.16,137.4,5600123
2020-03-27,131.42,135.21,128.14,131.27,3924936
2020-03-30,130.75,133.76,130.13,131.75,5035217
2020-03-31,131.84,136.11,130.0,133.79,5294895
2020-04-01,128.28,131.28,125.5,129.71,4246011
2020-04-02,128.6,133.15,127.14,132.81,3503918
2020-04-03,132.5,132.84,126.53,127.45,4031396
2020-04-06,133.52,135.37,132.51,134.0,4873277
2020-04-07,140.64,142.22,135.0,135.24,4051150
2020-04-08,136.67,140.38,135.21,139.25,3890577
2020-04-09,140.0,146.3,139.7,143.43,4365003
2020-04-13,142.76,143.21,136.51,137.94,3015172
2020-04-14,140.71,143.73,138.55,140.59,3484932
2020-04-15,137.57,137.97,132.51,134.84,3252139
2020-04-16,134.58,135.3,129.58,132.33,4012931
2020-04-17,135.87,140.2,135.67,138.32,4750732
2020-04-20,135.79,138.19,134.89,135.7,2528084
2020-04-21,133.07,134.02,130.72,132.0,2417790
2020-04-22,134.22,134.71,131.75,133.03,2629687
2020-04-23,134.75,138.59,134.16,134.68,2786427
2020-04-24,135.7,136.24,132.36,135.52,2837854
2020-04-27,136.53,141.08,135.78,139.88,3137736
2020-04-28,143.32,146.59,142.12,142.76,3377914
2020-04-29,145.5,147.87,144.01,146.16,2650140
2020-04-30,143.49,143.99,140.56,141.9,4485717
2020-05-01,139.33,139.5,134.17,137.25,3681074
2020-05-04,133.9,136.36,132.81,135.2,4120819
2020-05-05,137.09,137.09,134.53,134.87,3120778
2020-05-06,136.11,136.11,132.98,133.04,2348174
2020-05-07,134.62,135.65,132.01,132.79,3096385
2020-05-08,134.67,137.32,134.4,136.91,2740390
2020-05-11,135.76,135.92,134.15,134.28,2356446
2020-05-12,135.32,136.03,127.5,127.59,4869290
2020-05-13,127.13,127.14,121.88,122.97,5784885
2020-05-14,120.27,127.26,117.11,127.05,5225732
2020-05-15,125.37,126.66,123.73,125.41,4660335
2020-05-18,130.5,137.59,129.68,136.04,6402844
2020-05-19,135.25,135.42,131.94,131.95,4427835
2020-05-20,134.55,136.68,134.26,136.03,2949607
2020-05-21,137.53,138.79,136.29,137.69,2374194
2020-05-22,137.47,139.34,136.45,139.18,2957908
2020-05-26,143.77,146.26,143.41,144.94,4370151
2020-05-27,148.36,150.94,146.87,148.59,4291681
2020-05-28,150.0,151.21,144.68,147.56,3481749
2020-05-29,145.72,149.9,144.33,145.85,4134971
2020-06-01,145.49,147.79,144.91,146.18,2071084
2020-06-02,147.79,148.73,146.45,148.35,3625790
2020-06-03,150.24,154.38,150.05,153.35,2992024
2020-06-04,152.01,156.18,151.13,155.91,3768204
2020-06-05,162.91,165.72,160.54,161.37,4524869
2020-06-08,161.57,164.3,161.07,162.92,3573409
2020-06-09,160.36,161.0,157.54,158.1,3676784
2020-06-10,157.72,157.85,153.43,154.12,3303212
2020-06-11,148.66,148.82,143.09,143.44,4183791
2020-06-12,148.21,149.0,141.15,144.51,3612442
2020-06-15,140.12,148.1,139.7,146.63,3314001
2020-06-16,152.11,152.41,146.17,149.11,3804462
2020-06-17,149.69,150.07,147.81,148.34,3507605
2020-06-18,146.85,149.0,146.32,148.23,2580132
2020-06-19,150.46,150.84,144.73,145.37,5265949
2020-06-22,144.61,146.5,143.34,144.94,2529918
2020-06-23,146.89,147.24,144.72,144.86,2308274
2020-06-24,142.82,143.33,138.08,138.35,3370348
2020-06-25,138.03,142.8,137.79,142.46,4016203
2020-06-26,142.31,142.31,137.53,138.21,10255342
2020-06-29,140.11,143.3,139.28,143.24,2971245
2020-06-30,142.26,145.52,142.02,144.59,3685931
2020-07-01,145.22,146.48,142.97,144.11,2610403
2020-07-02,145.58,147.15,144.55,145.02,2758413
2020-07-06,147.25,148.3,146.13,147.22,2336714
2020-07-07,146.0,146.1,144.26,144.97,2622043
2020-07-08,144.43,145.93,143.91,145.59,3587784
2020-07-09,144.74,145.52,141.33,141.37,3167231
2020-07-10,141.63,143.12,140.9,142.45,2325045
2020-07-13,143.58,145.88,142.25,143.49,2584977
2020-07-14,143.49,148.31,142.29,148.1,2648031
2020-07-15,151.2,152.69,150.87,151.93,2984605
2020-07-16,151.01,153.51,150.25,153.08,3697605
2020-07-17,153.5,155.38,152.46,155.0,4886488
2020-07-20,154.12,154.88,152.52,153.39,4875873
2020-07-21,153.88,157.02,153.88,154.76,2394025
2020-07-22,154.11,155.61,153.91,154.61,1798752
2020-07-23,154.36,155.49,152.8675,153.73,2625565
2020-07-24,154.0,154.25,149.04,149.43,4368458
2020-07-27,148.8,150.96,147.92,150.76,3378500
2020-07-28,150.5,152.08,149.42,152.01,3904219
2020-07-29,151.57,155.43,151.1722,154.58,3311499
2020-07-30,152.93,153.07,149.03,149.16,2749145
2020-07-31,148.92,149.48,147.0,149.37,4061644
2020-08-03,150.13,150.25,147.31,148.53,2105414
2020-08-04,147.26,148.16,146.21,147.33,3047403
2020-08-05,148.79,151.0,148.55,150.82,4181000
2020-08-06,150.92,152.8998,150.34,152.58,2502703
2020-08-07,152.44,155.26,151.86,155.11,2520220
2020-08-10,155.16,159.875,155.16,159.43,2859020
2020-08-11,160.72,163.25,160.1,160.28,3773736
2020-08-12,162.52,162.815,158.99,160.07,2670107
2020-08-13,157.68,159.65,157.5695,158.98,2575155
2020-08-14,158.0,160.87,157.96,160.28,2845057
2020-08-17,160.03,160.88,158.05,158.76,2816713
