,open,high,low,close,volume
2020-01-02,46.48,46.55,45.42,45.52,3266065
2020-01-03,44.83,45.06,44.7,44.72,2835811
2020-01-06,44.54,44.69,43.87,43.95,3041835
2020-01-07,43.67,43.76,43.25,43.48,3319145
2020-01-08,43.55,44.25,43.47,43.99,2516919
2020-01-09,44.12,44.39,43.86,44.11,1769630
2020-01-10,44.11,44.46,43.93,43.99,1796074
2020-01-13,44.15,44.6,43.98,44.44,2734877
2020-01-14,44.3,44.64,44.26,44.42,2009071
2020-01-15,44.31,44.67,44.04,44.5,1319611
2020-01-16,44.71,45.39,44.6,45.35,3203777
2020-01-17,45.47,45.96,45.38,45.75,2666284
2020-01-21,44.56,44.84,43.84,44.54,3198201
2020-01-22,44.63,44.9,44.42,44.51,1672953
2020-01-23,44.25,44.84,43.79,44.66,1652641
2020-01-24,44.56,44.64,43.31,43.53,2823660
2020-01-27,42.76,43.04,42.38,42.58,3105415
2020-01-28,42.99,43.02,42.56,42.85,1995506
2020-01-29,43.06,43.83,42.95,43.37,3458303
2020-01-30,42.74,43.17,41.36,42.19,4546138
2020-01-31,41.75,41.89,40.04,40.72,6409186
2020-02-03,41.0,41.54,40.73,41.25,3567463
2020-02-04,41.94,42.12,41.66,41.76,3267072
2020-02-05,42.19,44.22,42.19,44.04,4525642
2020-02-06,44.32,44.47,43.71,44.25,2809925
2020-02-07,43.88,44.01,43.5,43.56,1829170
2020-02-10,43.44,43.87,43.3,43.74,1624576
2020-02-11,43.99,44.94,43.84,44.37,1763508
2020-02-12,44.57,44.98,44.46,44.5,1763623
2020-02-13,44.25,44.25,43.22,43.45,2210320
2020-02-14,43.46,43.81,42.99,43.19,1775172
2020-02-18,43.05,43.25,42.61,43.23,1525672
2020-02-19,43.23,43.56,42.63,42.7,2454181
2020-02-20,42.28,43.05,42.18,42.95,2209132
2020-02-21,42.8,43.45,42.43,43.27,2684042
2020-02-24,41.85,41.99,41.12,41.35,2591261
2020-02-25,41.45,41.77,39.14,39.23,3766008
2020-02-26,39.7,40.19,38.71,38.82,3560597
2020-02-27,38.0,38.9,37.04,37.06,4160596
2020-02-28,36.0,37.26,35.6,36.96,4996195
2020-03-02,37.25,38.26,36.47,38.23,4603243
2020-03-03,38.03,39.11,36.62,37.06,3869455
2020-03-04,37.68,38.02,37.11,37.92,3503486
2020-03-05,36.75,37.38,36.18,36.53,3016510
2020-03-06,35.24,36.05,34.87,35.71,4050010
2020-03-09,33.25,33.99,31.79,32.28,4437722
2020-03-10,33.7,34.25,32.28,34.17,4153514
2020-03-11,33.0,33.21,31.48,32.23,4723971
2020-03-12,30.28,30.91,28.61,28.62,5228701
2020-03-13,30.4,33.46,29.3,33.44,6022124
2020-03-16,28.78,33.36,28.2,29.72,5667968
2020-03-17,30.43,33.53,29.07,33.49,5867907
2020-03-18,30.6,33.48,29.85,30.95,4239199
2020-03-19,30.76,31.02,29.09,30.13,3683041
