Date,open,high,low,close,volume
2020-01-02,23.27,23.36,22.385,22.71,4513051
2020-01-03,22.41,22.78,22.41,22.73,2301957
2020-01-06,22.58,22.95,22.52,22.93,3322999
2020-01-07,22.88,23.02,22.76,22.98,2818151
2020-01-08,23.02,23.16,22.82,23.04,4438228
2020-01-09,23.16,23.16,22.86,23.16,3887184
2020-01-10,23.14,23.34,23.1,23.12,3725524
2020-01-13,23.14,23.4,23.05,23.36,2351826
2020-01-14,23.31,23.675,23.255,23.63,3233583
2020-01-15,23.61,23.94,23.51,23.8,1634171
2020-01-16,23.87,24.04,23.7,23.74,3166951
2020-01-17,23.82,24.15,23.77,24.15,2718162
2020-01-21,24.04,24.1,23.81,24.05,2966519
2020-01-22,24.13,24.13,23.66,23.7,2765759
2020-01-23,23.57,23.67,23.29,23.54,2841024
2020-01-24,23.65,23.65,23.175,23.41,2247650
2020-01-27,23.09,23.24,23.025,23.16,2546458
2020-01-28,23.27,23.41,23.11,23.23,2202555
2020-01-29,23.25,23.33,23.01,23.02,2099243
2020-01-30,22.85,23.25,22.66,23.2,3846325
2020-01-31,23.2,23.26,22.61,22.7,4826812
2020-02-03,22.83,23.05,22.715,22.78,3338785
2020-02-04,23.05,23.05,22.8,22.87,4865055
2020-02-05,23.04,23.76,23.0,23.52,4273218
2020-02-06,23.66,23.76,23.21,23.21,2565348
2020-02-07,23.09,23.15,22.77,23.02,3589344
2020-02-10,22.98,23.17,22.93,23.16,3113862
2020-02-11,23.25,23.45,23.01,23.25,3993194
2020-02-12,24.0,25.1492,23.79,24.98,8906958
2020-02-13,24.96,25.095,24.81,25.06,4346588
2020-02-14,25.1,25.2,24.405,24.47,2497899
2020-02-18,24.4,24.94,24.34,24.86,4446667
2020-02-19,24.94,25.13,24.77,24.99,2794020
2020-02-20,24.91,25.0,24.65,24.93,2027503
2020-02-21,24.79,24.79,24.17,24.41,4801439
2020-02-24,23.95,24.17,23.73,23.96,3228539
2020-02-25,24.02,24.14,22.875,23.15,5006883
2020-02-26,23.26,23.8,22.98,22.99,4952363
2020-02-27,22.48,22.73,21.79,21.8,6834978
2020-02-28,20.9,21.48,20.55,21.36,7259416
2020-03-02,21.36,21.8,20.515,21.79,7042794
2020-03-03,21.55,22.03,20.91,21.21,6074817
2020-03-04,21.55,21.82,21.03,21.56,5174840
2020-03-05,20.98,21.1,20.38,20.71,7205181
2020-03-06,19.95,20.54,19.57,20.04,5566531
2020-03-09,18.62,18.9,18.035,18.23,5032985
2020-03-10,18.8,18.86,17.4301,18.84,9424989
2020-03-11,18.21,18.355,17.66,18.01,8992864
2020-03-12,16.86,16.86,15.24,15.26,6013413
2020-03-13,16.24,17.13,15.185,17.11,7965792
2020-03-16,14.85,16.37,14.67,15.17,7035975
2020-03-17,15.47,15.68,14.36,15.47,6901557
2020-03-18,14.52,14.92,13.61,14.7,8432678
2020-03-19,14.51,15.085,14.03,14.1,7161619
2020-03-20,14.25,14.28,12.2,12.52,12728006
2020-03-23,12.4,13.23,11.63,12.88,9438494
2020-03-24,13.66,14.95,13.455,14.77,8422764
2020-03-25,14.84,16.09,13.803,15.05,8090481
2020-03-26,15.3,16.76,15.11,16.64,5860226
2020-03-27,15.88,16.29,14.85,15.21,6300721
2020-03-30,15.05,16.55,14.86,16.2,6907118
2020-03-31,16.24,16.67,15.93,16.19,7281772
2020-04-01,15.25,15.56,14.18,14.54,6307785
2020-04-02,14.32,14.94,13.891,14.37,4603498
2020-04-03,14.24,14.535,13.38,13.58,5810694
2020-04-06,14.32,15.14,14.22,15.02,5812626
2020-04-07,16.21,16.65,15.3,15.39,7803444
2020-04-08,15.55,16.05,15.365,15.9,4876889
2020-04-09,16.27,16.67,15.99,16.28,5048149
2020-04-13,15.98,16.22,15.06,16.04,5396038
