,open,high,low,close,volume
2020-01-02,24.81,24.9,24.54,24.71,2875989
2020-01-03,24.26,24.51,24.17,24.34,3041810
2020-01-06,24.16,24.41,24.14,24.29,4139411
2020-01-07,24.4,24.4,24.06,24.19,1909726
2020-01-08,24.13,24.32,24.02,24.11,2143028
2020-01-09,24.23,24.38,24.05,24.37,2349439
2020-01-10,24.37,24.39,24.06,24.16,1714112
2020-01-13,24.29,24.61,24.15,24.54,1752907
2020-01-14,24.48,24.54,24.35,24.46,2006200
2020-01-15,24.47,24.62,24.35,24.48,1277276
2020-01-16,24.66,24.94,24.6,24.9,2135978
2020-01-17,24.99,25.0,24.49,24.7,3974010
2020-01-21,24.63,24.76,24.51,24.52,3497086
2020-01-22,24.59,24.7,24.37,24.42,2453976
2020-01-23,24.39,24.58,24.09,24.49,2025055
2020-01-24,24.57,24.69,24.41,24.58,3254269
2020-01-27,24.21,24.68,23.78,24.47,8705021
2020-01-28,22.73,23.92,22.67,23.26,10404802
2020-01-29,23.36,23.46,22.71,22.76,4582782
2020-01-30,22.51,22.985,22.4,22.92,4234465
2020-01-31,22.75,23.04,22.38,22.94,6329499
2020-02-03,22.89,23.31,22.83,23.15,5588211
2020-02-04,23.51,23.57,23.16,23.34,4932047
2020-02-05,23.56,23.64,23.27,23.35,4900295
2020-02-06,23.37,23.43,23.11,23.12,4738526
2020-02-07,23.13,23.88,23.12,23.76,6273048
2020-02-10,23.67,24.33,23.63,24.18,4878280
2020-02-11,24.44,24.62,24.25,24.47,4263530
2020-02-12,24.59,24.97,24.35,24.43,3729662
2020-02-13,24.16,24.97,24.01,24.94,5018052
2020-02-14,24.92,24.95,24.2,24.24,6793379
2020-02-18,24.12,24.27,23.96,24.07,2813637
2020-02-19,24.13,24.35,23.87,24.0,3052709
2020-02-20,23.97,24.38,23.95,24.32,2926912
2020-02-21,24.26,24.49,24.11,24.14,2929975
2020-02-24,23.67,23.71,23.27,23.29,4400575
2020-02-25,23.37,23.4,22.4,22.65,3699963
2020-02-26,22.81,22.81,22.01,22.38,5739385
2020-02-27,22.02,22.62,21.54,21.74,5565261
2020-02-28,20.95,21.49,20.71,21.22,7056867
2020-03-02,21.24,21.89,20.87,21.88,5470521
2020-03-03,21.84,22.67,21.48,21.79,5379915
2020-03-04,22.0,22.59,21.67,22.57,3614331
2020-03-05,22.0,22.25,21.39,21.59,3698002
2020-03-06,20.92,21.46,20.85,21.38,3199073
2020-03-09,20.37,20.6,19.71,19.94,3925794
2020-03-10,20.39,21.38,20.12,21.35,6641214
2020-03-11,20.83,20.88,20.0,20.29,4586789
2020-03-12,19.11,19.66,17.79,19.2,5657516
2020-03-13,20.13,20.58,18.64,20.3,4838076
2020-03-16,16.79,19.82,15.2,18.49,7224207
2020-03-17,18.44,19.28,17.34,18.52,5958860
2020-03-18,16.96,18.45,16.77,18.36,5466243
2020-03-19,18.19,18.68,17.39,18.17,6661703
2020-03-20,18.29,18.65,17.52,17.64,3491656
2020-03-23,17.58,17.96,16.87,17.28,4383092
2020-03-24,18.02,19.58,17.82,19.45,5243633
2020-03-25,19.6,20.22,19.31,19.42,5323225
2020-03-26,19.46,20.53,19.22,20.41,4179145
2020-03-27,19.88,20.46,19.43,19.94,4103511
2020-03-30,20.04,20.32,19.51,20.25,2334427
2020-03-31,20.13,20.36,19.03,19.14,6755942
2020-04-01,18.61,19.31,18.45,19.22,3723342
2020-04-02,18.52,19.71,18.52,19.66,4387913
2020-04-03,19.59,20.22,19.44,20.11,4753471
2020-04-06,20.68,21.53,20.41,21.34,4517218
2020-04-07,21.83,22.33,21.68,21.83,3620442
2020-04-08,22.11,22.38,21.9,22.25,3374965
2020-04-09,22.36,22.52,21.47,21.67,3933988
2020-04-13,21.66,21.91,21.5,21.84,2364909
2020-04-14,22.14,22.61,22.0,22.48,3552934
2020-04-15,22.16,22.41,21.62,21.89,3200621
2020-04-16,21.94,22.05,21.36,21.94,2935807
2020-04-17,22.32,22.62,22.08,22.57,3477267
2020-04-20,22.97,23.56,22.66,23.1,4260557
2020-04-21,22.94,23.0,22.46,22.61,4281855
2020-04-22,23.01,23.36,22.83,23.2,5316784
2020-04-23,23.25,23.42,22.94,23.13,2688778
2020-04-24,23.26,23.32,23.0,23.29,3729245
2020-04-27,23.47,23.81,23.35,23.74,2950156
2020-04-28,24.0,24.36,23.78,23.94,4236739
2020-04-29,24.79,25.23,22.98,23.07,9336505
2020-04-30,22.86,22.93,21.53,21.6,10018133
2020-05-01,21.4,22.29,21.28,21.82,6448213
2020-05-04,21.93,21.96,21.31,21.56,3352171
2020-05-05,21.65,22.39,21.49,22.14,3902594
2020-05-06,22.31,22.69,22.09,22.59,4148198
2020-05-07,22.84,23.13,22.49,23.12,5534983
2020-05-08,23.28,23.71,23.22,23.68,4010406
2020-05-11,23.51,23.84,23.42,23.8,2934220
2020-05-12,24.0,24.04,23.34,23.39,4451965
2020-05-13,23.31,23.7,22.6,22.82,6739977
2020-05-14,22.62,23.15,22.59,22.92,3056730
2020-05-15,22.8,23.46,22.73,22.95,9379207
2020-05-18,23.33,23.56,23.08,23.44,3133784
2020-05-19,23.44,23.61,23.24,23.26,2479492
2020-05-20,23.44,23.83,23.37,23.64,2647818
2020-05-21,23.6,23.73,23.29,23.31,2462116
2020-05-22,23.41,23.41,22.9,23.16,2166509
2020-05-26,23.58,23.72,23.23,23.25,3373755
2020-05-27,23.44,24.07,23.42,23.89,3802509
2020-05-28,24.0,24.09,23.62,23.72,3444462
2020-05-29,23.61,24.31,23.53,24.26,4582116
2020-06-01,24.2,24.46,23.91,24.28,2137837
2020-06-02,24.28,24.32,23.98,24.23,2481042
2020-06-03,24.3,24.54,24.17,24.47,2240300
2020-06-04,24.35,24.74,24.25,24.64,3093621
2020-06-05,25.0,25.13,24.77,24.85,2356194
2020-06-08,24.8,25.58,24.8,25.45,2934054
2020-06-09,25.36,25.39,24.83,24.93,2201300
2020-06-10,24.94,25.31,24.72,25.06,3153564
2020-06-11,24.57,24.58,23.25,23.26,3101795
2020-06-12,23.79,24.37,23.49,23.89,2779777
2020-06-15,23.44,23.82,23.08,23.69,2908114
2020-06-16,24.4,24.84,24.02,24.37,7780261
2020-06-17,24.51,24.59,23.92,23.99,3766196
2020-06-18,23.83,23.99,23.65,23.79,2540573
2020-06-19,24.11,24.15,23.1,23.27,5802358
2020-06-22,23.24,23.36,22.96,23.14,3765546
2020-06-23,23.38,23.41,22.7,22.74,4783348
2020-06-24,22.68,22.71,22.2,22.38,3778600
2020-06-25,22.31,22.32,21.81,22.26,2964861
2020-06-26,22.26,22.58,21.93,22.17,3926571
2020-06-29,22.35,22.56,22.125,22.55,3201650
2020-06-30,22.55,22.95,22.55,22.86,3651678
2020-07-01,22.79,22.99,22.54,22.55,2901436
2020-07-02,22.77,22.83,22.52,22.54,3177447
2020-07-06,22.95,23.11,22.8,23.08,2740356
2020-07-07,22.93,22.98,22.43,22.49,2686893
2020-07-08,22.42,22.44,22.11,22.3,1866963
2020-07-09,22.39,22.97,22.32,22.74,3505490
2020-07-10,22.65,22.72,22.31,22.62,2359222
2020-07-13,22.83,23.02,22.53,22.54,3564162
2020-07-14,22.54,22.99,22.42,22.94,3105757
2020-07-15,23.16,23.37,22.99,23.2,2854536
2020-07-16,23.02,23.21,22.95,23.16,1861202
2020-07-17,23.34,23.82,23.11,23.77,4216763
2020-07-20,23.72,23.96,23.61,23.93,1650375
2020-07-21,24.1,24.24,23.85,24.14,2677068
2020-07-22,24.17,24.67,24.07,24.49,2351962
2020-07-23,24.55,24.82,24.41,24.5,2371886
2020-07-24,24.44,24.62,24.2,24.48,3032015
2020-07-27,24.52,25.295,24.46,25.12,3159826
2020-07-28,25.07,25.07,24.09,24.26,6102764
2020-07-29,25.4,25.94,24.98,24.99,5781053
2020-07-30,24.67,24.98,24.52,24.93,1851831
2020-07-31,25.0,25.39,24.63,25.38,3578195
2020-08-03,25.35,25.375,24.85,25.3,3007978
2020-08-04,25.4,25.65,25.3,25.52,2384355
2020-08-05,25.6,25.76,25.3,25.63,2796581
2020-08-06,25.55,25.835,25.53,25.77,2191966
2020-08-07,25.7,25.995,25.675,25.94,2815429
2020-08-10,25.94,26.19,25.84,26.03,1858491
2020-08-11,26.1,26.4884,25.49,25.52,3327731
2020-08-12,25.67,25.8,25.33,25.43,3571551
2020-08-13,25.05,25.255,24.62,24.94,4554001
2020-08-14,24.82,25.0,24.705,24.82,2524318
2020-08-17,24.83,24.95,24.24,24.31,3085937
2020-08-18,24.38,24.39,23.88,23.97,3013361
2020-08-19,23.95,24.24,23.73,23.82,2395691
2020-08-20,23.75,23.935,23.66,23.69,2545015
2020-08-21,23.69,23.745,23.54,23.62,3187551
2020-08-24,23.7,23.995,23.67,23.84,2178524
2020-08-25,23.78,23.98,23.455,23.84,3216140
2020-08-26,23.92,24.205,23.86,24.11,2199078
2020-08-27,24.17,24.24,23.6,23.87,2225677
2020-08-28,23.83,24.11,23.83,24.06,1973827
2020-08-31,24.22,25.09,24.1,25.0,6167572
2020-09-01,24.94,25.08,24.32,24.57,3246687
2020-09-02,24.58,25.04,24.58,24.93,2525074
2020-09-03,23.33,23.71,22.63,23.07,7670131
2020-09-04,23.24,23.46,22.95,23.24,4391624
2020-09-08,22.88,23.22,22.731,22.76,3328491
2020-09-09,22.98,23.45,22.745,23.23,4229356
2020-09-10,23.3,23.49,22.84,22.85,2610029
2020-09-11,23.04,23.185,22.87,23.12,2237845
2020-09-14,23.33,23.33,22.995,23.12,3087227
2020-09-15,23.25,23.32,23.01,23.1,2724351
2020-09-16,23.33,23.565,23.17,23.22,2424072
2020-09-17,22.9,23.44,22.81,23.26,2852194
2020-09-18,23.21,23.42,23.14,23.27,4163439
2020-09-21,23.07,23.18,22.88,22.97,3234831
2020-09-22,22.96,23.06,22.35,22.54,3457771
2020-09-23,22.44,22.55,21.37,21.38,5542947
2020-09-24,21.24,21.545,21.01,21.16,3979580
2020-09-25,21.15,21.47,21.01,21.39,3136946
2020-09-28,21.74,22.02,21.65,21.98,3863435
2020-09-29,21.94,22.135,21.735,21.86,2039975
2020-09-30,21.73,21.77,21.29,21.5,4302509
2020-10-01,21.51,21.6,21.225,21.35,2612649
2020-10-02,21.04,21.425,21.03,21.32,2888126
2020-10-05,21.56,22.015,21.5128,21.96,2678074
2020-10-06,21.96,22.25,21.68,21.74,2754129
2020-10-07,21.91,22.315,21.89,22.29,2234212
2020-10-08,22.46,22.78,22.44,22.64,4222427
2020-10-09,22.83,22.93,22.52,22.66,2262214
2020-10-12,22.61,22.66,22.29,22.62,2382110
2020-10-13,22.62,22.68,22.28,22.33,1973220
2020-10-14,22.46,22.67,22.37,22.5,1814646
2020-10-15,22.29,22.54,22.16,22.5,1620618
2020-10-16,22.47,22.555,22.24,22.43,1934309
2020-10-19,22.57,22.63,21.97,22.07,2075838
2020-10-20,22.31,22.36,21.92,21.94,1647465
2020-10-21,22.0,22.11,21.74,21.85,1759490
2020-10-22,21.95,22.495,21.8,22.42,5018405
2020-10-23,22.4,22.55,22.16,22.29,3312822
2020-10-26,22.12,22.22,21.44,21.89,3254022
2020-10-27,21.7,22.03,21.505,21.85,7433378
