,open,high,low,close,volume
2020-01-02,41.08,41.19,39.87,40.11,3592557
2020-01-03,39.41,40.8,39.32,39.88,3154107
2020-01-06,40.75,41.23,40.18,40.98,3717045
2020-01-07,41.54,43.37,41.47,41.99,5218722
2020-01-08,42.25,42.96,41.63,42.14,2783162
2020-01-09,41.59,42.65,41.34,42.2,3553825
2020-01-10,41.92,42.36,41.65,41.75,2088717
2020-01-13,41.65,42.02,40.97,41.67,2107207
2020-01-14,41.73,41.99,41.19,41.5,2332646
2020-01-15,41.18,41.39,40.39,40.41,3478036
2020-01-16,40.49,41.06,40.16,40.49,2028138
2020-01-17,40.53,40.65,40.22,40.34,3300458
2020-01-21,40.29,40.36,39.27,39.69,2781566
2020-01-22,39.8,40.49,39.78,39.88,1442479
2020-01-23,39.58,39.65,38.88,39.34,2543208
2020-01-24,39.47,39.47,38.56,38.67,2129651
2020-01-27,37.92,38.56,37.65,38.28,2665891
2020-01-28,38.63,38.66,37.87,38.51,2207998
2020-01-29,38.73,39.41,38.52,38.52,1651909
2020-01-30,37.89,38.82,37.76,38.67,2026625
2020-01-31,38.6,38.66,36.53,36.86,4457126
2020-02-03,37.0,38.12,36.76,37.52,2022601
2020-02-04,38.12,38.54,37.7,38.3,2313600
2020-02-05,38.7,40.72,38.57,40.46,3781144
2020-02-06,40.67,40.96,39.79,39.79,1875075
2020-02-07,39.38,39.55,37.92,38.12,1635688
2020-02-10,38.0,38.57,37.66,37.9,1577849
2020-02-11,38.06,38.5,37.46,38.49,1329527
2020-02-12,38.83,39.82,38.55,39.72,1886280
2020-02-13,39.45,39.45,38.3,39.4,2244982
2020-02-14,39.37,40.33,39.03,40.28,1546416
2020-02-18,40.05,40.44,39.52,39.95,2257407
2020-02-19,39.99,40.55,39.65,40.52,1746560
2020-02-20,40.5,41.31,40.27,41.08,2022131
2020-02-21,40.62,40.91,40.32,40.54,1517944
2020-02-24,38.92,39.59,38.76,38.97,3115157
2020-02-25,39.23,39.23,36.03,36.8,5139579
