,open,high,low,close,volume
2020-01-02,69.13,69.25,67.38,67.64,2699491
2020-01-03,67.52,68.36,67.4,68.0,1240599
2020-01-06,68.0,68.13,67.55,67.94,1322721
2020-01-07,69.32,70.0,68.64,68.81,2412031
2020-01-08,68.78,69.21,68.51,68.89,1270345
2020-01-09,69.32,69.34,68.53,69.14,1436339
2020-01-10,69.28,69.53,69.18,69.27,1418486
2020-01-13,69.41,70.0,69.28,69.71,1778154
2020-01-14,69.71,70.0,69.56,70.0,1426373
2020-01-15,70.0,70.63,69.88,70.27,1398353
2020-01-16,70.5,70.86,70.27,70.74,1337412
2020-01-17,70.81,71.05,70.48,70.88,1846595
2020-01-21,70.71,71.01,70.31,70.6,2175616
2020-01-22,70.4,70.82,70.03,70.26,1727386
2020-01-23,69.82,70.8,69.69,70.44,1535078
2020-01-24,70.73,70.73,69.11,69.34,1506538
2020-01-27,68.89,69.59,68.72,69.03,1617985
2020-01-28,68.99,69.41,68.89,68.98,1127023
2020-01-29,68.95,69.03,68.39,68.43,1677522
2020-01-30,68.33,68.96,68.04,68.88,1412902
2020-01-31,68.85,69.21,68.01,68.21,2746396
2020-02-03,68.58,69.23,68.35,68.84,1872851
2020-02-04,69.17,69.66,68.63,68.68,1978042
2020-02-05,68.82,69.61,68.82,69.36,2393153
2020-02-06,64.22,66.38,63.15,63.46,7660351
2020-02-07,63.26,64.29,62.38,64.17,4297474
2020-02-10,63.95,65.43,63.55,65.34,2973401
2020-02-11,65.58,66.57,65.48,66.27,2601440
2020-02-12,67.5,67.82,66.08,66.18,2220020
2020-02-13,66.22,67.22,66.05,67.14,2275021
2020-02-14,67.08,67.95,66.91,67.71,1567460
2020-02-18,67.23,67.37,66.53,67.15,1570347
2020-02-19,67.16,67.49,66.25,66.3,1581235
2020-02-20,65.78,66.09,65.1,65.67,2107372
2020-02-21,65.4,65.58,64.95,65.52,1824930
2020-02-24,64.68,65.05,63.93,64.5,2539602
2020-02-25,64.66,64.89,62.88,63.39,2541024
2020-02-26,63.64,64.24,62.57,62.77,1863205
2020-02-27,62.16,62.36,60.92,61.02,2666724
2020-02-28,60.0,60.73,57.71,60.47,4526480
2020-03-02,60.21,63.14,60.12,63.14,2584197
2020-03-03,63.15,64.42,62.05,62.65,2002145
2020-03-04,63.35,64.61,63.0,64.55,2405404
2020-03-05,63.73,64.58,63.28,63.66,1517429
2020-03-06,61.92,63.38,61.54,63.19,2288880
2020-03-09,60.21,63.17,60.0,62.41,2756651
2020-03-10,62.87,64.2,60.38,62.89,2817352
2020-03-11,61.46,62.14,60.19,61.69,2204740
2020-03-12,58.52,60.0,56.84,58.19,3826313
2020-03-13,60.07,63.78,59.51,63.66,3605670
2020-03-16,58.37,64.86,58.25,62.56,3748967
2020-03-17,63.39,69.37,62.21,69.22,5196883
2020-03-18,67.3,70.36,64.46,68.96,3960479
2020-03-19,68.46,68.75,61.07,61.43,4732530
2020-03-20,61.47,61.53,55.34,55.81,4766726
2020-03-23,55.2,56.79,52.66,53.56,3242821
2020-03-24,54.76,56.95,54.02,56.27,2913484
2020-03-25,56.0,59.27,54.71,56.17,3320343
2020-03-26,56.25,59.62,55.6,58.76,3345425
2020-03-27,57.72,60.93,57.04,59.47,2544858
2020-03-30,60.38,61.5,59.77,60.91,1914974
2020-03-31,61.1,61.83,59.71,59.99,2351237
2020-04-01,59.01,61.41,58.37,61.09,2476698
2020-04-02,60.28,61.98,59.64,61.32,2147144
2020-04-03,60.68,63.94,60.68,63.58,1598154
2020-04-06,64.56,64.56,61.87,63.51,3151998
2020-04-07,63.8,65.03,62.02,62.55,2514964
2020-04-08,62.6,62.83,61.0,61.46,2632476
2020-04-09,60.98,64.0,60.98,62.74,2618138
2020-04-13,62.44,63.0,61.2,62.8,1596570
2020-04-14,63.88,64.39,63.02,63.62,2498754
2020-04-15,63.62,63.62,62.5,62.95,1748171
2020-04-16,63.46,64.43,62.74,64.13,2560367
2020-04-17,64.38,65.05,63.46,65.02,2390459
2020-04-20,65.1,67.15,64.76,66.25,2395428
2020-04-21,65.86,66.24,64.53,65.52,2414057
2020-04-22,65.87,66.03,64.68,64.68,1404453
2020-04-23,64.13,64.93,64.09,64.5,1611269
2020-04-24,64.92,64.92,63.24,64.1,1883009
2020-04-27,64.78,65.52,64.02,65.1,2098473
2020-04-28,65.32,66.21,65.02,65.76,2148258
2020-04-29,65.12,66.23,64.86,64.9,2240175
2020-04-30,66.51,67.89,64.42,65.5,3892854
2020-05-01,65.2,65.85,64.59,64.86,1951415
2020-05-04,64.87,65.1,63.52,63.67,1525844
2020-05-05,63.59,64.19,63.14,63.24,1768969
2020-05-06,63.3,64.38,62.87,64.09,1792921
2020-05-07,64.45,64.67,62.51,62.69,1626411
2020-05-08,63.21,63.83,62.76,63.68,1362329
2020-05-11,63.7,64.39,63.13,63.26,1682788
2020-05-12,63.56,64.45,63.51,63.53,1358015
2020-05-13,63.57,64.97,63.57,64.17,1569763
2020-05-14,64.41,64.94,62.83,63.65,2104015
2020-05-15,63.63,64.96,63.5,64.07,3931413
2020-05-18,64.45,64.52,62.93,63.75,3166002
2020-05-19,63.71,63.85,62.32,62.43,2214772
2020-05-20,62.33,62.78,61.49,62.48,2039514
2020-05-21,62.39,62.48,60.72,61.37,2222656
2020-05-22,61.27,62.16,60.92,62.09,1337970
2020-05-26,62.3,62.79,61.93,62.12,1979470
2020-05-27,62.2,64.61,61.95,64.61,2395580
2020-05-28,65.06,65.84,64.79,65.42,3305699
2020-05-29,64.87,65.64,64.12,65.31,2947347
2020-06-01,65.53,66.35,64.97,66.11,1767822
2020-06-02,65.97,66.87,65.23,66.81,2516390
2020-06-03,67.17,67.22,65.38,65.43,2731661
2020-06-04,65.22,65.54,64.27,64.71,1519617
2020-06-05,64.87,66.23,64.43,65.62,2468141
2020-06-08,65.26,67.52,65.16,67.17,2734715
2020-06-09,67.0,67.11,66.01,66.2,1736090
2020-06-10,66.41,66.95,66.15,66.52,2026671
2020-06-11,65.53,65.98,63.76,63.77,2240053
2020-06-12,64.28,64.55,63.07,63.59,2667931
2020-06-15,63.27,65.54,62.72,65.49,3147626
2020-06-16,66.01,67.06,65.66,66.68,2662597
2020-06-17,66.85,67.65,66.79,67.08,3835396
2020-06-18,66.96,67.82,66.8,67.75,3066777
2020-06-19,68.2,68.55,67.3,67.78,6451625
2020-06-22,67.59,67.69,66.35,66.7,3319276
2020-06-23,67.03,67.46,66.25,66.32,2876337
2020-06-24,66.24,66.24,64.28,64.88,2330760
2020-06-25,64.78,65.77,64.38,65.51,1795648
2020-06-26,65.7,66.1,63.68,63.86,2582675
2020-06-29,64.08,65.49,64.01,65.08,1950661
2020-06-30,65.53,66.23,65.0,66.06,2095089
2020-07-01,66.07,66.56,65.5,65.93,1777705
2020-07-02,66.32,66.75,66.12,66.31,1016403
2020-07-06,66.75,67.19,65.78,66.2,1450722
2020-07-07,66.01,66.99,65.58,66.61,1233505
2020-07-08,66.69,66.7,65.48,66.61,2506039
2020-07-09,66.24,66.51,65.68,65.9,1708343
2020-07-10,66.06,67.28,65.95,67.19,1794628
2020-07-13,67.78,67.9,66.47,66.95,2133578
2020-07-14,66.7,68.49,66.51,68.4,1764308
2020-07-15,68.35,69.05,67.95,68.09,1242355
2020-07-16,68.14,69.04,67.83,68.24,1213198
2020-07-17,68.45,68.84,68.36,68.63,1842530
2020-07-20,68.45,68.5,67.18,67.42,2149698
2020-07-21,67.51,68.45,67.48,67.67,1389534
2020-07-22,67.66,67.71,66.55,67.46,1903683
2020-07-23,67.67,68.48,67.66,68.41,1425891
2020-07-24,68.65,69.21,67.85,68.68,1216988
2020-07-27,68.5,70.095,68.5,69.97,2354893
2020-07-28,69.97,71.32,69.97,70.91,2123573
2020-07-29,71.3,71.55,70.59,70.94,2639756
2020-07-30,72.0,72.88,69.83,70.59,4132870
2020-07-31,70.1,70.58,68.07,68.99,5541573
2020-08-03,69.0,69.65,68.76,69.35,1790064
2020-08-04,69.36,69.78,69.06,69.71,1871108
2020-08-05,69.77,70.21,69.16,69.26,1096570
2020-08-06,69.09,69.84,68.94,69.23,1548594
2020-08-07,69.25,69.73,68.7,69.52,1316089
2020-08-10,69.58,69.8,68.56,69.02,1476891
2020-08-11,69.07,69.23,67.91,68.13,1386508
2020-08-12,68.3,69.8297,68.18,69.28,1206035
2020-08-13,69.28,69.28,68.54,69.02,903151
2020-08-14,68.87,69.34,68.615,69.1,1279132
2020-08-17,69.1,69.79,68.79,69.68,1481782
2020-08-18,69.54,70.465,69.08,70.11,1750572
2020-08-19,69.97,70.24,68.73,68.85,1653944
2020-08-20,68.84,69.24,68.54,68.74,1073272
2020-08-21,68.79,69.06,68.16,68.89,1682726
2020-08-24,68.97,69.58,68.42,69.58,1176681
2020-08-25,69.83,69.83,68.8,69.49,1848210
2020-08-26,69.3,70.47,69.02,70.38,1447565
2020-08-27,70.5,71.14,70.37,70.46,1043495
2020-08-28,70.36,70.78,69.35,70.54,1847152
2020-08-31,70.07,71.13,70.01,70.91,1713410
2020-09-01,70.44,70.78,68.9,69.24,1716013
2020-09-02,69.08,70.8,69.08,70.42,1627981
2020-09-03,70.31,71.65,69.25,69.94,2082167
2020-09-04,69.69,70.25,68.67,69.22,2563303
2020-09-08,69.0,69.59,65.87,66.34,3153539
2020-09-09,66.95,67.52,66.09,66.53,2347924
2020-09-10,66.42,67.17,65.82,66.0,2185357
2020-09-11,65.89,66.02,65.1,65.44,2121710
2020-09-14,65.56,66.06,65.365,65.42,1666106
2020-09-15,65.39,66.295,65.12,65.63,2105815
2020-09-16,65.59,65.81,63.85,63.93,5199617
2020-09-17,63.35,63.6,62.6686,63.51,4076610
2020-09-18,62.72,63.56,62.27,62.92,5991890
2020-09-21,62.44,63.25,61.91,62.72,2793751
2020-09-22,62.72,63.66,62.42,62.67,2966651
2020-09-23,63.1,63.4,61.09,61.13,2129300
2020-09-24,61.0,62.78,60.84,62.65,2435111
2020-09-25,62.61,63.32,62.5281,63.08,1592753
2020-09-28,63.56,63.8,62.83,63.38,1292675
2020-09-29,63.77,63.87,63.08,63.44,1661479
2020-09-30,63.73,64.74,63.535,64.59,2024528
2020-10-01,64.72,64.8,63.6606,64.38,1691165
2020-10-02,63.77,65.22,63.4,64.71,1574887
2020-10-05,64.84,65.52,64.51,65.45,1813396
2020-10-06,65.49,65.855,64.8627,65.16,1374879
2020-10-07,65.13,65.56,64.36,64.86,1355023
2020-10-08,65.06,65.43,64.74,65.22,868480
2020-10-09,65.56,66.22,65.15,65.85,1280237
2020-10-12,66.0,66.7,65.89,66.31,1784850
2020-10-13,66.08,66.93,66.0,66.82,992591
2020-10-14,66.74,67.47,66.57,66.86,1228081
2020-10-15,66.64,67.44,66.31,67.14,1891221
2020-10-16,67.29,67.5691,66.93,67.1,1215727
2020-10-19,67.15,67.87,66.6,66.69,1644374
2020-10-20,67.3,67.35,66.185,66.25,1340813
2020-10-21,65.92,66.62,65.78,65.97,1122638
2020-10-22,66.03,66.53,65.6,66.36,1497978
