,open,high,low,close,volume
2019-01-02,93.96,96.92,93.88,96.27,914435
2019-01-03,95.44,96.43,92.8,92.87,1441403
2019-01-04,94.48,97.03,94.48,96.9,1222798
2019-01-07,97.35,98.86,96.9,98.03,1037291
2019-01-08,100.67,101.48,98.46,99.72,945344
2019-01-09,99.68,101.62,99.1,101.3,795522
2019-01-10,100.79,102.67,100.06,102.47,554116
2019-01-11,101.85,103.16,101.03,102.54,580332
2019-01-14,101.7,103.19,101.38,102.92,721118
2019-01-15,103.16,103.28,101.05,101.35,785446
2019-01-16,101.64,103.15,101.43,101.95,928810
2019-01-17,101.52,104.26,101.37,104.14,1041222
2019-01-18,107.47,111.09,107.0,110.52,2868545
2019-01-22,109.2,110.0,107.25,108.45,2037436
2019-01-23,108.84,109.87,106.19,107.21,1415489
2019-01-24,108.2,108.88,107.16,107.34,981828
2019-01-25,107.88,109.22,107.75,108.91,791469
2019-01-28,108.0,109.39,107.46,109.33,956064
2019-01-29,109.41,109.5,107.53,108.25,1061606
2019-01-30,108.61,109.08,107.35,107.8,1045976
2019-01-31,107.87,107.87,104.61,105.75,1823274
2019-02-01,105.91,106.76,104.98,106.19,951202
2019-02-04,106.23,106.43,105.43,105.6,1337453
2019-02-05,105.69,106.22,104.72,105.21,1207943
2019-02-06,105.35,105.86,103.21,103.37,1409741
2019-02-07,103.0,104.25,102.14,103.13,1865218
2019-02-08,102.28,102.86,101.11,102.22,1590325
2019-02-11,103.01,104.13,101.91,102.82,1352403
2019-02-12,103.06,104.6,102.73,104.15,1357659
2019-02-13,103.97,104.74,103.58,104.28,1627485
2019-02-14,104.0,105.4,103.8,104.9,1304454
2019-02-15,105.71,107.61,105.63,107.54,1200081
2019-02-19,107.29,110.13,106.9,109.55,1462264
2019-02-20,111.0,112.78,109.83,111.06,1693876
2019-02-21,110.64,112.345,110.37,111.75,1554580
2019-02-22,111.85,112.7,111.06,111.35,968927
2019-02-25,111.89,112.72,110.96,111.5,1225475
2019-02-26,111.31,111.56,109.46,109.51,1020101
2019-02-27,109.5,109.99,108.42,108.64,914014
2019-02-28,108.63,108.76,107.61,108.64,1161726
2019-03-01,109.82,109.82,107.89,108.06,990220
2019-03-04,108.77,111.71,108.77,110.4,1524631
2019-03-05,110.44,112.18,109.65,110.13,1408341
2019-03-06,110.21,112.07,110.21,111.5,1001924
2019-03-07,111.32,112.34,110.42,112.05,1240697
2019-03-08,110.92,111.43,109.37,111.3,1686872
2019-03-11,111.46,114.9,111.09,114.6,1241497
2019-03-12,114.85,114.96,112.98,113.34,858829
2019-03-13,113.64,115.24,113.28,114.48,839350
2019-03-14,114.84,115.22,114.09,114.94,711014
2019-03-15,114.92,115.95,113.83,114.5,1340458
2019-03-18,114.78,116.22,114.62,116.06,861487
2019-03-19,116.11,116.92,114.97,115.14,1272722
2019-03-20,115.2,115.26,111.27,112.95,2259697
2019-03-21,113.91,116.9,112.92,116.51,1304253
2019-03-22,114.58,115.52,111.37,112.46,1928055
2019-03-25,112.79,114.71,112.18,112.59,1343834
2019-03-26,113.39,114.07,112.65,113.74,634162
2019-03-27,113.52,114.95,113.4,114.76,1003204
2019-03-28,114.65,116.27,114.65,116.14,654459
2019-03-29,117.07,118.33,115.67,115.98,1572767
2019-04-01,116.49,118.65,116.35,117.79,1137392
2019-04-02,117.51,117.78,116.25,116.83,955789
2019-04-03,117.57,117.99,116.15,116.55,1220617
2019-04-04,116.48,117.82,115.67,117.18,1028227
2019-04-05,117.21,117.93,116.8,117.39,732505
2019-04-08,117.5,117.74,116.7,117.6,510571
2019-04-09,116.93,117.0,116.03,116.46,593196
2019-04-10,116.41,117.18,115.23,117.12,679676
2019-04-11,117.14,117.39,115.86,117.13,701874
2019-04-12,118.0,118.95,117.59,118.38,671179
2019-04-15,118.23,118.63,117.26,117.61,739473
2019-04-16,117.59,118.57,116.68,117.99,1094464
2019-04-17,121.25,123.89,119.1,122.81,2295734
2019-04-18,124.04,125.92,123.17,125.03,2825198
2019-04-22,124.88,125.72,123.95,124.05,1111398
2019-04-23,123.92,124.68,123.55,124.07,1006305
2019-04-24,124.48,125.59,124.03,124.18,751493
2019-04-25,123.13,123.98,121.16,123.31,906161
2019-04-26,123.27,124.57,122.55,124.51,620171
2019-04-29,124.88,124.88,122.53,122.74,892460
2019-04-30,119.25,123.87,118.5,123.14,1469283
2019-05-01,123.03,123.77,121.79,122.4,760635
2019-05-02,122.42,123.82,121.68,123.64,840443
2019-05-03,124.04,125.58,123.61,125.25,616946
2019-05-06,123.23,124.76,123.23,124.36,606377
2019-05-07,123.23,123.59,120.85,122.59,875186
2019-05-08,122.42,122.69,121.28,121.42,601598
2019-05-09,120.4,122.47,119.93,122.2,531437
2019-05-10,121.45,122.58,117.68,120.66,1298963
2019-05-13,118.33,118.81,116.52,117.36,967231
2019-05-14,117.85,119.79,117.44,119.01,737129
2019-05-15,118.46,120.3,117.95,119.73,642529
2019-05-16,120.51,121.98,119.44,121.37,466127
2019-05-17,120.11,123.56,120.11,121.95,1206940
2019-05-20,120.69,122.11,120.58,121.42,720599
2019-05-21,122.28,123.39,121.42,122.92,1139140
2019-05-22,122.07,123.0,120.88,121.72,667378
2019-05-23,120.02,120.97,118.74,120.89,995021
2019-05-24,121.76,122.29,120.42,120.85,868652
2019-05-28,121.26,122.93,120.47,120.61,1165688
2019-05-29,120.36,120.36,117.36,117.98,1006511
2019-05-30,118.3,119.06,118.0,118.67,448412
2019-05-31,112.0,113.83,110.04,113.28,2851057
2019-06-03,113.48,114.07,111.58,112.05,1693563
2019-06-04,114.05,117.15,113.07,117.12,1336594
2019-06-05,117.93,119.5,117.59,119.29,1751957
2019-06-06,118.89,119.07,116.09,117.34,1657063
2019-06-07,117.51,118.53,117.0,117.5,891551
2019-06-10,120.0,121.72,118.625,120.01,1240694
2019-06-11,120.69,121.3,118.56,119.19,759185
2019-06-12,118.49,118.88,117.53,118.47,446506
2019-06-13,118.31,118.64,116.57,116.98,758043
2019-06-14,117.18,117.21,115.42,116.91,656432
2019-06-17,116.73,116.73,114.36,114.44,590762
2019-06-18,115.03,116.98,114.98,116.45,614284
2019-06-19,116.51,117.55,115.34,117.36,723856
2019-06-20,118.68,118.97,117.59,118.04,801246
2019-06-21,118.68,120.8,117.93,119.5,1908598
2019-06-24,119.35,119.75,117.65,117.88,858769
2019-06-25,117.83,118.8,116.4,117.86,1015095
2019-06-26,118.19,119.4,117.38,118.53,926334
2019-06-27,119.24,121.85,119.24,120.77,800418
2019-06-28,120.88,122.42,120.4,121.82,976024
2019-07-01,123.01,124.09,122.27,123.33,904802
2019-07-02,123.33,124.14,122.14,123.71,679284
2019-07-03,123.87,124.5,123.51,124.49,378677
2019-07-05,123.87,123.87,121.45,122.94,469006
2019-07-08,122.06,122.62,120.86,121.28,1017180
2019-07-09,120.76,122.33,120.31,120.76,982305
2019-07-10,121.52,121.91,118.75,119.17,734980
2019-07-11,119.17,121.17,118.91,121.13,1065536
2019-07-12,121.65,122.85,121.5,122.77,738741
2019-07-15,122.79,122.98,121.17,121.6,893885
2019-07-16,122.33,123.99,121.98,122.82,613598
2019-07-17,119.34,120.19,116.77,116.79,1286222
2019-07-18,117.81,118.99,116.78,117.99,2090822
2019-07-19,121.5,123.61,120.01,123.43,2291684
2019-07-22,123.59,125.87,123.4,125.34,1365971
2019-07-23,126.0,126.47,123.49,123.96,952838
2019-07-24,122.9,125.19,122.02,123.23,928534
2019-07-25,123.01,124.0,122.46,123.32,585431
2019-07-26,123.88,125.04,123.54,124.46,518710
2019-07-29,124.28,125.81,123.9,125.0,678327
2019-07-30,124.34,124.77,123.88,124.74,507810
2019-07-31,124.68,125.01,122.93,123.74,753721
2019-08-01,123.63,124.39,120.89,121.66,728707
2019-08-02,120.98,122.04,120.56,121.2,1219120
2019-08-05,118.96,118.96,115.12,115.79,1069206
2019-08-06,116.72,117.79,115.92,117.69,588347
2019-08-07,115.82,117.1,115.15,116.9,785107
2019-08-08,117.74,119.4,117.19,119.16,510296
2019-08-09,118.77,119.36,117.79,118.77,522183
2019-08-12,117.77,118.01,116.32,116.96,749516
2019-08-13,116.59,120.16,116.35,119.95,720977
2019-08-14,118.36,119.79,116.85,117.16,904442
2019-08-15,117.39,118.33,116.11,117.07,615481
2019-08-16,117.82,120.27,117.82,120.07,605732
2019-08-19,121.69,122.73,121.54,122.08,682650
2019-08-20,121.45,122.99,120.99,122.05,745866
2019-08-21,123.94,124.56,123.18,124.33,909604
2019-08-22,124.73,124.73,121.58,123.2,826602
2019-08-23,122.97,123.33,118.93,119.5,884722
2019-08-26,120.53,121.15,118.94,120.88,665528
2019-08-27,121.64,122.37,120.79,121.21,678298
2019-08-28,120.54,123.0,119.66,122.95,663314
2019-08-29,123.72,125.7,123.72,124.59,820115
2019-08-30,125.22,125.98,124.25,125.8,967245
2019-09-03,124.88,127.1,124.74,126.37,1064290
2019-09-04,126.84,127.82,126.58,127.5,575470
2019-09-05,128.99,130.54,128.82,129.92,832032
2019-09-06,129.56,130.3,128.48,128.91,768993
2019-09-09,129.81,132.73,129.5,131.86,1177605
2019-09-10,131.74,133.39,130.05,133.09,1060858
2019-09-11,133.26,133.55,131.6,132.66,1312796
2019-09-12,133.55,133.74,131.16,132.48,782088
2019-09-13,133.39,133.74,132.34,133.09,947359
2019-09-16,132.19,134.09,132.19,132.75,783532
2019-09-17,132.37,132.5,130.85,132.0,669993
2019-09-18,131.44,132.91,131.08,132.88,506398
2019-09-19,132.71,133.47,132.07,132.3,651933
2019-09-20,132.85,133.51,131.69,132.04,782624
2019-09-23,131.9,133.18,131.32,131.61,771604
2019-09-24,132.21,134.7,131.97,132.56,976054
2019-09-25,132.37,133.05,131.7,132.58,544507
2019-09-26,132.64,133.83,131.91,133.25,427859
2019-09-27,133.79,134.47,132.19,132.52,479277
2019-09-30,133.1,133.41,132.21,133.01,616705
2019-10-01,133.56,133.68,128.45,129.01,727608
2019-10-02,127.72,128.12,125.19,126.58,836398
2019-10-03,126.24,127.54,124.52,127.04,543818
2019-10-04,127.51,128.37,126.6,127.8,837835
2019-10-07,127.33,129.28,126.8,128.13,647677
2019-10-08,126.52,128.16,125.95,126.73,841249
2019-10-09,127.86,129.35,127.44,129.06,480668
2019-10-10,128.67,130.71,128.45,130.45,612654
2019-10-11,132.65,134.38,131.14,133.5,1386488
2019-10-14,132.61,133.22,131.48,132.0,550224
2019-10-15,132.52,134.32,131.53,134.18,584289
2019-10-16,133.99,135.06,133.51,134.29,644695
2019-10-17,135.16,136.14,132.95,135.42,2546863
2019-10-18,141.0,145.82,140.36,145.25,3351674
2019-10-21,147.25,149.23,145.86,146.7,1685360
2019-10-22,146.53,147.81,144.65,145.06,1652437
2019-10-23,144.29,146.22,143.75,145.85,1395791
2019-10-24,146.3,147.6,144.05,145.5,1205337
2019-10-25,145.39,146.18,144.36,144.49,993855
2019-10-28,145.08,145.47,143.25,143.65,835787
2019-10-29,143.43,144.49,143.06,143.63,1175683
2019-10-30,143.61,144.24,141.45,142.56,849076
2019-10-31,142.11,142.34,139.3,140.78,1084463
2019-11-01,142.03,146.2,141.36,146.19,1336551
2019-11-04,147.26,149.49,146.47,149.36,1203074
2019-11-05,149.59,151.5,149.07,149.76,1312160
2019-11-06,150.07,151.93,149.05,151.4,1316088
2019-11-07,152.5,155.52,151.87,153.83,1226679
2019-11-08,153.15,154.44,152.41,153.31,640129
2019-11-11,152.49,153.45,151.64,153.18,587990
2019-11-12,153.0,156.98,151.86,152.51,633576
2019-11-13,154.04,155.2,152.43,154.23,1056888
2019-11-14,154.32,154.41,152.29,153.33,719481
2019-11-15,153.54,154.59,152.91,153.54,942912
2019-11-18,152.98,154.66,152.35,154.66,723778
2019-11-19,155.1,155.1,153.19,154.16,887202
2019-11-20,153.59,154.27,151.4,152.0,938815
2019-11-21,151.52,153.53,150.46,152.87,770885
2019-11-22,153.15,154.55,151.53,151.93,610224
2019-11-25,152.43,154.31,152.06,154.02,762355
2019-11-26,154.76,155.79,153.83,154.57,1054264
2019-11-27,154.4,155.22,152.71,154.56,1275241
2019-11-29,153.53,153.98,152.27,152.42,433107
2019-12-02,152.4,153.31,151.51,151.77,855903
2019-12-03,150.16,150.22,148.28,149.49,1055277
2019-12-04,150.03,151.87,149.2,149.21,937979
2019-12-05,149.71,150.52,149.35,150.35,924019
2019-12-06,151.46,153.27,151.46,152.64,1141037
2019-12-09,152.02,152.87,150.99,151.37,1148145
2019-12-10,151.27,152.01,150.67,151.16,728306
2019-12-11,151.59,153.47,151.01,153.42,892395
2019-12-12,152.93,154.63,151.79,151.86,1219112
2019-12-13,151.28,152.6,150.2,151.44,1253594
2019-12-16,152.36,153.37,151.77,152.99,701917
2019-12-17,153.08,154.07,153.02,154.04,1011236
2019-12-18,154.16,154.62,152.11,153.93,1054624
2019-12-19,153.95,154.93,152.94,153.04,921451
2019-12-20,153.62,155.3,152.96,155.1,1599677
2019-12-23,155.37,155.57,153.5,153.66,497782
2019-12-24,153.62,153.96,152.01,153.26,260121
2019-12-26,153.46,153.69,152.68,153.56,363202
2019-12-27,153.66,154.63,153.29,154.48,488697
2019-12-30,154.22,154.65,152.67,153.09,638383
2019-12-31,152.96,153.89,152.59,153.16,537479
2020-01-02,153.94,155.48,153.22,155.45,748421
2020-01-03,152.95,155.4,152.95,155.26,1053077
2020-01-06,154.17,154.89,152.88,154.89,876684
2020-01-07,154.47,157.3,154.42,155.35,1789814
2020-01-08,155.58,159.35,155.58,158.76,1962360
2020-01-09,158.99,161.59,158.87,159.91,1652823
2020-01-10,159.75,160.01,157.97,158.25,1135811
2020-01-13,158.34,160.29,157.3,160.15,842416
2020-01-14,160.61,161.73,158.36,159.31,1990461
2020-01-15,159.62,160.38,158.47,159.71,1259144
2020-01-16,160.53,162.15,160.07,161.63,1966362
2020-01-17,160.73,168.81,159.5,166.52,3566331
2020-01-21,166.52,168.43,164.38,165.46,1258046
2020-01-22,164.8,166.54,163.69,164.81,1057802
2020-01-23,164.24,166.83,163.53,166.73,1582566
2020-01-24,167.0,168.17,165.72,166.58,697266
2020-01-27,163.55,165.2,163.28,164.08,993552
2020-01-28,165.66,168.33,164.89,167.52,1135636
2020-01-29,168.98,170.74,168.33,169.7,1023373
2020-01-30,167.52,170.89,164.85,170.65,974107
2020-01-31,169.9,170.2,168.58,168.69,1121305
2020-02-03,169.88,171.67,169.18,171.45,940500
2020-02-04,173.79,175.1,172.25,172.49,867597
2020-02-05,173.35,173.99,170.72,172.64,1160360
2020-02-06,172.54,172.79,170.64,171.99,807714
2020-02-07,171.65,172.06,169.9,171.86,815045
2020-02-10,170.85,172.08,169.75,172.0,868270
2020-02-11,173.02,173.5,169.71,170.24,677842
2020-02-12,170.29,171.71,168.78,170.78,801482
2020-02-13,170.32,173.91,170.32,173.46,1082825
2020-02-14,173.21,175.08,172.9,173.64,917688
2020-02-18,173.53,177.93,173.47,177.2,1083970
2020-02-19,177.64,178.59,174.61,176.39,678591
2020-02-20,176.3,177.35,174.21,175.97,622784
2020-02-21,175.13,176.06,173.32,174.23,598837
2020-02-24,169.37,170.71,166.87,167.33,1416719
2020-02-25,168.05,168.05,160.66,161.44,1325963
2020-02-26,162.05,164.29,160.8,160.81,1664328
2020-02-27,156.36,159.21,152.34,152.34,1949521
2020-02-28,147.37,151.04,143.22,150.68,1951327
2020-03-02,151.57,156.02,147.5,155.06,2078605
2020-03-03,155.51,159.61,150.45,152.27,1486520
2020-03-04,155.45,158.99,153.09,158.63,1481629
2020-03-05,154.66,156.57,153.16,154.02,1551130
2020-03-06,147.18,150.63,144.73,147.08,2412180
2020-03-09,135.41,136.31,124.49,124.74,2726534
2020-03-10,129.14,131.07,123.99,129.95,3341006
2020-03-11,126.21,130.78,124.96,129.23,2211250
2020-03-12,119.65,124.1,109.85,114.55,2102006
2020-03-13,121.03,127.8,118.82,127.61,1444928
2020-03-16,115.06,122.24,110.79,114.21,1767676
2020-03-17,116.59,126.22,112.16,121.2,1896668
2020-03-18,113.0,116.04,92.86,109.32,1663921
2020-03-19,108.48,119.29,105.63,116.42,1164617
2020-03-20,118.6,120.78,107.33,108.52,1493634
2020-03-23,105.74,107.43,96.23,100.54,2207823
2020-03-24,106.7,123.62,105.86,122.36,1401434
2020-03-25,123.06,138.97,122.37,130.14,2493310
2020-03-26,133.4,135.37,128.11,133.48,1533805
2020-03-27,127.01,131.41,121.3,127.96,1345357
2020-03-30,128.36,131.87,125.02,129.38,1261161
2020-03-31,128.06,130.81,123.83,127.18,1960387
2020-04-01,119.18,122.88,115.9,122.13,1389387
2020-04-02,117.36,122.53,116.3,121.0,1607177
2020-04-03,120.87,124.34,119.92,123.0,1461663
2020-04-06,129.89,135.46,129.47,134.51,1409390
2020-04-07,140.7,142.14,135.52,138.1,2298905
2020-04-08,139.59,141.32,138.0,139.75,1679185
2020-04-09,132.17,141.46,132.17,136.6,2242182
2020-04-13,135.63,137.44,134.77,136.58,1086104
2020-04-14,139.1,141.77,138.44,139.34,1006155
2020-04-15,135.87,137.81,131.64,134.16,870563
2020-04-16,134.2,136.06,131.24,135.0,1323188
2020-04-17,143.78,145.9,137.21,139.36,1506534
2020-04-20,135.75,136.69,127.47,131.23,1804390
2020-04-21,127.78,132.76,125.51,131.01,1263181
2020-04-22,133.5,134.31,128.55,129.34,1071812
2020-04-23,131.66,133.07,128.62,128.83,1336345
2020-04-24,130.97,132.32,126.52,131.41,1285911
2020-04-27,133.96,134.18,130.01,131.83,1882345
2020-04-28,134.69,136.8,133.0,133.3,1354126
2020-04-29,136.29,137.23,134.47,136.0,1436180
2020-04-30,134.0,135.43,130.53,130.55,1733454
2020-05-01,128.18,128.84,125.94,128.36,980064
2020-05-04,126.81,127.21,122.35,123.93,2138179
2020-05-05,126.87,127.56,124.6,125.4,2038109
2020-05-06,126.24,127.47,125.05,127.25,1114897
2020-05-07,128.8,133.55,128.8,131.33,1286138
2020-05-08,133.64,136.98,133.64,136.63,1045223
2020-05-11,134.49,137.02,133.87,134.2,946088
2020-05-12,134.34,136.12,132.17,132.17,944485
2020-05-13,131.85,135.31,131.02,134.95,1452102
2020-05-14,132.88,134.21,128.8,134.11,1009611
2020-05-15,132.78,136.41,132.33,133.85,945145
2020-05-18,138.62,143.18,138.6,138.98,1058369
2020-05-19,138.46,144.11,138.45,142.62,1298991
2020-05-20,144.6,149.94,144.6,148.74,1535186
2020-05-21,147.71,148.57,145.71,146.34,972061
2020-05-22,146.43,147.93,144.79,147.25,783688
2020-05-26,153.09,154.37,150.77,153.54,825850
2020-05-27,155.32,157.74,152.97,154.75,1143140
2020-05-28,156.4,156.95,151.93,152.17,1033582
2020-05-29,151.22,151.87,149.5,150.52,1605080
2020-06-01,150.94,150.99,148.08,149.27,827463
2020-06-02,150.5,152.23,149.2,149.31,1093822
2020-06-03,151.45,155.42,151.36,154.4,1112783
2020-06-04,153.02,156.28,152.89,155.38,785733
2020-06-05,159.45,164.27,159.03,162.56,1382293
2020-06-08,162.03,163.96,158.17,159.44,1277335
2020-06-09,155.65,159.95,154.5,158.17,811604
2020-06-10,158.05,158.61,155.19,157.2,958828
2020-06-11,152.04,152.04,145.19,145.57,959612
2020-06-12,150.04,151.23,143.83,147.27,979872
2020-06-15,143.48,149.29,140.01,148.13,811488
2020-06-16,153.92,153.92,147.68,148.6,739346
2020-06-17,149.38,149.52,146.71,147.26,955748
2020-06-18,146.38,146.98,144.54,145.02,910335
2020-06-19,147.5,147.5,142.45,144.27,1926789
2020-06-22,143.71,146.04,141.7,145.56,955950
2020-06-23,145.5,150.62,143.5,147.65,2599245
2020-06-24,146.49,146.49,141.43,142.58,1058759
2020-06-25,142.23,147.46,140.86,147.28,1217657
2020-06-26,147.16,148.62,145.41,145.71,1531499
2020-06-29,146.94,148.66,144.59,147.64,872516
2020-06-30,147.42,150.03,146.75,149.29,751110
2020-07-01,149.91,151.24,144.15,144.6,1276613
2020-07-02,146.92,149.29,146.2,147.18,735413
2020-07-06,149.7,150.51,147.53,148.59,787062
2020-07-07,147.3,148.66,144.78,145.14,973495
2020-07-08,145.57,147.25,144.68,146.93,763701
2020-07-09,146.18,146.34,142.4,142.84,905956
2020-07-10,143.07,144.83,142.03,143.74,674870
2020-07-13,144.83,150.03,144.79,147.93,1184562
2020-07-14,147.11,153.58,147.1,152.85,1153545
2020-07-15,155.36,156.28,153.05,155.62,885809
2020-07-16,155.43,158.85,154.88,158.42,1346281
2020-07-17,160.69,163.6,155.76,160.3,1872865
2020-07-20,159.65,160.44,153.83,156.07,1048024
2020-07-21,156.8,158.34,155.45,156.08,704894
2020-07-22,155.67,158.1,155.67,156.36,548149
2020-07-23,155.86,156.61,154.13,155.13,657998
2020-07-24,155.33,156.89,154.3,154.7,609251
2020-07-27,154.54,157.88,153.93,156.49,700352
2020-07-28,156.2,156.53,154.09,154.86,513877
2020-07-29,154.6,159.23,154.6,158.76,584247
2020-07-30,156.8,157.83,155.04,156.69,949020
2020-07-31,155.76,184.16,152.18,171.85,4243976
2020-08-03,177.27,178.9999,173.0,176.6,3068922
2020-08-04,174.72,176.57,170.42,172.76,1621640
2020-08-05,171.83,176.83,171.83,176.59,948989
2020-08-06,175.83,195.47,175.83,185.42,3685594
2020-08-07,184.68,189.4,183.12,187.04,1338979
2020-08-10,187.67,188.34,182.325,184.49,1217090
2020-08-11,185.44,187.53,184.01,184.48,1064482
2020-08-12,184.79,187.8,183.55,184.04,1014341
2020-08-13,183.98,184.75,181.7201,183.13,793841
2020-08-14,182.97,185.26,182.395,183.93,653625
2020-08-17,183.23,186.5999,182.42,184.54,608573
2020-08-18,184.69,185.46,181.62,182.31,751920
2020-08-19,182.94,183.87,180.57,180.75,603235
