,open,high,low,close,volume
2020-01-02,56.07,56.17,55.31,55.81,3149218
2020-01-03,55.64,56.75,55.5,56.47,2623634
2020-01-06,56.68,58.37,56.54,58.05,6701715
2020-01-07,58.09,58.33,56.8,57.14,5103647
2020-01-08,58.68,60.24,57.57,57.59,9236663
2020-01-09,58.12,59.12,57.16,57.69,5389838
2020-01-10,57.69,59.82,57.51,59.72,5209240
2020-01-13,59.63,60.6,59.63,60.55,4075685
2020-01-14,60.25,61.66,60.25,61.63,3145507
2020-01-15,61.75,63.08,61.63,62.79,3479940
2020-01-16,62.95,63.33,62.17,63.19,2571901
2020-01-17,63.78,64.04,62.98,63.09,3210729
2020-01-21,63.15,65.0,63.15,64.94,3668529
2020-01-22,65.25,66.28,64.94,65.77,3135009
2020-01-23,65.69,67.87,65.53,67.27,5180787
2020-01-24,67.19,68.04,66.56,66.64,5232856
2020-01-27,66.17,67.73,66.0,67.29,3870521
2020-01-28,67.94,68.59,67.4,67.78,4639938
2020-01-29,67.95,68.29,66.82,67.78,2716919
2020-01-30,67.75,68.14,66.81,67.26,2840341
2020-01-31,67.26,67.65,66.25,66.36,2857230
2020-02-03,66.51,67.19,66.15,66.66,2105714
2020-02-04,66.87,67.0,65.57,65.62,2570905
2020-02-05,65.56,68.05,65.44,67.96,2988409
2020-02-06,68.12,68.69,67.74,68.15,2529073
2020-02-07,68.3,69.45,68.26,68.99,2164294
2020-02-10,69.11,70.2,69.09,70.08,2318321
2020-02-11,70.57,71.23,70.39,71.22,2624027
2020-02-12,70.92,70.99,69.9,70.36,3047178
2020-02-13,70.3,70.46,69.65,69.76,2681058
2020-02-14,69.92,70.54,69.22,70.35,1481703
2020-02-18,70.46,71.19,69.86,70.12,2340595
2020-02-19,70.68,70.95,70.18,70.44,1415973
2020-02-20,70.61,71.23,69.88,71.03,1364329
2020-02-21,70.93,71.38,70.52,70.65,1491684
2020-02-24,69.81,70.39,69.07,69.16,2024281
2020-02-25,69.34,69.36,66.18,66.45,2968168
2020-02-26,65.47,66.89,64.66,64.82,3332905
2020-02-27,63.93,65.47,62.69,62.99,3335670
2020-02-28,61.6,61.78,59.02,60.34,4983312
2020-03-02,60.77,62.69,59.83,62.62,4723395
2020-03-03,63.14,66.18,62.43,64.24,5895674
2020-03-04,65.27,67.12,64.37,66.64,5615561
2020-03-05,65.18,66.41,64.47,64.7,3075206
2020-03-06,62.46,63.79,61.0,62.55,4216533
2020-03-09,58.19,58.44,55.35,55.35,5491077
2020-03-10,57.77,59.53,55.08,59.35,4895891
2020-03-11,57.06,57.83,53.38,53.41,4743886
2020-03-12,50.0,50.02,43.74,46.42,7552463
2020-03-13,49.34,49.54,42.17,45.68,6875041
2020-03-16,39.1,40.0,36.48,36.72,9004981
2020-03-17,37.19,37.66,31.76,34.97,8049224
