,open,high,low,close,volume
2020-01-02,295.78,299.8,294.49,297.89,1506417
2020-01-03,292.05,296.81,291.72,294.69,962205
2020-01-06,289.79,292.03,287.54,289.19,1340668
2020-01-07,291.74,298.54,291.38,296.24,1561967
2020-01-08,297.48,301.67,295.2,299.97,1553726
2020-01-09,302.12,303.88,293.5,297.93,1375168
2020-01-10,299.11,301.28,292.95,294.34,1405199
2020-01-13,294.38,297.33,292.51,297.29,1319313
2020-01-14,300.14,304.37,296.74,300.76,1732244
2020-01-15,299.28,300.55,296.72,298.34,1082948
2020-01-16,301.82,307.26,300.95,305.95,1606960
2020-01-17,307.05,308.49,302.16,308.0,1929917
2020-01-21,308.19,311.91,307.31,308.68,1487995
2020-01-22,311.0,315.36,310.75,311.34,1503992
2020-01-23,312.0,312.68,307.55,312.42,1556587
2020-01-24,315.89,316.73,303.71,306.54,1632588
2020-01-27,297.03,298.68,292.69,293.79,1911264
2020-01-28,298.78,303.25,293.36,301.69,1814954
2020-01-29,302.23,303.99,295.91,298.22,1815761
2020-01-30,318.4,319.0,305.76,310.95,3943128
2020-01-31,308.0,308.97,297.27,298.21,2436457
2020-02-03,300.0,309.58,300.0,308.44,1947758
2020-02-04,316.56,326.82,316.12,325.4,2531048
2020-02-05,331.23,332.53,323.7,325.62,2157194
2020-02-06,326.0,326.85,323.0,323.52,1262497
2020-02-07,320.63,321.28,314.72,315.4,1602888
2020-02-10,313.98,319.89,313.0,319.83,1088697
2020-02-11,322.87,326.83,322.87,325.67,1520740
2020-02-12,328.0,335.18,328.0,334.62,1687166
2020-02-13,335.05,344.32,333.62,341.58,2110509
2020-02-14,341.49,344.21,336.76,339.3,1109935
2020-02-18,323.24,332.0,323.0,325.34,2753842
2020-02-19,331.18,335.41,330.3,333.85,1539560
2020-02-20,331.95,334.04,324.02,328.49,1887801
2020-02-21,326.22,327.04,315.24,316.8,2161396
2020-02-24,299.2,305.31,295.12,300.46,3102246
2020-02-25,305.82,306.9,289.39,292.22,2549829
2020-02-26,296.24,304.63,294.62,296.6,2379977
2020-02-27,285.64,293.76,282.01,285.7,2872175
2020-02-28,275.82,294.45,273.66,293.43,3199237
2020-03-02,296.64,300.55,284.02,300.33,2347251
2020-03-03,300.3,308.3,288.59,291.46,2510294
2020-03-04,298.87,306.3,293.8,306.24,1916962
2020-03-05,297.85,309.65,296.0,299.13,2037002
2020-03-06,290.77,298.67,285.25,294.41,2048884
2020-03-09,273.0,283.26,267.23,267.6,2649495
2020-03-10,275.68,287.86,267.44,287.57,2372482
2020-03-11,278.54,284.49,272.58,276.63,3144769
