,open,high,low,close,volume
2020-01-02,13.69,13.75,13.55,13.68,10437734
2020-01-03,14.05,14.07,13.6,13.75,14858432
2020-01-06,13.84,14.01,13.74,13.96,12015890
2020-01-07,13.76,13.84,13.61,13.79,9555172
2020-01-08,13.8,13.82,13.02,13.28,15588617
2020-01-09,13.09,13.49,12.91,13.45,14048313
2020-01-10,13.39,13.39,13.12,13.18,11210278
2020-01-13,13.08,13.26,12.89,13.19,12674675
2020-01-14,13.21,13.33,13.08,13.28,11708506
2020-01-15,13.21,13.38,13.12,13.24,8458577
2020-01-16,13.34,13.47,13.27,13.34,9898697
2020-01-17,13.36,13.39,13.14,13.21,8375328
2020-01-21,13.14,13.18,12.84,12.85,12325991
2020-01-22,12.83,12.83,12.43,12.45,10676502
2020-01-23,12.25,12.38,11.96,12.22,10974650
2020-01-24,12.12,12.14,11.74,11.93,14343361
2020-01-27,11.63,11.79,11.57,11.69,16135154
2020-01-28,11.79,11.85,11.61,11.77,11954989
2020-01-29,11.87,11.99,11.74,11.75,14525710
2020-01-30,11.55,11.9,11.55,11.86,16273483
2020-01-31,11.65,11.73,11.36,11.37,21632451
2020-02-03,11.34,11.58,11.25,11.47,14591740
2020-02-04,11.76,11.97,11.7,11.77,15015960
2020-02-05,12.0,12.3,12.0,12.16,14443124
2020-02-06,12.22,12.25,11.91,11.92,11757587
2020-02-07,11.75,11.83,11.61,11.68,10401692
2020-02-10,11.56,11.61,11.29,11.38,12402774
2020-02-11,11.58,11.71,11.43,11.57,11349563
2020-02-12,11.85,11.97,11.46,11.61,23873378
2020-02-13,11.27,11.28,10.64,11.11,30406469
2020-02-14,11.13,11.19,10.59,10.64,19180866
2020-02-18,10.45,10.51,10.28,10.3,17992598
2020-02-19,10.35,10.52,10.15,10.47,17657201
2020-02-20,10.55,10.6,10.24,10.25,14530098
2020-02-21,10.15,10.22,9.97,10.11,18984985
2020-02-24,9.64,9.64,9.39,9.46,21073679
2020-02-25,9.5,9.51,8.81,8.92,27734200
2020-02-26,8.99,9.0,8.39,8.41,26969542
2020-02-27,8.01,8.44,7.81,7.93,35223398
2020-02-28,7.57,8.3,7.54,8.28,32547476
2020-03-02,8.45,8.45,7.93,8.34,23722739
2020-03-03,8.32,8.47,7.85,8.08,28461875
2020-03-04,8.23,8.31,7.94,8.11,19272565
2020-03-05,7.86,7.95,7.67,7.8,19881173
2020-03-06,7.45,7.58,6.78,6.83,31799111
2020-03-09,4.21,5.0,3.32,3.63,104992621
2020-03-10,4.85,4.87,3.52,4.4,103388874
2020-03-11,4.22,4.49,4.0,4.09,69876343
2020-03-12,3.78,4.2,3.65,3.98,51840900
2020-03-13,4.36,4.53,3.71,4.53,46436690
2020-03-16,3.81,4.51,3.8,4.0,40040452
2020-03-17,4.15,4.17,3.55,3.62,42687687
2020-03-18,3.5,3.66,3.2,3.45,37516246
2020-03-19,3.5,3.93,3.41,3.83,38878580
2020-03-20,4.0,4.04,3.42,3.56,47626940
2020-03-23,3.56,3.6,3.31,3.35,31979126
2020-03-24,3.69,3.71,3.46,3.61,45409907
2020-03-25,3.8,3.87,3.41,3.58,45439543
2020-03-26,3.73,4.06,3.6,3.88,49943487
2020-03-27,3.72,3.77,3.49,3.52,44065825
2020-03-30,3.49,3.5,3.15,3.24,51653480
2020-03-31,3.46,3.52,3.25,3.29,45578884
2020-04-01,3.22,3.29,3.02,3.12,52683529
2020-04-02,3.26,3.74,3.15,3.47,86377350
2020-04-03,3.73,3.8,3.33,3.65,69613960
2020-04-06,3.69,3.74,3.51,3.62,63749544
2020-04-07,3.89,4.15,3.6,3.68,76383171
2020-04-08,3.91,3.96,3.66,3.95,60032811
2020-04-09,4.35,4.55,3.82,4.12,100290122
2020-04-13,4.43,4.45,4.15,4.39,56668638
2020-04-14,4.35,4.36,4.1,4.25,45582230
2020-04-15,3.95,4.24,3.92,4.23,42074096
2020-04-16,4.22,4.22,3.88,3.89,39711157
2020-04-17,3.95,4.35,3.92,4.35,47956089
2020-04-20,4.0,4.37,3.98,4.21,49903295
2020-04-21,4.11,4.32,3.96,4.24,41652443
2020-04-22,4.4,4.61,4.4,4.53,38118011
2020-04-23,4.76,5.0,4.66,4.84,47724390
2020-04-24,5.0,5.15,4.75,4.93,52809338
2020-04-27,4.8,4.96,4.57,4.85,32857647
2020-04-28,4.96,5.07,4.8,4.99,30166278
2020-04-29,5.19,5.88,5.18,5.85,48997677
2020-04-30,6.31,6.34,5.75,6.12,76872411
2020-05-01,5.89,6.03,5.46,5.5,37478500
2020-05-04,5.34,5.81,5.24,5.81,31011306
2020-05-05,6.2,6.25,5.5,5.53,51913129
2020-05-06,5.61,5.79,5.45,5.6,30005472
2020-05-07,5.62,5.81,5.35,5.51,41225560
2020-05-08,5.6,5.79,5.52,5.78,33670826
2020-05-11,5.7,5.84,5.61,5.75,29064741
2020-05-12,5.83,6.23,5.81,5.96,46853910
2020-05-13,5.9,5.93,5.36,5.56,67542508
2020-05-14,5.43,5.79,5.2,5.64,33269931
2020-05-15,5.62,5.78,5.57,5.61,35912111
2020-05-18,5.94,6.2,5.89,6.08,45368868
2020-05-19,6.03,6.05,5.79,5.82,34771750
2020-05-20,5.92,6.07,5.88,5.95,36006633
2020-05-21,6.0,6.11,5.86,5.94,30083598
2020-05-22,5.88,5.93,5.75,5.89,19137780
2020-05-26,6.07,6.12,5.93,6.03,28871343
2020-05-27,6.12,6.15,5.86,6.15,35620226
2020-05-28,6.11,6.11,5.7,5.7,46626048
2020-05-29,5.64,5.65,5.31,5.34,107505113
2020-06-01,5.34,5.69,5.25,5.69,44191575
2020-06-02,5.77,5.87,5.73,5.86,36328676
2020-06-03,5.97,6.01,5.84,5.95,33434815
2020-06-04,5.93,6.24,5.82,6.23,47090339
2020-06-05,6.86,7.45,6.79,7.32,65321081
2020-06-08,8.42,8.48,7.85,8.43,70510614
2020-06-09,7.95,8.02,7.5,7.66,48096891
2020-06-10,7.52,7.54,7.1,7.11,37907908
2020-06-11,6.31,6.79,6.19,6.26,42014011
2020-06-12,6.78,6.82,6.32,6.58,37661271
2020-06-15,6.22,6.7,6.12,6.6,30092869
2020-06-16,6.97,7.0,6.57,6.74,37876953
2020-06-17,6.71,6.71,6.36,6.37,32721377
2020-06-18,6.31,6.57,6.23,6.49,19826956
2020-06-19,6.7,6.7,6.27,6.36,44381669
2020-06-22,6.26,6.3,6.07,6.27,24949005
2020-06-23,6.4,6.44,6.26,6.33,24012702
2020-06-24,6.16,6.2,5.73,5.79,32288635
2020-06-25,5.65,5.99,5.55,5.98,25356523
2020-06-26,5.87,5.89,5.62,5.74,28767821
2020-06-29,5.79,5.99,5.66,5.96,24802815
2020-06-30,5.91,6.15,5.8,6.12,23403531
2020-07-01,6.17,6.23,5.89,5.95,24087224
2020-07-02,6.13,6.27,6.0,6.12,28861531
2020-07-06,6.22,6.22,5.71,5.86,36161334
2020-07-07,5.78,5.79,5.56,5.57,25374986
2020-07-08,5.6,5.72,5.47,5.67,24022794
2020-07-09,5.66,5.72,5.27,5.27,24172989
2020-07-10,5.21,5.41,5.12,5.35,32422061
2020-07-13,5.38,5.41,5.13,5.13,32336305
2020-07-14,5.09,5.4,4.97,5.37,32009711
2020-07-15,5.58,5.71,5.41,5.69,30805410
2020-07-16,5.57,5.86,5.48,5.72,20608670
2020-07-17,5.74,5.84,5.47,5.51,24757037
2020-07-20,5.5,5.62,5.41,5.49,20874270
2020-07-21,5.61,5.96,5.61,5.86,37220939
2020-07-22,5.79,5.825,5.6,5.79,23132023
2020-07-23,5.8,5.88,5.69,5.76,20648208
2020-07-24,5.76,5.92,5.7,5.72,18246830
2020-07-27,5.73,5.73,5.48,5.63,21472920
2020-07-28,5.54,5.69,5.52,5.53,14634031
2020-07-29,5.58,5.74,5.51,5.74,16081217
2020-07-30,5.57,5.61,5.4,5.51,20415714
2020-07-31,5.48,5.535,5.36,5.49,21249455
2020-08-03,5.49,5.59,5.34,5.52,22435659
2020-08-04,5.48,5.85,5.48,5.78,24005277
2020-08-05,5.94,6.08,5.85,5.98,33060129
2020-08-06,5.85,5.885,5.62,5.68,31515125
2020-08-07,5.62,5.75,5.455,5.74,28780715
2020-08-10,5.77,6.07,5.72,6.04,25702967
2020-08-11,6.21,6.36,5.91,5.94,28332668
2020-08-12,6.14,6.15,5.85,5.98,20526994
2020-08-13,5.93,6.02,5.81,5.89,16856163
2020-08-14,5.8,6.05,5.78,6.05,16328599
2020-08-17,6.02,6.05,5.81,5.92,21947783
2020-08-18,5.84,6.03,5.79,5.95,26614689
2020-08-19,5.9,5.92,5.7,5.73,24296108
2020-08-20,5.63,5.68,5.46,5.51,23007640
2020-08-21,5.46,5.47,5.25,5.27,27861279
2020-08-24,5.35,5.55,5.27,5.45,21120747
2020-08-25,5.53,5.59,5.37,5.49,17781848
2020-08-26,5.46,5.5,5.28,5.3,15400135
2020-08-27,5.37,5.38,5.22,5.36,19257373
2020-08-28,5.36,5.44,5.28,5.39,18881423
2020-08-31,5.39,5.4,5.24,5.28,24298754
2020-09-01,5.26,5.34,5.16,5.32,17461065
2020-09-02,5.27,5.32,5.1,5.12,24820900
2020-09-03,5.1,5.23,4.95,4.99,27732797
2020-09-04,5.03,5.11,4.85,4.93,30189233
2020-09-08,4.77,4.79,4.5,4.5,35070664
2020-09-09,4.56,4.56,4.41,4.54,27643914
2020-09-10,4.51,4.56,4.36,4.36,35742163
2020-09-11,4.39,4.48,4.34,4.47,30568174
2020-09-14,4.47,4.4879,4.36,4.4,22333008
2020-09-15,4.4,4.4976,4.32,4.34,22956325
2020-09-16,4.42,4.67,4.35,4.56,35222200
2020-09-17,4.48,4.7,4.465,4.68,22619995
2020-09-18,4.6602,4.87,4.65,4.82,49201583
2020-09-21,4.64,4.65,4.49,4.56,23009037
2020-09-22,4.59,4.69,4.44,4.47,17571431
2020-09-23,4.5,4.53,4.21,4.21,20822221
2020-09-24,4.19,4.4,4.02,4.31,28672830
2020-09-25,4.23,4.28,4.08,4.14,24451436
2020-09-28,4.21,4.37,4.13,4.29,25052276
2020-09-29,4.26,4.27,4.04,4.16,23584779
2020-09-30,4.15,4.21,4.06,4.09,24668526
2020-10-01,4.05,4.08,3.93,3.95,25383247
2020-10-02,3.82,4.13,3.79,4.12,33777365
2020-10-05,4.21,4.24,4.09,4.23,26467172
2020-10-06,4.29,4.38,4.03,4.04,29787736
2020-10-07,4.1,4.15,4.03,4.13,21641171
2020-10-08,4.11,4.38,4.06,4.38,25876336
2020-10-09,4.41,4.475,4.2,4.26,23129938
2020-10-12,4.24,4.32,4.18,4.29,24537299
2020-10-13,4.21,4.3282,4.19,4.23,21208534
2020-10-14,4.26,4.47,4.2,4.2,23466306
2020-10-15,4.15,4.27,4.06,4.27,21728163
2020-10-16,4.23,4.23,4.07,4.07,25005833
2020-10-19,4.1,4.14,3.98,3.98,28806284
2020-10-20,4.01,4.19,4.0,4.15,27770559
2020-10-21,4.11,4.225,4.06,4.1,27318510
2020-10-22,4.11,4.4,4.09,4.37,29831560
2020-10-23,4.4,4.56,4.37,4.44,30662123
2020-10-26,4.29,4.3,4.1,4.13,27976581
2020-10-27,4.11,4.19,4.04,4.13,29113804
2020-10-28,3.98,4.0,3.82,3.85,35781593
2020-10-29,3.81,3.99,3.73,3.99,33146254
2020-10-30,3.94,4.01,3.83,3.96,28399618
2020-11-02,3.98,4.22,3.86,4.15,28883791
2020-11-03,4.25,4.3,4.1,4.14,27651058
2020-11-04,4.12,4.34,3.995,4.27,48596152
2020-11-05,4.29,4.51,4.21,4.29,51484419
2020-11-06,4.26,4.42,4.1,4.13,33393281
2020-11-09,4.67,5.19,4.67,5.09,63052025
2020-11-10,5.2,5.22,4.89,5.07,38749014
2020-11-11,5.15,5.22,5.01,5.07,29621487
2020-11-12,4.96,5.14,4.77,4.82,25598488
2020-11-13,4.87,5.075,4.86,5.06,22610827
2020-11-16,5.32,5.48,5.215,5.48,36501624
2020-11-17,5.32,5.54,5.21,5.5,31148596
2020-11-18,5.54,5.86,5.48,5.49,41398464
2020-11-19,5.46,5.71,5.37,5.69,20316532
2020-11-20,5.67,5.73,5.51,5.6,30192804
2020-11-23,5.72,6.19,5.71,6.17,42087002
2020-11-24,6.5,6.63,6.34,6.45,41722747
2020-11-25,6.4,6.6,6.24,6.43,27827313
2020-11-27,6.46,6.53,6.31,6.35,14842049
2020-11-30,6.28,6.32,5.9,5.92,33838824
2020-12-01,6.15,6.19,5.8,5.86,30664084
2020-12-02,5.79,6.28,5.7601,6.06,29016058
2020-12-03,6.14,6.31,6.005,6.19,35813078
2020-12-04,6.37,6.85,6.345,6.85,41865943
2020-12-07,6.81,6.89,6.61,6.69,33211996
2020-12-08,6.62,7.15,6.59,7.07,36805074
2020-12-09,7.26,7.4,6.98,7.15,50265655
2020-12-10,7.17,7.46,7.11,7.3,40089280
2020-12-11,7.31,7.31,7.0,7.06,25131169
2020-12-14,7.2,7.25,6.68,6.72,27548642
2020-12-15,6.74,6.95,6.67,6.91,23523291
2020-12-16,7.01,7.18,6.875,6.97,25561613
2020-12-17,7.03,7.06,6.86,6.91,19920749
2020-12-18,6.93,6.9833,6.66,6.73,29291192
2020-12-21,6.35,6.67,6.2717,6.55,24156370
2020-12-22,6.53,6.59,6.31,6.31,19501918
2020-12-23,6.41,6.96,6.4,6.81,30780610
2020-12-24,6.78,6.79,6.45,6.63,15690749
2020-12-28,6.73,6.84,6.585,6.63,15146070
