,open,high,low,close,volume
2019-01-02,49.67,51.28,49.65,50.84,3147115
2019-01-03,49.72,50.25,47.83,47.95,3801200
2019-01-04,48.05,50.13,48.05,50.06,3600000
2019-01-07,49.83,51.19,49.31,50.58,2775400
2019-01-08,50.91,51.11,49.48,49.82,2974800
2019-01-09,50.35,51.45,50.3,51.17,1985600
2019-01-10,50.94,51.8,50.82,51.72,1553900
2019-01-11,51.39,53.18,51.25,52.86,2139300
2019-01-14,52.21,52.39,51.07,51.12,2790200
2019-01-15,51.47,52.07,51.44,51.69,1539600
2019-01-16,51.68,52.59,51.18,52.06,1866600
2019-01-17,52.1,52.9,51.41,52.71,1790500
2019-01-18,53.14,53.75,52.5,53.61,1971800
2019-01-22,53.15,53.22,51.52,51.89,3165200
2019-01-23,52.09,52.48,51.37,52.03,2483600
2019-01-24,52.75,55.16,52.62,54.54,3138800
2019-01-25,55.22,56.69,54.83,56.27,2633500
2019-01-28,54.56,55.89,54.42,55.6,2729400
2019-01-29,55.88,55.88,54.94,54.98,2366600
2019-01-30,54.35,55.2,52.45,54.46,4613500
2019-01-31,54.26,54.86,53.99,54.27,2557500
2019-02-01,54.56,55.26,54.25,54.61,2548900
2019-02-04,54.55,55.05,54.16,55.05,1801300
2019-02-05,55.14,55.49,54.59,55.19,2204100
2019-02-06,55.77,56.65,55.54,56.18,2900400
2019-02-07,55.69,55.98,54.46,54.85,1901600
2019-02-08,54.03,54.82,53.83,54.72,1908200
2019-02-11,54.82,55.09,54.42,54.69,1004500
2019-02-12,55.43,55.76,55.28,55.63,1386300
2019-02-13,55.84,55.94,55.35,55.46,1003100
2019-02-14,55.37,55.92,54.95,55.79,1158200
2019-02-15,56.25,56.5,55.65,55.85,1620500
2019-02-19,55.48,55.8,55.47,55.52,1563912
2019-02-20,55.67,56.23,55.67,55.92,1100800
2019-02-21,55.85,55.97,55.13,55.26,1695034
2019-02-22,55.93,56.05,55.51,55.9,1274325
2019-02-25,56.47,56.68,56.26,56.48,1350000
2019-02-26,56.32,56.51,55.6,55.62,1259600
2019-02-27,54.82,54.89,53.82,54.18,1667600
2019-02-28,53.92,54.52,53.86,54.43,2056500
2019-03-01,54.96,55.25,54.32,55.05,1993700
2019-03-04,55.57,55.66,54.5,55.36,1801700
2019-03-05,55.36,55.64,54.1,54.7,2801900
2019-03-06,54.61,54.7,53.56,53.62,2349400
2019-03-07,53.38,53.57,52.3,52.37,2747900
2019-03-08,51.63,52.02,51.37,51.95,2897700
2019-03-11,52.34,53.5,52.07,53.35,2059400
2019-03-12,53.36,53.4,52.59,53.14,2648600
2019-03-13,53.42,53.49,52.54,52.94,3435100
2019-03-14,53.01,53.1,52.57,52.88,2358900
2019-03-15,53.24,54.24,53.19,54.14,6035400
2019-03-18,53.98,54.53,53.6,53.96,1948100
2019-03-19,54.21,54.57,54.06,54.25,1655200
2019-03-20,54.17,54.33,53.34,53.86,1316900
2019-03-21,53.98,55.52,53.79,55.26,1684300
2019-03-22,55.02,55.35,54.18,54.21,1343600
2019-03-25,54.03,54.36,53.15,53.84,1752200
2019-03-26,54.31,54.84,53.89,54.34,1003900
2019-03-27,54.35,54.57,52.64,53.11,1510300
2019-03-28,53.06,53.51,52.43,52.73,1103600
2019-03-29,53.22,53.44,52.89,53.17,1686300
2019-04-01,53.8,54.85,53.64,54.76,1586000
2019-04-02,54.76,55.08,54.09,54.96,1128900
2019-04-03,55.74,57.48,55.36,56.83,3097600
2019-04-04,56.78,57.45,56.15,56.93,1230800
2019-04-05,57.18,57.49,56.96,57.32,1174900
2019-04-08,57.28,58.06,56.06,57.95,1630000
2019-04-09,57.63,57.73,57.12,57.25,1292800
2019-04-10,57.2,58.18,57.19,58.14,1310900
2019-04-11,58.13,58.4,57.78,57.97,806800
2019-04-12,58.49,59.33,58.29,59.3,1499500
2019-04-15,59.22,59.31,58.65,59.02,1510500
2019-04-16,59.31,60.1,59.31,59.89,1965332
2019-04-17,60.06,60.34,59.08,59.57,1359400
2019-04-18,59.91,59.98,59.48,59.77,1070100
2019-04-22,59.46,59.54,58.98,59.11,1378500
2019-04-23,59.15,59.8,59.15,59.63,1308900
2019-04-24,59.51,60.65,59.51,60.19,1343700
2019-04-25,59.71,60.03,58.83,59.67,1806900
2019-04-26,59.09,59.575,58.6,59.53,1352730
2019-04-29,59.22,59.89,59.16,59.44,1214200
2019-04-30,59.59,60.23,59.1,60.0,1974300
2019-05-01,62.0,63.38,59.6,59.88,2922900
2019-05-02,60.18,61.14,59.6,60.39,2090500
2019-05-03,60.29,60.73,59.78,60.55,1292800
2019-05-06,58.81,59.29,58.04,59.11,1560800
2019-05-07,58.22,58.4,57.47,58.27,1997500
2019-05-08,57.98,58.39,57.24,57.3,1760800
2019-05-09,56.64,57.27,55.8,57.1,1960400
2019-05-10,56.75,57.6,55.86,56.96,1763500
2019-05-13,55.21,55.3,52.78,53.42,2905300
2019-05-14,54.05,54.39,53.62,54.1,1701500
2019-05-15,53.6,55.11,53.47,54.79,1477900
2019-05-16,53.38,54.66,53.29,54.4,1877500
2019-05-17,53.85,54.89,53.52,53.59,1883100
2019-05-20,51.62,53.23,51.62,52.63,2064600
2019-05-21,53.49,54.32,53.49,53.66,1674900
2019-05-22,53.17,54.25,52.93,54.02,1887500
2019-05-23,53.09,54.0,53.09,53.86,2692200
2019-05-24,54.31,54.56,53.29,53.35,1192100
2019-05-28,53.38,53.56,51.95,52.0,2185700
2019-05-29,51.26,52.75,51.26,52.59,2210500
2019-05-30,52.65,53.85,52.65,53.14,1266400
2019-05-31,52.55,53.42,52.53,52.59,1696800
2019-06-03,53.07,54.61,53.0,53.31,2224100
2019-06-04,54.07,55.4,53.96,55.35,2667121
2019-06-05,55.83,55.92,54.35,55.57,1567200
2019-06-06,55.68,56.11,55.01,55.82,1487600
2019-06-07,56.2,56.59,55.85,56.53,1717400
2019-06-10,56.85,58.57,56.85,58.01,1676335
2019-06-11,58.89,59.11,57.84,58.03,1864200
2019-06-12,57.68,57.81,57.09,57.18,1206600
2019-06-13,57.4,57.91,57.18,57.9,1458800
2019-06-14,56.37,56.6,55.82,56.05,2209800
2019-06-17,56.29,56.46,55.61,55.74,1410500
2019-06-18,56.39,58.16,56.0,57.76,1966900
2019-06-19,58.14,58.615,57.855,58.26,1038865
