,open,high,low,close,volume
2020-01-02,107.26,107.96,107.17,107.82,572358
2020-01-03,106.98,108.48,106.74,108.28,721557
2020-01-06,107.79,108.26,106.89,108.21,718444
2020-01-07,108.0,108.26,106.39,106.42,557770
2020-01-08,106.51,106.96,105.24,105.83,1167014
2020-01-09,106.27,107.89,105.99,107.35,529956
2020-01-10,107.75,107.85,106.78,106.84,427287
2020-01-13,107.0,107.53,106.83,107.09,394782
2020-01-14,107.26,107.26,106.33,106.55,705150
2020-01-15,106.4,108.21,106.4,107.86,623184
2020-01-16,108.56,108.64,107.78,108.31,1085303
2020-01-17,108.46,109.37,108.03,109.31,790816
2020-01-21,109.12,110.15,108.97,109.25,593769
2020-01-22,109.38,109.45,108.22,109.14,585913
2020-01-23,109.05,109.68,108.48,109.63,483220
2020-01-24,109.66,110.29,109.24,110.21,695936
2020-01-27,109.13,110.28,109.0,109.78,979580
2020-01-28,109.83,111.59,109.8,111.14,1058563
2020-01-29,112.15,115.77,109.76,115.34,1275157
2020-01-30,115.25,116.12,113.4,115.96,990352
2020-01-31,115.85,116.8,115.55,116.46,912291
2020-02-03,117.28,118.89,117.03,117.79,719195
2020-02-04,118.94,120.23,118.46,118.67,867005
2020-02-05,119.24,119.25,115.9,116.47,1020182
2020-02-06,117.21,117.23,115.53,115.85,910589
2020-02-07,115.97,116.3,114.24,114.33,959451
2020-02-10,114.12,115.85,114.01,115.73,941261
2020-02-11,115.72,116.68,114.68,114.8,462961
2020-02-12,114.9,115.06,112.94,114.06,582609
2020-02-13,114.17,114.9,113.95,114.4,409848
2020-02-14,114.64,116.25,114.64,116.2,530378
2020-02-18,113.5,116.16,113.13,115.67,1085103
2020-02-19,115.97,117.33,115.2,115.27,726409
2020-02-20,115.55,115.8,113.32,114.49,692278
2020-02-21,114.24,115.45,113.99,115.18,2527232
2020-02-24,112.84,115.42,112.39,114.74,1217761
2020-02-25,114.91,115.32,111.85,112.41,963578
2020-02-26,112.47,114.66,112.47,113.02,948139
2020-02-27,112.0,112.51,107.32,107.45,1342533
2020-02-28,105.23,105.45,100.47,102.55,2281039
2020-03-02,103.0,110.35,103.0,110.12,1264051
2020-03-03,110.74,114.07,109.13,110.07,1317220
2020-03-04,112.17,116.55,110.5,116.37,1206509
2020-03-05,112.57,114.59,111.59,114.1,1645087
2020-03-06,110.87,112.29,107.67,110.5,1260001
2020-03-09,102.72,108.42,102.46,105.72,1434162
2020-03-10,108.32,108.79,102.2,104.7,1989058
2020-03-11,101.86,101.96,97.79,99.32,1829395
2020-03-12,91.43,93.32,88.3,88.63,1766554
2020-03-13,93.15,96.37,85.72,96.05,1680944
2020-03-16,87.0,92.78,83.35,85.31,1417171
2020-03-17,87.47,95.88,87.0,95.03,2225360
2020-03-18,90.44,95.49,89.15,91.57,2265847
2020-03-19,91.77,92.6,85.52,88.0,1753455
2020-03-20,89.82,89.82,79.67,80.5,2161498
2020-03-23,80.57,80.57,71.66,72.86,1794010
2020-03-24,76.91,83.19,76.39,82.99,1975431
2020-03-25,82.99,91.02,82.28,86.96,1969122
2020-03-26,88.05,96.09,88.05,93.82,1699275
2020-03-27,90.04,95.44,89.28,92.78,1127261
2020-03-30,94.03,99.83,92.81,99.44,1437366
2020-03-31,99.52,100.4,94.58,94.95,1515754
2020-04-01,90.12,93.29,90.0,92.27,1058775
2020-04-02,92.05,94.45,90.33,93.96,1237053
2020-04-03,94.53,95.92,93.57,95.22,851950
2020-04-06,99.89,102.27,98.07,101.59,916794
2020-04-07,104.72,107.11,100.22,100.94,1125513
2020-04-08,101.53,104.81,101.23,104.13,744873
2020-04-09,104.78,108.59,104.78,107.92,740595
2020-04-13,105.29,106.99,102.67,103.29,805704
2020-04-14,105.65,107.88,104.27,107.56,1384606
2020-04-15,106.11,108.11,104.61,106.0,829912
2020-04-16,106.89,108.93,106.5,108.31,722799
2020-04-17,111.1,111.91,109.38,111.24,773808
2020-04-20,109.77,110.88,108.76,109.78,922808
2020-04-21,107.72,108.86,104.76,105.27,968382
2020-04-22,108.5,108.5,102.8,104.63,1362675
2020-04-23,106.97,106.97,102.82,103.85,905068
2020-04-24,104.77,105.75,102.97,105.63,843641
2020-04-27,107.11,111.89,107.0,111.63,922622
2020-04-28,113.53,114.42,110.65,111.21,1006246
2020-04-29,112.75,113.23,111.22,111.6,826984
2020-04-30,108.75,111.14,108.32,109.67,694435
2020-05-01,107.0,107.54,105.83,106.62,730735
2020-05-04,105.81,106.63,104.38,106.13,722718
2020-05-05,107.54,109.48,105.94,108.83,966469
2020-05-06,109.77,109.77,105.6,105.63,710180
2020-05-07,106.75,109.22,106.45,107.33,633646
2020-05-08,109.21,109.29,107.08,107.59,895102
2020-05-11,105.98,109.95,105.85,109.24,683256
2020-05-12,110.0,110.49,108.2,108.5,1070442
2020-05-13,108.52,110.3,107.45,108.89,927749
2020-05-14,107.35,109.67,107.25,109.48,793188
2020-05-15,109.79,112.25,108.67,112.08,2078513
2020-05-18,114.92,115.91,113.86,114.94,865446
2020-05-19,114.2,115.99,112.42,112.63,636473
2020-05-20,112.99,115.61,112.99,114.71,531647
2020-05-21,113.86,114.7,113.01,113.99,721989
2020-05-22,114.08,115.79,113.83,115.34,440672
2020-05-26,118.42,119.27,116.03,116.28,611906
2020-05-27,117.78,117.99,114.22,115.19,845911
2020-05-28,116.33,117.65,115.57,116.37,714262
2020-05-29,116.32,118.83,115.7,118.46,831669
2020-06-01,119.3,119.87,117.25,118.88,929588
2020-06-02,119.25,119.8,118.28,119.24,519186
2020-06-03,119.97,120.73,118.34,119.34,702759
2020-06-04,119.1,119.37,116.44,117.93,601163
2020-06-05,119.54,120.25,115.33,119.9,1076059
2020-06-08,119.37,121.61,119.27,121.3,959198
2020-06-09,120.36,121.16,119.15,120.09,825896
2020-06-10,119.57,120.84,119.38,120.01,513052
2020-06-11,118.49,118.87,112.72,113.25,866339
2020-06-12,115.46,115.89,113.13,115.15,705462
2020-06-15,112.54,118.36,112.23,117.37,781163
2020-06-16,118.69,120.0,116.09,118.53,755886
2020-06-17,119.07,119.67,117.91,118.13,593174
2020-06-18,117.74,119.39,116.71,119.29,768322
2020-06-19,120.28,122.15,118.41,118.83,983823
2020-06-22,119.12,120.45,118.13,119.71,506432
2020-06-23,120.22,120.88,118.29,118.6,706047
2020-06-24,118.23,118.32,115.07,115.28,626830
2020-06-25,115.0,118.99,114.66,118.69,554924
2020-06-26,118.12,118.34,115.41,115.82,1053726
2020-06-29,117.4,117.68,116.18,117.55,749124
