,open,high,low,close,volume
2020-01-02,241.97,243.68,237.95,238.62,1971188
2020-01-03,238.63,241.36,238.14,240.32,1774294
2020-01-06,240.7,242.6,240.42,241.52,1378374
2020-01-07,240.69,242.21,240.17,241.31,1684398
2020-01-08,241.67,242.95,241.0,241.2,1484040
2020-01-09,240.65,243.82,240.53,243.09,1739546
2020-01-10,243.82,244.7,243.19,243.55,1281364
2020-01-13,243.05,246.83,243.05,246.4,1469946
2020-01-14,246.23,247.8,245.8,247.73,2063213
2020-01-15,248.58,252.19,248.55,251.58,1598179
2020-01-16,250.88,252.31,250.34,252.27,1978579
2020-01-17,252.37,253.75,251.41,253.4,2338530
2020-01-21,254.03,257.3,252.81,256.89,2871561
2020-01-22,258.95,260.78,257.66,259.9,1766383
2020-01-23,259.36,262.75,259.36,260.08,2553109
2020-01-24,257.03,264.08,256.17,263.72,2577640
2020-01-27,262.62,267.76,262.29,266.74,2169723
2020-01-28,266.74,269.0,263.71,265.81,2065729
2020-01-29,266.75,266.81,264.12,265.76,1502124
2020-01-30,265.87,270.25,265.02,269.93,1582198
2020-01-31,269.46,270.66,266.73,268.2,1884170
2020-02-03,268.69,269.48,266.21,266.81,2760345
2020-02-04,266.27,267.31,263.92,264.54,2620658
2020-02-05,264.29,267.66,262.21,266.71,2166687
2020-02-06,266.75,270.33,266.36,268.33,1968614
2020-02-07,269.51,271.65,269.19,269.54,1602490
2020-02-10,270.31,271.81,269.33,271.74,1916724
2020-02-11,272.76,273.99,271.95,272.15,1962713
2020-02-12,271.43,272.27,270.12,270.26,1459136
2020-02-13,270.26,275.87,270.26,275.47,1875119
2020-02-14,275.69,279.08,275.54,278.52,1838734
2020-02-18,280.0,283.35,278.37,282.04,2447353
2020-02-19,275.02,277.12,274.55,274.67,5283654
2020-02-20,275.94,277.14,273.31,277.03,2681253
2020-02-21,277.53,278.76,276.07,277.59,2757683
2020-02-24,274.8,278.61,273.93,273.94,2272850
2020-02-25,273.94,275.9,269.8,270.33,2570117
2020-02-26,268.93,273.3,268.0,269.47,2387879
2020-02-27,268.04,270.93,255.61,255.85,3650414
2020-02-28,248.15,253.91,243.08,252.76,6867079
2020-03-02,253.65,268.9,252.33,268.35,4826339
2020-03-03,269.09,274.3,262.89,265.15,3908991
2020-03-04,269.2,282.57,269.2,282.22,3677563
2020-03-05,277.05,279.86,272.44,276.16,3102902
2020-03-06,268.56,272.91,261.7,271.82,3639143
2020-03-09,254.46,266.32,254.46,261.28,3891095
2020-03-10,265.63,267.32,242.31,255.73,5935906
2020-03-11,249.2,249.22,238.56,241.26,4812374
2020-03-12,216.13,231.66,206.05,208.89,7909286
2020-03-13,220.05,221.99,196.36,221.56,7896543
2020-03-16,198.0,220.66,196.74,201.37,5056077
2020-03-17,205.46,227.47,204.0,221.76,5384516
2020-03-18,209.06,227.99,199.76,210.64,5548740
2020-03-19,210.01,221.63,200.54,207.1,4360289
2020-03-20,205.75,209.9,186.86,191.75,5617469
2020-03-23,186.67,188.57,174.8,181.66,5914621
