,open,high,low,close,volume
2020-01-02,20.38,20.45,19.91,20.12,4202327
2020-01-03,19.85,20.15,19.84,20.08,3490182
2020-01-06,20.0,20.49,19.78,20.49,2934380
2020-01-07,20.28,20.41,19.92,20.36,3699070
2020-01-08,20.37,20.48,19.93,20.34,3383206
2020-01-09,20.42,20.49,20.08,20.09,4561135
2020-01-10,20.11,20.17,19.9,19.98,2501493
2020-01-13,19.97,20.14,19.81,19.86,2861637
2020-01-14,19.8,20.45,19.8,20.42,2409241
2020-01-15,20.56,21.53,20.5,21.51,5062813
2020-01-16,21.68,22.31,21.6,21.77,7527027
2020-01-17,21.82,21.99,21.43,21.51,4582914
2020-01-21,21.48,21.48,21.07,21.22,3460038
2020-01-22,21.22,21.3,21.12,21.22,1382269
2020-01-23,21.16,21.46,20.95,21.37,2173002
2020-01-24,21.47,21.47,21.0,21.16,3303631
2020-01-27,20.88,20.96,20.53,20.65,6485415
2020-01-28,20.75,20.96,20.54,20.84,1854463
2020-01-29,20.88,20.95,20.52,20.54,2369090
2020-01-30,20.31,20.88,20.24,20.81,4103087
2020-01-31,20.73,20.73,20.25,20.4,4395637
2020-02-03,20.57,21.06,20.48,20.61,2578647
2020-02-04,20.9,20.99,20.7,20.8,2487689
2020-02-05,21.06,21.285,20.985,21.17,1928852
2020-02-06,21.29,21.47,21.12,21.2,1710500
2020-02-07,21.06,21.3,20.98,21.29,1324437
2020-02-10,21.25,21.68,21.12,21.2,1890196
2020-02-11,21.28,21.58,21.24,21.43,1298375
2020-02-12,21.6,22.2,21.52,21.8,2223642
2020-02-13,21.75,21.75,21.45,21.6,2648252
2020-02-14,21.6,21.8,21.3,21.39,3526693
2020-02-18,21.36,21.91,21.24,21.72,2154594
2020-02-19,21.79,21.88,21.37,21.83,1731629
2020-02-20,21.72,22.3,21.68,22.25,2743066
2020-02-21,22.1,22.33,21.68,21.85,5210818
2020-02-24,21.35,21.54,21.19,21.38,2836810
2020-02-25,21.46,21.47,20.2,20.42,3791804
2020-02-26,20.64,21.01,20.19,20.29,4017356
2020-02-27,20.03,20.25,18.56,18.58,8507284
2020-02-28,18.12,18.46,17.83,18.21,10308439
2020-03-02,18.33,18.33,17.68,18.12,7647045
2020-03-03,18.26,18.66,17.51,17.58,7486496
2020-03-04,17.69,17.87,17.42,17.79,4088694
2020-03-05,17.2,17.24,16.51,16.65,5411476
2020-03-06,15.99,16.65,15.83,16.36,4552918
2020-03-09,15.2,15.45,14.27,14.28,5188334
2020-03-10,14.97,16.05,14.53,16.05,6234259
2020-03-11,15.54,15.81,15.23,15.42,6026099
2020-03-12,14.21,14.67,13.48,13.64,4173289
2020-03-13,14.39,15.06,13.87,15.05,5190914
2020-03-16,13.4,15.33,12.81,14.66,5549681
2020-03-17,14.97,16.38,14.59,16.22,5008805
2020-03-18,14.89,16.45,14.8,16.08,6078663
2020-03-19,15.79,16.0,14.42,15.14,6332352
2020-03-20,15.28,15.39,13.51,13.62,5905584
2020-03-23,13.57,13.59,11.84,11.94,6176257
2020-03-24,12.61,14.35,12.5,13.28,4420893
2020-03-25,13.26,13.95,12.93,13.62,4436618
2020-03-26,13.62,13.97,13.4,13.81,6150462
2020-03-27,13.36,13.53,12.61,13.0,5542153
2020-03-30,13.0,13.16,12.5,13.09,2962410
2020-03-31,12.92,13.19,12.53,12.54,5041526
2020-04-01,12.01,12.12,11.64,11.85,4293563
2020-04-02,11.66,12.73,11.62,12.31,5487034
2020-04-03,12.34,12.57,11.79,12.17,2899796
2020-04-06,12.91,13.28,12.71,13.17,4670264
2020-04-07,13.6,13.88,13.3,13.43,4739478
2020-04-08,13.56,15.18,13.41,14.9,6415592
2020-04-09,15.21,15.5,13.98,14.14,6165170
2020-04-13,13.95,14.1,13.42,13.79,3114823
2020-04-14,13.79,14.26,13.76,14.02,3001201
2020-04-15,13.66,13.77,12.92,13.1,5047865
2020-04-16,13.12,13.15,12.48,12.6,3203595
2020-04-17,13.0,13.49,12.98,13.26,3769301
2020-04-20,13.06,13.23,12.68,12.77,4791311
2020-04-21,12.5,12.64,11.91,11.94,4244765
2020-04-22,12.13,12.19,11.62,11.86,4827611
2020-04-23,11.9,12.49,11.83,12.36,7110227
2020-04-24,12.42,12.72,12.3,12.47,5340449
2020-04-27,12.55,13.32,12.46,13.16,6547897
2020-04-28,13.64,13.82,13.45,13.6,5974783
2020-04-29,13.99,14.04,13.66,13.96,5878449
2020-04-30,13.96,14.93,13.52,14.73,11387206
2020-05-01,14.42,14.42,13.71,13.96,4044863
2020-05-04,13.68,14.26,13.55,14.15,3013667
2020-05-05,14.29,14.47,13.51,13.52,2591305
2020-05-06,13.54,13.72,13.05,13.15,3522315
2020-05-07,13.32,13.98,13.32,13.68,2614622
2020-05-08,13.91,14.23,13.87,14.15,2243830
2020-05-11,14.03,14.15,13.67,13.94,1855516
2020-05-12,13.98,14.05,12.95,12.96,4196592
2020-05-13,12.92,12.92,12.15,12.26,4357269
2020-05-14,12.08,12.89,11.83,12.85,2905044
2020-05-15,12.7,13.02,12.61,12.71,3848184
2020-05-18,13.25,13.99,13.24,13.8,4245429
2020-05-19,13.66,13.77,13.26,13.34,2385973
2020-05-20,13.37,13.7,13.37,13.59,2541498
2020-05-21,13.39,13.7,13.31,13.42,3591914
2020-05-22,13.45,13.67,13.4,13.59,1950722
2020-05-26,14.09,14.46,14.07,14.19,2342513
2020-05-27,14.47,14.79,14.11,14.47,3996727
2020-05-28,14.61,14.72,14.14,14.61,2345673
2020-05-29,14.49,14.49,13.32,13.89,7889139
2020-06-01,13.96,14.82,13.92,14.57,3845771
2020-06-02,14.82,15.08,14.68,15.01,2885119
2020-06-03,15.21,16.31,15.13,15.9,7769855
2020-06-04,15.75,16.0,15.55,15.95,2962885
2020-06-05,16.7,17.05,16.02,16.26,5001576
2020-06-08,16.53,17.54,16.51,17.52,5683896
2020-06-09,17.18,17.25,16.52,16.66,5068133
2020-06-10,16.5,16.7,15.72,15.91,5358972
2020-06-11,15.25,15.47,14.97,15.09,4528193
2020-06-12,15.68,15.76,14.7,15.12,3902686
2020-06-15,14.63,15.33,14.57,15.2,6352180
2020-06-16,15.94,16.01,15.03,15.19,5524078
2020-06-17,15.23,15.27,14.71,15.0,4113117
2020-06-18,14.8,15.18,14.77,15.09,2569831
2020-06-19,15.42,15.5,14.73,14.74,6217548
2020-06-22,14.71,14.71,14.28,14.54,2915366
2020-06-23,14.54,14.99,14.49,14.81,4388300
2020-06-24,14.61,14.61,14.07,14.13,2632253
2020-06-25,14.0,14.33,13.96,14.23,2465565
2020-06-26,14.14,14.2,13.75,14.08,6932588
2020-06-29,14.3,14.73,14.1,14.69,2485629
2020-06-30,14.65,14.94,14.38,14.86,3095693
2020-07-01,14.88,15.31,14.6,14.63,2841400
2020-07-02,14.84,15.12,14.6,14.72,1913694
2020-07-06,15.18,15.35,14.95,15.04,1696679
2020-07-07,14.92,15.05,14.53,14.61,2140001
2020-07-08,14.59,14.78,14.33,14.76,2958457
2020-07-09,14.72,14.74,14.19,14.4,2513124
2020-07-10,14.37,14.67,14.23,14.63,2432669
2020-07-13,14.73,14.97,14.6,14.7,3737035
2020-07-14,14.62,14.87,14.42,14.87,1783882
2020-07-15,15.17,15.65,15.12,15.61,3297349
2020-07-16,15.57,15.83,15.44,15.53,3424878
2020-07-17,15.58,15.63,15.26,15.35,2592087
2020-07-20,15.26,15.33,14.82,14.82,1527714
2020-07-21,14.82,15.23,14.82,15.07,2209091
2020-07-22,15.02,15.26,14.95,15.05,1438997
2020-07-23,14.98,15.35,14.98,15.15,1223541
2020-07-24,15.22,15.325,14.91,14.93,1290642
2020-07-27,14.89,14.98,14.69,14.79,2601868
2020-07-28,14.8,14.96,14.61,14.65,2281668
2020-07-29,14.64,14.75,14.39,14.6,2634299
2020-07-30,14.43,14.605,14.14,14.45,2323913
2020-07-31,14.41,14.62,14.205,14.43,4800773
2020-08-03,14.49,14.58,14.24,14.42,3633332
2020-08-04,14.35,14.71,14.29,14.64,2700201
2020-08-05,14.88,15.78,14.755,15.01,4988429
2020-08-06,14.97,15.43,14.97,15.38,5352370
2020-08-07,15.46,15.93,15.35,15.88,5702239
2020-08-10,15.93,16.24,15.78,16.13,6234109
2020-08-11,16.5,16.69,16.18,16.29,4183577
2020-08-12,16.44,16.455,15.765,15.86,2194205
2020-08-13,15.69,15.97,15.62,15.87,1857432
2020-08-14,15.76,16.045,15.69,15.89,1781646
2020-08-17,15.8,15.84,15.325,15.45,3432303
2020-08-18,15.46,15.895,15.37,15.64,4886249
2020-08-19,15.55,16.02,15.4827,15.95,2822994
2020-08-20,15.76,15.77,15.43,15.44,3677015
2020-08-21,15.45,15.56,14.9,14.9,3679429
2020-08-24,14.94,15.59,14.87,15.58,2330411
2020-08-25,15.63,15.79,15.28,15.38,3888558
2020-08-26,15.36,15.38,15.11,15.16,1101549
2020-08-27,15.19,15.46,15.18,15.28,1246090
2020-08-28,15.32,15.605,15.23,15.59,818044
2020-08-31,15.5,15.59,15.185,15.28,3011229
2020-09-01,15.04,15.055,14.83,14.88,2306076
2020-09-02,14.97,15.58,14.965,15.55,2427750
2020-09-03,15.59,16.045,15.215,15.36,2154341
2020-09-04,15.58,15.7,15.065,15.28,3592959
2020-09-08,15.2,15.25,14.82,14.85,3126152
2020-09-09,14.89,14.99,14.735,14.86,2892742
2020-09-10,14.87,14.925,14.21,14.41,3173894
2020-09-11,14.43,14.59,14.28,14.49,3029573
