,open,high,low,close,volume
2020-01-02,238.75,239.91,236.72,239.91,5941969
2020-01-03,235.1,237.83,234.1,236.07,5144308
2020-01-06,232.32,237.27,231.27,237.06,6572812
2020-01-07,238.2,241.77,236.39,239.93,7980144
2020-01-08,239.76,242.04,238.15,240.38,6931017
2020-01-09,243.85,245.93,240.86,243.02,6386053
2020-01-10,247.33,248.55,243.75,244.32,7911560
2020-01-13,247.66,252.99,246.75,251.98,7739168
2020-01-14,250.26,251.28,246.75,247.28,8989483
2020-01-15,247.79,248.69,244.53,245.57,6577636
2020-01-16,247.72,249.17,246.78,248.93,7104791
2020-01-17,249.7,250.0,247.37,249.28,6344764
2020-01-21,247.81,249.29,246.57,247.94,5321260
2020-01-22,249.76,253.59,249.0,250.11,5980967
2020-01-23,251.72,253.2,248.15,252.86,6112861
2020-01-24,257.5,259.5,248.3,250.48,9337839
2020-01-27,238.24,242.25,232.23,240.2,11763354
2020-01-28,242.85,249.27,240.71,247.97,7774401
2020-01-29,247.39,248.84,243.94,245.54,6486279
2020-01-30,241.61,246.35,239.4,245.81,7262590
2020-01-31,243.97,244.45,234.75,236.43,9260493
2020-02-03,235.7,241.11,235.45,240.33,6398205
2020-02-04,246.03,247.9,244.02,247.13,6788589
2020-02-05,251.99,252.4,247.41,250.76,5205502
2020-02-06,252.14,254.25,248.88,254.25,5457051
2020-02-07,252.64,253.53,250.57,251.59,4743803
2020-02-10,252.5,263.0,252.3,262.97,13240194
2020-02-11,267.32,272.5,264.83,267.89,15963922
2020-02-12,270.01,272.8,268.45,272.54,9366118
2020-02-13,270.21,273.48,269.11,270.78,13200384
2020-02-14,287.26,294.97,286.0,289.79,26048093
2020-02-18,285.64,297.31,284.86,296.57,15547025
2020-02-19,301.49,315.41,301.49,314.7,17358281
2020-02-20,312.77,316.32,296.35,308.7,20251259
2020-02-21,304.19,305.2,290.66,294.07,19232331
2020-02-24,270.19,281.87,268.0,273.28,21422873
2020-02-25,276.3,278.79,257.96,262.05,26387442
2020-02-26,262.06,275.45,262.0,267.65,18741536
2020-02-27,254.9,267.0,248.89,252.6,22660373
2020-02-28,242.46,272.46,241.79,270.07,28366882
2020-03-02,276.9,277.59,261.0,276.43,22268639
2020-03-03,278.67,281.07,262.46,265.89,16319828
2020-03-04,270.2,284.89,267.2,284.51,14935184
2020-03-05,276.5,283.2,271.5,273.29,13508187
2020-03-06,266.08,268.39,258.0,266.04,12885307
2020-03-09,239.9,259.4,238.18,245.44,15353960
2020-03-10,256.54,261.08,245.99,261.08,14516218
2020-03-11,255.46,256.6,242.57,246.47,12551693
2020-03-12,225.46,236.12,215.8,216.31,20413535
2020-03-13,230.5,241.02,219.61,240.84,15870943
2020-03-16,212.41,226.1,194.0,196.4,18174303
2020-03-17,200.91,220.86,191.0,217.27,20840799
2020-03-18,200.1,209.94,180.68,202.82,21727385
2020-03-19,201.96,216.73,193.39,212.97,19137847
2020-03-20,219.0,230.32,205.13,205.75,20115854
2020-03-23,205.71,216.48,198.52,212.69,16096866
2020-03-24,229.0,252.66,228.05,249.18,27541095
2020-03-25,253.8,261.82,243.66,245.62,19835767
2020-03-26,253.94,262.22,250.0,257.24,17439692
2020-03-27,250.0,263.12,248.68,252.73,15970744
2020-03-30,255.36,265.96,253.59,265.59,15056253
2020-03-31,267.2,275.4,257.75,263.6,23749014
2020-04-01,255.65,261.53,241.28,243.07,16422828
2020-04-02,244.24,256.0,242.31,255.47,16894113
2020-04-03,253.96,255.63,238.39,243.91,16580346
2020-04-06,255.24,269.88,252.93,268.4,18197062
2020-04-07,277.3,278.25,257.3,259.03,19613047
2020-04-08,263.41,267.95,260.6,266.95,13561113
2020-04-09,272.0,272.92,260.42,262.95,13156195
2020-04-13,260.55,270.2,257.0,269.85,9960182
2020-04-14,275.0,285.32,273.89,283.95,13273667
2020-04-15,277.2,284.17,275.38,280.84,9153721
2020-04-16,287.08,299.0,286.55,294.7,18640510
2020-04-17,298.0,298.86,286.94,292.32,13478049
2020-04-20,287.24,293.5,285.27,287.05,11234705
2020-04-21,282.31,284.77,267.11,269.51,18378996
2020-04-22,277.23,287.87,275.4,286.15,12118228
2020-04-23,287.84,293.14,283.0,284.01,10603988
2020-04-24,283.6,289.67,280.6,289.59,8816137
2020-04-27,294.99,303.5,294.0,297.08,11984699
2020-04-28,303.0,304.2,291.14,291.36,11072603
2020-04-29,296.77,300.58,293.75,298.46,9479047
2020-04-30,296.29,298.46,291.72,292.28,9397943
2020-05-01,284.35,288.9,280.84,282.78,8552445
2020-05-04,280.88,291.84,280.88,291.29,7938880
2020-05-05,295.47,300.27,291.29,293.74,9222391
2020-05-06,296.93,302.0,295.41,297.79,8086639
2020-05-07,303.38,307.41,301.32,304.87,9343263
2020-05-08,307.75,312.75,306.39,312.5,8497678
2020-05-11,312.3,324.5,311.15,322.62,11726504
2020-05-12,324.94,326.9,311.71,312.1,12326482
2020-05-13,316.7,323.14,303.79,311.2,15646252
2020-05-14,313.67,321.44,307.5,321.22,15057809
2020-05-15,315.59,340.02,314.96,339.63,24691543
2020-05-18,350.42,356.66,347.22,350.01,19410086
2020-05-19,351.61,363.5,350.51,352.22,17933049
2020-05-20,359.64,361.72,355.55,358.8,14688405
2020-05-21,362.06,362.1,349.5,351.01,17552200
