,open,high,low,close,volume
2020-01-02,73.85,74.0,71.93,72.48,1997628
2020-01-03,72.19,73.9,72.11,73.79,1769551
2020-01-06,73.65,74.46,73.32,74.16,1282392
2020-01-07,74.7,74.7,73.34,74.18,1560492
2020-01-08,74.28,74.64,73.92,74.52,1853495
2020-01-09,74.42,74.54,73.18,73.25,1997959
2020-01-10,73.28,73.98,73.16,73.74,2429388
2020-01-13,73.91,75.03,73.81,74.96,1612788
2020-01-14,74.75,74.99,74.2,74.96,1517944
2020-01-15,75.67,76.34,75.55,75.98,1960528
2020-01-16,76.0,76.53,75.72,76.15,1463326
2020-01-17,76.15,76.75,75.9,76.35,1764029
2020-01-21,76.36,77.96,76.35,77.72,1839430
2020-01-22,77.89,78.17,76.59,76.89,1229774
2020-01-23,77.1,77.59,76.67,77.24,1112020
2020-01-24,77.27,77.83,76.95,77.13,1001867
2020-01-27,76.9,77.91,76.75,77.4,1792759
2020-01-28,77.94,78.65,77.86,78.13,3249620
2020-01-29,78.2,78.66,77.93,78.14,2513560
2020-01-30,78.03,79.01,77.77,78.98,2671102
2020-01-31,78.86,79.15,77.74,78.41,6703377
2020-02-03,78.45,78.97,78.04,78.2,2013586
2020-02-04,78.08,78.94,78.0,78.32,1251179
2020-02-05,77.88,78.75,77.4,78.5,1786721
2020-02-06,78.62,79.39,78.6,79.15,1015163
2020-02-07,79.44,79.8,79.19,79.51,1166682
2020-02-10,80.0,80.15,79.64,80.08,1361086
2020-02-11,80.01,80.35,78.5,78.68,1675000
2020-02-12,78.41,78.88,78.0,78.29,1942878
2020-02-13,78.43,79.28,78.43,78.79,1339733
2020-02-14,78.89,80.25,78.81,80.25,1641609
2020-02-18,80.5,80.55,79.78,80.4,1309233
2020-02-19,80.35,80.37,79.41,79.67,1254322
2020-02-20,84.29,84.92,80.38,81.91,3245938
2020-02-21,81.83,82.5,81.53,82.44,2222485
2020-02-24,82.12,83.4,82.0,82.17,2865132
2020-02-25,82.27,82.28,80.47,80.92,3899615
2020-02-26,81.02,81.74,79.44,79.76,5285941
2020-02-27,74.3,75.78,72.89,72.89,11868005
2020-02-28,71.46,72.59,69.38,72.39,7016505
2020-03-02,72.99,75.06,71.66,74.99,4511625
2020-03-03,75.1,76.57,73.96,74.6,3513034
2020-03-04,76.06,78.33,75.77,78.15,3610258
2020-03-05,77.05,78.0,76.45,77.63,2285799
2020-03-06,76.01,76.9,74.2,76.65,2857311
2020-03-09,71.31,74.95,71.0,73.32,3873808
2020-03-10,74.79,76.68,72.7,76.59,3725125
2020-03-11,75.1,75.32,72.26,73.56,3661494
2020-03-12,68.53,73.62,66.06,67.74,4919288
2020-03-13,69.83,72.11,67.75,71.92,5208545
2020-03-16,63.8,66.5,53.94,53.99,6154017
2020-03-17,56.0,56.13,51.8,55.12,6053913
2020-03-18,51.98,52.48,40.0,42.5,6408446
2020-03-19,42.75,49.18,38.0,48.08,5640339
2020-03-20,50.07,52.56,46.89,47.42,4917433
