,open,high,low,close,volume
2020-01-02,190.26,192.04,188.69,192.03,638974
2020-01-03,190.35,190.79,188.77,189.74,619993
2020-01-06,188.7,189.08,186.07,188.24,645039
2020-01-07,188.44,189.37,187.7,188.78,473833
2020-01-08,189.2,190.86,188.47,189.67,436909
2020-01-09,190.79,194.17,190.01,194.02,605438
2020-01-10,194.75,197.99,193.83,196.97,767444
2020-01-13,197.01,200.75,196.55,200.61,740495
2020-01-14,200.32,205.39,200.32,204.0,726546
2020-01-15,203.72,206.46,203.59,206.07,455952
2020-01-16,207.41,209.23,206.87,208.99,480265
2020-01-17,206.94,210.18,205.99,208.44,486782
2020-01-21,208.0,209.2,205.18,205.42,490764
2020-01-22,206.53,206.74,202.59,202.8,402058
2020-01-23,202.51,205.71,200.97,205.37,417204
2020-01-24,205.8,207.05,202.74,204.47,284646
2020-01-27,200.26,203.01,198.99,200.69,446023
2020-01-28,201.57,202.44,200.07,201.38,322484
2020-01-29,201.44,205.65,201.44,202.92,293179
2020-01-30,200.64,204.67,200.06,203.61,374070
2020-01-31,202.33,203.38,195.65,196.23,570443
2020-02-03,197.63,200.53,196.25,198.85,442646
2020-02-04,201.6,204.74,201.6,204.33,421150
2020-02-05,205.53,207.22,204.99,206.95,493117
2020-02-06,206.9,219.83,205.58,217.85,809765
2020-02-07,219.76,221.3,216.84,220.59,551735
2020-02-10,220.03,221.47,218.49,220.21,414898
2020-02-11,220.89,221.27,217.72,219.44,357772
2020-02-12,220.05,223.75,218.71,222.87,263260
2020-02-13,221.83,223.75,221.75,222.98,210548
2020-02-14,223.63,223.63,221.3,221.91,215115
2020-02-18,221.6,223.14,220.64,222.54,193443
2020-02-19,222.74,226.18,222.08,225.04,290120
2020-02-20,225.75,227.21,223.94,225.72,331780
2020-02-21,224.67,225.22,220.82,222.55,290841
2020-02-24,216.35,218.09,211.65,216.4,440152
2020-02-25,217.57,217.99,207.87,208.93,365980
2020-02-26,210.38,213.11,205.78,206.28,417094
2020-02-27,201.81,207.58,198.12,198.2,604375
2020-02-28,194.44,194.5,187.0,193.8,1063851
2020-03-02,192.92,201.03,189.43,200.08,945252
2020-03-03,199.7,204.86,192.83,194.2,613581
2020-03-04,194.75,206.86,194.36,206.03,685213
2020-03-05,199.81,204.23,198.58,201.55,561733
2020-03-06,195.14,200.09,194.63,198.44,693002
2020-03-09,187.15,194.37,181.38,181.7,1095249
2020-03-10,188.43,190.76,181.15,190.76,1167427
2020-03-11,185.1,189.78,178.94,180.0,720135
2020-03-12,166.39,179.89,164.18,167.38,1296905
2020-03-13,172.36,182.43,171.21,177.93,1018997
2020-03-16,161.0,170.06,158.7,160.99,745498
2020-03-17,165.22,179.57,161.88,170.35,1012953
2020-03-18,162.21,176.0,159.59,169.01,936322
2020-03-19,168.35,170.17,160.15,162.1,735124
2020-03-20,163.52,177.85,162.94,168.68,1152334
2020-03-23,172.55,177.0,165.04,171.86,665485
2020-03-24,177.39,189.29,177.39,187.87,785261
2020-03-25,128.39,139.85,120.35,135.53,1391025
2020-03-26,136.91,141.62,134.11,140.6,1079012
2020-03-27,134.59,136.98,127.8,128.33,1485394
2020-03-30,130.64,136.93,129.13,134.67,1414433
2020-03-31,132.65,135.97,130.01,131.26,1463629
2020-04-01,126.97,128.78,121.48,122.33,794090
2020-04-02,120.3,125.59,119.01,124.21,1203338
2020-04-03,122.91,125.51,121.57,122.51,642961
2020-04-06,127.61,139.34,126.19,138.18,988612
2020-04-07,141.95,146.99,140.16,142.64,1273353
2020-04-08,137.05,144.4,137.01,138.3,889661
2020-04-09,139.41,140.26,134.48,135.15,1319177
2020-04-13,132.75,134.21,128.76,129.89,819953
2020-04-14,132.52,135.78,132.18,133.5,941163
