,open,high,low,close,volume
2020-01-02,438.5,439.06,434.44,437.52,796135
2020-01-03,435.81,439.22,433.04,438.75,482933
2020-01-06,437.03,437.03,429.22,434.66,837203
2020-01-07,433.94,434.51,425.28,428.77,661464
2020-01-08,428.87,437.57,428.87,431.9,479511
2020-01-09,434.99,439.54,433.45,437.37,561231
2020-01-10,437.88,438.39,434.9,436.85,569414
2020-01-13,436.63,437.84,433.07,435.5,561988
2020-01-14,434.16,438.79,432.5,438.51,432780
2020-01-15,436.87,440.34,436.78,438.15,349056
2020-01-16,439.9,443.99,438.45,441.07,875646
2020-01-17,442.68,442.8,436.16,440.68,606910
2020-01-21,439.92,446.83,439.81,440.6,620851
2020-01-22,441.18,443.86,433.52,435.71,754166
2020-01-23,432.74,436.91,430.89,436.05,685440
2020-01-24,437.46,439.12,429.71,430.77,374899
2020-01-27,425.88,428.85,425.88,426.81,448295
2020-01-28,427.35,429.84,425.59,428.06,457051
2020-01-29,427.7,429.53,423.9,424.13,368292
2020-01-30,420.7,420.79,417.0,419.88,623756
2020-01-31,415.28,417.95,405.0,406.1,1275130
2020-02-03,407.84,412.07,405.87,406.23,775083
2020-02-04,409.78,415.96,407.47,407.59,666594
2020-02-05,410.53,421.71,410.27,419.21,938030
2020-02-06,404.28,412.49,388.43,398.13,2185400
2020-02-07,396.28,397.49,386.18,387.69,1187935
2020-02-10,385.33,392.0,385.33,391.31,845676
2020-02-11,388.13,394.33,387.77,389.76,1255384
2020-02-12,391.19,393.26,389.33,392.47,840814
2020-02-13,391.84,396.23,391.84,392.6,723684
2020-02-14,393.59,396.01,389.77,390.89,899016
2020-02-18,393.23,399.36,391.31,395.99,1095345
2020-02-19,394.96,398.11,390.5,392.15,781890
2020-02-20,391.15,395.72,388.69,395.18,1095985
2020-02-21,393.3,394.21,389.37,391.5,641950
2020-02-24,386.15,391.29,385.48,387.77,758248
2020-02-25,389.71,390.9,376.75,377.35,1005763
2020-02-26,379.5,384.21,376.72,377.69,807259
2020-02-27,371.24,380.93,370.06,370.47,1110173
2020-02-28,360.91,372.5,358.87,368.72,1691766
2020-03-02,367.01,378.39,364.45,378.39,1222661
2020-03-03,368.43,380.48,362.25,364.17,1406887
2020-03-04,368.02,377.5,363.62,377.2,734271
2020-03-05,368.87,371.94,358.45,361.33,810218
2020-03-06,354.03,369.57,352.24,368.08,1175820
2020-03-09,358.56,380.0,355.0,373.63,1476898
2020-03-10,381.68,394.55,381.13,393.52,1284193
2020-03-11,385.51,387.47,370.99,374.35,1231726
2020-03-12,359.89,361.66,330.24,330.29,1616601
2020-03-13,344.0,354.92,328.71,354.3,952464
2020-03-16,325.72,336.0,298.53,299.65,1148834
2020-03-17,307.18,331.29,301.89,327.54,1111332
2020-03-18,291.21,312.48,274.94,293.72,1186746
2020-03-19,291.27,306.32,277.36,290.53,936826
2020-03-20,290.73,291.53,261.0,263.77,1104414
2020-03-23,255.85,270.84,251.52,260.92,1900602
2020-03-24,272.27,294.99,271.0,277.13,2921616
2020-03-25,279.51,314.74,274.93,298.92,2171775
2020-03-26,300.0,329.0,300.0,326.74,1602250
2020-03-27,315.1,325.52,307.22,313.43,902908
2020-03-30,315.25,320.85,306.56,318.19,760135
2020-03-31,309.81,313.61,299.37,301.05,1101242
2020-04-01,288.42,300.97,283.59,287.25,1184769
2020-04-02,288.94,303.94,288.94,303.49,1139439
2020-04-03,300.97,302.97,289.31,295.38,1019714
2020-04-06,311.37,337.8,311.37,333.43,1115431
2020-04-07,345.0,348.97,329.19,336.27,940684
2020-04-08,338.55,353.86,336.3,340.03,1002325
2020-04-09,342.95,351.96,338.25,342.44,867092
2020-04-13,341.28,348.94,332.16,347.92,485191
2020-04-14,352.98,362.94,352.98,356.35,643816
2020-04-15,347.0,356.0,344.5,353.89,467737
2020-04-16,361.77,374.94,357.0,367.68,976624
2020-04-17,377.73,385.55,365.59,373.51,669334
2020-04-20,368.39,376.55,365.04,373.66,737731
2020-04-21,368.37,373.55,357.62,358.3,1031796
2020-04-22,362.51,371.0,361.01,368.26,997704
2020-04-23,386.45,389.59,366.18,374.53,1589812
2020-04-24,381.98,390.04,375.87,384.82,699759
2020-04-27,385.92,394.65,384.84,389.5,589453
2020-04-28,398.59,399.99,383.64,384.5,919998
2020-04-29,390.9,394.5,387.19,391.02,556460
2020-04-30,387.19,389.52,382.85,386.34,568045
2020-05-01,379.39,382.33,373.57,376.37,559159
2020-05-04,374.74,388.79,373.14,388.21,577739
2020-05-05,390.0,395.41,388.52,390.38,540916
2020-05-06,394.03,402.95,388.5,397.76,885544
2020-05-07,401.0,407.0,384.76,386.45,810160
2020-05-08,394.13,405.35,393.51,402.51,641381
2020-05-11,396.53,402.21,394.36,398.9,515257
2020-05-12,397.75,400.94,393.76,394.31,498814
2020-05-13,392.43,398.97,385.13,389.89,741375
2020-05-14,386.66,398.93,377.27,398.6,587925
2020-05-15,394.75,408.17,392.07,407.12,969318
2020-05-18,416.3,423.31,408.84,409.89,953188
2020-05-19,410.0,417.0,405.95,409.78,671236
2020-05-20,410.0,413.92,403.25,407.11,592352
2020-05-21,407.88,411.37,400.02,404.28,456746
2020-05-22,403.33,405.4,398.5,404.99,449679
2020-05-26,413.08,416.19,397.69,399.12,851046
2020-05-27,402.96,416.29,401.95,415.28,699718
2020-05-28,415.0,417.79,411.29,413.13,452879
2020-05-29,414.82,418.9,411.95,417.24,562668
2020-06-01,418.95,422.76,415.81,417.6,505836
2020-06-02,420.39,422.5,417.26,419.74,524197
2020-06-03,419.93,425.82,417.69,420.95,478138
2020-06-04,420.07,421.72,410.8,413.85,369521
2020-06-05,417.9,423.65,414.38,422.7,554207
2020-06-08,419.71,425.46,417.63,419.73,500776
2020-06-09,417.33,424.0,416.21,423.24,741953
2020-06-10,422.71,423.81,415.72,416.48,499186
2020-06-11,410.98,418.17,408.8,408.92,579885
2020-06-12,415.0,415.61,401.65,410.35,617344
2020-06-15,403.35,418.38,403.0,415.71,445419
2020-06-16,426.99,428.9,415.65,426.25,676183
2020-06-17,427.47,432.0,423.7,426.33,774768
2020-06-18,425.11,427.33,421.51,425.94,387729
2020-06-19,430.63,430.73,418.96,422.18,860491
2020-06-22,421.78,432.3,419.44,430.91,559983
2020-06-23,432.97,434.37,426.42,427.48,629137
2020-06-24,425.0,428.86,412.55,413.92,572471
2020-06-25,413.22,417.97,409.17,417.6,503541
2020-06-26,420.73,424.43,411.78,415.47,1299249
2020-06-29,419.89,422.745,414.31,422.39,398094
2020-06-30,419.76,424.55,415.28,421.67,605173
2020-07-01,419.94,427.66,416.13,426.08,532473
2020-07-02,430.64,432.19,424.83,427.85,456871
2020-07-06,432.8,433.74,423.52,425.84,503659
2020-07-07,424.9,428.5,422.09,422.17,597517
2020-07-08,421.37,424.09,414.68,420.49,640484
2020-07-09,420.58,422.0,414.5,419.41,385520
2020-07-10,418.38,421.02,413.0,420.76,475904
2020-07-13,423.36,429.25,418.24,419.79,561258
2020-07-14,417.41,429.44,417.26,427.9,360845
2020-07-15,430.48,435.2,427.3,432.93,370364
