,open,high,low,close,volume
2020-01-02,79.19,79.66,78.63,79.51,1579483
2020-01-03,78.31,78.83,77.67,78.73,1604706
2020-01-06,78.27,78.52,77.42,78.44,1800496
2020-01-07,77.81,78.11,77.28,77.92,1740751
2020-01-08,78.24,79.21,77.25,78.96,1832912
2020-01-09,78.84,79.16,77.58,78.45,1832390
2020-01-10,78.57,78.74,77.72,77.81,1205577
2020-01-13,77.92,78.12,77.4,78.06,1083168
2020-01-14,78.71,78.98,78.05,78.2,1439388
2020-01-15,77.89,78.04,77.25,77.46,1463900
2020-01-16,77.91,78.57,77.44,78.56,1330348
2020-01-17,78.79,79.24,78.23,78.52,1721487
2020-01-21,78.48,78.48,77.26,77.54,1527412
2020-01-22,77.87,77.9,76.83,76.94,991187
2020-01-23,76.72,77.77,75.69,77.6,1201672
2020-01-24,77.23,77.26,76.23,76.79,1540741
2020-01-27,75.32,75.86,74.85,75.17,2368275
2020-01-28,76.34,77.54,74.97,76.77,3210687
2020-01-29,77.23,78.08,75.97,76.11,2386574
2020-01-30,75.51,76.15,74.98,76.06,2065100
2020-01-31,75.47,75.51,73.86,74.21,3312436
2020-02-03,74.88,75.5,74.13,74.34,2567852
2020-02-04,75.62,76.32,75.34,76.18,2474734
2020-02-05,77.24,78.1662,76.97,77.99,1988446
2020-02-06,78.22,78.5,77.26,77.59,1682600
2020-02-07,77.1,77.18,75.27,75.41,2084981
2020-02-10,74.79,75.42,74.65,75.31,1598632
2020-02-11,75.74,75.9,75.13,75.66,1936046
2020-02-12,76.0,76.94,76.0,76.56,1861194
2020-02-13,76.01,76.29,74.75,74.83,1985092
2020-02-14,74.7,74.87,74.09,74.74,2958470
2020-02-18,74.57,75.06,73.89,74.3,1431439
2020-02-19,74.37,74.61,73.63,74.23,1129738
2020-02-20,74.17,75.65,74.05,75.54,1710524
2020-02-21,75.0,75.52,74.56,75.36,1938924
2020-02-24,73.09,73.72,72.36,72.73,1712166
2020-02-25,73.1,73.25,69.75,69.99,2719358
2020-02-26,70.93,71.29,69.13,69.42,2161683
2020-02-27,68.4,69.94,67.13,67.77,3333192
2020-02-28,65.58,67.51,65.15,66.9,4193903
2020-03-02,67.32,69.69,66.26,69.68,2582694
2020-03-03,69.12,71.08,67.24,67.55,2652299
2020-03-04,68.48,69.52,67.75,69.45,1690080
2020-03-05,67.27,67.41,65.01,65.36,2276251
2020-03-06,62.36,64.98,62.16,64.56,2703486
2020-03-09,60.48,61.95,59.7,60.91,3460956
2020-03-10,62.95,64.66,60.97,64.65,2522489
2020-03-11,62.44,63.91,61.17,62.49,2609845
2020-03-12,57.27,62.82,57.27,59.21,4561784
2020-03-13,61.67,65.17,59.4,65.13,3727618
2020-03-16,58.01,63.96,58.0,60.17,3507558
2020-03-17,60.44,61.57,58.55,59.67,3574798
2020-03-18,57.25,58.39,53.69,55.75,3328770
2020-03-19,55.22,58.28,52.63,56.03,2982846
2020-03-20,55.46,56.38,52.04,52.3,3510678
2020-03-23,52.78,53.82,49.11,49.91,3334149
2020-03-24,52.24,57.14,51.87,57.0,3325534
2020-03-25,56.56,60.9,55.93,58.98,3117354
2020-03-26,59.11,60.98,57.68,60.45,2753885
2020-03-27,58.26,60.92,57.75,59.49,1795798
2020-03-30,58.66,62.5,58.45,62.27,2222933
2020-03-31,60.59,62.16,60.02,61.13,2264502
2020-04-01,59.23,60.53,58.21,60.12,3168527
2020-04-02,60.26,62.07,59.32,60.87,2446595
2020-04-03,61.02,62.05,60.48,61.61,2355643
2020-04-06,64.46,65.24,62.7,64.94,2626210
2020-04-07,66.21,67.67,65.13,65.53,2137280
2020-04-08,65.76,66.91,64.97,66.46,2275768
2020-04-09,67.02,68.15,65.88,67.27,1989837
2020-04-13,66.82,66.89,65.3,65.93,2236501
2020-04-14,67.1,67.5,65.8,66.81,2136972
2020-04-15,65.7,65.7,64.7,65.38,2735668
2020-04-16,65.28,67.55,64.38,66.19,2482856
2020-04-17,67.75,68.97,66.81,67.65,3657628
2020-04-20,66.95,68.5,65.71,67.2,2384368
2020-04-21,68.61,68.99,64.86,65.72,2990441
2020-04-22,66.87,67.18,65.13,66.14,1934772
2020-04-23,66.08,67.5,65.9,65.91,1843667
2020-04-24,66.65,67.7,66.0,67.48,1541307
2020-04-27,67.7,69.16,67.47,68.81,2443827
2020-04-28,70.28,70.97,69.08,69.16,2445309
2020-04-29,70.35,70.44,68.95,69.59,2099888
2020-04-30,68.9,69.48,68.15,69.23,1962673
2020-05-01,68.1,68.72,67.15,68.29,2091646
2020-05-04,68.0,68.46,67.04,68.37,1731216
2020-05-05,68.54,69.31,68.04,68.06,1560321
2020-05-06,68.71,68.95,68.0,68.3,1656827
2020-05-07,68.96,69.28,68.25,68.61,1464576
2020-05-08,69.23,69.79,68.78,69.62,1587746
2020-05-11,69.2,69.34,68.38,68.83,1384904
2020-05-12,67.36,68.84,66.82,66.84,2281628
2020-05-13,66.38,67.12,65.67,66.0,3917620
2020-05-14,64.85,66.77,64.25,66.61,2213960
2020-05-15,66.35,67.6,65.96,66.83,3712958
2020-05-18,69.26,70.14,68.64,69.97,2249207
2020-05-19,69.72,70.24,68.49,68.55,1739031
2020-05-20,68.7,69.79,68.62,69.03,1960273
2020-05-21,69.02,69.21,68.03,68.19,1266855
2020-05-22,67.89,68.52,67.51,68.42,1411556
2020-05-26,69.93,72.75,69.52,72.54,2334396
2020-05-27,74.07,75.11,73.16,75.06,1846202
2020-05-28,75.16,75.52,73.43,74.01,1951660
2020-05-29,73.71,74.32,72.71,73.86,2401250
2020-06-01,74.05,74.49,72.96,73.12,1195543
2020-06-02,72.77,73.51,72.76,73.43,1761505
2020-06-03,73.83,74.95,73.8,74.63,1473252
2020-06-04,74.27,75.72,73.93,75.69,1315532
2020-06-05,77.05,78.6,76.47,77.95,2516263
2020-06-08,77.78,79.35,77.51,78.83,1780840
2020-06-09,77.92,79.48,77.49,78.95,1408901
2020-06-10,78.53,78.65,76.79,76.8,1967054
2020-06-11,75.39,75.39,72.52,72.58,2072459
2020-06-12,74.59,74.61,71.35,73.17,1750401
2020-06-15,71.37,73.9,70.89,73.72,1346532
2020-06-16,75.94,76.49,73.73,74.51,1748210
2020-06-17,74.93,75.19,73.97,74.3,1006461
2020-06-18,74.63,75.15,73.91,74.47,841728
2020-06-19,75.39,75.69,73.88,74.96,2694245
2020-06-22,74.3,75.01,73.48,74.72,962284
2020-06-23,75.49,75.81,74.59,74.77,1211264
2020-06-24,73.93,73.93,72.19,72.52,1242818
2020-06-25,72.17,73.35,71.61,73.25,1308241
2020-06-26,72.81,73.35,72.11,72.44,2192291
2020-06-29,73.5,74.48,72.005,73.68,1371191
