,open,high,low,close,volume
2020-01-02,39.3,39.35,38.88,39.14,15667958
2020-01-03,38.72,39.24,38.67,38.93,14158265
2020-01-06,38.82,39.0,38.7,38.88,14946608
2020-01-07,39.12,39.13,38.68,38.75,19083073
2020-01-08,38.76,39.22,38.75,39.06,15563091
2020-01-09,39.27,39.27,38.79,38.89,20846202
2020-01-10,38.98,39.63,38.97,39.49,20452795
2020-01-13,39.62,39.77,39.21,39.41,14603828
2020-01-14,39.43,40.08,39.3,40.07,19846399
2020-01-15,40.19,40.87,40.17,40.67,22697416
2020-01-16,40.79,40.8,40.32,40.61,15382781
2020-01-17,40.57,40.81,40.42,40.51,21896782
2020-01-21,40.38,40.66,40.19,40.34,21929536
2020-01-22,40.32,40.41,39.97,40.19,17170612
2020-01-23,40.19,40.83,40.13,40.71,25757187
2020-01-24,40.94,40.97,39.64,39.82,32391749
2020-01-27,39.41,40.43,39.25,40.16,30319735
2020-01-28,39.32,39.49,37.95,38.14,66592192
2020-01-29,38.12,38.38,37.55,37.58,32412194
2020-01-30,37.1,37.17,36.69,37.07,30657063
2020-01-31,36.94,37.45,36.9,37.24,32153415
2020-02-03,37.46,38.04,37.3,37.51,19805981
2020-02-04,38.08,38.24,37.63,37.69,29551050
2020-02-05,37.85,38.57,37.82,38.17,27935022
2020-02-06,38.44,38.5,38.03,38.26,19964950
2020-02-07,38.36,38.4,37.93,38.05,20780265
2020-02-10,38.21,38.22,37.72,37.81,18973194
2020-02-11,37.89,38.13,37.76,38.09,15203144
2020-02-12,38.09,38.19,37.72,37.74,21762495
2020-02-13,37.58,37.58,36.89,36.93,20963921
2020-02-14,36.97,37.04,36.42,36.51,19928965
2020-02-18,36.55,36.67,36.27,36.32,17066818
2020-02-19,36.4,36.5,36.21,36.23,16835014
2020-02-20,35.71,36.06,35.41,35.85,40745864
2020-02-21,35.76,35.82,35.53,35.72,30760478
2020-02-24,35.04,35.4,34.6,34.67,36020712
2020-02-25,34.68,34.74,33.71,33.93,39724460
2020-02-26,34.24,35.21,34.02,34.72,45464713
2020-02-27,34.44,35.71,34.1,34.1,52575368
2020-02-28,33.49,33.94,32.53,33.42,62672857
2020-03-02,33.91,34.95,33.45,34.88,39865661
2020-03-03,35.18,35.78,33.86,34.3,43801182
2020-03-04,35.1,36.46,34.95,36.4,36723817
2020-03-05,35.65,36.18,35.16,35.46,33294512
2020-03-06,34.7,35.17,34.12,35.02,38833851
2020-03-09,33.46,34.69,33.16,33.76,40954428
2020-03-10,34.57,34.66,33.01,34.59,38462173
2020-03-11,33.76,33.88,31.66,32.17,61940340
2020-03-12,30.48,32.0,30.0,30.02,59502614
2020-03-13,31.27,32.88,30.23,32.71,57435299
2020-03-16,29.94,32.28,29.65,30.18,48361225
2020-03-17,31.64,32.65,30.59,32.16,51422239
2020-03-18,30.77,32.61,30.31,32.36,41615879
2020-03-19,32.22,32.25,30.01,30.42,56691916
2020-03-20,30.28,30.67,28.91,29.01,49789300
2020-03-23,28.76,29.58,27.88,28.49,50125936
2020-03-24,29.51,30.05,28.9,29.7,42156917
2020-03-25,29.5,30.72,29.0,29.75,42300811
2020-03-26,29.89,31.99,29.88,31.75,41116556
2020-03-27,30.8,31.74,30.66,30.9,36323704
2020-03-30,31.05,32.85,31.05,32.67,28402385
2020-03-31,32.4,33.0,32.24,32.64,27955527
2020-04-01,31.92,32.28,31.53,31.75,25337168
2020-04-02,31.9,33.0,31.75,32.87,25772595
2020-04-03,32.63,33.89,32.63,33.64,31150556
2020-04-06,33.92,34.9,33.78,34.57,38420777
2020-04-07,35.0,35.17,33.59,33.61,22977142
2020-04-08,33.99,34.8,33.44,34.6,24200145
2020-04-09,35.03,35.77,34.85,35.39,29074991
2020-04-13,35.96,35.98,34.72,35.14,17327516
2020-04-14,35.93,36.63,35.34,36.44,20721415
2020-04-15,36.06,36.23,35.58,35.97,20217766
2020-04-16,36.12,36.26,35.575,35.88,19554970
2020-04-17,36.5,37.0,36.11,36.91,23150510
2020-04-20,36.38,36.91,36.08,36.08,21365134
2020-04-21,35.78,35.93,35.37,35.62,22744431
2020-04-22,36.96,37.0,36.12,36.25,19147625
2020-04-23,36.28,37.4,36.28,36.69,19215681
2020-04-24,36.84,37.43,36.78,37.38,16463496
2020-04-27,37.59,38.54,37.57,38.33,22161879
2020-04-28,39.05,39.22,37.38,37.91,33824210
2020-04-29,38.46,38.55,37.71,38.12,25123467
2020-04-30,38.0,38.51,37.36,38.36,27930431
2020-05-01,37.85,37.94,37.39,37.64,21504869
2020-05-04,37.6,37.92,37.41,37.62,18872636
2020-05-05,38.81,38.86,38.27,38.51,22784969
2020-05-06,38.97,39.01,38.51,38.51,22798144
2020-05-07,38.41,38.49,36.89,36.96,31802924
2020-05-08,37.25,37.38,37.04,37.22,18874178
2020-05-11,37.25,38.21,37.16,38.1,24291987
2020-05-12,38.12,38.24,37.34,37.36,18336674
2020-05-13,37.31,37.42,36.59,37.05,23327808
2020-05-14,36.8,37.96,36.78,37.92,21200432
2020-05-15,37.96,38.17,37.39,37.76,24152391
2020-05-18,38.34,38.46,37.63,38.07,21475185
2020-05-19,37.85,38.02,37.31,37.68,18458657
2020-05-20,37.95,38.2,37.55,37.63,16601128
2020-05-21,37.57,37.65,37.05,37.26,16855209
2020-05-22,37.11,37.53,36.96,37.5,14971429
2020-05-26,37.65,37.87,37.45,37.49,22064146
2020-05-27,37.41,37.54,36.97,37.41,24571849
2020-05-28,37.84,38.44,37.72,38.18,21367361
2020-05-29,38.27,38.43,37.58,38.19,45824136
2020-06-01,35.5,35.73,34.91,35.46,72942802
2020-06-02,35.53,36.16,35.25,36.16,40491678
2020-06-03,36.29,36.41,35.54,36.16,36749848
2020-06-04,35.71,36.29,35.7,36.01,25618898
2020-06-05,36.24,36.49,35.88,35.99,34805872
2020-06-08,35.8,36.6,35.68,36.59,28635192
2020-06-09,36.5,36.66,36.17,36.21,20560780
2020-06-10,36.36,36.45,35.89,35.92,27969730
2020-06-11,35.6,35.68,33.28,33.3,59896312
2020-06-12,34.08,34.1,33.05,33.75,35951788
2020-06-15,33.3,33.72,32.76,33.36,34358322
2020-06-16,33.59,33.96,32.72,33.4,52745100
2020-06-17,33.59,33.77,33.32,33.56,26086623
2020-06-18,33.27,33.47,32.98,33.24,30311780
2020-06-19,33.69,33.74,33.12,33.42,41732293
2020-06-22,33.33,33.36,32.91,33.11,22125379
2020-06-23,33.2,33.25,32.74,32.77,35737691
2020-06-24,32.71,32.73,32.0,32.19,29229383
2020-06-25,32.11,32.38,31.83,32.32,26005122
2020-06-26,32.25,32.28,31.61,32.04,39985027
2020-06-29,32.46,32.67,32.2,32.64,22728941
2020-06-30,32.53,32.88,32.23,32.7,24137473
2020-07-01,34.54,34.54,33.72,33.74,69515313
2020-07-02,34.62,34.85,34.04,34.51,42869084
2020-07-06,34.95,34.99,34.38,34.51,25740634
2020-07-07,34.05,34.35,33.96,34.03,23847789
2020-07-08,34.01,34.37,33.57,33.75,23004150
2020-07-09,33.73,33.88,33.1,33.46,19304684
2020-07-10,33.66,34.04,33.49,33.83,23192202
2020-07-13,34.73,35.72,34.52,35.21,53599724
2020-07-14,35.37,35.42,34.88,35.23,31070694
2020-07-15,35.99,36.0,35.47,35.72,24932675
2020-07-16,35.6,35.64,35.26,35.6,17468416
2020-07-17,35.86,36.33,35.73,36.25,22148489
2020-07-20,37.49,37.62,36.32,36.5,34779280
2020-07-21,36.94,37.08,36.52,36.69,22376725
2020-07-22,38.23,38.73,37.52,38.56,86058379
2020-07-23,39.23,39.42,38.18,38.41,56584040
2020-07-24,38.03,38.15,37.325,37.66,32135188
2020-07-27,37.36,37.75,37.23,37.54,26224224
2020-07-28,38.54,39.335,38.06,39.02,53504653
2020-07-29,39.3,39.45,38.45,39.26,35136308
2020-07-30,38.28,38.94,38.2009,38.74,30620341
2020-07-31,38.67,38.75,37.86,38.48,27042691
2020-08-03,38.61,38.66,38.215,38.35,29446336
2020-08-04,38.31,38.68,38.09,38.39,27939806
2020-08-05,38.47,38.53,38.13,38.45,23344231
2020-08-06,38.77,39.1,38.151,38.27,19850154
2020-08-07,38.3,38.615,38.16,38.45,21913899
2020-08-10,38.55,38.66,38.26,38.39,18941735
2020-08-11,38.56,38.58,37.675,37.79,20234243
2020-08-12,37.83,38.55,37.81,38.33,18942911
2020-08-13,38.07,38.18,37.88,38.17,14554052
2020-08-14,38.01,38.39,37.93,38.06,12240278
2020-08-17,38.04,38.41,37.945,38.35,16497478
2020-08-18,38.45,38.46,38.17,38.36,10290720
2020-08-19,38.48,38.6062,38.12,38.26,14886179
2020-08-20,38.18,38.79,38.1301,38.72,20832543
2020-08-21,38.91,39.0,38.57,38.88,24162380
2020-08-24,39.02,39.04,38.54,38.84,23730486
2020-08-25,38.51,38.56,37.95,38.41,24877806
2020-08-26,38.19,38.27,37.66,38.05,22849789
2020-08-27,37.96,38.0,37.68,37.86,21021429
2020-08-28,37.87,38.06,37.4,37.91,31148500
2020-08-31,37.84,38.02,37.5,37.79,28493795
2020-09-01,37.79,37.82,36.51,36.88,34308752
2020-09-02,36.7699,37.3,36.4,37.2,27579439
2020-09-03,37.37,37.49,36.1,36.4,34114583
2020-09-04,36.49,36.63,35.87,36.36,25495483
2020-09-08,36.53,36.61,35.68,35.93,25366951
2020-09-09,36.29,36.65,36.14,36.18,26082113
2020-09-10,36.2,36.32,35.5831,35.65,20541458
2020-09-11,35.74,36.11,35.45,36.07,22874071
2020-09-14,36.36,37.5384,36.28,37.01,28050836
2020-09-15,37.19,37.35,36.81,36.96,20876431
2020-09-16,37.28,37.31,36.72,36.78,21105953
2020-09-17,36.78,36.97,36.55,36.82,16977605
2020-09-18,36.78,37.07,36.57,36.63,30070827
2020-09-21,36.37,36.48,35.375,36.02,25245657
2020-09-22,35.81,36.33,35.74,36.25,21562861
2020-09-23,36.34,36.3779,35.965,36.0,21918884
2020-09-24,35.95,36.04,35.54,35.76,19791158
2020-09-25,35.54,36.15,35.52,36.05,13629626
2020-09-28,36.16,36.575,36.16,36.39,14273515
2020-09-29,36.43,36.54,36.035,36.17,12837608
2020-09-30,36.27,36.959,36.25,36.7,21469909
2020-10-01,36.91,37.09,36.1628,36.37,21366561
2020-10-02,36.06,36.66,36.03,36.38,20362165
2020-10-05,36.53,36.88,36.34,36.75,18406105
2020-10-06,37.0,37.03,36.09,36.17,23940632
2020-10-07,36.26,36.59,36.03,36.47,21024705
2020-10-08,36.6,37.18,36.51,36.89,16942533
2020-10-09,36.83,37.1174,36.59,36.79,22454877
2020-10-12,36.7,37.18,36.465,36.82,18419235
2020-10-13,36.67,37.125,36.63,36.9,20439462
2020-10-14,37.01,37.3,36.57,36.86,20991127
2020-10-15,36.63,36.74,36.41,36.55,15272507
2020-10-16,37.07,38.12,37.02,37.95,40790772
2020-10-19,38.42,38.8479,37.64,37.8,30295368
2020-10-20,37.87,37.89,37.35,37.49,21238009
2020-10-21,37.355,37.45,37.06,37.08,18012247
2020-10-22,37.08,37.57,37.03,37.43,18257717
2020-10-23,37.93,38.285,37.6474,38.18,28992325
