,open,high,low,close,volume
2020-01-02,33.24,33.59,33.09,33.34,1985810
2020-01-03,32.99,33.26,32.76,33.23,1098219
2020-01-06,33.09,33.29,32.8,33.23,877738
2020-01-07,33.16,33.4,32.9,33.25,1646743
2020-01-08,33.22,33.34,32.99,33.22,1330052
2020-01-09,33.28,33.88,33.22,33.75,1138031
2020-01-10,33.81,35.16,33.7,34.73,3668461
2020-01-13,34.74,35.09,34.74,34.98,1103012
2020-01-14,34.9,35.24,34.83,35.05,1973623
2020-01-15,35.08,35.29,34.98,35.24,1127702
2020-01-16,35.29,35.73,35.26,35.64,1408905
2020-01-17,35.78,35.96,35.66,35.86,1512429
2020-01-21,35.84,36.08,35.6,35.89,1704510
2020-01-22,36.04,36.3,35.96,36.08,1122357
2020-01-23,36.02,36.66,35.9,36.61,1067216
2020-01-24,36.68,36.91,36.41,36.61,1803192
2020-01-27,36.1,36.44,35.88,36.24,1348226
2020-01-28,36.43,36.74,36.33,36.73,1522504
2020-01-29,36.96,38.09,36.86,37.8,3614889
2020-01-30,37.76,38.24,37.51,38.22,1838349
2020-01-31,38.21,38.49,37.82,37.95,1800837
2020-02-03,38.0,38.94,37.98,38.48,2161712
2020-02-04,38.89,39.27,38.71,38.98,1065321
2020-02-05,39.32,39.49,38.835,38.98,1022656
2020-02-06,39.02,39.34,38.77,39.33,1179228
2020-02-07,39.19,39.24,38.52,38.59,1104012
2020-02-10,38.56,39.04,38.35,38.97,670047
2020-02-11,39.08,39.56,38.9,39.5,1286698
2020-02-12,39.51,40.09,39.37,39.66,1140713
2020-02-13,39.5,39.97,39.4,39.81,580882
2020-02-14,39.88,40.15,39.73,39.82,543387
2020-02-18,39.77,39.8,39.35,39.4,1172016
2020-02-19,39.52,39.9,39.52,39.72,711941
2020-02-20,39.68,40.07,39.53,39.97,781219
2020-02-21,39.82,40.47,39.67,40.43,656066
2020-02-24,39.39,40.33,39.39,39.66,1164881
2020-02-25,39.7,39.84,38.61,38.66,812199
2020-02-26,38.88,39.56,38.65,38.87,954941
2020-02-27,38.37,38.99,37.65,37.66,1137263
2020-02-28,36.85,37.63,36.27,37.44,2233169
2020-03-02,37.54,39.18,36.94,39.11,2190713
2020-03-03,39.17,39.9,37.77,38.14,1095016
2020-03-04,38.91,40.1,38.65,40.08,1036484
2020-03-05,39.29,40.87,38.98,40.72,1584532
2020-03-06,39.88,40.46,38.56,39.75,1586154
2020-03-09,37.47,39.22,37.47,38.28,1479255
2020-03-10,39.16,40.38,38.73,40.35,1648996
2020-03-11,39.45,39.72,37.95,38.43,1376392
2020-03-12,35.99,38.1,34.08,34.37,2048858
2020-03-13,35.54,37.82,34.68,37.82,2098987
2020-03-16,34.96,36.88,33.06,35.75,1894282
2020-03-17,36.43,38.49,35.4,38.11,4021268
2020-03-18,35.9,37.23,35.54,37.02,3316754
2020-03-19,37.12,37.12,34.95,35.6,2224099
2020-03-20,35.9,36.19,34.29,35.0,3354276
2020-03-23,34.5,34.78,31.15,31.57,1706876
2020-03-24,32.61,34.78,32.37,33.81,1885153
2020-03-25,33.53,33.66,30.72,32.59,2377917
2020-03-26,32.85,34.01,32.2,33.69,1935784
2020-03-27,32.77,35.21,32.77,34.26,2019018
2020-03-30,34.94,36.82,34.55,35.84,2896465
2020-03-31,35.89,37.72,35.33,36.14,3976533
2020-04-01,35.2,35.71,33.88,35.16,1801723
2020-04-02,34.32,35.77,34.02,35.68,1944318
2020-04-03,35.32,36.73,35.32,36.05,1428612
2020-04-06,36.88,37.45,35.85,37.2,1773268
2020-04-07,37.44,37.74,35.9,35.94,1094794
2020-04-08,36.09,36.33,35.28,35.91,782102
2020-04-09,35.95,36.45,35.77,36.02,1575315
2020-04-13,35.73,36.36,34.54,35.87,786049
2020-04-14,36.54,37.78,36.17,37.58,1142049
2020-04-15,37.26,37.71,36.71,36.85,630345
2020-04-16,36.97,38.4,36.97,38.34,1242185
2020-04-17,39.03,39.55,38.58,38.96,1106468
2020-04-20,38.94,38.94,37.92,37.98,1216717
2020-04-21,37.8,37.8,36.69,37.06,931692
2020-04-22,37.41,37.97,36.84,37.7,912768
2020-04-23,37.63,37.93,37.34,37.55,947939
2020-04-24,37.83,38.29,37.41,38.14,1798254
2020-04-27,38.42,39.67,38.32,39.49,1446700
2020-04-28,39.48,40.89,39.45,40.68,2238481
2020-04-29,40.88,40.94,39.03,40.11,1929185
