,open,high,low,close,volume
2018-01-02,187.49,187.6,185.03,186.28,1603312
2018-01-03,186.29,188.47,186.28,188.3,1287445
2018-01-04,188.55,190.3,188.08,190.09,1741953
2018-01-05,190.45,190.98,189.58,190.23,1227710
2018-01-08,190.15,192.69,189.815,192.36,1259786
2018-01-09,192.71,194.69,192.4,193.7,1248812
2018-01-10,193.52,194.0,192.05,193.48,1141444
2018-01-11,193.5,194.53,193.075,193.35,941638
2018-01-12,194.07,198.065,194.045,197.46,1460591
2018-01-16,198.92,199.75,195.59,195.73,1474390
2018-01-17,197.02,197.95,196.07,196.99,1519373
2018-01-18,197.16,198.125,195.53,195.71,1327055
2018-01-19,196.77,197.4,195.831,196.68,1226221
2018-01-22,196.1,196.81,194.09,196.37,1090553
2018-01-23,196.58,196.75,195.53,196.23,1088291
2018-01-24,196.6,198.56,196.09,198.09,1664475
2018-01-25,198.31,204.389,198.31,202.84,2997102
2018-01-26,203.91,209.28,203.91,208.91,2775872
2018-01-29,210.54,212.69,209.31,211.22,1762133
2018-01-30,210.27,210.49,206.42,209.18,2298781
2018-01-31,210.2,211.95,208.94,208.94,1928878
2018-02-01,208.59,213.45,208.32,210.85,1698601
2018-02-02,209.52,210.4362,206.66,206.8,2329698
2018-02-05,204.31,208.0,191.0,198.36,3064625
2018-02-06,195.13,201.99,193.77,201.13,2697808
2018-02-07,201.15,208.55,201.15,204.32,2224357
2018-02-08,207.06,207.33,198.56,198.74,2762669
2018-02-09,201.18,206.74,199.01,204.52,3381621
2018-02-12,206.0,209.98,204.12,207.52,2112216
2018-02-13,206.57,210.29,205.761,209.53,1386680
2018-02-14,208.59,212.91,208.21,212.58,1853013
2018-02-15,214.07,218.1899,213.56,218.18,2170893
2018-02-16,217.68,218.78,215.9,217.73,1448245
2018-02-20,216.74,218.7,215.45,216.54,1455543
2018-02-21,216.54,219.78,215.76,215.8,1070421
2018-02-22,216.67,216.76,214.85,215.36,912732
2018-02-23,216.77,218.26,215.33,218.24,921868
2018-02-26,219.0,220.8999,218.401,219.86,1121718
2018-02-27,220.0,222.82,219.19,219.19,1216877
2018-02-28,219.85,221.29,217.45,217.51,1500706
2018-03-01,217.93,218.36,209.85,211.36,2002400
2018-03-02,209.77,215.53,209.17,214.78,1655014
2018-03-05,214.0,215.38,211.905,215.0,1563155
2018-03-06,215.65,215.89,212.87,213.24,1548465
2018-03-07,210.47,214.62,209.8,214.36,1598164
2018-03-08,215.28,215.36,212.08,214.09,1289358
2018-03-09,213.84,215.15,210.5,214.81,1744826
2018-03-12,215.66,215.87,209.615,210.04,2034883
2018-03-13,210.53,213.085,209.545,210.62,1987773
2018-03-14,211.67,212.08,205.43,208.31,2292901
2018-03-15,209.0,209.3396,206.42,208.58,1720985
2018-03-16,208.73,210.44,208.194,210.08,2748662
2018-03-19,208.81,211.73,208.06,210.75,1225012
2018-03-20,210.9,213.4999,210.3256,213.05,1395195
2018-03-21,213.06,215.64,211.33,213.48,1273874
2018-03-22,212.22,213.88,208.41,209.11,1452701
2018-03-23,209.59,219.15,209.4801,214.57,2927231
2018-03-26,217.59,219.19,216.795,218.73,2287909
2018-03-27,219.88,220.0,213.8,215.11,1583703
2018-03-28,215.11,215.7,209.03,211.06,2064957
2018-03-29,212.06,215.82,211.57,215.82,2154356
2018-04-02,215.1,215.38,209.36,211.97,1961866
2018-04-03,212.72,214.33,210.5,214.05,1449935
2018-04-04,210.6,217.23,209.51,217.0,1711507
2018-04-05,218.35,219.75,216.7255,219.39,2083653
2018-04-06,217.23,219.35,214.06,215.91,1749735
2018-04-09,217.7,219.34,216.4,217.22,1681435
2018-04-10,219.66,219.86,215.781,218.11,2129602
2018-04-11,218.36,221.38,217.42,218.39,1800018
2018-04-12,219.0,222.16,218.7,220.94,1836358
2018-04-13,222.64,222.74,220.15,222.01,1334871
2018-04-16,223.67,225.86,222.76,225.09,1528826
2018-04-17,226.86,227.49,225.19,227.11,1930273
2018-04-18,228.52,228.52,225.86,227.06,1364464
2018-04-19,227.09,228.41,225.9301,228.06,867080
2018-04-20,228.47,228.85,226.29,227.35,1256452
2018-04-23,227.67,228.8102,226.65,228.13,1423081
2018-04-24,229.0,229.75,215.17,218.8,2746715
2018-04-25,218.0,218.68,210.89,213.69,3186794
2018-04-26,213.78,213.78,204.54,211.07,4146803
2018-04-27,210.66,210.88,202.88,203.96,3130862
2018-04-30,203.85,207.3021,203.51,204.94,2243281
2018-05-01,204.81,205.69,197.68,202.08,3129384
2018-05-02,201.92,203.65,200.34,201.08,2712212
2018-05-03,200.47,202.694,196.94,201.53,2503440
2018-05-04,200.64,203.27,199.89,202.54,1534170
2018-05-07,203.54,205.95,203.27,205.17,1837737
2018-05-08,206.0,211.31,205.59,210.4,2796669
2018-05-09,212.06,213.25,210.37,212.23,2345557
2018-05-10,213.52,213.84,211.5,212.61,2309215
2018-05-11,212.03,214.44,212.03,213.83,1951129
2018-05-14,214.0,214.12,208.2,209.19,1871770
2018-05-15,208.43,210.69,207.5796,209.4,1280507
2018-05-16,209.33,210.75,209.04,210.15,1863663
2018-05-17,210.21,211.26,208.49,210.62,1109978
2018-05-18,210.98,212.5,210.01,211.06,1720508
2018-05-21,212.0,214.64,211.6706,213.95,1195222
