,open,high,low,close,volume
2020-01-02,149.74,153.22,149.74,153.14,2801452
2020-01-03,150.93,154.65,150.51,153.35,3127561
2020-01-06,153.45,153.84,152.5,153.68,2602241
2020-01-07,151.9,153.63,151.9,153.19,2736757
2020-01-08,153.12,154.55,152.73,153.42,2374149
2020-01-09,153.8,154.19,153.12,153.65,2940398
2020-01-10,154.01,154.01,151.43,151.86,2898219
2020-01-13,152.02,152.5,151.43,152.05,3090000
2020-01-14,151.37,152.41,151.12,151.54,3138876
2020-01-15,151.64,153.07,151.15,151.96,3106973
2020-01-16,152.61,154.02,152.61,153.55,3569043
2020-01-17,154.31,155.53,153.68,154.4,4635276
2020-01-21,153.86,155.51,152.78,154.47,4907085
2020-01-22,154.38,155.06,153.33,153.79,3490768
2020-01-23,153.61,154.24,152.59,153.8,4008365
2020-01-24,153.4,154.42,152.39,153.19,3699937
2020-01-27,150.99,151.96,150.01,151.03,4334504
2020-01-28,150.53,154.41,148.05,152.86,5713472
2020-01-29,153.92,153.95,151.47,152.82,3826140
2020-01-30,151.44,154.21,151.44,154.0,4378060
2020-01-31,153.2,153.58,149.62,150.2,4608312
2020-02-03,151.06,152.31,149.79,149.95,4688455
2020-02-04,151.45,153.33,151.41,153.0,3832685
2020-02-05,154.7,155.63,153.4,155.63,3604587
2020-02-06,156.37,156.74,155.18,156.2,3783323
2020-02-07,156.0,157.86,155.61,156.83,4962894
2020-02-10,157.62,157.98,154.97,156.55,4031663
2020-02-11,158.22,158.44,154.87,155.25,5397779
2020-02-12,155.15,155.78,153.56,155.18,5769120
2020-02-13,154.03,154.65,152.92,153.06,3408124
2020-02-14,153.08,154.05,152.57,153.46,3886259
2020-02-18,152.2,152.24,150.36,151.28,2865465
2020-02-19,151.55,151.97,150.13,150.68,3360600
2020-02-20,150.39,150.74,147.93,149.9,3386332
2020-02-21,149.66,151.61,148.72,151.52,4277484
2020-02-24,147.39,148.17,145.54,146.58,6412480
2020-02-25,146.91,147.52,138.45,138.81,7607657
2020-02-26,140.2,143.18,138.09,138.38,8433787
2020-02-27,135.98,137.46,132.13,132.18,10195822
2020-02-28,127.14,131.02,125.84,130.59,12341089
2020-03-02,131.5,134.13,128.25,134.07,9083587
2020-03-03,133.94,138.19,131.36,132.53,9089352
2020-03-04,134.44,139.84,132.73,139.04,5712658
2020-03-05,135.09,135.49,125.21,126.44,8558012
2020-03-06,121.66,127.13,120.0,126.48,8567817
2020-03-09,115.42,119.06,112.51,115.36,8669758
2020-03-10,119.77,120.49,113.53,119.37,9297653
2020-03-11,115.82,116.83,106.78,107.51,10287272
2020-03-12,94.12,109.08,92.8,102.5,19220725
2020-03-13,109.05,110.77,98.55,105.4,16769536
2020-03-16,95.36,99.14,90.58,90.93,12323294
2020-03-17,91.06,93.45,82.81,92.84,16060193
2020-03-18,85.84,85.92,69.02,79.4,22831645
2020-03-19,79.23,85.5,72.18,83.76,15838340
2020-03-20,84.85,88.84,73.28,82.53,14425638
2020-03-23,80.01,80.09,72.3,74.95,12007096
2020-03-24,80.1,87.45,80.01,86.76,12838731
2020-03-25,87.88,100.18,86.28,96.19,12016387
2020-03-26,98.0,104.99,97.0,104.64,14523081
2020-03-27,98.0,101.73,96.52,97.15,10146401
2020-03-30,96.08,99.75,94.71,98.49,7560744
2020-03-31,97.28,99.2,93.87,94.33,7310074
2020-04-01,89.48,92.0,88.33,91.37,12369822
2020-04-02,89.63,92.25,85.11,86.01,13057402
2020-04-03,51.0,53.3,48.05,49.93,18930455
2020-04-06,54.48,58.9,52.64,57.56,28595528
2020-04-07,62.42,64.49,57.22,57.76,27102846
2020-04-08,58.35,63.98,57.9,62.62,26531349
2020-04-09,67.0,68.1,63.51,64.71,24733834
2020-04-13,64.23,64.4,60.09,61.83,15148921
2020-04-14,63.63,65.34,62.6,65.07,16674148
2020-04-15,65.0,65.11,61.23,62.33,16636114
2020-04-16,62.46,62.72,61.3,62.45,14045160
2020-04-17,64.75,66.5,64.18,66.07,14105381
2020-04-20,64.5,66.93,63.72,64.98,10556801
2020-04-21,63.62,64.55,62.15,62.65,9873328
2020-04-22,64.32,64.9,63.1,63.45,9439642
2020-04-23,63.89,64.88,63.25,63.29,9310921
2020-04-24,63.98,64.08,62.5,63.43,8557116
2020-04-27,64.43,65.42,63.84,65.07,8302121
2020-04-28,66.52,67.29,64.81,65.39,10473759
2020-04-29,67.35,68.79,66.06,67.9,10321886
