,open,high,low,close,volume
2020-01-02,136.93,137.74,135.31,136.81,342838
2020-01-03,135.91,136.54,135.09,135.9,257416
2020-01-06,134.5,135.65,134.13,135.11,358375
2020-01-07,135.13,135.13,133.5,133.8,187640
2020-01-08,133.8,136.52,133.8,136.0,342447
2020-01-09,136.56,138.23,135.77,137.95,425001
2020-01-10,137.87,138.05,136.68,137.72,386439
2020-01-13,137.9,137.9,136.79,137.64,440504
2020-01-14,137.71,138.19,136.53,137.93,325261
2020-01-15,137.05,137.94,135.62,136.32,344415
2020-01-16,136.98,138.66,136.98,138.25,350858
2020-01-17,138.13,139.33,137.77,139.17,319282
2020-01-21,140.0,148.64,139.2,147.5,1076000
2020-01-22,148.38,148.38,145.31,146.0,776305
2020-01-23,145.53,147.03,144.58,146.28,563930
2020-01-24,146.29,146.41,143.67,145.8,444284
2020-01-27,144.1,146.51,142.86,145.01,595534
2020-01-28,145.39,147.2,144.72,146.26,365207
2020-01-29,144.8,145.75,143.05,143.27,531030
2020-01-30,142.17,145.2,141.44,145.16,303373
2020-01-31,143.89,145.01,141.08,141.89,453655
2020-02-03,142.63,144.24,142.23,143.62,427467
2020-02-04,145.57,146.56,143.88,145.65,424511
2020-02-05,146.08,147.33,145.9,146.81,483927
2020-02-06,147.89,147.89,143.57,143.77,354779
2020-02-07,143.29,144.99,142.66,142.9,261162
2020-02-10,142.68,143.78,142.14,143.64,274526
2020-02-11,144.21,144.64,143.25,143.46,215853
2020-02-12,144.44,145.64,143.05,144.9,305622
2020-02-13,143.71,144.82,143.42,144.4,196164
2020-02-14,144.76,145.22,144.15,144.36,184702
2020-02-18,143.72,145.13,143.39,144.33,298148
2020-02-19,144.56,146.92,144.43,146.43,222637
2020-02-20,145.46,146.71,144.64,146.47,276975
2020-02-21,145.82,145.96,144.15,145.37,319687
2020-02-24,141.62,144.57,141.5,143.56,316188
2020-02-25,143.82,143.82,137.52,138.02,374845
2020-02-26,139.05,139.59,135.57,136.37,376535
2020-02-27,134.18,136.24,131.22,131.51,430239
2020-02-28,127.85,130.39,123.01,125.1,909897
2020-03-02,125.01,131.88,125.01,131.55,560460
2020-03-03,131.83,132.34,126.73,128.31,713290
2020-03-04,129.87,129.89,126.5,129.0,501463
2020-03-05,126.3,127.47,122.6,124.03,554046
2020-03-06,119.48,121.91,114.3,116.0,893486
2020-03-09,109.0,109.0,97.88,98.46,1117797
2020-03-10,100.7,104.79,98.65,104.28,1098166
2020-03-11,100.5,105.44,99.81,100.86,917617
2020-03-12,92.87,98.07,87.99,91.18,760587
2020-03-13,97.44,98.84,94.2,98.18,764157
2020-03-16,84.0,92.64,84.0,87.89,833157
2020-03-17,89.55,94.26,80.61,94.01,955705
2020-03-18,85.87,89.49,75.85,80.22,1071957
2020-03-19,78.02,92.67,74.37,92.66,784400
2020-03-20,92.76,94.46,80.04,80.65,715359
2020-03-23,80.37,80.37,69.49,73.08,741433
2020-03-24,77.14,79.7,74.49,78.9,872154
2020-03-25,80.89,85.47,76.69,83.23,554465
2020-03-26,84.16,93.42,82.0,92.0,785308
2020-03-27,88.15,91.34,84.75,85.29,493751
2020-03-30,84.8,87.42,80.66,83.02,627072
2020-03-31,82.46,84.28,79.55,80.39,548484
2020-04-01,75.37,76.27,71.82,71.97,537589
2020-04-02,72.24,76.24,70.4,73.8,521361
2020-04-03,73.55,74.08,68.98,72.01,522429
2020-04-06,76.58,78.69,74.94,76.22,840560
2020-04-07,81.24,83.79,77.79,78.62,765040
2020-04-08,79.58,82.31,77.91,81.46,683043
2020-04-09,85.07,91.17,83.66,90.23,1127345
2020-04-13,89.98,89.98,83.26,85.17,385444
2020-04-14,86.44,88.82,84.6,86.78,620872
2020-04-15,82.17,85.89,82.17,83.65,442477
2020-04-16,83.53,85.18,79.89,81.7,379397
2020-04-17,85.81,89.67,85.0,88.79,454717
2020-04-20,86.03,90.42,84.84,89.12,629855
2020-04-21,86.24,89.66,85.85,87.68,356478
2020-04-22,89.99,90.4,85.4,85.97,484564
2020-04-23,89.0,93.61,87.0,90.52,645807
2020-04-24,93.79,94.82,88.86,94.12,530167
2020-04-27,95.52,102.27,94.81,101.91,625325
2020-04-28,106.58,110.25,104.47,106.5,612460
2020-04-29,107.9,113.53,107.9,110.54,683491
2020-04-30,107.02,108.75,105.18,107.18,649413
2020-05-01,104.0,104.0,99.88,101.51,561221
2020-05-04,100.32,102.45,98.38,102.08,502107
2020-05-05,104.12,106.17,100.27,100.76,259045
2020-05-06,109.88,109.88,100.17,101.98,648650
2020-05-07,102.52,106.16,99.85,100.2,912466
2020-05-08,102.65,105.7,102.48,103.05,472761
2020-05-11,101.2,103.13,98.37,102.07,554022
2020-05-12,102.05,102.86,95.77,96.01,412466
2020-05-13,95.47,95.47,86.29,88.17,724282
2020-05-14,85.95,92.28,83.78,91.01,447210
2020-05-15,90.08,90.89,88.48,90.13,264160
2020-05-18,94.62,100.04,94.62,99.72,497845
2020-05-19,99.13,99.81,94.62,94.62,472137
2020-05-20,96.13,100.29,95.88,99.54,435454
2020-05-21,99.54,100.86,97.81,97.95,359296
2020-05-22,98.32,99.93,95.19,96.06,291632
2020-05-26,100.71,103.27,98.24,101.88,508015
2020-05-27,105.91,110.16,103.7,109.99,712218
2020-05-28,112.18,112.25,105.71,106.55,658472
2020-05-29,104.5,106.06,102.6,102.91,993609
2020-06-01,103.75,105.82,103.06,104.84,349711
2020-06-02,106.72,106.83,102.1,103.67,502867
2020-06-03,107.23,110.7,106.74,108.5,896597
2020-06-04,108.58,110.72,107.06,110.54,569932
2020-06-05,117.98,118.93,114.76,115.57,514249
2020-06-08,119.79,120.69,116.25,118.45,492477
2020-06-09,114.5,119.36,113.66,117.1,564002
2020-06-10,117.45,119.98,111.4,111.6,688313
2020-06-11,104.11,107.67,100.57,102.48,605664
2020-06-12,107.41,109.02,103.3,107.88,631833
2020-06-15,102.63,107.71,101.71,107.27,462138
2020-06-16,112.71,113.01,108.4,110.34,283348
2020-06-17,110.52,110.52,105.75,105.88,315319
2020-06-18,104.69,109.43,104.6,107.19,335150
2020-06-19,108.82,108.82,104.09,106.4,631888
2020-06-22,106.61,107.93,104.38,106.54,213098
2020-06-23,108.76,109.35,104.86,105.91,320233
2020-06-24,104.53,106.59,100.83,101.29,345980
2020-06-25,100.16,105.49,100.16,105.49,270534
2020-06-26,103.37,104.52,100.94,102.63,1144081
2020-06-29,104.49,106.96,102.93,104.71,365584
2020-06-30,103.56,107.57,103.56,106.92,294697
2020-07-01,107.94,107.94,104.55,105.3,483116
2020-07-02,108.25,109.36,103.72,104.51,209226
2020-07-06,107.4,108.73,103.99,104.94,249034
2020-07-07,104.87,104.87,102.48,102.81,285254
2020-07-08,103.35,105.48,102.13,104.69,525604
2020-07-09,103.96,104.7,100.28,100.52,453846
2020-07-10,100.66,104.3,100.66,104.1,222585
2020-07-13,105.59,107.85,103.13,105.74,278189
2020-07-14,105.46,105.46,101.04,102.96,393390
2020-07-15,105.24,109.6,104.61,109.07,322258
2020-07-16,107.41,109.85,106.37,107.5,279937
2020-07-17,107.94,108.13,104.1,104.31,259703
2020-07-20,104.01,104.22,101.02,101.93,655416
2020-07-21,101.39,110.2,101.39,109.56,759097
2020-07-22,110.15,110.15,106.82,109.18,530593
2020-07-23,109.58,112.96,109.35,111.58,397252
2020-07-24,111.58,112.45,108.87,109.59,340600
2020-07-27,108.74,108.74,106.22,106.64,285481
2020-07-28,106.79,107.56,104.37,104.4,370750
2020-07-29,104.85,105.61,102.26,105.05,518810
2020-07-30,101.98,104.11,99.82,102.57,337872
2020-07-31,102.66,102.85,100.45,102.53,425564
2020-08-03,102.61,102.61,100.615,101.15,420069
2020-08-04,101.47,103.256,99.66,100.62,277535
2020-08-05,101.95,104.785,101.52,104.53,339508
2020-08-06,104.22,104.93,102.65,103.25,210392
2020-08-07,102.76,108.24,101.72,108.16,364429
2020-08-10,108.63,112.18,107.7,108.18,343868
2020-08-11,110.13,113.0,108.91,109.92,406592
2020-08-12,112.51,113.36,108.815,110.97,270442
2020-08-13,110.04,110.53,107.32,107.41,352003
2020-08-14,106.84,108.52,106.21,107.43,447371
2020-08-17,107.27,107.27,105.0,106.17,356451
2020-08-18,106.46,106.46,102.42,102.64,274842
2020-08-19,102.72,103.66,101.49,102.03,285750
2020-08-20,100.26,100.81,97.01,97.19,505700
2020-08-21,96.24,97.73,95.94,96.67,295527
2020-08-24,97.21,99.13,96.34,98.45,397059
2020-08-25,99.27,100.25,96.95,99.58,354691
2020-08-26,99.48,99.48,95.57,95.76,394964
2020-08-27,95.46,99.55,95.46,99.47,400779
2020-08-28,100.56,100.69,98.79,100.32,296789
2020-08-31,99.7,100.0672,97.03,97.03,411501
2020-09-01,96.41,97.46,95.44,96.19,393068
2020-09-02,95.98,96.845,94.71,95.9,471214
2020-09-03,96.4,100.02,96.4,98.26,651588
2020-09-04,102.4822,104.575,100.08,101.23,518442
2020-09-08,100.5,100.59,96.48,96.56,422682
2020-09-09,97.03,97.03,93.66,95.41,443086
2020-09-10,95.8,96.415,92.06,92.15,534066
2020-09-11,92.19,93.55,91.25,93.24,523090
2020-09-14,94.01,95.9525,93.12,93.51,316615
2020-09-15,93.88,93.98,90.3,90.49,497108
2020-09-16,90.63,92.43,89.15,91.01,584363
2020-09-17,89.31,91.42,88.25,90.71,435966
2020-09-18,91.07,91.66,89.32,90.25,685757
2020-09-21,86.82,88.8599,84.6901,85.01,557105
2020-09-22,85.44,86.46,83.5,84.43,383651
2020-09-23,84.69,87.46,82.81,83.22,492885
2020-09-24,82.29,85.38,82.0,84.09,425341
2020-09-25,84.01,84.62,82.47,84.0,363456
2020-09-28,86.19,87.01,85.37,85.54,336697
2020-09-29,84.39,84.55,81.15,82.49,739170
2020-09-30,82.87,84.61,82.25,82.99,408400
2020-10-01,82.97,83.83,81.26,81.91,406347
2020-10-02,80.47,84.0,80.11,83.02,458486
2020-10-05,84.1,86.2,83.75,85.8,637945
2020-10-06,87.2,88.24,84.63,85.1,538345
2020-10-07,85.59,87.26,85.24,86.05,458946
2020-10-08,88.49,88.51,85.93,86.9,571797
2020-10-09,88.58,88.7234,84.52,84.66,436361
2020-10-12,84.24,85.97,84.1801,85.95,299789
2020-10-13,85.17,86.19,84.15,84.6,491881
2020-10-14,84.61,85.8,83.9,84.71,360392
2020-10-15,84.1,87.22,84.0825,86.95,492602
2020-10-16,87.08,87.88,85.57,86.79,418083
2020-10-19,87.19,88.07,85.68,85.92,693948
2020-10-20,85.16,89.4,80.82,83.12,1788957
2020-10-21,83.14,85.13,81.56,82.23,907069
2020-10-22,82.26,86.05,82.255,85.99,766797
2020-10-23,86.81,87.28,83.58,84.57,675565
2020-10-26,83.81,85.24,82.64,83.51,474863
2020-10-27,83.13,83.42,79.55,79.62,856159
2020-10-28,77.66,79.25,76.67,77.6,613469
2020-10-29,76.79,79.23,76.02,78.37,664971
2020-10-30,77.6,82.22,77.6,80.74,971034
2020-11-02,81.94,82.29,79.77,80.77,506573
2020-11-03,82.34,82.735,80.08,80.46,650893
2020-11-04,79.455,79.455,71.445,76.21,1357239
2020-11-05,76.26,78.91,76.26,78.44,681461
2020-11-06,79.01,79.41,75.97,76.01,594347
2020-11-09,83.99,99.53,83.99,97.96,2799406
2020-11-10,98.98,104.81,97.97,101.51,1475412
2020-11-11,102.33,102.34,96.48,99.42,1022803
2020-11-12,98.68,103.64,97.75,100.29,1161249
2020-11-13,101.51,104.25,101.51,102.65,718258
2020-11-16,108.36,111.22,106.83,111.13,711889
2020-11-17,108.37,110.59,106.03,109.9,658427
2020-11-18,110.7,111.21,105.5001,105.6,620664
2020-11-19,104.46,106.5,103.79,106.02,436532
2020-11-20,105.58,106.285,104.27,106.05,278205
2020-11-23,107.0,109.95,106.315,109.18,602846
2020-11-24,111.38,116.64,111.16,116.46,779794
2020-11-25,115.12,115.715,111.36,115.28,718334
2020-11-27,114.86,117.06,112.61,115.2,510334
2020-11-30,113.66,117.04,112.03,112.19,3522714
2020-12-01,114.79,116.84,113.29,115.98,696851
2020-12-02,115.21,122.97,115.0,121.62,878596
2020-12-03,122.53,125.165,120.5,123.3,775855
2020-12-04,124.65,127.06,121.6,124.45,632403
2020-12-07,124.46,124.46,121.7,123.34,603834
2020-12-08,123.25,124.21,120.51,120.88,384955
2020-12-09,122.28,127.23,120.55,127.0,986373
2020-12-10,125.0,130.48,125.0,130.0,962248
2020-12-11,127.16,130.62,127.15,128.23,661480
2020-12-14,131.2,131.98,127.81,128.15,638313
2020-12-15,130.19,131.26,127.58,131.08,562585
2020-12-16,132.0,132.93,129.25,132.13,667901
2020-12-17,132.64,132.64,130.49,131.03,392417
2020-12-18,131.0,131.52,129.29,131.1,1211054
2020-12-21,133.09,134.17,130.6,132.57,782330
2020-12-22,132.89,133.2589,131.15,132.16,558877
2020-12-23,133.07,136.16,132.98,135.02,313043
2020-12-24,135.1,135.1,132.705,134.2,119915
2020-12-28,133.93,136.885,133.93,136.75,327275
2020-12-29,136.98,136.98,132.765,133.76,325686
2020-12-30,134.28,136.0,133.34,134.23,230380
