,open,high,low,close,volume
2020-01-02,252.65,254.28,249.67,254.27,242917
2020-01-03,247.96,251.12,246.8,250.33,476454
2020-01-06,246.84,249.8,245.06,249.24,491021
2020-01-07,248.66,251.12,247.58,250.4,506541
2020-01-08,249.82,254.115,249.13,252.78,502032
2020-01-09,256.35,257.94,254.755,256.11,442387
2020-01-10,255.91,256.48,251.2,251.73,349997
2020-01-13,253.32,254.06,250.52,253.85,364292
2020-01-14,253.66,256.86,252.3,253.49,478838
2020-01-15,250.81,252.07,248.39,250.59,342577
2020-01-16,252.61,253.785,250.61,252.3,543193
2020-01-17,253.18,258.49,253.18,258.4,398407
2020-01-21,256.81,257.67,253.39,254.2,478514
2020-01-22,255.48,257.63,253.414,256.3,459446
2020-01-23,255.06,259.7,251.215,259.08,800888
2020-01-24,260.01,270.395,250.01,252.66,976713
2020-01-27,244.68,247.17,241.395,243.38,627566
2020-01-28,246.58,252.39,244.53,251.28,474531
2020-01-29,250.26,254.99,245.71,246.02,515397
2020-01-30,242.4,248.37,242.35,248.14,524017
2020-01-31,245.77,245.78,239.69,240.33,530086
2020-02-03,244.0,246.64,242.835,244.69,406106
2020-02-04,251.13,255.99,249.815,254.73,554017
2020-02-05,259.31,263.53,258.12,262.7,539235
2020-02-06,265.12,266.52,261.38,262.09,382888
2020-02-07,259.96,260.42,256.43,257.15,448012
2020-02-10,255.43,257.69,254.67,256.31,311219
2020-02-11,258.07,265.12,257.21,263.64,359154
2020-02-12,265.0,267.53,264.455,265.1,280491
2020-02-13,262.65,265.98,261.7,265.95,353716
2020-02-14,264.61,267.5,263.94,265.42,275087
2020-02-18,264.33,265.5129,258.775,261.11,276633
2020-02-19,263.18,267.4,261.93,266.99,266087
2020-02-20,264.12,270.95,263.01,270.79,390627
2020-02-21,268.34,270.0,259.51,261.42,561191
2020-02-24,249.7,250.35,241.5,243.27,566162
2020-02-25,244.87,245.175,229.87,232.16,1220724
2020-02-26,234.88,235.88,224.19,224.3,600398
2020-02-27,216.27,223.61,208.24,211.37,781413
2020-02-28,203.12,211.29,199.03,208.16,1141205
2020-03-02,209.56,216.89,202.14,216.75,661126
2020-03-03,215.76,218.43,195.83,198.63,894915
2020-03-04,202.12,202.7075,193.04,202.38,831384
2020-03-05,194.77,194.77,184.0,185.06,828313
2020-03-06,174.99,182.78,169.24,174.44,967918
2020-03-09,153.73,160.33,144.67,148.15,1554183
2020-03-10,157.57,165.37,150.261,161.97,1297894
2020-03-11,156.02,159.3,145.98,148.75,1129951
2020-03-12,133.9,148.6,127.5558,136.96,1315385
2020-03-13,148.94,157.07,140.37,156.67,971134
2020-03-16,132.7,137.69,127.39,130.98,1161736
2020-03-17,135.17,150.33,128.08,149.37,1289282
2020-03-18,138.83,154.22,135.5532,150.51,1392188
2020-03-19,147.39,182.0,146.76,168.17,1242939
2020-03-20,169.66,173.86,149.15,150.64,1041211
2020-03-23,152.27,152.84,135.63,143.21,761850
2020-03-24,154.75,159.38,149.12,158.37,753320
2020-03-25,161.97,171.53,150.17,165.0,924242
2020-03-26,166.55,173.6353,161.01,171.53,922198
2020-03-27,164.41,164.41,156.01,159.34,869264
2020-03-30,155.85,163.45,150.6,155.78,708616
2020-03-31,154.2,157.92,149.26,151.08,464821
2020-04-01,142.07,144.54,138.44,140.01,490405
2020-04-02,136.89,149.93,136.89,142.95,533879
2020-04-03,141.55,144.38,136.63,139.34,591552
2020-04-06,149.22,160.31,146.92,159.32,687336
2020-04-07,169.63,174.19,160.06,160.1,592641
2020-04-08,163.01,170.19,161.01,168.58,372730
2020-04-09,173.65,186.84,173.24,185.69,795775
2020-04-13,181.4,185.4,167.03,170.41,566510
2020-04-14,173.88,178.115,169.835,172.06,420738
2020-04-15,163.2,166.57,159.2255,161.89,548251
2020-04-16,160.27,163.46,153.4481,161.36,505261
2020-04-17,169.59,175.975,168.01,173.69,450442
2020-04-20,167.95,180.21,166.2655,174.67,322636
2020-04-21,169.14,171.71,165.067,165.49,282444
2020-04-22,171.37,174.22,166.94,167.5,392422
2020-04-23,169.82,174.0,168.27,171.0,574903
2020-04-24,176.49,185.82,165.12,184.0,813465
2020-04-27,184.37,193.29,180.02,192.63,417992
2020-04-28,198.37,202.585,192.24,193.25,478270
2020-04-29,201.02,204.84,198.27,201.43,536357
2020-04-30,194.27,199.41,191.77,193.17,507742
2020-05-01,187.23,187.67,180.1301,184.86,380774
2020-05-04,181.42,183.09,175.26,182.35,400020
2020-05-05,189.03,192.43,179.5,180.84,345476
2020-05-06,184.2,185.97,177.31,180.01,322194
2020-05-07,181.77,191.075,181.77,183.64,447901
2020-05-08,188.52,189.46,183.64,185.85,443907
2020-05-11,183.01,183.06,177.83,179.23,450534
2020-05-12,181.53,181.7087,169.69,169.85,520566
2020-05-13,168.28,169.3,158.22,159.89,847852
2020-05-14,155.79,173.84,152.76,173.28,706305
