,open,high,low,close,volume
2020-01-02,92.38,92.56,88.53,88.91,1172005
2020-01-03,87.8,89.39,87.7,89.26,846548
2020-01-06,88.97,90.88,88.73,90.64,632654
2020-01-07,90.49,90.49,89.13,89.54,626658
2020-01-08,89.54,90.22,89.04,89.95,611374
2020-01-09,89.7,90.49,89.58,90.34,486843
2020-01-10,90.58,91.13,90.11,91.1,1008082
2020-01-13,91.17,91.99,91.04,91.92,502942
2020-01-14,91.7,91.81,90.59,90.84,795574
2020-01-15,90.94,91.66,90.23,90.74,857263
2020-01-16,91.04,91.53,90.68,91.53,863132
2020-01-17,91.55,92.08,91.07,91.24,951812
2020-01-21,91.52,92.82,90.92,92.36,1278494
2020-01-22,92.61,93.05,91.8,92.73,990607
2020-01-23,95.2,96.39,91.87,94.07,1135555
2020-01-24,94.28,94.64,93.04,93.36,850832
2020-01-27,92.7,93.15,92.24,92.66,761094
2020-01-28,92.8,93.47,92.44,93.0,705192
2020-01-29,93.39,93.41,92.84,93.02,510502
2020-01-30,92.61,93.0,91.86,92.83,678854
2020-01-31,92.74,93.1,91.54,92.04,2891264
2020-02-03,92.29,93.55,92.1,92.18,649328
2020-02-04,92.73,94.29,92.45,93.97,488812
2020-02-05,94.17,95.735,93.8,95.29,640468
2020-02-06,95.6,95.87,94.0,94.25,323543
2020-02-07,94.28,94.55,93.84,94.11,223277
2020-02-10,94.56,94.56,93.64,94.02,428661
2020-02-11,94.1,95.27,94.1,94.59,414313
2020-02-12,94.9,95.82,94.61,94.83,529643
2020-02-13,94.35,95.04,94.35,94.66,387416
2020-02-14,94.76,95.4,94.55,95.04,345667
2020-02-18,95.1,95.79,93.97,95.77,759672
2020-02-19,95.84,95.93,93.73,93.93,720772
2020-02-20,93.9,94.66,93.62,94.16,414425
2020-02-21,93.94,94.47,93.08,93.38,906540
2020-02-24,92.1,92.42,90.0,90.93,822762
2020-02-25,91.0,91.0,85.82,85.9,1199573
2020-02-26,86.33,86.54,84.89,85.03,1074728
2020-02-27,83.77,84.37,80.44,80.44,1269876
2020-02-28,78.83,79.64,75.83,78.44,1546657
2020-03-02,78.91,81.68,77.08,81.37,1031381
2020-03-03,81.34,83.33,80.04,80.71,1237274
2020-03-04,81.89,85.09,81.79,84.6,1111115
2020-03-05,82.94,84.17,80.95,82.72,1042349
2020-03-06,79.86,81.36,78.21,80.58,1075844
2020-03-09,76.26,78.6,73.25,73.4,1944238
2020-03-10,75.33,75.53,71.11,74.94,1824951
2020-03-11,72.8,73.08,67.28,67.99,1583971
2020-03-12,62.92,66.01,58.3,60.0,1396660
2020-03-13,63.54,66.15,61.01,65.92,1516321
2020-03-16,59.72,62.0,52.38,52.62,1359221
