,open,high,low,close,volume
2020-01-02,23.85,24.18,23.42,23.63,417824
2020-01-03,23.4,23.74,23.4,23.44,30248
2020-01-06,23.4,23.5,23.23,23.27,93251
2020-01-07,23.01,23.45,23.01,23.1,38683
2020-01-08,23.05,23.2,23.0,23.07,353705
2020-01-09,23.07,23.29,23.07,23.2,209757
2020-01-10,24.36,26.85,24.31,26.09,834977
2020-01-13,26.25,28.65,26.25,28.51,565653
2020-01-14,29.5,30.0,27.0,27.72,567093
2020-01-15,27.1,28.0,26.85,27.7,413462
2020-01-16,28.5,29.0,28.0,28.61,668824
2020-01-17,28.7,28.8,28.23,28.67,353613
2020-01-21,28.62,29.0,28.33,28.59,241300
2020-01-22,28.75,29.42,28.51,29.1,324096
2020-01-23,29.11,29.12,28.48,28.79,114550
2020-01-24,29.29,29.3,28.64,28.94,174696
2020-01-27,28.71,28.85,28.12,28.71,157170
2020-01-28,28.81,29.01,28.7,28.81,96356
2020-01-29,28.71,29.22,28.58,28.78,160236
2020-01-30,29.0,29.06,28.17,28.75,248262
2020-01-31,28.62,28.84,27.74,27.96,137461
2020-02-03,27.96,29.0,27.96,28.66,167952
2020-02-04,29.01,29.25,28.7,29.21,214075
2020-02-05,29.22,29.565,29.22,29.46,155249
2020-02-06,29.52,29.68,28.07,28.26,247502
2020-02-07,27.41,28.74,24.5,27.55,768022
2020-02-10,27.5,29.27,27.44,29.11,293594
2020-02-11,27.95,29.09,27.85,28.99,475347
2020-02-12,28.73,29.17,28.37,29.04,411351
2020-02-13,28.56,29.07,28.22,28.69,296814
2020-02-14,28.7,28.71,27.84,28.02,363431
2020-02-18,27.57,28.24,27.0,27.53,275779
2020-02-19,27.65,27.7,27.08,27.56,235659
2020-02-20,27.56,28.0,27.2,27.86,324649
2020-02-21,27.45,28.05,27.33,27.74,341919
2020-02-24,26.49,27.5,26.28,26.95,280367
2020-02-25,26.85,26.98,26.22,26.37,287639
2020-02-26,26.28,27.2,26.16,26.53,257267
2020-02-27,26.0,26.4,25.12,25.76,524530
2020-02-28,25.0,25.41,24.6,25.38,396055
2020-03-02,25.61,26.19,25.39,26.15,295357
2020-03-03,26.11,26.91,25.52,26.1,308072
2020-03-04,26.51,27.23,26.27,26.67,393242
2020-03-05,26.24,26.95,25.69,25.89,534013
2020-03-06,25.3,26.09,24.64,25.26,397346
2020-03-09,23.57,24.7,22.66,23.04,557248
2020-03-10,23.52,24.65,23.36,24.38,385234
2020-03-11,23.84,24.76,23.51,24.24,521198
2020-03-12,23.01,23.44,21.5,22.2,692393
2020-03-13,22.75,23.0,21.17,22.92,495587
2020-03-16,20.0,20.38,17.02,17.38,1183387
2020-03-17,17.55,19.37,17.0,19.12,525638
2020-03-18,17.89,18.41,15.76,15.98,363976
2020-03-19,15.82,16.99,15.82,16.1,837259
2020-03-20,16.38,18.29,16.38,16.88,465396
2020-03-23,17.0,17.37,16.33,16.77,646808
2020-03-24,17.75,18.81,17.3,18.81,246399
2020-03-25,18.75,21.13,18.55,20.67,284656
2020-03-26,20.84,22.31,20.62,21.73,387625
2020-03-27,21.02,21.44,20.02,20.37,151902
2020-03-30,20.55,21.16,20.2,20.89,193007
2020-03-31,20.89,21.48,20.82,21.28,160032
2020-04-01,20.46,21.0,19.91,20.46,292734
2020-04-02,20.56,21.25,19.48,20.89,188362
2020-04-03,20.62,21.72,19.63,20.18,287458
2020-04-06,20.81,21.39,19.75,20.21,247799
2020-04-07,20.8,20.98,19.9,20.28,303132
2020-04-08,20.51,21.12,20.07,20.93,200333
2020-04-09,21.33,21.91,20.61,21.48,228234
2020-04-13,21.45,21.65,20.49,21.29,178720
2020-04-14,21.66,22.46,21.66,21.9,153041
2020-04-15,21.5,21.99,21.19,21.61,169014
2020-04-16,21.76,21.89,21.04,21.6,177433
2020-04-17,22.1,22.59,21.42,21.77,178105
2020-04-20,21.82,21.9,21.13,21.69,111629
2020-04-21,21.53,21.53,20.27,20.98,115605
2020-04-22,21.39,21.71,21.05,21.46,102160
2020-04-23,21.71,22.02,21.31,21.62,207368
2020-04-24,21.75,21.94,21.21,21.7,207009
2020-04-27,21.85,22.46,21.8,22.23,232246
2020-04-28,22.63,23.37,22.07,22.77,332725
2020-04-29,23.45,23.93,23.15,23.47,204199
2020-04-30,23.37,23.37,22.5,22.9,216698
2020-05-01,22.26,22.74,22.13,22.23,124498
2020-05-04,22.22,22.67,21.86,22.33,237487
2020-05-05,22.59,23.39,22.07,22.47,291655
2020-05-06,22.68,22.82,21.92,22.02,169540
2020-05-07,22.3,22.89,21.92,22.38,552665
2020-05-08,23.5,26.89,23.01,25.42,751258
2020-05-11,25.42,25.84,24.37,25.65,332329
2020-05-12,25.78,25.78,23.94,23.98,367819
2020-05-13,24.0,24.47,23.19,23.29,293169
2020-05-14,22.92,23.48,22.34,23.35,202913
2020-05-15,23.0,23.83,22.78,23.29,232321
2020-05-18,23.58,24.66,23.48,24.41,310088
2020-05-19,24.5,25.3,24.49,24.79,336953
2020-05-20,25.2,25.84,25.1,25.6,227166
2020-05-21,25.23,25.52,24.89,25.16,218988
2020-05-22,25.09,25.09,24.13,24.7,298220
2020-05-26,25.2,25.84,25.18,25.3,281853
2020-05-27,25.52,25.97,24.95,25.89,378056
2020-05-28,25.59,25.92,25.24,25.33,209026
2020-05-29,24.94,26.28,24.94,25.96,776890
2020-06-01,26.37,26.79,26.18,26.55,344913
2020-06-02,26.76,27.55,26.18,27.46,499626
2020-06-03,27.96,27.96,27.29,27.73,388587
2020-06-04,27.61,27.98,27.5,27.75,381373
2020-06-05,28.63,29.8,28.08,28.61,609941
2020-06-08,29.26,30.26,29.24,29.71,911696
2020-06-09,29.71,30.1,29.06,29.62,388689
2020-06-10,29.65,29.91,28.56,29.1,358871
2020-06-11,28.79,28.9,27.71,28.02,765058
2020-06-12,28.63,29.45,28.19,29.22,419613
2020-06-15,29.48,31.5,29.41,31.29,1543850
2020-06-16,31.53,32.45,30.73,31.15,843527
2020-06-17,31.41,32.49,31.41,31.77,1673614
2020-06-18,31.54,32.0,30.8,31.42,1293580
2020-06-19,31.87,33.3,31.79,32.31,4284257
2020-06-22,32.42,32.44,30.52,31.03,1182615
2020-06-23,31.34,31.9,30.97,31.27,1397388
2020-06-24,31.49,31.69,30.21,30.61,643834
2020-06-25,30.66,31.76,30.45,31.03,948973
2020-06-26,30.94,31.4,27.56,28.12,6582702
2020-06-29,28.17,28.4,27.53,28.24,625436
2020-06-30,28.49,28.57,27.51,28.39,1040306
2020-07-01,28.38,28.38,27.4,27.94,792172
2020-07-02,28.35,28.71,27.31,27.48,423534
2020-07-06,28.02,28.44,27.81,27.95,488949
2020-07-07,27.71,28.02,27.3,27.53,445364
2020-07-08,27.65,28.27,27.43,28.21,438022
2020-07-09,28.17,28.56,27.47,27.64,462617
2020-07-10,27.78,27.95,27.4,27.64,303888
2020-07-13,28.21,28.21,27.07,27.13,319419
2020-07-14,27.0,27.85,26.59,27.7,541725
2020-07-15,28.11,28.37,27.37,27.86,237709
2020-07-16,27.72,28.15,27.47,28.13,195679
2020-07-17,28.12,28.92,28.02,28.4,224588
2020-07-20,28.47,28.75,28.07,28.65,260215
2020-07-21,28.75,28.81,27.85,28.09,353226
2020-07-22,27.98,28.43,27.65,27.97,412917
2020-07-23,28.02,28.3,27.34,27.62,240478
2020-07-24,27.55,27.665,26.72,27.17,184210
2020-07-27,27.31,28.48,27.31,28.46,196891
2020-07-28,28.52,28.59,27.87,28.14,344722
2020-07-29,28.32,29.6,28.23,29.58,273639
2020-07-30,29.21,29.88,29.0,29.73,230185
2020-07-31,29.92,30.31,29.5,30.305,344993
2020-08-03,31.0,31.18,30.21,30.31,516526
2020-08-04,30.34,30.74,30.11,30.33,291514
2020-08-05,30.49,31.1,30.08,30.79,876282
2020-08-06,30.64,30.7342,29.8,30.09,221817
2020-08-07,30.05,30.5,29.6706,30.18,271634
2020-08-10,30.4,30.62,30.025,30.21,273620
2020-08-11,30.53,31.17,30.3,30.48,624409
2020-08-12,27.84,28.4465,25.635,26.01,2284914
2020-08-13,26.09,26.39,25.407,25.99,772775
2020-08-14,25.74,26.225,25.59,26.1,633108
2020-08-17,26.2,26.27,25.565,25.74,372053
2020-08-18,25.65,25.89,25.26,25.86,388240
2020-08-19,25.97,26.35,25.8249,25.91,361760
2020-08-20,25.66,26.24,25.61,26.19,337289
2020-08-21,26.1,26.54,25.99,26.54,229990
2020-08-24,26.62,26.98,26.32,26.66,366356
2020-08-25,26.62,26.93,26.24,26.65,485734
2020-08-26,25.74,26.54,25.71,25.99,511619
2020-08-27,26.07,26.3,25.86,26.15,345081
2020-08-28,26.26,27.39,26.26,27.07,558482
2020-08-31,26.98,27.89,26.8878,27.39,498091
2020-09-01,27.36,27.5,26.7,27.07,363830
2020-09-02,26.91,27.5,26.42,27.315,459085
2020-09-03,27.33,27.33,25.73,25.84,428352
2020-09-04,26.08,26.31,24.9155,25.54,258478
2020-09-08,25.31,25.77,24.705,25.31,232957
2020-09-09,25.23,26.44,25.15,26.17,297175
2020-09-10,26.3,26.33,25.36,25.44,264382
2020-09-11,25.7,25.84,25.3,25.66,209840
2020-09-14,25.91,26.43,25.69,26.34,248017
2020-09-15,26.5,26.84,26.09,26.25,254983
2020-09-16,26.33,26.6,26.2,26.3,247011
2020-09-17,26.2,26.49,25.79,26.39,217499
2020-09-18,26.66,27.14,26.46,26.95,539817
2020-09-21,26.45,26.45,25.68,25.905,344611
2020-09-22,26.17,26.35,25.35,26.04,358294
2020-09-23,26.12,26.49,25.06,25.13,249027
2020-09-24,25.02,25.92,24.54,25.42,201510
2020-09-25,25.34,26.025,25.23,25.71,212671
2020-09-28,26.06,26.55,26.06,26.49,233530
2020-09-29,26.5,26.87,26.5,26.8,175693
2020-09-30,26.66,27.09,26.34,26.4,286523
2020-10-01,26.59,26.75,26.02,26.16,158977
2020-10-02,25.65,26.23,25.3101,25.83,121877
2020-10-05,26.1,26.86,26.0,26.76,229681
2020-10-06,26.95,27.13,26.38,26.51,188656
2020-10-07,26.68,27.25,26.68,27.03,167620
2020-10-08,27.27,27.66,27.27,27.61,130175
2020-10-09,27.87,27.94,27.63,27.71,96761
2020-10-12,27.89,28.19,27.71,27.92,217693
2020-10-13,27.92,28.04,27.28,27.85,133009
2020-10-14,27.75,27.99,27.35,27.45,130166
2020-10-15,27.09,27.71,26.91,27.66,105210
2020-10-16,27.64,27.77,27.23,27.29,154105
2020-10-19,27.4,27.44,26.55,26.69,126286
2020-10-20,26.92,26.92,26.41,26.515,139394
2020-10-21,26.56,26.88,26.07,26.15,155701
2020-10-22,26.08,26.9,25.86,26.76,190089
2020-10-23,26.89,26.89,25.295,25.46,337532
2020-10-26,25.3,25.3,24.0,24.3,246819
2020-10-27,24.25,24.39,23.715,23.74,220313
2020-10-28,23.24,23.505,22.14,22.25,337878
2020-10-29,22.16,23.22,21.95,22.95,243048
2020-10-30,22.83,23.225,22.47,22.72,207642
2020-11-02,23.0,23.18,22.69,23.0,739858
2020-11-03,23.56,23.56,22.96,23.21,473108
2020-11-04,26.87,28.8805,26.22,28.38,1195068
2020-11-05,28.47,28.72,27.33,28.69,387207
2020-11-06,27.8,28.5,27.8,27.97,417903
2020-11-09,28.13,29.95,27.69,27.7,489793
2020-11-10,27.67,28.33,27.53,27.775,367333
2020-11-11,27.98,28.8099,27.91,28.495,336603
2020-11-12,28.25,28.71,28.23,28.55,239027
2020-11-13,28.51,29.74,28.5,29.53,342411
2020-11-16,29.5,30.0,29.33,29.49,385501
2020-11-17,28.9,29.85,28.9,29.5,270285
2020-11-18,29.58,30.0,29.5,29.56,352663
2020-11-19,29.72,30.0,29.53,29.96,251138
2020-11-20,29.66,30.0,29.65,29.94,402508
2020-11-23,29.89,30.0,29.3,29.355,353538
2020-11-24,29.851,29.851,28.795,29.09,458605
2020-11-25,28.78,29.5,28.78,29.31,275708
2020-11-27,29.16,29.91,29.16,29.65,247032
2020-11-30,29.42,29.75,28.03,28.21,561108
2020-12-01,28.51,29.29,28.26,28.87,345825
2020-12-02,28.85,29.38,28.3739,29.14,230918
2020-12-03,29.09,29.97,29.09,29.67,246636
2020-12-04,29.83,30.7,29.765,30.63,294972
2020-12-07,30.6,31.53,30.425,30.95,261847
2020-12-08,30.81,31.11,30.51,30.92,185341
2020-12-09,30.92,31.26,30.11,30.34,202420
2020-12-10,29.96,30.51,29.55,30.43,138753
2020-12-11,30.11,30.4,29.73,29.92,298731
2020-12-14,30.19,30.2,29.23,29.24,311881
2020-12-15,29.65,30.02,29.12,29.9,544796
2020-12-16,30.1,30.1,29.9,29.93,378828
2020-12-17,30.01,30.15,29.68,29.95,340073
2020-12-18,30.0,30.88,29.63,30.49,695652
2020-12-21,29.79,30.23,29.42,29.97,263453
2020-12-22,29.95,30.33,29.64,29.8,192629
2020-12-23,29.99,30.58,29.51,30.19,307217
2020-12-24,30.45,30.55,30.22,30.52,115642
2020-12-28,30.8,30.95,30.49,30.53,192510
2020-12-29,30.53,30.7,30.235,30.53,294161
2020-12-30,30.5,30.9,30.34,30.47,319817
2020-12-31,30.49,31.75,30.34,31.66,390442
2021-01-04,31.8,32.1,30.83,31.05,242475
2021-01-05,30.98,31.6,30.93,31.16,215609
2021-01-06,31.16,32.38,31.15,31.89,334682
2021-01-07,32.5,33.26,31.97,32.19,620888
2021-01-08,32.46,32.95,31.46,31.88,261760
2021-01-11,31.53,32.39,31.4319,32.1,185923
2021-01-12,32.25,32.73,31.81,32.41,270249
2021-01-13,32.32,32.94,32.25,32.54,268339
2021-01-14,32.8,33.0,32.53,32.67,184652
2021-01-15,32.54,33.1,32.26,32.35,249859
2021-01-19,32.76,32.82,32.09,32.47,177080
2021-01-20,32.65,33.87,32.65,33.68,307741
2021-01-21,33.68,34.3,33.41,33.76,262794
2021-01-22,33.32,34.34,33.09,34.21,345584
2021-01-25,34.3,35.08,34.06,34.7,304358
2021-01-26,34.74,34.8,33.6,33.79,203654
2021-01-27,33.06,33.065,32.11,32.24,237529
2021-01-28,32.42,32.42,31.24,31.8,179569
2021-01-29,31.66,31.88,30.52,31.0,309593
2021-02-01,31.33,31.97,30.95,31.54,227924
2021-02-02,31.84,32.1,31.41,31.75,296543
2021-02-03,32.5,34.74,32.5,33.03,455394
2021-02-04,33.33,33.58,32.42,32.9,209551
2021-02-05,32.71,32.71,31.03,31.95,364810
2021-02-08,31.96,33.85,31.95,33.8,420763
2021-02-09,33.8,34.08,33.3,33.9,192874
2021-02-10,34.1,34.18,33.4611,33.72,159096
2021-02-11,33.56,34.62,33.56,34.22,220329
2021-02-12,32.51,33.5,31.5349,31.95,650854
2021-02-16,32.37,32.94,31.785,31.93,284691
2021-02-17,31.44,32.05,31.01,31.525,179639
2021-02-18,31.43,31.855,31.34,31.63,188557
2021-02-19,31.74,32.12,31.34,31.68,210249
2021-02-22,31.32,32.22,31.2,31.78,273024
2021-02-23,31.48,32.94,30.59,32.64,673549
2021-02-24,32.38,33.98,32.38,33.7,312561
2021-02-25,33.34,33.7,32.5,32.5,280658
2021-02-26,32.33,33.23,32.05,32.63,353226
2021-03-01,33.47,34.365,32.8753,34.27,221827
2021-03-02,34.46,34.6,33.77,34.08,253129
2021-03-03,34.29,34.67,33.59,33.62,291619
2021-03-04,33.79,33.94,32.26,32.62,286021
2021-03-05,33.11,34.07,32.26,33.91,330865
2021-03-08,34.48,35.305,34.0,34.55,337135
2021-03-09,34.97,35.32,34.16,34.32,313290
2021-03-10,34.56,35.92,34.34,35.7,279434
2021-03-11,35.7,36.49,35.7,35.81,268364
2021-03-12,35.71,36.63,34.99,36.46,237638
2021-03-15,36.7,37.19,36.1,37.1,270583
2021-03-16,37.4,37.5,36.76,37.14,251984
2021-03-17,36.93,38.3,36.59,38.3,381118
2021-03-18,38.16,38.8,37.86,38.23,422479
2021-03-19,37.58,38.76,37.44,38.55,1135084
2021-03-22,38.7,39.37,37.9,38.92,383441
2021-03-23,38.67,38.685,37.46,37.66,415485
2021-03-24,37.68,38.74,37.31,37.39,309784
2021-03-25,37.25,37.67,36.73,37.06,325377
2021-03-26,37.24,38.31,37.185,38.17,340336
2021-03-29,37.65,38.37,37.29,37.47,490104
2021-03-30,37.1,38.24,36.93,37.94,291175
2021-03-31,37.95,39.31,37.95,39.06,313135
2021-04-01,39.33,39.6,38.84,39.595,289346
