,open,high,low,close,volume
2020-01-02,151.33,151.49,148.48,149.12,1262113
2020-01-03,148.79,149.43,147.67,147.76,1264854
2020-01-06,147.74,149.14,147.74,149.0,1107204
2020-01-07,148.35,149.32,147.61,148.88,1211222
2020-01-08,149.33,150.48,149.01,149.9,1254970
2020-01-09,149.76,150.22,148.55,148.82,1119418
2020-01-10,149.25,150.3,149.13,149.76,1144132
2020-01-13,149.8,151.8,149.75,151.17,968277
2020-01-14,151.25,151.93,150.39,151.22,1341376
2020-01-15,151.78,154.47,151.78,154.14,1030333
2020-01-16,154.52,155.98,154.28,155.18,1427995
2020-01-17,155.48,157.3,155.14,157.2,1445712
2020-01-21,157.02,158.12,156.42,157.96,1508091
2020-01-22,158.18,158.81,157.08,157.55,899731
2020-01-23,157.45,160.18,157.06,160.06,1533500
2020-01-24,159.79,160.51,159.01,159.76,981134
2020-01-27,159.15,160.2,157.86,158.54,949134
2020-01-28,158.95,159.95,158.55,159.82,1000651
2020-01-29,159.47,159.81,158.2,158.68,962081
2020-01-30,158.77,161.38,158.37,161.13,929026
2020-01-31,160.55,161.2,159.57,160.64,1917380
2020-02-03,161.29,161.87,160.55,161.06,958508
2020-02-04,160.68,161.66,158.78,158.97,1422049
2020-02-05,158.94,160.315,158.53,159.05,976849
2020-02-06,159.34,161.24,158.63,160.5,1344149
2020-02-07,160.66,161.08,158.36,158.59,1250708
2020-02-10,158.69,159.25,157.6,157.98,885054
2020-02-11,158.53,159.58,158.12,158.56,677853
2020-02-12,157.91,159.3,157.57,158.89,825912
2020-02-13,158.79,159.79,157.77,159.0,1261066
2020-02-14,159.62,160.96,159.62,160.96,774379
2020-02-18,161.5,161.76,160.46,160.89,1158485
2020-02-19,160.65,161.28,159.65,159.73,789959
2020-02-20,159.33,160.27,158.84,159.89,1182209
2020-02-21,159.57,160.59,158.24,158.43,1285783
2020-02-24,157.84,158.23,154.12,154.16,2065888
2020-02-25,154.49,154.77,149.09,149.57,1744921
2020-02-26,149.95,150.94,146.46,146.87,2132128
2020-02-27,147.56,150.67,141.38,141.42,3214035
2020-02-28,138.1,140.84,134.65,139.78,4207728
2020-03-02,140.46,143.7,139.17,142.23,3323619
2020-03-03,142.65,146.27,139.94,141.02,2534134
2020-03-04,142.7,148.0,142.52,147.84,1564737
2020-03-05,144.92,145.4,140.79,141.76,3109451
2020-03-06,138.11,142.65,136.72,141.87,2474701
2020-03-09,134.1,136.14,125.11,127.76,3550675
2020-03-10,129.86,134.02,122.18,130.6,4230131
2020-03-11,127.27,127.79,117.74,122.95,3777079
2020-03-12,116.42,116.42,103.85,104.27,3986887
2020-03-13,109.78,109.98,98.16,106.92,3747959
2020-03-16,98.0,101.82,88.13,88.62,3728853
2020-03-17,89.29,100.55,88.3,98.38,5058978
2020-03-18,92.99,102.95,89.16,102.4,3881615
2020-03-19,101.46,101.56,96.44,100.0,2471377
2020-03-20,99.15,105.84,97.32,99.64,5236612
2020-03-23,100.31,100.31,88.0,93.42,3145273
2020-03-24,96.67,105.65,95.37,104.03,2826014
2020-03-25,104.16,119.62,101.13,114.02,3365544
2020-03-26,111.35,125.28,110.03,123.6,2016986
2020-03-27,118.95,125.29,116.01,121.13,1585880
2020-03-30,122.63,124.44,118.25,119.99,2348416
2020-03-31,118.35,119.42,112.14,112.99,3501752
2020-04-01,108.35,109.47,101.67,103.71,1810022
2020-04-02,102.18,107.64,101.18,106.26,1618104
2020-04-03,104.65,107.3,103.3,104.28,1642240
2020-04-06,108.95,116.1,108.44,114.04,2025913
2020-04-07,117.66,121.22,115.77,116.67,1968072
2020-04-08,117.65,123.03,116.09,122.05,1748573
2020-04-09,122.98,133.14,122.09,130.53,2161572
2020-04-13,129.77,130.54,125.13,126.98,1908267
2020-04-14,130.04,130.8,126.26,127.93,1733829
2020-04-15,124.07,124.4,120.97,121.51,1873346
2020-04-16,121.66,122.03,117.18,117.46,2427037
2020-04-17,120.23,124.94,119.89,124.44,1802811
2020-04-20,122.94,124.63,121.87,122.57,1308615
2020-04-21,120.16,121.94,117.5,119.27,1299420
2020-04-22,121.03,124.59,119.48,123.66,1486392
2020-04-23,124.22,126.7,123.36,125.5,1517625
2020-04-24,126.44,127.86,124.06,126.97,1238252
2020-04-27,128.08,129.83,127.25,128.8,1328530
2020-04-28,130.75,132.16,126.22,126.96,1452426
2020-04-29,130.0,131.57,127.05,129.58,1090678
2020-04-30,128.57,128.57,123.35,123.85,1270674
2020-05-01,122.05,122.05,119.01,119.93,1951610
2020-05-04,120.15,125.98,119.22,124.12,2033723
2020-05-05,122.91,125.84,122.25,124.22,1351715
2020-05-06,124.76,124.84,121.48,122.02,1240867
2020-05-07,123.8,125.36,123.2,123.73,1871506
2020-05-08,125.23,126.71,122.95,124.23,1215165
2020-05-11,123.21,125.01,122.39,124.8,1454217
