,open,high,low,close,volume
2020-01-02,39.16,39.22,38.71,38.86,32602020
2020-01-03,38.58,39.2,38.57,39.06,27414030
2020-01-06,38.99,39.15,38.82,39.1,38645625
2020-01-07,39.08,39.3,38.98,39.25,28201931
2020-01-08,39.33,39.55,39.29,39.37,40514380
2020-01-09,38.92,39.0,38.55,38.8,39446771
2020-01-10,38.81,38.95,38.57,38.57,29719924
2020-01-13,38.54,38.55,38.02,38.1,33066116
2020-01-14,38.06,38.19,37.95,38.09,26532191
2020-01-15,37.97,38.03,37.79,37.87,26073955
2020-01-16,37.99,38.13,37.77,38.03,27316799
2020-01-17,38.05,38.44,37.98,38.38,33590429
2020-01-21,38.35,38.64,38.18,38.52,43746746
2020-01-22,38.68,39.14,38.64,39.04,36111047
2020-01-23,38.96,38.99,38.55,38.63,28997746
2020-01-24,38.6,38.78,38.23,38.5,34459298
2020-01-27,38.02,38.57,38.01,38.25,35217682
2020-01-28,38.32,38.8,38.27,38.58,30835416
2020-01-29,38.5,38.56,37.03,37.05,57950696
2020-01-30,36.47,37.45,36.32,37.43,50674326
2020-01-31,37.32,37.76,37.25,37.62,41149688
2020-02-03,37.96,37.97,36.8,36.96,40779767
2020-02-04,37.08,37.74,36.94,37.63,31956317
2020-02-05,37.73,37.95,37.52,37.81,24624131
2020-02-06,37.86,38.48,37.86,38.44,26208782
2020-02-07,38.45,38.72,38.36,38.45,25194904
2020-02-10,38.42,38.54,38.1,38.34,18239148
2020-02-11,38.49,38.82,37.9,38.17,31973707
2020-02-12,38.19,38.33,38.02,38.04,31288355
2020-02-13,37.88,38.43,37.85,38.31,24619651
2020-02-14,38.28,38.47,38.11,38.25,27385951
2020-02-18,38.18,38.32,38.04,38.26,24273909
2020-02-19,38.24,38.65,38.16,38.44,22598447
2020-02-20,38.4,38.67,38.31,38.61,27168221
2020-02-21,38.52,38.68,38.37,38.55,28464921
2020-02-24,37.99,38.51,37.98,38.05,34875568
2020-02-25,38.11,38.28,37.26,37.35,48855268
2020-02-26,37.19,37.78,36.92,37.1,40261448
2020-02-27,36.58,36.91,35.36,35.73,66289191
2020-02-28,34.0,35.72,33.01,35.22,120896779
2020-03-02,35.37,37.42,35.29,37.18,68404208
2020-03-03,37.26,37.96,35.87,36.3,63790752
2020-03-04,37.02,38.22,36.72,38.18,42063646
2020-03-05,37.4,37.92,36.97,37.18,45289319
2020-03-06,36.71,37.25,36.18,37.03,48871706
2020-03-09,35.01,36.15,34.38,34.69,67883209
2020-03-10,35.51,35.89,34.24,35.85,56619996
2020-03-11,34.85,35.07,34.16,34.52,45294931
2020-03-12,31.86,33.43,31.06,31.33,83597918
2020-03-13,32.92,34.61,31.86,34.47,64612396
2020-03-16,31.0,33.89,30.92,31.81,58743548
2020-03-17,32.12,34.06,32.01,33.74,59621364
2020-03-18,32.0,32.91,30.25,32.85,75959016
2020-03-19,31.36,32.49,30.5,31.15,60784089
2020-03-20,30.46,30.5,28.18,28.45,116617009
2020-03-23,27.39,27.71,26.08,26.77,96760017
2020-03-24,28.0,28.3,26.84,28.09,76224375
2020-03-25,28.08,29.93,27.37,28.4,67990904
2020-03-26,28.68,30.96,28.68,30.6,64032062
2020-03-27,29.69,30.82,29.22,29.84,46366596
2020-03-30,29.9,30.41,29.48,30.23,41625366
2020-03-31,30.04,30.13,29.05,29.15,69735210
2020-04-01,28.38,28.58,27.7,28.05,54627131
2020-04-02,28.0,28.87,28.0,28.76,33782112
2020-04-03,28.53,28.74,27.25,27.46,53402069
2020-04-06,28.4,29.68,28.31,29.44,53469364
2020-04-07,30.44,30.97,30.07,30.08,54226610
2020-04-08,29.95,30.0,29.1,29.89,40560708
2020-04-09,30.0,30.94,29.99,30.73,50300769
2020-04-13,30.5,30.72,29.9,30.19,34136623
2020-04-14,30.69,31.16,30.35,31.13,31918457
2020-04-15,30.63,30.96,29.96,30.09,37495607
2020-04-16,30.28,30.28,29.71,30.16,32388925
2020-04-17,30.85,31.25,30.7,31.23,34635533
2020-04-20,30.85,31.42,30.7,30.98,30552080
2020-04-21,30.51,30.52,29.64,29.87,43106672
2020-04-22,30.9,30.9,29.31,29.47,50741161
2020-04-23,29.44,30.05,29.33,29.5,33981777
2020-04-24,29.59,29.95,29.15,29.71,35544541
2020-04-27,29.99,30.68,29.74,30.54,33310774
2020-04-28,31.0,31.12,30.62,30.65,30905677
2020-04-29,31.13,31.87,31.07,31.43,33137441
2020-04-30,31.0,31.05,30.28,30.47,40716139
2020-05-01,30.77,30.79,29.75,29.9,36837524
2020-05-04,29.75,29.75,29.22,29.6,35151695
2020-05-05,29.74,30.18,29.72,29.74,24615222
2020-05-06,29.82,29.87,28.79,28.79,45061841
2020-05-07,29.17,29.2,28.83,28.89,31793400
2020-05-08,29.29,29.85,29.21,29.79,24036198
2020-05-11,29.65,29.65,29.15,29.38,29206369
2020-05-12,29.51,29.67,28.89,28.89,35173055
2020-05-13,28.8,28.92,28.0,28.09,49203028
2020-05-14,27.98,28.6,27.61,28.58,39808686
2020-05-15,28.28,28.46,28.07,28.31,32221786
2020-05-18,28.99,29.69,28.93,29.45,34924470
2020-05-19,29.46,29.52,28.9,28.96,35194344
2020-05-20,29.27,29.82,29.01,29.59,37876656
2020-05-21,29.79,30.06,29.53,29.77,39339588
2020-05-22,29.78,29.91,29.43,29.88,26629465
2020-05-26,30.64,31.12,30.57,30.82,41364821
2020-05-27,31.74,31.98,31.53,31.85,43418175
2020-05-28,32.03,32.07,30.97,31.06,39676813
2020-05-29,30.55,30.96,30.33,30.86,43731275
2020-06-01,30.75,31.24,30.6,30.93,24944656
2020-06-02,31.05,31.1,30.71,30.99,28424181
2020-06-03,31.3,31.66,31.28,31.51,27839110
2020-06-04,31.39,31.8,31.28,31.8,30741223
2020-06-05,32.54,33.0,32.23,32.77,46689280
2020-06-08,33.0,33.24,32.69,33.23,34261176
2020-06-09,32.81,32.86,32.35,32.62,32195686
2020-06-10,32.57,32.62,32.1,32.14,27240873
2020-06-11,31.2,31.32,30.12,30.17,49810186
2020-06-12,31.02,31.08,30.01,30.5,36265814
2020-06-15,29.99,30.65,29.52,30.5,40214994
