,open,high,low,close,volume
2020-01-02,220.56,220.6,216.66,219.46,117851
2020-01-03,217.72,218.8,214.98,216.68,108592
2020-01-06,214.14,218.0,214.01,217.16,209740
2020-01-07,216.41,218.84,215.4,215.98,107305
2020-01-08,216.5,219.38,214.21,215.1,181325
2020-01-09,216.04,217.94,215.49,216.69,113559
2020-01-10,217.21,218.06,214.88,216.14,120852
2020-01-13,216.08,217.98,215.8,217.3,89649
2020-01-14,216.59,218.98,215.71,217.86,91365
2020-01-15,218.13,221.41,217.66,220.3,143008
2020-01-16,221.11,222.08,218.78,219.41,128560
2020-01-17,220.08,221.34,218.0,220.61,208552
2020-01-21,220.55,222.05,219.73,221.51,111483
2020-01-22,222.29,223.29,218.81,219.18,88348
2020-01-23,218.82,219.25,216.82,218.76,141294
2020-01-24,219.22,219.55,214.17,214.96,142997
2020-01-27,212.62,217.75,210.9,216.79,134972
2020-01-28,217.53,218.92,215.75,218.43,124259
2020-01-29,218.28,220.53,217.53,217.53,154085
2020-01-30,216.78,217.1,211.2,213.0,136937
2020-01-31,212.07,212.66,208.32,209.97,218389
2020-02-03,210.94,211.11,204.93,207.25,371341
2020-02-04,200.0,213.78,196.67,208.37,401272
2020-02-05,209.55,213.09,206.09,206.64,182141
2020-02-06,206.95,208.32,203.85,204.35,118083
2020-02-07,203.68,203.97,198.64,201.06,149614
2020-02-10,201.35,206.3,199.6,205.69,207716
2020-02-11,206.48,209.56,203.81,205.51,238844
2020-02-12,206.56,207.48,204.51,205.47,170206
2020-02-13,204.8,207.08,203.73,205.65,254418
2020-02-14,206.16,209.05,205.05,208.53,77551
2020-02-18,208.83,214.8,206.01,206.36,247553
2020-02-19,207.02,211.26,206.58,210.65,110388
2020-02-20,210.31,210.68,206.14,208.87,113892
2020-02-21,208.02,210.64,205.94,206.03,148849
2020-02-24,200.09,202.37,197.24,201.62,163123
2020-02-25,202.37,202.37,197.13,197.64,214736
2020-02-26,199.24,202.97,197.64,197.83,174299
2020-02-27,195.26,201.64,189.18,193.01,205830
2020-02-28,188.99,192.94,185.83,188.89,422964
2020-03-02,190.21,198.37,188.98,197.64,216342
2020-03-03,197.38,199.86,192.39,193.38,257862
2020-03-04,196.7,200.08,195.61,197.69,295909
2020-03-05,193.97,197.94,190.83,194.08,191561
2020-03-06,188.91,196.12,183.85,194.2,248268
2020-03-09,184.23,192.27,183.58,188.66,339372
2020-03-10,192.1,193.17,182.38,187.98,372463
2020-03-11,184.43,185.57,178.65,180.58,399835
2020-03-12,171.84,175.87,164.93,166.48,451857
2020-03-13,167.83,179.62,163.12,179.62,554734
2020-03-16,166.53,176.04,160.08,161.17,352366
2020-03-17,164.41,174.81,161.83,169.5,372385
2020-03-18,161.35,171.88,157.63,164.72,287179
2020-03-19,164.23,171.6,158.13,166.42,222723
2020-03-20,164.55,178.39,164.0,167.26,295577
2020-03-23,167.66,173.09,155.17,170.34,355269
2020-03-24,175.65,183.73,163.8,169.88,294868
2020-03-25,169.3,174.91,164.32,172.49,205578
2020-03-26,173.41,186.78,172.17,186.32,265758
2020-03-27,182.27,189.34,175.59,184.39,184715
2020-03-30,186.12,191.91,182.72,190.79,197572
2020-03-31,190.15,194.83,186.65,189.62,284390
2020-04-01,185.77,188.29,180.51,185.43,189673
2020-04-02,185.13,191.6,180.16,190.82,143722
2020-04-03,189.55,190.5,182.47,186.39,195170
2020-04-06,191.86,196.07,189.38,194.55,146708
2020-04-07,198.39,199.52,191.95,193.61,179773
2020-04-08,195.67,199.54,189.75,199.0,201923
2020-04-09,200.3,200.68,191.74,192.69,203784
2020-04-13,191.37,193.12,189.33,190.88,148764
2020-04-14,194.68,199.42,190.38,199.28,217449
2020-04-15,197.55,204.46,195.94,201.49,251959
2020-04-16,202.94,213.41,202.64,211.98,330565
2020-04-17,217.86,217.86,212.82,213.82,312416
2020-04-20,213.0,213.0,205.11,207.79,225197
2020-04-21,204.15,205.14,200.09,200.37,218709
2020-04-22,203.97,208.33,201.55,207.85,172707
2020-04-23,208.35,213.56,208.35,209.73,297913
2020-04-24,211.84,211.84,200.17,201.85,377137
2020-04-27,204.5,210.55,203.34,208.87,280032
2020-04-28,210.82,211.41,203.52,204.75,179763
2020-04-29,208.13,213.69,204.68,211.18,344969
2020-04-30,212.1,229.0,208.79,225.0,509506
2020-05-01,204.47,227.79,204.47,227.54,497051
2020-05-04,228.0,237.56,225.44,236.63,458131
2020-05-05,236.74,247.1,236.74,246.06,475686
2020-05-06,246.99,262.88,246.74,261.63,520492
2020-05-07,264.63,266.32,254.85,263.5,315921
2020-05-08,265.95,271.37,263.84,270.5,225289
2020-05-11,269.03,281.77,269.03,279.56,368079
2020-05-12,282.52,282.52,272.89,272.92,423286
2020-05-13,274.31,274.44,257.79,261.83,447419
2020-05-14,260.46,265.35,254.55,262.05,330057
2020-05-15,261.27,270.72,260.56,267.31,388100
2020-05-18,270.03,273.15,264.64,266.79,237214
2020-05-19,267.97,269.58,259.76,260.05,257373
2020-05-20,263.84,271.02,262.4,269.76,369780
2020-05-21,270.52,270.93,264.25,266.75,307431
2020-05-22,267.48,269.11,265.05,266.4,253627
2020-05-26,268.75,268.75,255.37,260.65,439160
2020-05-27,257.74,258.24,245.46,257.27,291715
2020-05-28,258.2,261.26,255.53,258.4,379806
2020-05-29,259.99,265.06,258.27,264.8,243715
2020-06-01,263.87,265.3,261.35,262.06,215114
2020-06-02,261.01,264.2,257.65,263.84,295761
2020-06-03,263.92,263.92,257.44,259.43,226545
2020-06-04,257.88,260.66,251.35,252.55,181206
2020-06-05,255.41,260.54,250.85,256.58,279272
2020-06-08,252.34,259.46,250.96,255.0,328123
2020-06-09,256.53,259.25,252.3,252.51,143203
2020-06-10,255.46,262.93,253.83,262.0,288750
2020-06-11,260.17,260.17,242.01,242.03,469354
2020-06-12,246.11,252.07,241.1,245.73,305433
2020-06-15,244.17,254.4,243.16,254.36,170517
2020-06-16,259.23,260.43,249.74,250.87,223868
2020-06-17,253.82,258.41,251.72,255.38,147514
2020-06-18,256.34,259.1,253.52,253.9,160877
2020-06-19,255.69,258.9,251.06,257.71,333615
2020-06-22,256.81,263.72,255.89,262.23,258323
2020-06-23,265.0,266.88,260.27,261.86,195509
2020-06-24,260.27,261.6,249.97,252.51,207681
2020-06-25,253.93,258.31,249.98,258.27,160260
2020-06-26,258.22,258.87,254.32,256.45,313647
2020-06-29,256.17,259.42,251.81,253.81,138773
2020-06-30,255.69,265.01,247.51,264.07,216908
2020-07-01,263.6,268.0,260.82,266.01,193695
2020-07-02,266.17,272.89,264.9,269.18,132318
2020-07-06,273.11,275.25,268.15,269.85,210031
2020-07-07,267.93,272.53,266.74,266.75,123995
2020-07-08,268.3,275.68,268.3,274.01,136252
2020-07-09,274.45,279.05,270.55,277.37,162792
2020-07-10,278.2,278.53,271.54,272.4,135903
2020-07-13,275.24,277.25,262.23,263.13,198561
2020-07-14,263.55,267.17,257.33,266.67,225049
2020-07-15,267.19,274.37,266.55,274.3,179041
2020-07-16,274.29,275.66,270.15,272.67,155209
2020-07-17,273.4,281.08,273.4,279.76,196030
2020-07-20,282.1,286.68,279.39,282.96,137576
2020-07-21,284.71,285.1,276.12,276.96,144789
2020-07-22,278.77,281.09,274.02,275.93,154824
2020-07-23,277.59,280.21,271.99,273.42,95443
2020-07-24,271.78,271.86,267.57,270.07,72028
2020-07-27,272.06,277.63,269.4701,276.8,140265
2020-07-28,277.64,278.76,270.5,270.68,80087
2020-07-29,271.65,277.53,271.65,274.35,92610
2020-07-30,272.41,278.04,272.4,276.87,108095
2020-07-31,277.62,283.56,271.55,275.16,252276
2020-08-03,278.45,284.0,276.86,278.87,252105
2020-08-04,284.51,284.51,259.95,276.89,442566
2020-08-05,278.99,278.99,266.78,267.87,190918
2020-08-06,270.47,271.215,262.34,266.55,122028
2020-08-07,265.74,270.05,262.66,265.76,99387
2020-08-10,265.03,265.84,257.2503,257.9,111237
2020-08-11,258.76,264.15,257.5,261.82,182207
2020-08-12,263.16,265.3,261.53,263.42,103379
2020-08-13,263.15,267.84,261.995,266.29,111420
2020-08-14,265.52,265.735,258.73,261.03,99608
2020-08-17,261.79,268.71,261.12,262.71,114253
2020-08-18,262.52,264.15,261.55,262.43,67315
2020-08-19,262.53,263.89,259.21,260.05,90746
2020-08-20,259.24,260.23,257.655,258.44,105218
2020-08-21,258.94,259.0,255.2072,257.82,157255
2020-08-24,259.41,259.41,249.78,250.33,131556
2020-08-25,250.95,253.73,250.05,250.92,162981
2020-08-26,250.71,253.58,248.7,252.77,217804
2020-08-27,253.79,254.05,247.21,253.04,149325
2020-08-28,253.38,254.57,249.42,253.04,132457
2020-08-31,253.04,257.22,252.8,255.46,133801
2020-09-01,257.81,259.52,253.095,257.44,230363
2020-09-02,258.16,262.25,255.15,261.57,146114
2020-09-03,258.86,259.6,247.45,250.66,258407
2020-09-04,251.33,254.66,243.0,246.22,152428
2020-09-08,242.8,249.36,241.71,245.54,276765
2020-09-09,248.73,254.66,247.52,250.03,152889
2020-09-10,249.9,253.04,246.09,246.32,100770
