,open,high,low,close,volume
2019-01-02,79.35,82.28,78.16,81.83,1990883
2019-01-03,80.79,81.24,78.2,79.59,3136759
2019-01-04,80.67,83.11,80.28,82.38,1847673
2019-01-07,82.35,86.47,81.87,85.9,2188795
2019-01-08,86.74,87.96,84.88,86.97,2373753
2019-01-09,87.54,87.65,86.17,86.48,1678577
2019-01-10,85.03,85.28,83.67,84.96,2200330
2019-01-11,84.73,87.31,84.47,85.82,2417079
2019-01-14,85.27,86.89,84.76,85.36,2023910
2019-01-15,85.32,85.57,83.71,84.57,2018387
2019-01-16,83.55,84.47,82.88,84.01,2706705
2019-01-17,81.95,85.46,81.32,85.26,2556620
2019-01-18,87.0,90.39,86.7,89.82,4404049
2019-01-22,88.32,89.14,87.16,87.6,3076571
2019-01-23,87.4,87.9,86.52,87.34,1662469
2019-01-24,87.71,87.71,86.38,87.52,1614258
2019-01-25,88.61,89.77,88.09,88.88,2146631
2019-01-28,88.26,88.45,87.46,88.19,1220619
2019-01-29,87.84,87.9,85.6,87.6,1754242
2019-01-30,87.86,88.61,86.68,87.98,1447525
2019-01-31,88.48,88.86,87.32,88.73,1516996
2019-02-01,88.95,89.25,87.64,88.2,1282777
2019-02-04,88.17,88.52,86.03,88.38,1378329
2019-02-05,88.78,90.35,88.38,89.63,1487478
2019-02-06,89.52,90.03,89.03,89.66,925639
2019-02-07,89.24,89.89,87.85,88.57,878257
2019-02-08,87.87,88.57,87.68,88.08,1137389
2019-02-11,88.08,88.3,87.05,87.85,1074604
2019-02-12,88.77,90.29,88.63,89.73,949346
2019-02-13,90.2,91.1,89.95,90.93,1057322
2019-02-14,90.27,90.74,88.86,90.33,1444823
2019-02-15,90.96,91.1,89.97,90.83,1648042
2019-02-19,90.49,90.72,89.3901,90.38,1095555
2019-02-20,90.46,92.03,90.46,91.62,1877515
2019-02-21,91.46,92.54,91.08,91.49,1197843
2019-02-22,92.01,92.79,91.53,92.7,1047423
2019-02-25,93.27,94.78,93.27,94.01,2922849
2019-02-26,94.1,95.05,93.71,94.89,1788897
2019-02-27,94.64,96.03,94.56,95.78,2238189
2019-02-28,95.36,95.52,93.92,95.04,2456537
2019-03-01,95.92,97.23,94.89,95.93,1444994
2019-03-04,96.08,96.29,93.8,94.6,1149551
2019-03-05,94.84,95.77,94.47,94.87,925383
2019-03-06,95.09,95.4,94.27,94.79,858632
2019-03-07,94.61,95.17,94.05,94.49,1014523
2019-03-08,93.51,94.41,92.7,94.33,910989
2019-03-11,94.42,96.46,94.33,96.28,956471
2019-03-12,96.16,96.86,95.42,95.87,1223496
2019-03-13,96.49,97.43,95.52,96.55,1495811
2019-03-14,96.74,96.86,94.88,95.47,1075313
2019-03-15,95.87,97.18,95.63,96.56,1671387
2019-03-18,96.67,97.46,96.3,97.35,1554836
2019-03-19,97.35,98.29,96.65,97.02,1368464
2019-03-20,96.45,97.83,95.48,97.07,1736714
2019-03-21,96.49,100.79,96.49,100.06,2793125
2019-03-22,97.84,104.2,97.3,103.21,6379844
2019-03-25,103.21,103.78,102.09,102.8,2352022
2019-03-26,103.49,104.18,102.13,103.13,1578461
2019-03-27,103.1,105.07,103.1,104.42,1787680
2019-03-28,105.24,106.37,103.47,104.79,2230525
2019-03-29,105.11,105.9,104.31,105.55,2855595
2019-04-01,106.0,106.11,105.08,105.81,1682811
2019-04-02,106.36,106.75,105.7,106.21,2364068
2019-04-03,106.9,107.5,106.03,106.9,2189917
2019-04-04,107.45,107.58,106.64,107.3,1985027
2019-04-05,107.99,108.32,107.04,107.5,1988951
2019-04-08,107.26,107.66,106.39,106.62,2038615
2019-04-09,106.22,106.24,105.14,105.72,1068830
2019-04-10,105.78,106.47,105.07,105.88,1301582
2019-04-11,106.46,106.46,105.08,106.04,1195880
2019-04-12,106.49,107.11,106.06,106.18,1160180
2019-04-15,105.86,106.15,104.56,105.87,1099995
2019-04-16,106.15,107.68,106.0001,107.23,919617
2019-04-17,107.59,107.75,105.6,106.18,1280941
2019-04-18,106.65,108.29,105.9,107.12,1127119
2019-04-22,106.89,106.92,105.28,105.72,767093
2019-04-23,106.25,107.79,105.59,107.74,1204424
2019-04-24,108.04,108.87,106.72,106.75,834759
2019-04-25,106.62,106.62,103.57,104.82,1849345
2019-04-26,104.63,107.77,104.45,107.74,1050427
2019-04-29,107.37,108.24,107.37,107.6,1352899
2019-04-30,107.55,108.5,106.74,107.82,1339316
2019-05-01,107.8,108.85,106.19,106.33,906631
2019-05-02,106.84,108.07,106.39,107.9,1456720
2019-05-03,108.1,109.75,108.1,109.55,1204231
2019-05-06,107.39,107.44,104.58,105.61,2026427
2019-05-07,104.59,105.17,103.34,103.97,1671572
2019-05-08,103.65,106.74,103.65,105.74,1002685
2019-05-09,104.82,105.38,103.03,104.92,1533753
2019-05-10,104.95,105.43,101.49,104.85,1343235
2019-05-13,103.05,103.05,97.63,97.68,2700191
2019-05-14,98.23,99.32,95.9,98.34,2105475
2019-05-15,97.92,99.41,96.4,98.36,2053983
2019-05-16,98.78,100.11,98.51,99.44,1437410
2019-05-17,98.62,99.38,95.9,96.02,2276351
2019-05-20,95.5,95.62,94.26,95.39,1680104
2019-05-21,95.89,98.85,95.7,97.86,1276574
2019-05-22,97.53,99.03,97.53,98.51,1253703
2019-05-23,97.81,97.94,94.66,95.38,2054720
2019-05-24,95.7,96.36,92.72,93.65,1455812
2019-05-28,93.0,94.16,91.09,91.19,2222414
2019-05-29,90.42,91.19,88.77,90.82,2458146
2019-05-30,91.54,92.44,89.7,90.05,1803222
2019-05-31,88.54,89.33,86.38,89.11,3110682
2019-06-03,89.2,90.96,88.67,90.17,3247857
