,open,high,low,close,volume
2020-01-02,261.6667,261.99,258.2633,258.3733,24600
2020-01-03,266.6667,267.3333,260.68,266.4,62400
2020-01-06,266.4,270.0,265.0733,266.6667,88800
2020-01-07,266.95,268.1667,265.65,268.1667,39600
2020-01-08,268.3333,274.99,266.6667,273.1233,103500
2020-01-09,274.33,279.5,268.4933,271.0633,61800
2020-01-10,270.6433,270.83,264.6433,269.76,49500
2020-01-13,269.0033,269.0033,263.8167,268.3,74400
2020-01-14,268.28,268.3333,265.0,266.4833,49500
2020-01-15,266.4333,270.2533,265.3067,265.3067,36300
2020-01-16,266.6667,266.6667,261.8967,264.9667,30300
2020-01-17,265.1333,265.1333,263.19,264.2867,16500
2020-01-21,264.0033,264.0033,259.5167,260.6467,35100
2020-01-22,264.5533,265.95,255.3667,255.6,52500
2020-01-23,254.0,255.0,246.9,253.0,53700
2020-01-24,251.6667,251.6667,246.4067,250.41,27300
2020-01-27,247.0,249.43,244.6833,245.0433,36300
2020-01-28,247.2467,251.1267,245.54,248.5167,52800
2020-01-29,248.4,251.27,246.6667,247.3333,57600
2020-01-30,245.01,246.1167,239.7967,242.1667,45600
2020-01-31,240.1333,252.2667,228.65,251.9033,159300
2020-02-03,250.51,253.3333,243.8933,250.0,102000
2020-02-04,253.4933,260.4567,253.4933,260.0133,66900
2020-02-05,263.23,271.6633,261.6667,267.0233,81600
2020-02-06,267.0,268.7267,265.0,267.8533,63600
2020-02-07,266.0,269.8033,263.3767,267.3667,38400
2020-02-10,266.6667,267.6833,256.9167,259.1533,50400
2020-02-11,259.1667,264.0,259.1667,260.7,26100
2020-02-12,261.6333,264.6667,261.6333,262.5833,44100
2020-02-13,260.3333,262.0,257.7967,261.1667,30600
2020-02-14,261.3333,261.3333,256.6667,256.69,14100
2020-02-18,255.57,256.45,253.0,255.3933,38700
2020-02-19,255.6833,258.3333,255.6833,257.65,26700
2020-02-20,256.6667,260.47,256.6667,260.47,27900
2020-02-21,259.3333,259.3333,254.29,255.0,32100
2020-02-24,251.1767,254.1867,247.3767,250.41,99900
2020-02-25,253.0,254.9233,238.6667,241.6667,66300
2020-02-26,241.6667,245.3333,236.4067,236.93,81000
2020-02-27,233.3767,236.6633,225.0,226.0667,81000
2020-02-28,221.6667,231.9333,216.6667,231.9333,82500
2020-03-02,231.44,234.7567,225.3833,230.2333,72900
2020-03-03,232.76,232.76,219.7767,223.6933,47700
2020-03-04,228.2567,232.4267,223.42,224.3667,47700
2020-03-05,219.4933,223.9567,217.1033,218.6033,70800
2020-03-06,212.2533,212.8967,203.3333,207.3333,125400
2020-03-09,180.0,180.0,153.49,155.7367,289200
2020-03-10,162.8867,178.1067,153.0,175.6667,242400
2020-03-11,165.0,168.3333,151.5433,152.3367,149100
2020-03-12,139.5533,142.3767,130.0,136.67,251700
2020-03-13,143.3633,150.8233,138.3367,145.6333,173700
2020-03-16,136.6667,155.28,126.11,136.67,221100
2020-03-17,138.05,140.6633,118.73,122.7533,274800
2020-03-18,116.6667,118.78,98.4667,103.6467,237300
2020-03-19,104.5433,123.77,100.4667,118.0267,178500
2020-03-20,119.6933,124.1533,113.3433,117.62,162900
2020-03-23,115.9533,115.9533,98.35,102.78,180300
2020-03-24,108.9733,129.9633,106.93,129.6467,223500
2020-03-25,126.79,134.92,115.6633,125.0,165900
2020-03-26,125.0,132.7167,121.1633,123.3367,182700
2020-03-27,121.6667,126.4333,108.3367,126.4333,190800
2020-03-30,125.0067,133.3333,119.3333,130.0067,212700
2020-03-31,132.7367,133.3333,125.0,126.67,191400
2020-04-01,121.67,128.2633,115.0,125.5067,188400
2020-04-02,129.66,153.2833,126.7333,140.69,231300
2020-04-03,141.6667,155.0,141.6667,152.6233,207600
2020-04-06,153.87,159.54,151.3233,158.3433,168300
2020-04-07,163.3333,166.3433,148.62,152.3467,547800
2020-04-08,151.8633,163.1633,146.9267,157.01,532800
2020-04-09,154.6067,187.1933,154.3833,171.08,510300
2020-04-13,171.6933,173.3367,163.34,171.7,234300
2020-04-14,175.0,179.6267,171.7867,178.51,226800
2020-04-15,170.0,171.6733,163.3367,171.6733,161100
2020-04-16,172.4367,174.8133,166.0,169.8533,227100
2020-04-17,172.5367,173.3333,163.1967,170.8733,104700
2020-04-20,160.1,168.6467,159.62,167.5,404700
2020-04-21,160.85,163.3333,151.67,154.3867,221700
2020-04-22,164.17,169.9967,159.9333,166.42,108300
2020-04-23,170.3333,177.0467,164.15,164.57,149100
2020-04-24,165.7567,180.3033,160.1633,166.2733,171300
2020-04-27,166.9667,174.1133,156.3667,171.32,115800
2020-04-28,174.76,175.0,166.37,173.1833,70800
