,open,high,low,close,volume
2020-01-02,93.69,94.09,92.47,93.11,1068851
2020-01-03,92.62,92.87,91.76,91.96,1527258
2020-01-06,91.13,91.65,90.16,91.65,1393359
2020-01-07,90.77,91.64,88.28,90.01,2721727
2020-01-08,90.02,92.19,90.02,91.71,1449593
2020-01-09,91.5,91.96,90.5,90.81,1117228
2020-01-10,91.0,91.73,90.51,91.27,1345042
2020-01-13,91.11,91.12,90.19,90.39,969987
2020-01-14,90.33,91.39,89.87,90.18,1312460
2020-01-15,89.92,91.04,89.85,90.39,1324850
2020-01-16,90.94,92.06,90.54,91.09,1176788
2020-01-17,91.14,92.91,90.6,92.79,1370674
2020-01-21,93.56,94.99,93.39,93.64,2166486
2020-01-22,93.82,93.98,92.74,92.87,997765
2020-01-23,92.35,93.69,91.46,93.66,1082810
2020-01-24,93.54,94.2,92.85,93.57,1935606
2020-01-27,92.3,94.31,92.12,93.99,1461962
2020-01-28,93.93,96.3,93.75,94.99,2644722
2020-01-29,95.05,96.23,94.8,95.02,2129970
2020-01-30,88.8,96.32,88.02,93.83,4613874
2020-01-31,94.9,96.0,90.54,92.95,2800857
2020-02-03,93.98,95.99,93.98,94.41,2263623
2020-02-04,95.31,96.41,90.96,91.1,2623753
2020-02-05,92.01,93.98,91.62,93.97,2094603
2020-02-06,94.85,96.78,94.1,96.59,1665642
2020-02-07,95.91,96.6,95.4,96.55,1010891
2020-02-10,96.17,99.12,96.17,97.53,2112904
2020-02-11,97.82,97.82,96.16,97.57,1224785
2020-02-12,97.63,99.13,97.43,98.53,907805
2020-02-13,98.35,98.67,97.33,98.26,950733
2020-02-14,98.06,98.6,97.58,98.17,675730
2020-02-18,98.55,99.0,97.03,97.83,768894
2020-02-19,98.42,99.6,97.99,98.64,881726
2020-02-20,98.32,99.2,96.88,99.0,979171
2020-02-21,98.27,100.16,98.17,99.78,1349608
2020-02-24,97.83,98.98,96.33,96.46,1563618
2020-02-25,96.96,97.75,92.9,93.15,1335619
2020-02-26,93.75,95.48,91.44,91.49,1377561
2020-02-27,90.39,94.35,88.76,90.43,1941445
2020-02-28,88.27,90.26,86.62,88.51,3318568
2020-03-02,88.5,91.53,87.68,91.48,1659751
2020-03-03,91.08,94.8,90.8,93.14,2324796
2020-03-04,94.53,96.38,93.04,96.35,1611217
2020-03-05,94.58,95.9,92.46,93.65,1179214
2020-03-06,91.9,92.87,89.52,91.48,1761030
2020-03-09,86.51,86.64,77.5,80.84,4000585
2020-03-10,83.33,87.15,80.35,86.95,2606926
2020-03-11,83.43,85.11,82.0,83.3,2439960
2020-03-12,77.07,81.88,71.79,76.51,2929180
2020-03-13,79.96,81.18,71.09,76.21,2399665
2020-03-16,70.68,74.7,66.87,67.36,2245344
2020-03-17,68.66,71.06,63.89,70.58,3537906
2020-03-18,66.93,72.96,64.19,72.51,2190045
2020-03-19,71.81,80.28,71.5,76.39,2291049
2020-03-20,75.82,79.49,74.54,75.91,2447285
2020-03-23,76.37,79.9,74.81,78.06,2057736
2020-03-24,80.65,84.64,78.67,80.02,2011952
2020-03-25,80.08,82.73,75.84,76.93,1648605
2020-03-26,77.7,83.88,77.7,83.48,1529610
2020-03-27,83.0,85.73,82.41,83.1,1578406
2020-03-30,84.09,86.5,82.15,85.55,1234836
2020-03-31,84.78,86.79,84.09,84.55,1663893
2020-04-01,82.7,87.25,81.01,84.0,1752651
2020-04-02,83.01,86.71,82.24,84.15,1538036
2020-04-03,83.82,84.92,79.22,79.5,1471731
2020-04-06,82.59,88.37,82.04,87.96,2515769
2020-04-07,90.02,90.75,85.71,86.49,2934927
