,open,high,low,close,volume
2020-01-02,424.5,430.7,421.71,430.26,9558386
2020-01-03,440.5,454.0,436.92,443.01,17794697
2020-01-06,440.47,451.56,440.0,451.54,10157499
2020-01-07,461.4,471.63,453.36,469.06,18209138
2020-01-08,473.7,498.49,468.23,492.14,31199393
2020-01-09,497.1,498.8,472.87,481.34,28463186
2020-01-10,481.79,484.94,473.7,478.15,12976832
2020-01-13,493.5,525.63,492.0,524.86,26307458
2020-01-14,544.26,547.41,524.9,537.92,29061377
2020-01-15,529.76,537.84,516.79,518.5,17368831
2020-01-16,493.75,514.46,492.17,513.49,21736653
2020-01-17,507.61,515.67,503.16,510.5,13629073
2020-01-21,530.25,548.58,528.41,547.2,17447270
2020-01-22,571.89,594.5,559.1,569.56,31369028
2020-01-23,564.25,582.0,555.6,572.2,19651042
2020-01-24,570.63,573.86,554.26,564.82,14353600
2020-01-27,541.99,564.44,539.28,558.02,13608068
2020-01-28,568.49,576.81,558.08,566.9,11788493
2020-01-29,575.69,589.8,567.43,580.99,18216672
2020-01-30,632.42,650.88,618.0,640.81,29005676
2020-01-31,640.0,653.0,632.52,650.57,15719266
2020-02-03,673.69,786.14,673.52,780.0,47233495
2020-02-04,882.96,968.99,833.88,887.06,60938758
2020-02-05,823.26,845.98,704.11,734.7,48423837
2020-02-06,699.92,795.83,687.0,748.96,39880752
2020-02-07,730.55,769.75,730.0,748.07,17063521
2020-02-10,800.0,819.99,752.4,771.28,24689163
2020-02-11,768.79,783.51,758.0,774.38,11697473
2020-02-12,777.87,789.75,763.37,767.29,12022470
2020-02-13,741.84,818.0,735.0,804.0,26289348
2020-02-14,787.22,812.97,785.5,800.03,15693711
2020-02-18,841.6,860.0,832.36,858.4,16698369
2020-02-19,923.5,944.78,901.02,917.42,25422958
2020-02-20,911.95,912.0,859.94,899.41,17634893
2020-02-21,906.98,913.06,880.45,901.0,14339446
2020-02-24,839.0,863.5,822.2,833.79,15192163
2020-02-25,849.0,856.6,787.0,799.91,17290481
2020-02-26,782.5,813.31,776.11,778.8,14153843
2020-02-27,730.0,739.77,669.0,679.0,24277160
2020-02-28,629.7,690.52,611.52,667.99,24564171
2020-03-02,711.26,743.69,686.67,743.62,20194991
2020-03-03,805.0,806.98,716.11,745.51,25784003
2020-03-04,763.96,766.52,724.73,749.5,15048977
2020-03-05,723.77,745.75,718.07,724.54,10852657
2020-03-06,690.0,707.0,684.27,703.48,12662918
2020-03-09,605.39,663.0,605.0,608.0,17073740
2020-03-10,659.43,668.0,608.0,645.33,15594443
2020-03-11,640.2,653.58,613.0,634.23,13413587
2020-03-12,580.89,594.5,546.25,560.55,18909052
