,open,high,low,close,volume
2020-01-02,133.33,134.35,132.68,134.35,1674338
2020-01-03,132.34,133.74,132.14,133.15,885970
2020-01-06,132.41,132.78,130.88,131.99,1370509
2020-01-07,131.29,132.33,131.1,131.45,1374106
2020-01-08,131.68,132.34,131.09,131.24,1011112
2020-01-09,131.3,131.84,130.26,130.52,1270653
2020-01-10,131.03,132.5,130.81,131.18,1485525
2020-01-13,131.18,131.87,130.94,131.35,1004567
2020-01-14,131.48,131.69,130.4,130.88,1213766
2020-01-15,130.6,131.38,130.24,131.31,925602
2020-01-16,132.0,132.97,131.62,132.89,970597
2020-01-17,133.27,134.24,133.16,133.92,1373379
2020-01-21,133.1,133.65,131.98,132.35,1306262
2020-01-22,133.09,133.23,131.64,131.64,768525
2020-01-23,131.0,132.32,130.48,132.29,1604496
2020-01-24,132.36,132.36,129.73,130.6,1872567
2020-01-27,128.92,130.21,128.12,129.03,1575592
2020-01-28,129.51,131.82,128.29,130.78,2115437
2020-01-29,128.39,134.91,128.39,134.29,3118409
2020-01-30,133.55,135.29,132.12,135.14,2487037
2020-01-31,134.27,135.14,132.5,133.23,2216221
2020-02-03,133.74,136.51,133.64,136.19,1943549
2020-02-04,137.21,139.4,137.01,138.53,2086708
2020-02-05,139.85,142.165,139.24,141.76,1640781
2020-02-06,141.83,142.7,140.83,142.41,1367192
2020-02-07,141.91,143.53,141.05,141.81,1783659
2020-02-10,141.22,144.39,140.72,144.11,2106573
2020-02-11,144.03,144.77,143.17,144.36,1372802
2020-02-12,144.95,146.07,144.64,145.59,1859629
2020-02-13,144.86,146.16,144.47,145.62,1322913
2020-02-14,145.9,146.6,145.07,146.55,940257
2020-02-18,145.78,146.22,143.88,144.97,1178429
2020-02-19,145.21,146.23,144.54,145.83,2471760
2020-02-20,145.19,146.85,144.44,146.01,1907314
2020-02-21,145.14,146.51,144.68,145.64,1521561
2020-02-24,141.76,143.24,140.41,142.08,2108141
2020-02-25,142.67,143.03,137.42,138.01,1918926
2020-02-26,139.02,140.29,137.2,138.76,1943037
2020-02-27,136.64,138.36,132.2,132.51,2811322
2020-02-28,128.19,131.27,125.27,129.04,3113264
2020-03-02,100.6,104.92,98.42,100.55,1840238
2020-03-03,101.09,109.53,100.315,106.06,4094322
2020-03-04,108.96,118.1,108.13,117.82,3380353
2020-03-05,114.2,115.97,111.52,112.43,3181443
2020-03-06,110.48,113.5,107.28,112.53,3251243
2020-03-09,107.57,107.64,103.4,105.28,3377554
2020-03-10,107.25,108.41,100.42,107.07,2582128
2020-03-11,104.32,109.21,103.24,107.0,3001248
2020-03-12,100.04,102.99,92.01,96.33,3885031
2020-03-13,100.43,104.65,96.37,103.44,2770444
2020-03-16,90.19,103.02,90.19,92.19,2747460
2020-03-17,92.8,94.31,88.27,93.21,3582856
2020-03-18,88.86,90.16,70.33,83.01,3013532
2020-03-19,81.06,85.61,77.75,81.73,2217543
2020-03-20,82.11,84.11,73.42,75.68,2670582
2020-03-23,73.85,75.44,70.0,71.26,2112082
2020-03-24,74.87,78.99,73.4,76.81,2254022
2020-03-25,76.86,87.27,76.23,85.12,2103121
2020-03-26,84.54,92.42,84.22,86.88,2377441
2020-03-27,84.4,85.0,80.5,82.67,1610216
2020-03-30,81.68,85.62,81.33,84.3,1714506
2020-03-31,82.85,84.3,80.57,82.59,2048124
2020-04-01,78.42,81.87,77.0,80.89,1900109
2020-04-02,80.67,83.24,80.26,82.86,1403930
2020-04-03,81.66,84.13,78.57,80.03,1654521
2020-04-06,84.0,88.13,83.11,87.04,2026939
2020-04-07,90.1,92.55,87.65,88.17,1511975
2020-04-08,87.95,89.24,86.54,87.87,1740907
2020-04-09,89.7,94.31,89.23,91.6,1281645
2020-04-13,90.68,91.38,87.82,89.81,1051886
2020-04-14,91.63,92.68,90.85,92.13,1026903
2020-04-15,89.45,90.58,86.52,86.72,1120482
2020-04-16,86.82,87.22,84.65,85.77,1910834
2020-04-17,88.46,91.68,86.73,89.91,2561744
2020-04-20,86.07,87.75,84.0,85.02,1400988
2020-04-21,84.12,84.14,79.98,80.5,1931599
2020-04-22,81.87,82.45,80.7,81.84,1554812
2020-04-23,83.28,84.77,82.28,83.69,1878154
2020-04-24,84.2,84.59,82.72,84.03,1215229
2020-04-27,84.43,86.58,84.38,86.37,1547911
2020-04-28,87.79,89.56,86.88,87.64,1948711
2020-04-29,89.99,91.08,88.92,90.34,1125090
2020-04-30,88.72,89.37,87.15,87.42,1215547
2020-05-01,85.92,86.97,85.01,86.81,960146
2020-05-04,86.1,86.1,84.54,85.15,1158049
2020-05-05,78.95,83.71,78.0,82.16,3443112
2020-05-06,82.41,82.44,79.74,79.82,1712489
2020-05-07,80.77,82.4,80.58,81.03,1820630
2020-05-08,82.86,84.75,82.55,84.39,1239553
2020-05-11,83.37,83.49,80.89,80.98,1164567
2020-05-12,81.18,81.69,76.19,76.76,1795449
2020-05-13,76.35,76.93,74.27,76.65,4146675
2020-05-14,74.99,78.92,73.73,78.32,2589571
2020-05-15,77.53,78.72,76.43,77.21,1994042
2020-05-18,79.63,81.72,79.62,81.39,1598238
2020-05-19,81.59,83.03,80.34,80.41,1479108
2020-05-20,81.51,81.81,79.6,79.75,1443620
2020-05-21,79.46,81.97,79.46,81.36,1361427
2020-05-22,82.28,83.65,81.18,83.36,1236076
2020-05-26,85.85,89.19,85.85,88.93,1756576
2020-05-27,89.65,92.12,89.65,90.94,1823486
2020-05-28,91.61,92.12,89.85,90.3,1180850
2020-05-29,89.51,90.47,88.72,90.21,1630332
2020-06-01,89.95,91.97,89.3,90.43,1387034
2020-06-02,90.75,91.94,90.2,91.44,1362080
2020-06-03,92.07,94.86,92.01,94.33,1330318
2020-06-04,92.63,95.76,92.63,95.54,1930391
2020-06-05,99.0,103.65,98.49,102.01,2187849
2020-06-08,100.94,103.6,98.63,98.99,2250762
2020-06-09,97.76,98.16,95.85,97.46,1169671
2020-06-10,96.73,98.13,94.51,94.59,1464364
2020-06-11,91.41,91.9,89.71,89.77,1170279
2020-06-12,92.61,92.84,87.6,90.39,1311356
2020-06-15,87.58,91.47,87.21,90.65,1489751
2020-06-16,93.64,94.9,90.45,91.68,1118895
2020-06-17,92.0,92.63,90.3,91.85,1149815
2020-06-18,91.48,91.58,89.65,90.07,948322
2020-06-19,92.08,92.16,89.12,89.29,2392553
2020-06-22,89.04,91.04,87.92,90.18,1108798
2020-06-23,91.28,91.44,89.84,90.09,882117
2020-06-24,90.25,90.83,85.98,86.04,1744578
2020-06-25,85.82,85.93,84.17,85.8,3400660
2020-06-26,85.94,86.46,84.3,84.64,7495104
2020-06-29,85.56,89.23,85.42,89.19,1827791
2020-06-30,88.55,89.57,88.0,88.98,1442743
2020-07-01,89.5,90.51,88.21,88.86,1391716
2020-07-02,90.57,92.02,90.04,90.53,1526512
2020-07-06,92.0,93.0,91.15,92.54,1363241
2020-07-07,92.04,92.73,91.23,91.41,1584069
2020-07-08,92.0,92.69,91.12,92.13,1359720
2020-07-09,91.9,92.26,89.58,90.29,1578916
2020-07-10,90.41,91.69,89.76,91.64,1209206
2020-07-13,92.12,93.84,90.75,92.09,1466662
2020-07-14,92.43,97.55,91.53,97.53,2161449
2020-07-15,99.92,101.71,99.73,100.93,2434041
2020-07-16,100.97,103.39,100.03,101.94,1553066
2020-07-17,102.06,102.75,101.38,102.45,3455806
2020-07-20,102.0,103.85,101.76,103.38,1377437
2020-07-21,104.65,105.74,103.88,105.45,2259813
2020-07-22,105.35,106.41,105.0,106.21,1524897
2020-07-23,105.75,106.6,104.985,105.42,1381904
2020-07-24,105.48,105.72,103.03,103.76,1006877
2020-07-27,103.64,104.9,102.26,104.55,1159626
2020-07-28,103.9,105.1,103.44,103.71,1361123
2020-07-29,117.0,117.0,110.39,110.47,2376727
2020-07-30,109.0,112.21,108.62,110.86,2037768
2020-07-31,110.7,112.09,109.11,111.87,1273540
2020-08-03,111.69,112.72,111.52,112.19,1302957
2020-08-04,111.52,112.33,110.14,112.28,1208020
2020-08-05,113.0,115.79,113.0,115.15,1283736
2020-08-06,114.58,115.98,113.29,115.49,1150155
2020-08-07,115.83,117.12,115.8,116.85,1057528
2020-08-10,116.77,119.045,116.72,118.85,1278746
2020-08-11,120.25,121.91,119.255,119.8,1411644
2020-08-12,120.3,122.19,119.52,120.2,1012376
2020-08-13,119.59,119.98,118.25,118.37,1100112
2020-08-14,117.77,119.44,117.275,118.88,1373854
2020-08-17,118.93,119.51,117.9117,119.36,1708306
2020-08-18,119.22,119.69,117.97,118.03,810303
2020-08-19,118.01,119.18,117.16,117.4,759334
2020-08-20,116.56,117.44,115.88,116.02,794748
2020-08-21,116.25,117.68,115.75,117.57,986319
2020-08-24,118.43,119.01,117.71,118.92,737625
2020-08-25,119.59,119.59,117.56,118.46,577852
2020-08-26,119.22,120.38,118.47,120.08,781647
2020-08-27,120.83,121.04,118.91,118.92,805276
2020-08-28,119.09,120.33,118.39,120.3,711823
2020-08-31,119.9,120.13,118.28,118.39,929618
2020-09-01,117.63,120.32,117.04,120.2,788826
2020-09-02,120.2,122.925,119.76,122.39,786433
2020-09-03,121.98,122.46,117.14,118.13,908057
2020-09-04,119.25,119.7999,116.082,117.77,813384
2020-09-08,116.8,117.94,115.36,116.19,1173323
2020-09-09,117.11,119.29,116.955,117.07,1117427
2020-09-10,117.91,118.135,115.28,115.61,816279
2020-09-11,116.01,118.01,115.87,116.99,727152
2020-09-14,118.15,119.67,117.58,118.99,894778
2020-09-15,119.9,121.33,119.28,121.22,1180545
2020-09-16,122.0,123.78,120.92,122.01,1008550
2020-09-17,120.5,125.08,119.4,124.87,1518898
2020-09-18,124.9,126.0,122.73,122.96,1827323
2020-09-21,120.89,120.89,117.36,120.08,1114862
2020-09-22,120.17,121.8,119.94,121.52,853267
2020-09-23,121.33,122.39,118.65,118.79,859716
2020-09-24,118.37,120.59,117.4,119.0,1049041
2020-09-25,117.95,119.62,117.13,118.91,989470
2020-09-28,120.97,122.85,120.19,121.51,1354555
2020-09-29,121.76,122.38,120.86,121.22,579454
2020-09-30,121.76,123.45,120.3602,121.25,883908
2020-10-01,123.06,123.5,121.27,121.95,1003639
2020-10-02,120.74,124.92,120.08,123.86,1183340
2020-10-05,125.46,128.24,125.0,126.93,817523
2020-10-06,127.62,128.95,126.21,126.59,1154768
2020-10-07,127.99,129.98,127.37,127.94,766554
2020-10-08,128.84,129.84,127.97,129.8,1052917
2020-10-09,130.0,131.52,128.89,129.12,807936
2020-10-12,130.48,132.14,129.85,131.96,598818
2020-10-13,130.76,132.26,128.6,129.25,881128
2020-10-14,130.26,130.655,128.6577,130.2,913421
2020-10-15,128.73,131.52,128.73,130.64,754861
2020-10-16,130.99,132.01,130.64,131.21,686507
2020-10-19,131.22,132.21,127.44,127.5,1310516
2020-10-20,128.59,130.695,128.0,128.73,869172
2020-10-21,128.42,130.36,128.42,128.87,1048316
2020-10-22,129.49,130.8,128.77,130.46,694158
2020-10-23,131.35,131.595,128.94,129.22,1075659
2020-10-26,126.72,127.7,125.17,126.15,1191541
2020-10-27,126.58,126.67,123.08,123.68,1829172
2020-10-28,123.3,130.48,123.3,127.84,1832533
2020-10-29,127.85,133.87,127.1,132.05,1740527
2020-10-30,132.34,135.9,130.33,132.75,1596407
2020-11-02,135.13,137.56,134.05,137.55,1112930
2020-11-03,138.82,142.37,137.84,141.26,1228701
2020-11-04,140.46,140.46,135.11,137.28,1442753
2020-11-05,140.0,143.475,139.93,141.12,965012
2020-11-06,141.34,145.14,140.64,144.32,1172988
2020-11-09,150.23,153.72,145.6,145.67,1448229
2020-11-10,144.87,147.9,143.27,143.58,2066646
2020-11-11,141.78,143.4087,139.69,142.96,2039130
2020-11-12,141.38,144.1,140.46,143.39,1449307
2020-11-13,146.59,149.16,145.8,147.99,1037186
2020-11-16,152.45,152.94,147.15,152.44,1861464
2020-11-17,150.96,152.49,146.86,148.79,1444259
2020-11-18,148.55,148.9,144.15,144.44,2014737
2020-11-19,144.05,147.43,142.7,146.79,1106410
2020-11-20,145.54,146.54,143.78,144.2,1115017
2020-11-23,145.17,147.53,144.9369,145.92,704659
2020-11-24,146.52,148.069,145.24,147.07,1751248
2020-11-25,146.74,147.02,143.76,144.97,1308952
2020-11-27,146.28,146.645,143.32,143.5,905943
2020-11-30,143.21,146.32,141.74,146.24,2778221
2020-12-01,147.08,148.26,145.2,145.7,1622913
2020-12-02,144.12,145.645,143.38,144.34,1348653
2020-12-03,144.26,144.29,141.54,141.72,1733795
2020-12-04,141.57,143.28,141.23,141.85,1305513
2020-12-07,141.83,142.7,140.16,141.12,1076431
2020-12-08,141.59,142.11,139.81,139.96,1065025
2020-12-09,141.34,142.26,139.83,141.05,1267933
2020-12-10,139.81,141.28,138.53,139.22,995361
2020-12-11,138.3,140.0,137.388,139.94,1096213
2020-12-14,140.85,141.7,137.08,137.71,1803512
2020-12-15,139.49,140.64,138.41,140.38,1497146
2020-12-16,141.25,141.88,138.39,138.57,1109632
2020-12-17,139.195,141.68,138.765,140.97,1644316
2020-12-18,141.92,143.01,139.73,141.06,2150449
2020-12-21,139.33,143.4,139.195,142.15,1243115
2020-12-22,142.35,144.18,141.06,143.0,1073089
2020-12-23,142.96,144.145,142.09,142.5,857883
2020-12-24,142.96,144.32,142.96,143.66,292018
2020-12-28,144.8,145.68,144.11,144.2,615002
2020-12-29,145.5,146.58,141.5,142.9,666466
2020-12-30,142.9,145.57,142.9,144.83,658582
2020-12-31,144.75,145.34,143.8018,145.16,738789
2021-01-04,144.09,146.23,142.6891,143.98,1262017
2021-01-05,144.05,146.24,143.91,145.85,1134368
2021-01-06,147.45,152.26,147.45,149.84,3425051
2021-01-07,153.71,154.43,150.41,153.72,1734055
2021-01-08,153.72,154.3,149.94,152.58,1061997
2021-01-11,150.16,153.5,150.0851,152.25,860492
2021-01-12,152.26,152.79,150.145,151.94,1023266
2021-01-13,151.29,151.82,149.57,150.95,1067003
2021-01-14,150.99,152.56,150.26,150.75,731500
2021-01-15,150.75,150.75,147.05,149.51,1252416
2021-01-19,150.16,155.306,150.16,153.49,1701390
2021-01-20,153.52,155.79,152.67,155.24,1136203
2021-01-21,155.69,156.27,153.73,154.44,953016
2021-01-22,153.5,154.43,151.0,152.67,1091273
2021-01-25,152.51,153.01,147.36,150.92,1021944
2021-01-26,151.65,151.65,147.51,147.89,1468599
2021-01-27,144.95,145.577,137.98,138.83,1721584
2021-01-28,141.53,144.18,139.56,142.8,2342675
