,open,high,low,close,volume
2020-01-02,59.28,59.59,58.7,59.08,5583185
2020-01-03,58.54,59.35,58.18,59.08,4895885
2020-01-06,59.04,59.78,58.48,59.59,6003622
2020-01-07,59.22,59.48,58.62,59.29,4376063
2020-01-08,56.05,56.8,54.91,55.83,17434728
2020-01-09,55.79,56.09,54.62,54.68,8471234
2020-01-10,54.84,54.88,54.06,54.22,6688348
2020-01-13,54.2,54.66,53.98,54.06,5507417
2020-01-14,54.04,54.71,53.82,54.62,4466942
2020-01-15,54.54,54.7,54.08,54.43,3495630
2020-01-16,54.44,54.63,54.18,54.42,4974724
2020-01-17,54.69,54.79,54.32,54.41,5048287
2020-01-21,54.39,54.39,53.46,53.87,5928447
2020-01-22,53.73,54.04,53.4,53.42,3703785
2020-01-23,53.34,53.6,52.81,53.3,4993976
2020-01-24,53.32,53.37,51.89,52.04,6415410
2020-01-27,51.55,52.59,51.54,52.23,5108635
2020-01-28,52.45,52.98,52.18,52.78,4771222
2020-01-29,52.82,52.99,52.27,52.28,3510453
2020-01-30,52.04,52.13,51.18,51.95,3790868
2020-01-31,51.71,51.92,50.66,50.85,6532515
2020-02-03,51.04,51.49,50.92,50.95,5153006
2020-02-04,51.56,52.43,51.34,52.34,4911144
2020-02-05,52.85,53.65,52.5,52.98,5386802
2020-02-06,53.51,54.25,53.17,53.49,4400035
2020-02-07,53.28,53.69,52.98,53.24,3378473
2020-02-10,53.29,54.06,53.1,53.42,4326583
2020-02-11,53.54,53.56,52.85,52.99,4054054
2020-02-12,53.42,54.53,53.12,54.47,5362488
2020-02-13,54.31,54.47,53.45,53.57,3669498
2020-02-14,53.72,53.79,52.74,52.85,5153820
2020-02-18,52.41,52.7,51.73,51.86,4334648
2020-02-19,51.82,52.09,51.49,52.07,3279683
2020-02-20,52.07,52.34,51.5,51.87,3368565
2020-02-21,51.86,52.02,51.27,51.45,4644696
2020-02-24,50.78,51.33,49.01,49.03,8049769
2020-02-25,49.35,49.39,47.24,47.51,6336302
2020-02-26,48.2,49.0,47.63,47.67,7212430
2020-02-27,46.95,47.82,45.55,46.24,10123236
2020-02-28,45.16,45.89,44.61,45.76,11857209
2020-03-02,45.92,48.18,45.47,48.11,11247824
2020-03-03,47.5,49.23,45.74,46.12,10385333
2020-03-04,47.15,48.74,46.82,48.69,7194237
2020-03-05,47.25,48.97,47.13,48.78,7237064
2020-03-06,47.25,50.84,47.18,50.51,11823804
2020-03-09,48.03,50.78,48.0,48.44,12341074
2020-03-10,49.49,50.49,46.85,49.16,11190503
2020-03-11,48.23,48.66,45.47,46.07,8599100
2020-03-12,43.81,43.93,40.52,41.02,11245731
2020-03-13,42.72,46.31,41.35,46.19,11181111
2020-03-16,41.84,48.03,41.5,45.08,10490616
2020-03-17,46.19,49.6,43.51,49.6,9242841
2020-03-18,47.34,53.0,46.85,52.81,16586986
2020-03-19,52.71,54.23,46.58,48.55,10334629
2020-03-20,48.4,48.61,44.6,46.42,11029956
2020-03-23,46.56,47.71,43.19,43.61,8977089
2020-03-24,45.02,45.94,43.69,45.25,9638438
2020-03-25,44.45,45.45,41.31,41.44,11040485
2020-03-26,41.74,45.85,41.0,45.67,11097956
2020-03-27,44.52,45.53,43.83,44.0,5897960
2020-03-30,44.59,45.65,44.43,45.16,7114853
2020-03-31,45.27,47.47,44.74,45.75,9310877
2020-04-01,45.07,46.4,42.61,43.03,6797972
2020-04-02,40.17,41.39,39.41,40.32,18891084
2020-04-03,40.25,41.1,39.75,40.72,6489129
2020-04-06,41.9,42.65,41.19,42.63,10857778
2020-04-07,43.39,44.28,42.51,42.81,6691660
2020-04-08,43.2,43.58,42.13,43.09,6206547
2020-04-09,43.15,44.42,43.09,43.98,7114187
2020-04-13,43.79,44.83,43.45,44.11,4412316
2020-04-14,44.88,46.45,44.8,46.38,6482577
2020-04-15,45.56,45.8,43.29,43.44,6050195
2020-04-16,43.37,44.08,42.39,43.23,6130359
2020-04-17,44.38,44.67,43.74,44.5,6288850
2020-04-20,44.16,44.54,42.69,42.85,5951551
2020-04-21,42.04,42.73,41.71,42.55,5914957
2020-04-22,42.9,43.45,42.57,43.31,4677117
2020-04-23,43.13,44.42,43.13,43.5,4232052
2020-04-24,43.69,44.03,43.0,43.74,4102420
2020-04-27,43.78,44.54,43.69,44.43,6705457
2020-04-28,45.27,45.64,44.01,44.65,5707205
2020-04-29,45.03,45.6,44.17,45.36,5062500
2020-04-30,45.09,45.21,43.22,43.29,7887461
2020-05-01,42.77,43.1,41.4,41.66,7066217
2020-05-04,41.7,42.82,41.22,42.45,7189144
2020-05-05,43.5,43.53,41.86,42.02,7716942
2020-05-06,42.3,42.31,41.06,41.2,6240399
2020-05-07,41.56,41.87,40.41,40.66,6902150
2020-05-08,41.24,41.8,40.88,41.67,5966560
2020-05-11,41.78,41.9,41.23,41.71,4923506
2020-05-12,41.97,42.18,40.52,40.53,6303490
2020-05-13,40.31,40.48,38.02,38.35,11850199
2020-05-14,38.19,39.02,36.65,38.85,13076730
2020-05-15,38.31,38.48,37.5,38.4,17309296
2020-05-18,39.69,40.97,39.44,40.86,9379507
2020-05-19,40.6,40.92,39.74,39.77,5200970
2020-05-20,40.17,40.59,39.98,40.14,4648855
2020-05-21,40.0,40.76,39.66,39.75,4435947
2020-05-22,39.63,40.07,39.34,39.6,3391244
2020-05-26,40.43,42.47,40.34,42.16,8179265
2020-05-27,42.78,43.7,42.19,42.97,7748126
2020-05-28,43.44,43.44,41.74,41.83,5940573
2020-05-29,41.54,42.97,41.23,42.94,8858013
2020-06-01,42.71,43.48,42.6,43.3,5772089
2020-06-02,43.19,43.87,43.13,43.55,4284668
2020-06-03,43.97,44.41,43.45,43.61,4681745
2020-06-04,43.1,44.37,42.77,44.2,4949552
2020-06-05,45.2,46.37,44.84,45.35,8052004
2020-06-08,45.49,47.38,45.49,47.02,7233578
2020-06-09,46.58,46.63,44.97,45.28,5066529
2020-06-10,45.52,45.65,44.22,44.28,4561353
2020-06-11,43.18,43.2,40.73,40.75,7899726
2020-06-12,41.86,42.6,40.72,41.4,5017758
2020-06-15,40.46,41.98,39.83,41.49,5278303
2020-06-16,42.49,42.95,41.15,42.15,5451473
2020-06-17,42.3,42.77,41.82,42.15,4769041
2020-06-18,41.68,42.45,41.38,41.98,3201454
2020-06-19,42.48,44.5,42.2,44.13,13638622
2020-06-22,43.55,43.72,42.76,43.24,5154136
2020-06-23,43.99,44.23,42.72,42.81,5418061
2020-06-24,42.68,42.68,40.85,41.17,6218319
2020-06-25,41.12,42.27,40.72,42.04,6660463
2020-06-26,41.87,41.93,40.75,41.17,7037424
2020-06-29,41.44,42.64,41.38,42.32,5225851
2020-06-30,42.12,42.58,41.76,42.39,4782083
2020-07-01,42.15,42.77,40.75,40.88,7065299
2020-07-02,41.31,42.33,41.26,41.98,7901686
2020-07-06,42.65,43.81,42.63,43.16,8235579
2020-07-07,42.77,42.88,42.12,42.22,5140226
2020-07-08,43.48,43.48,41.94,42.29,7448304
2020-07-09,40.2,40.25,38.05,39.01,28780428
2020-07-10,38.67,40.19,38.5,40.12,11766327
2020-07-13,40.18,40.36,39.45,39.58,9757455
2020-07-14,39.43,40.2,38.92,40.11,5899469
2020-07-15,40.44,40.97,39.93,40.68,6139192
2020-07-16,40.51,41.69,40.38,41.35,4382881
2020-07-17,41.59,41.89,41.31,41.42,3740732
2020-07-20,41.19,41.19,40.22,40.46,4047569
2020-07-21,40.5,41.51,40.25,40.41,6735378
2020-07-22,40.4,40.72,40.0,40.69,4288531
2020-07-23,40.9,40.98,40.0299,40.34,4704022
2020-07-24,40.37,41.285,40.3,40.51,3987955
2020-07-27,40.61,40.95,39.225,39.84,7974709
2020-07-28,39.93,41.0099,39.84,40.68,5540925
2020-07-29,40.83,41.26,40.11,41.16,4971298
2020-07-30,40.55,40.845,39.99,40.64,4505618
2020-07-31,40.25,40.89,40.08,40.71,11718126
2020-08-03,40.58,41.175,39.95,41.08,4911763
2020-08-04,40.84,41.07,40.48,40.93,5778496
2020-08-05,40.85,41.4,40.58,40.81,6860335
2020-08-06,40.83,41.4863,40.65,40.89,4699427
2020-08-07,40.67,41.61,40.52,41.52,4538665
2020-08-10,41.63,42.9,41.52,42.86,4891874
2020-08-11,43.38,44.05,41.715,41.85,6482621
2020-08-12,42.3,42.64,41.57,41.82,4930113
2020-08-13,41.33,41.61,40.82,41.0,5689956
2020-08-14,40.8,41.95,40.78,41.91,5687326
2020-08-17,41.91,41.9694,40.81,41.175,5251133
2020-08-18,40.65,41.54,40.4418,40.76,4835865
2020-08-19,40.7689,40.89,40.13,40.25,4973215
2020-08-20,40.0,40.14,39.61,39.71,3645106
2020-08-21,39.53,39.915,39.3,39.46,5629466
2020-08-24,39.62,40.19,38.99,39.74,5500901
2020-08-25,39.94,40.1,39.13,39.5,5564667
2020-08-26,39.19,39.38,38.36,38.67,7776630
2020-08-27,38.65,39.45,38.46,39.34,6072537
2020-08-28,39.36,39.4,38.63,38.76,6035619
2020-08-31,38.61,38.7121,38.0,38.02,7940058
2020-09-01,37.89,37.96,36.5,36.76,10735745
2020-09-02,36.9,37.57,36.68,37.17,7672365
2020-09-03,37.27,38.33,36.74,37.09,8278005
2020-09-04,37.12,37.54,36.55,36.89,6994406
2020-09-08,36.8974,37.22,36.03,36.1,8261242
2020-09-09,36.09,36.27,35.23,35.35,9506332
2020-09-10,35.7,35.7,34.505,34.67,7892708
2020-09-11,34.71,35.25,33.88,34.7,9634509
2020-09-14,34.85,35.17,34.595,35.11,5742070
2020-09-15,35.2,35.7,34.87,35.27,8488407
2020-09-16,35.39,36.89,35.2165,36.28,8224335
2020-09-17,35.71,37.28,35.51,37.21,7251331
2020-09-18,37.21,37.25,36.44,36.93,12824105
2020-09-21,36.75,36.87,35.59,35.79,7484713
2020-09-22,35.78,35.97,35.39,35.72,4399066
2020-09-23,35.88,36.281,34.94,35.06,8479286
2020-09-24,35.18,35.26,34.52,35.03,5498586
2020-09-25,34.69,35.56,34.53,35.43,5955371
2020-09-28,35.89,36.515,35.83,36.07,5901611
2020-09-29,35.8,36.27,35.35,35.38,5079568
2020-09-30,35.55,36.295,35.55,35.92,6679235
2020-10-01,35.84,36.12,35.54,35.87,4808861
2020-10-02,35.32,35.96,35.2801,35.77,5464966
2020-10-05,36.02,36.67,35.95,36.62,4774882
2020-10-06,36.6,37.03,35.81,35.95,5123041
2020-10-07,36.1769,36.75,36.02,36.49,3687082
