,open,high,low,close,volume
2020-01-02,64.2,65.98,64.2,65.62,6671068
2020-01-03,63.89,65.31,63.55,64.61,3958325
2020-01-06,62.96,64.55,62.75,63.37,4085887
2020-01-07,65.21,67.98,64.53,67.66,11128846
2020-01-08,67.21,69.0,66.63,68.64,6604507
2020-01-09,69.39,69.67,67.29,68.62,5192468
2020-01-10,68.89,69.03,67.66,67.94,4484754
2020-01-13,68.56,69.68,68.23,69.13,4105165
2020-01-14,69.2,70.5,68.9,69.21,4496716
2020-01-15,68.39,68.58,66.04,66.67,5841333
2020-01-16,68.04,68.9,67.66,68.67,5229611
2020-01-17,69.76,69.8,67.86,68.26,4217124
2020-01-21,67.57,68.99,67.47,68.79,5032960
2020-01-22,69.04,69.81,68.28,68.67,3026423
2020-01-23,70.36,72.0,68.64,70.93,6943513
2020-01-24,71.71,71.76,68.89,69.52,4444582
2020-01-27,66.27,67.5,65.32,66.66,4577904
2020-01-28,67.48,68.83,66.42,68.41,3430899
2020-01-29,68.18,68.62,66.62,66.76,3125461
2020-01-30,65.39,66.97,64.51,66.96,8747718
2020-01-31,69.16,69.5,65.17,65.5,14053238
2020-02-03,65.6,69.05,64.69,67.24,5782183
2020-02-04,69.0,69.88,68.35,68.43,4744994
2020-02-05,69.44,70.48,67.41,68.11,4870685
2020-02-06,68.78,69.13,67.64,68.7,3730207
2020-02-07,68.05,68.24,66.89,67.03,4041496
2020-02-10,66.4,68.02,66.26,68.02,3084721
2020-02-11,69.14,69.8,68.24,68.92,3871019
2020-02-12,69.7,71.3,69.7,70.35,3981744
2020-02-13,69.16,71.09,69.04,69.58,3670541
2020-02-14,70.14,70.27,68.34,69.25,3204401
2020-02-18,67.72,68.43,67.01,68.31,2652294
2020-02-19,68.98,70.28,68.8,69.56,2669445
2020-02-20,69.6,69.7,67.43,69.06,2374047
2020-02-21,68.48,68.77,66.15,66.98,4101415
2020-02-24,63.6,64.94,63.14,63.56,5069363
2020-02-25,63.63,64.11,59.1,59.53,5893922
2020-02-26,59.87,61.73,59.33,59.62,4826174
2020-02-27,57.1,58.39,54.94,55.17,6394375
2020-02-28,52.25,55.71,51.78,55.56,7883311
2020-03-02,57.35,60.07,56.38,60.04,7553340
2020-03-03,59.6,60.96,56.34,56.93,5420660
2020-03-04,58.34,59.28,56.75,59.14,5143228
2020-03-05,56.88,59.56,56.78,57.71,4487424
2020-03-06,55.05,57.08,53.37,54.73,6009218
2020-03-09,49.56,50.65,47.32,47.4,6745233
2020-03-10,49.97,50.5,46.43,49.95,7446980
